vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
3_4,81900,379848,273481,61615,44840,18212,36780,2221,172,44,35400,777791
3_5,81900,379848,272617,61615,44840,18212,36780,2221,172,44,35278,778777
3_6,81900,386243,280088,62850,44349,18212,36780,2221,172,44,34645,764800
3_7,84600,391717,286304,63898,39299,18212,36780,2221,172,44,34598,754459
3_8,97200,400916,285634,64081,43509,18212,36780,2221,172,44,34437,729098
3_9,100800,398922,283893,63910,42058,18212,36780,2221,172,44,34634,730658
3_T,0,136704,141836,28456,11322,18392,18900,990,172,44,819528,535960
3_J,0,192578,236175,51100,42058,18212,36090,1980,172,44,24606,1109289
3_Q,0,195081,237484,51271,43509,18212,36090,1980,172,44,17760,1110701
3_K,0,197584,238793,51442,44960,18212,36090,1980,172,44,13537,1109490
3_A,0,193502,232037,50394,44900,18212,36090,1980,172,44,9715,1125258
4_5,76500,367682,269211,61074,44840,18212,36780,2221,172,44,35095,800473
4_6,76500,374077,276682,62309,44349,18212,36780,2221,172,44,34472,786486
4_7,79200,379551,282898,63357,39299,18212,36780,2221,172,44,34425,776145
4_8,91800,388750,282228,63540,43509,18212,36780,2221,172,44,34264,750784
4_9,100800,398922,283029,63910,42058,18212,36780,2221,172,44,34622,731534
4_T,0,135992,141836,28456,11322,18392,18900,990,172,44,809515,546685
4_J,0,191196,236175,51100,42058,18212,36090,1980,172,44,24405,1110872
4_Q,0,193699,237484,51271,43509,18212,36090,1980,172,44,17559,1112284
4_K,0,196202,238793,51442,44960,18212,36090,1980,172,44,13336,1111073
4_A,0,192120,232037,50394,44900,18212,36090,1980,172,44,9514,1126841
5_6,71100,365661,274693,61939,44349,18212,36780,2221,172,44,34454,802679
5_7,71100,369031,280909,62987,39299,18212,36780,2221,172,44,34413,797136
5_8,82800,378230,280239,63170,43509,18212,36780,2221,172,44,34252,772675
5_9,91800,374482,281040,63113,42058,18212,36780,2221,172,44,48957,753425
5_T,0,135992,141836,28456,11322,18392,18900,990,172,44,726059,630141
5_J,0,191196,236175,51100,42058,18212,36090,1980,172,44,24392,1110885
5_Q,0,193699,237484,51271,43509,18212,36090,1980,172,44,17546,1112297
5_K,0,196202,238793,51442,44960,18212,36090,1980,172,44,13323,1111086
5_A,0,192120,232037,50394,44900,18212,36090,1980,172,44,9501,1126854
6_7,71100,361076,272902,62043,32110,18216,36753,2220,172,44,33730,821938
6_8,79200,354989,272232,61799,42694,18216,36753,2220,215,44,47223,796719
6_9,88200,342889,273033,61315,41243,18216,36753,2220,215,44,57056,791120
6_T,0,136704,141836,28456,12035,18392,18900,990,215,44,586345,768387
6_J,0,194621,237538,51287,41293,18212,36090,1980,215,44,23829,1107195
6_Q,0,193909,237538,51287,42771,18212,36090,1980,215,44,16847,1113411
6_K,0,196412,238847,51458,44222,18212,36090,1980,215,44,12624,1112200
6_A,0,199585,240156,51629,44409,18212,36090,1980,172,44,8936,1111091
7_8,79200,326834,264333,60062,36217,18220,36726,2219,215,44,53884,834350
7_9,88200,307078,265134,59151,34766,18220,36726,2219,215,44,62326,838225
7_T,0,136704,141836,28456,7086,18392,18900,990,215,44,452661,907020
7_J,0,188629,230593,50343,34816,18216,36063,1979,215,44,23861,1127545
7_Q,0,198004,238901,51474,36344,18212,36090,1980,215,44,16996,1114044
7_K,0,197292,238901,51474,37822,18212,36090,1980,215,44,12637,1117637
7_A,0,197617,238847,51458,37848,18212,36090,1980,172,44,8788,1121248
8_9,88200,264404,256079,56434,40324,18224,36699,2218,258,44,65944,883476
8_T,0,133144,140634,28269,14172,18392,18900,990,258,44,344246,1013255
8_J,0,179254,222285,49212,40374,18220,36036,1978,258,44,23732,1140911
8_Q,0,188629,230593,50343,41902,18216,36063,1979,258,44,16867,1127410
8_K,0,198004,238901,51474,43430,18212,36090,1980,258,44,12625,1111286
8_A,0,195114,237538,51287,43483,18212,36090,1980,215,44,8640,1119701
9_T,0,130296,139432,28082,14172,18392,18900,990,258,44,260322,1101416
9_J,0,171261,214076,48081,38846,18224,36009,1977,258,44,23792,1159736
9_Q,0,180636,222384,49212,40374,18220,36036,1978,258,44,16927,1146235
9_K,0,190011,230692,50343,41902,18216,36063,1979,258,44,12685,1130111
9_A,0,197208,237538,51287,42005,18212,36090,1980,215,44,8817,1118908
T_J,0,130296,139432,28082,14172,18392,18900,990,258,44,94178,1267560
T_Q,0,133856,140634,28269,14172,18392,18900,990,258,44,78261,1278528
T_K,0,137416,141836,28456,14172,18392,18900,990,258,44,61573,1290267
T_A,0,137416,141836,28456,12747,18392,18900,990,215,44,43891,1309417
J_Q,0,136486,199154,48081,40324,18224,35319,1977,258,44,17153,1215284
J_K,0,143186,207048,49212,41852,18220,35346,1978,258,44,12911,1202249
J_A,0,147708,213579,50156,41955,18216,35373,1979,215,44,9043,1194036
Q_K,0,145154,208357,49383,43303,18220,35346,1978,258,44,13035,1197226
Q_A,0,149676,214888,50327,43406,18216,35373,1979,215,44,9167,1189013
K_A,0,151644,216197,50498,44857,18216,35373,1979,215,44,9291,1183990
