vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,81000,482171,326337,65583,46225,26102,38244,2317,172,44,13722,630387
2_4,83700,479748,324110,65396,44800,26144,38244,2317,129,44,13549,634123
2_5,87300,477325,321991,65209,43375,26187,38244,2317,86,44,13376,636850
2_7,97200,456185,314645,66782,43622,18338,37554,2317,43,44,12687,662887
2_8,93600,454658,314105,66782,45074,18338,37554,2317,87,44,12661,667084
2_9,90000,452780,313727,66798,45048,18338,37554,2317,130,44,12671,672897
2_T,90900,452336,313457,66814,43934,18338,37554,2317,172,44,12684,673754
2_J,90900,456270,314604,67001,38985,18338,37554,2317,172,44,12833,673286
2_Q,90900,456270,314496,67001,46071,18338,37554,2317,215,44,12821,666277
2_K,98100,288951,191872,31493,34005,18518,20097,990,215,44,591018,437001
2_A,0,257005,258592,51995,47710,18338,36864,1980,215,44,30268,1009293
3_4,83700,467653,314221,64177,43289,26144,38244,2317,129,44,13403,658983
3_5,87300,465230,312102,63990,41864,26187,38244,2317,86,44,13230,661710
3_7,97200,446845,305182,65563,42111,18338,37554,2317,43,44,12541,684566
3_8,97200,456185,313241,66782,43622,18338,37554,2317,43,44,12649,664329
3_9,92700,450908,311500,66611,43623,18338,37554,2317,87,44,12498,676124
3_T,93600,450464,311230,66627,42509,18338,37554,2317,129,44,12511,676981
3_J,93600,454398,312377,66814,37560,18338,37554,2317,129,44,12660,676513
3_Q,93600,454398,312269,66814,44646,18338,37554,2317,172,44,12648,669504
3_K,101700,286714,190382,31306,32580,18518,20097,990,172,44,588847,440954
3_A,0,253071,257229,51808,46285,18338,36864,1980,172,44,30095,1016418
4_5,87300,453135,302321,62771,40353,26187,38244,2317,86,44,13084,686462
4_7,97200,437505,295827,64344,40600,18338,37554,2317,43,44,12395,706137
4_8,97200,446845,303886,65563,42111,18338,37554,2317,43,44,12503,685900
4_9,97200,452435,310744,66611,42171,18338,37554,2317,43,44,12486,672361
4_T,97200,448592,309111,66440,41084,18338,37554,2317,86,44,12338,679200
4_J,97200,452526,310258,66627,36135,18338,37554,2317,86,44,12487,678732
4_Q,97200,452526,310150,66627,43221,18338,37554,2317,129,44,12475,671723
4_K,106200,283781,188892,31119,31155,18518,20097,990,129,44,587480,443899
4_A,0,249807,255866,51621,44860,18338,36864,1980,129,44,30618,1022177
5_7,97200,428165,286580,63125,39089,18338,37554,2317,43,44,12249,727600
5_8,97200,437505,294639,64344,40600,18338,37554,2317,43,44,12357,707363
5_9,97200,443095,301497,65392,40660,18338,37554,2317,43,44,12340,693824
5_T,100800,450119,308463,66440,39820,18338,37554,2317,43,44,12326,676040
5_J,100800,450654,308247,66440,34710,18338,37554,2317,43,44,12314,680843
5_Q,100800,450654,308139,66440,41796,18338,37554,2317,86,44,12302,673834
5_K,108000,279670,187402,30932,29730,18518,20097,990,86,44,590099,446736
5_A,0,236103,254503,51068,43435,18338,36864,1980,86,44,41251,1028632
7_8,91800,384279,270263,62771,40702,18338,36864,2317,86,44,11487,793353
7_9,91800,387114,276695,63819,40762,18338,36864,2317,86,44,11471,782994
7_T,95400,391383,283235,64867,39922,18338,36864,2317,86,44,11457,768391
7_J,95400,398503,291192,66086,36323,18338,36864,2317,86,44,11579,755572
7_Q,104400,339748,292263,63878,41984,18338,36864,2317,86,44,83729,728653
7_K,0,130296,147856,28082,29918,18518,19020,990,86,44,458579,878915
7_A,0,195373,240481,51239,43623,18338,36174,1980,43,44,7952,1117057
8_9,82800,380019,276393,63636,42187,18338,36864,2317,129,44,11620,797957
8_T,82800,382184,282933,64684,41347,18338,36864,2317,129,44,11606,789058
8_J,82800,321096,290890,63341,37748,18338,36864,2317,129,44,82498,776239
8_Q,91800,298533,291961,62231,43409,18338,36864,2317,129,44,46588,820090
8_K,0,133856,149058,28269,31343,18518,19020,990,129,44,346122,984955
8_A,0,198086,241844,51426,45048,18338,36174,1980,87,44,8099,1111178
9_T,80100,303943,275250,61178,40344,18342,36837,2316,171,44,81712,812067
9_J,80100,281135,283207,60689,36745,18342,36837,2316,171,44,43396,869322
9_Q,88200,261356,284278,58908,43306,18342,36837,2316,172,44,41723,876822
9_K,0,133856,149058,28269,32768,18518,19020,990,172,44,245502,1084107
9_A,0,200799,243207,51613,44995,18338,36174,1980,130,44,8248,1106776
T_J,80100,243688,274323,57500,30107,18346,36810,2315,171,44,38226,930674
T_Q,85500,226719,275394,55292,42142,18346,36810,2315,214,44,35161,934367
T_K,0,133144,149058,28269,33293,18518,19020,990,214,44,170992,1158762
T_A,0,190252,234953,50498,43831,18342,36147,1979,172,44,8280,1127806
J_Q,85500,216182,276649,52612,37193,18346,36810,2315,214,44,28716,957723
J_K,0,136704,150260,28456,28344,18518,19020,990,214,44,129179,1200575
J_A,0,193635,236316,50685,38882,18342,36147,1979,172,44,8429,1127673
Q_K,0,136704,150260,28456,35430,18518,19020,990,257,44,96721,1225904
Q_A,0,193635,236316,50685,45968,18342,36147,1979,215,44,8417,1120556
K_A,0,140976,151462,28643,35430,18518,19020,990,215,44,21819,1295187
