vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,67500,468236,323784,64626,79408,25809,38232,2253,301,44,24367,617744
2_4,67500,463751,321557,64439,77983,25809,38232,2253,258,44,24194,626284
2_5,70200,461328,319438,64252,76558,25851,38232,2253,215,44,24021,629912
2_6,79200,477370,321197,64793,76558,26137,38232,2253,172,44,23593,602755
2_8,97200,451819,301855,65237,68793,18254,37542,2253,173,44,23464,645670
2_9,97200,452045,301585,65253,68767,18254,37542,2253,216,44,23474,645671
2_T,98100,451253,301315,65269,68553,18254,37542,2253,259,44,23835,645627
2_J,144000,351903,200116,34091,52872,18434,20127,990,301,44,458085,431341
2_Q,0,278872,257724,52739,72566,18254,36852,1980,301,44,48371,944601
2_K,0,255904,257724,51885,77931,18254,36852,1980,344,44,36625,974761
2_A,0,238569,256896,51271,79382,18254,36852,1980,344,44,19760,1008952
3_4,67500,451121,311668,63220,76472,25809,38232,2253,258,44,24048,651679
3_5,70200,448698,309549,63033,75047,25851,38232,2253,215,44,23875,655307
3_6,79200,464740,311308,63574,75047,26137,38232,2253,172,44,23447,628150
3_8,97200,451284,300991,65237,67341,18254,37542,2253,129,44,23452,648577
3_9,97200,448111,299358,65066,67342,18254,37542,2253,173,44,23301,653660
3_T,98100,447319,299088,65082,67128,18254,37542,2253,216,44,23662,653616
3_J,144000,347792,198482,33904,51447,18434,20127,990,258,44,456058,440768
3_Q,0,274938,256361,52552,71141,18254,36852,1980,258,44,48198,951726
3_K,0,251970,256361,51698,76506,18254,36852,1980,301,44,36452,981886
3_A,0,234635,255533,51084,77957,18254,36852,1980,301,44,19587,1016077
4_5,70200,436603,299768,61814,73536,25851,38232,2253,215,44,23729,680059
4_6,79200,452645,301527,62355,73536,26137,38232,2253,172,44,23301,652902
4_8,97200,441944,291636,64018,65830,18254,37542,2253,129,44,23306,670148
4_9,100800,449638,298602,65066,65890,18254,37542,2253,129,44,23289,650797
4_T,100800,445447,296969,64895,65703,18254,37542,2253,173,44,23489,656735
4_J,147600,345555,196848,33717,50022,18434,20127,990,215,44,454139,444613
4_Q,0,272370,254998,52365,69716,18254,36852,1980,215,44,48721,956789
4_K,0,248706,254998,51511,75081,18254,36852,1980,258,44,36975,987645
4_A,0,231371,254170,50897,76532,18254,36852,1980,258,44,19414,1022532
5_6,79200,440550,291854,61136,72025,26137,38232,2253,172,44,23155,677546
5_8,97200,432604,282389,62799,64319,18254,37542,2253,129,44,23160,691611
5_9,100800,440298,289355,63847,64379,18254,37542,2253,129,44,23143,672260
5_T,105300,446974,296321,64895,64251,18254,37542,2253,129,44,23477,652864
5_J,152100,342622,195214,33530,48597,18434,20127,990,172,44,453024,447450
5_Q,0,269106,253635,52178,68291,18254,36852,1980,172,44,49244,962548
5_K,0,232218,253635,50897,73656,18254,36852,1980,215,44,50453,994100
5_A,0,228107,252807,50710,75107,18254,36852,1980,215,44,8435,1039793
6_8,100800,422104,276347,61535,64319,18254,37542,2253,129,44,22437,706540
6_9,104400,429086,283313,62583,64379,18254,37542,2253,129,44,22420,687901
6_T,108900,435762,290279,63631,64251,18254,37542,2253,129,44,22754,668505
6_J,156600,345208,194782,33530,48597,18434,20127,990,129,44,450771,443092
6_Q,0,233600,253635,50897,68291,18254,36852,1980,129,44,88082,960540
6_K,0,233600,253635,50897,73656,18254,36852,1980,172,44,11561,1031653
6_A,0,236103,254944,51068,75107,18254,36852,1980,172,44,7872,1029908
8_9,103500,385771,245122,61563,56033,18262,36825,2252,173,44,22529,780230
8_T,108000,286684,251662,60293,55905,18262,36825,2252,173,44,128189,764015
8_J,0,120328,142480,26818,43667,18434,19050,990,173,44,339847,1000473
8_Q,0,184240,231786,49811,61543,18258,36135,1979,173,44,16128,1112207
8_K,0,194290,236529,50975,65864,18254,36162,1980,173,44,11769,1096264
8_A,0,192196,236529,50975,67342,18254,36162,1980,173,44,7756,1100893
9_T,104400,246027,244078,55262,55802,18266,36798,2251,216,44,56251,892909
9_J,0,120328,142480,26818,45092,18434,19050,990,216,44,248079,1090773
9_Q,0,177578,224841,48867,61440,18262,36108,1978,216,44,16160,1126810
9_K,0,187628,229584,50031,65761,18258,36135,1979,216,44,11801,1110867
9_A,0,195621,237892,51162,67289,18254,36162,1980,216,44,7905,1095779
T_J,0,119616,142480,26818,45617,18434,19050,990,258,44,178273,1160724
T_Q,0,167701,216686,47752,60506,18266,36081,1977,258,44,16192,1146841
T_K,0,177081,221429,48916,65497,18262,36108,1978,259,44,11833,1130897
T_A,0,185074,229737,50047,67025,18258,36135,1979,259,44,7937,1115809
J_Q,0,133856,150894,28269,21258,18434,19050,990,258,44,68685,1270566
J_K,0,133856,150894,28269,52872,18434,19050,990,301,44,51131,1256463
J_A,0,136704,152096,28456,52872,18434,19050,990,301,44,34141,1269216
Q_K,0,141594,210769,49196,69510,18262,35418,1978,301,44,12103,1173129
Q_A,0,146912,218663,50327,71038,18258,35445,1979,301,44,8207,1161130
K_A,0,146912,218663,50327,76403,18258,35445,1979,344,44,8195,1155734
