vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,59400,446214,323083,64459,120571,25824,38292,2285,215,88,17369,614504
2_4,56700,443440,322219,64459,120571,25782,38292,2285,215,88,17168,621085
2_5,54000,440666,321463,64459,120571,25740,38292,2285,215,88,16967,627558
2_6,62100,456708,323222,65000,120571,25983,38292,2285,215,88,16539,601301
2_7,67500,469976,325224,65541,120571,26183,38292,2285,172,88,16688,579784
2_8,72900,473329,321098,65615,112644,26225,38292,2285,129,88,16559,583140
2_9,83700,484917,317881,65876,104717,26310,38292,2285,86,88,16754,571398
2_T,99900,498905,314102,66076,95016,26396,38292,2285,86,44,17145,554057
2_Q,169200,538605,243024,48619,102828,18476,20247,990,130,44,140063,430078
2_K,0,403550,252601,60146,104717,18296,36912,1980,173,44,30041,803844
2_A,0,362492,252787,57026,112644,18296,36912,1980,216,44,29287,840620
3_4,51300,430172,318813,63918,120571,25582,38292,2285,215,88,16995,644073
3_5,48600,427398,318057,63918,120571,25540,38292,2285,215,88,16794,650546
3_6,56700,443440,319816,64459,120571,25783,38292,2285,215,88,16366,624289
3_7,62100,456708,321818,65000,120571,25983,38292,2285,172,88,16515,602772
3_8,72900,473329,320234,65615,112644,26225,38292,2285,129,88,16547,584016
3_9,81000,482143,317017,65876,104717,26268,38292,2285,86,88,16553,577979
3_T,97200,496131,313238,66076,95016,26354,38292,2285,86,44,16944,560638
3_Q,165600,536019,242016,48619,102828,18476,20247,990,130,44,138584,438751
3_K,0,400776,252601,60146,104717,18296,36912,1980,173,44,29840,806819
3_A,0,359718,252787,57026,112644,18296,36912,1980,216,44,29086,843595
4_5,43200,414130,314759,63377,120571,25340,38292,2285,215,88,16621,673426
4_6,51300,430172,316518,63918,120571,25583,38292,2285,215,88,16193,647169
4_7,56700,443440,318520,64459,120571,25783,38292,2285,172,88,16342,625652
4_8,67500,460061,316936,65074,112644,26025,38292,2285,129,88,16374,606896
4_9,81000,482143,316261,65876,104717,26268,38292,2285,86,88,16541,578747
4_T,94500,493357,312482,66076,95016,26312,38292,2285,86,44,16743,567111
4_Q,162000,533433,241008,48619,102828,18476,20247,990,130,44,137213,447316
4_K,0,398002,252601,60146,104717,18296,36912,1980,173,44,29639,809794
4_A,0,356944,252787,57026,112644,18296,36912,1980,216,44,28885,846570
5_6,45900,416904,313328,63377,120571,25383,38292,2285,215,88,16020,669941
5_7,51300,430172,315330,63918,120571,25583,38292,2285,172,88,16169,648424
5_8,62100,446793,313746,64533,112644,25825,38292,2285,129,88,16201,629668
5_9,75600,468875,313071,65335,104717,26068,38292,2285,86,88,16368,601519
5_T,94500,493357,311834,66076,95016,26312,38292,2285,86,44,16731,567771
5_Q,158400,530847,240000,48619,102828,18476,20247,990,130,44,135950,455773
5_K,0,395228,252601,60146,104717,18296,36912,1980,173,44,29438,812769
5_A,0,354170,252787,57026,112644,18296,36912,1980,216,44,28684,849545
6_7,54900,432946,314790,63918,120571,25426,38292,2285,172,88,15445,643471
6_8,60300,440784,312027,64179,112644,25626,38292,2285,129,88,15478,640472
6_9,71100,460804,311352,64981,104717,25868,38292,2285,86,88,15645,617086
6_T,89100,485286,310115,65722,95016,26112,38292,2285,86,44,16008,584238
6_Q,162900,533433,238992,48619,102828,18476,20247,990,130,44,134273,451372
6_K,0,398002,252601,60146,104717,18296,36912,1980,173,44,28715,810718
6_A,0,369126,254924,57567,112644,18296,36912,1980,216,44,28121,832474
7_8,63000,433683,306921,63102,112644,25668,38292,2285,129,88,15654,650838
7_9,73800,450304,305418,63717,104717,25910,38292,2285,86,88,15821,631866
7_T,91800,474074,304181,64458,95016,26154,38292,2285,86,44,16184,599730
7_Q,166500,536019,237984,48619,102828,18476,20247,990,86,44,133603,446908
7_K,0,400776,252601,60146,104717,18296,36912,1980,130,44,28891,807811
7_A,0,369126,254924,57567,112644,18296,36912,1980,173,44,28109,832529
8_9,76500,455753,289019,63641,96286,25956,38292,2285,86,88,15899,648499
8_T,94500,479523,287782,64382,86585,26200,38292,2285,86,44,16262,616363
8_Q,179100,533989,228928,47601,96285,18476,20247,990,86,44,131978,454580
8_K,0,406648,252535,60098,96822,18296,36912,1980,86,44,29886,808997
8_A,0,371934,250933,57458,104717,18296,36912,1980,130,44,31014,838886
9_T,97200,488262,271917,64448,78154,26246,38292,2285,86,44,16340,629030
9_Q,195300,533833,219932,46461,89742,18476,20247,990,86,44,130775,456418
9_K,0,409422,236848,60164,88391,18300,36912,1980,86,44,29964,830193
9_A,0,243532,251695,51131,96822,18296,36912,1980,86,44,174012,837794
T_Q,217800,525856,209944,45010,81586,18476,20247,990,86,44,134449,457816
T_K,0,252812,216701,51263,78154,18304,36912,1980,86,44,198393,857655
T_A,0,244914,231548,51197,86585,18300,36912,1980,86,44,8523,1032215
Q_K,0,114632,142086,25741,89742,18476,19170,990,130,44,43316,1257977
Q_A,0,124600,149694,27005,96285,18476,19170,990,130,44,26170,1249740
K_A,0,164458,205378,51306,96286,18300,35532,1980,173,44,8970,1129877
