vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,0,454456,542136,194552,22848,25866,147492,15526,172,88,9067,300101
2_4,0,449432,540744,194070,22848,25824,147480,15526,172,88,8878,307242
2_5,0,444408,539352,193588,22848,25782,147468,15526,172,88,8689,314383
2_6,0,461428,548373,196746,22848,25983,147483,15527,172,88,7949,285707
2_7,0,477548,557394,199904,22848,26183,147498,15528,172,88,8110,257031
2_8,0,473988,556566,196746,21370,26183,147486,15528,129,88,8002,266218
2_9,0,479764,558522,194070,19892,26267,147474,15528,86,88,8083,262530
2_T,0,486628,560478,190912,18226,26353,147462,15528,86,44,8164,258423
2_J,0,491652,561870,191394,18226,26395,147450,15528,86,44,8353,251306
2_K,0,356184,440964,195034,19892,18296,141840,15179,130,44,8650,516091
2_A,0,338412,431379,195034,21370,18296,141813,15178,173,44,8549,542056
3_4,0,433312,531723,190912,22848,25624,147441,15525,172,88,8717,335942
3_5,0,428288,530331,190430,22848,25582,147429,15525,172,88,8528,343083
3_6,0,445308,539352,193588,22848,25783,147444,15526,172,88,7788,314407
3_7,0,461428,548373,196746,22848,25983,147459,15527,172,88,7949,285731
3_8,0,473988,556566,196746,21370,26183,147474,15528,129,88,8002,266230
3_9,0,474740,557130,193588,19892,26225,147462,15528,86,88,7894,269671
3_T,0,481604,559086,190430,18226,26311,147450,15528,86,44,7975,265564
3_J,0,486628,560478,190912,18226,26353,147438,15528,86,44,8164,258447
3_K,0,351872,439572,194552,19892,18296,141828,15179,130,44,8461,522478
3_A,0,334100,429987,194552,21370,18296,141801,15178,173,44,8360,548443
4_5,0,412168,521310,187272,22848,25382,147390,15524,172,88,8367,371783
4_6,0,429188,530331,190430,22848,25583,147405,15525,172,88,7627,343107
4_7,0,445308,539352,193588,22848,25783,147420,15526,172,88,7788,314431
4_8,0,457868,547545,193588,21370,25983,147435,15527,129,88,7841,294930
4_9,0,474740,557130,193588,19892,26225,147450,15528,86,88,7894,269683
4_T,0,476580,557694,189948,18226,26269,147438,15528,86,44,7786,272705
4_J,0,481604,559086,190430,18226,26311,147426,15528,86,44,7975,265588
4_K,0,347560,438180,194070,19892,18296,141816,15179,130,44,8272,528865
4_A,0,329788,428595,194070,21370,18296,141789,15178,173,44,8171,554830
5_6,0,413068,521310,187272,22848,25383,147366,15524,172,88,7466,371807
5_7,0,429188,530331,190430,22848,25583,147381,15525,172,88,7627,343131
5_8,0,441748,538524,190430,21370,25783,147396,15526,129,88,7680,323630
5_9,0,458620,548109,190430,19892,26025,147411,15527,86,88,7733,298383
5_T,0,476580,557694,189948,18226,26269,147426,15528,86,44,7786,272717
5_J,0,476580,557694,189948,18226,26269,147414,15528,86,44,7786,272729
5_K,0,343248,436788,193588,19892,18296,141804,15179,130,44,8083,535252
5_A,0,325476,427203,193588,21370,18296,141777,15178,173,44,7982,561217
6_7,0,418992,522702,187754,22848,25426,147342,15524,172,88,6754,364702
6_8,0,431552,530895,187754,21370,25626,147357,15525,129,88,6808,345200
6_9,0,448424,540480,187754,19892,25868,147372,15526,86,88,6861,319953
6_T,0,466384,550065,187272,18226,26112,147387,15527,86,44,6914,294287
6_J,0,482504,559086,190430,18226,26312,147402,15528,86,44,7075,265611
6_K,0,344148,436788,193588,19892,18296,141792,15179,130,44,7183,535264
6_A,0,338936,435396,196746,21370,18296,141792,15179,173,44,7242,537130
7_8,0,424016,524094,188236,21370,25468,147318,15524,129,88,6996,359065
7_9,0,436576,532287,188236,19892,25668,147333,15525,86,88,7049,339564
7_T,0,453636,541872,187754,18226,25911,147348,15526,86,44,7102,314799
7_J,0,469756,550893,190912,18226,26111,147363,15527,86,44,7263,286123
7_K,0,348460,438180,194070,19892,18296,141780,15179,130,44,7371,528902
7_A,0,338936,435396,196746,21370,18296,141780,15179,173,44,7242,537142
8_9,0,441600,533253,176716,18337,25714,147321,15525,86,88,7148,346516
8_T,0,458660,542838,176234,16671,25957,147336,15526,86,44,7201,321751
8_J,0,474780,551859,179392,16671,26157,147351,15527,86,44,7362,293075
8_K,0,348500,438744,194552,18387,18296,141768,15179,86,44,7560,529188
8_A,0,339688,435960,194070,19892,18296,141768,15179,130,44,7323,539954
9_T,0,467244,544632,164714,15116,26003,147324,15526,86,44,7300,324315
9_J,0,483364,553653,167872,15116,26203,147339,15527,86,44,7461,295639
9_K,0,352812,440136,183032,16832,18300,141756,15179,86,44,7659,536468
9_A,0,344228,437916,194552,18387,18296,141756,15179,86,44,7512,534348
T_J,0,493372,555447,152712,13400,26249,147327,15527,86,44,7560,300580
T_K,0,357124,441528,167872,15116,18304,141744,15179,86,44,7758,547549
T_A,0,348540,439308,179392,16671,18300,141744,15179,86,44,7611,545429
J_K,0,361436,442920,168354,15116,18304,141732,15179,86,44,7947,541186
J_A,0,352852,440700,179874,16671,18300,141732,15179,86,44,7800,539066
K_A,0,212400,338136,183514,18337,18300,136560,15178,130,44,8111,781594
