vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,62100,456708,329234,65366,97452,25824,38292,2317,215,88,13351,621357
2_4,59400,453934,328370,65366,97452,25782,38292,2317,215,88,13150,627938
2_5,59400,453934,327614,65366,97452,25782,38292,2317,215,88,13138,628706
2_6,67500,465491,328010,65720,96027,26025,38292,2317,172,88,12549,610113
2_7,75600,476336,328649,66074,94602,26267,38292,2317,129,88,12537,591413
2_8,75600,476336,328217,66074,94602,26310,38292,2317,86,88,12525,591857
2_9,87300,484525,324199,66148,86675,26395,38292,2317,43,88,12585,583737
2_J,99900,461654,306003,66596,78587,18338,37602,2317,87,44,12929,628247
2_Q,96300,463526,307366,66783,80012,18338,37602,2317,130,44,13078,626808
2_K,174600,524444,231494,44878,85386,18518,20217,990,173,44,177330,434230
2_A,0,369116,254816,57384,89525,18338,36912,1980,216,44,32121,851852
3_4,54000,440666,324964,64825,97452,25582,38292,2317,215,88,12977,650926
3_5,54000,440666,324208,64825,97452,25582,38292,2317,215,88,12965,651694
3_6,62100,452223,324604,65179,96027,25825,38292,2317,172,88,12376,633101
3_7,70200,463068,325243,65533,94602,26067,38292,2317,129,88,12364,614401
3_8,75600,476336,327353,66074,94602,26310,38292,2317,86,88,12513,592733
3_9,84600,481751,323335,66148,86675,26353,38292,2317,43,88,12384,590318
3_J,97200,458880,305139,66596,78587,18338,37602,2317,87,44,12728,634786
3_Q,93600,460752,306502,66783,80012,18338,37602,2317,130,44,12877,633347
3_K,171000,521858,230630,44878,85386,18518,20217,990,173,44,175707,442903
3_A,0,366342,254816,57384,89525,18338,36912,1980,216,44,31920,854827
4_5,48600,427398,320910,64284,97452,25382,38292,2317,215,88,12792,674574
4_6,56700,438955,321306,64638,96027,25625,38292,2317,172,88,12203,655981
4_7,64800,449800,321945,64992,94602,25867,38292,2317,129,88,12191,637281
4_8,70200,463068,324055,65533,94602,26110,38292,2317,86,88,12340,615613
4_9,84600,481751,322579,66148,86675,26353,38292,2317,43,88,12372,591086
4_J,94500,456106,304383,66596,78587,18338,37602,2317,87,44,12527,641217
4_Q,90900,457978,305746,66783,80012,18338,37602,2317,130,44,12676,639778
4_K,167400,519272,229766,44878,85386,18518,20217,990,173,44,174192,451468
4_A,0,363568,254816,57384,89525,18338,36912,1980,216,44,31719,857802
5_6,51300,430172,319479,64284,96027,25425,38292,2317,172,88,12191,672557
5_7,56700,438955,320118,64638,94602,25625,38292,2317,129,88,12179,658661
5_8,62100,452223,322228,65179,94602,25867,38292,2317,86,88,12328,636994
5_9,75600,470906,320752,65794,86675,26110,38292,2317,43,88,12360,613367
5_J,94500,456106,303735,66596,78587,18338,37602,2317,87,44,12515,641877
5_Q,90900,457978,305098,66783,80012,18338,37602,2317,130,44,12664,640438
5_K,167400,519272,228902,44878,85386,18518,20217,990,173,44,172974,453550
5_A,0,363568,254816,57384,89525,18338,36912,1980,216,44,31707,857814
6_7,60300,429099,310553,63419,93091,25668,38292,2317,129,88,11321,678027
6_8,65700,442367,312663,63960,93091,25910,38292,2317,86,88,11471,656359
6_9,79200,461050,311187,64575,85164,26153,38292,2317,43,88,11503,632732
6_J,98100,458345,303195,66596,77135,18338,37602,2317,43,44,11792,638797
6_Q,94500,456818,303195,66596,78587,18338,37602,2317,87,44,11780,642440
6_K,171900,517747,226836,44691,83961,18518,20217,990,130,44,170992,456278
6_A,0,374590,255590,57738,88100,18338,36912,1980,173,44,30983,847856
7_8,68400,433046,303206,62741,91580,25952,38292,2317,86,88,11513,675083
7_9,81900,451729,301730,63356,83653,26195,38292,2317,43,88,11545,651456
7_J,100800,451779,294164,65377,75624,18338,37602,2317,43,44,11834,654382
7_Q,100800,461119,302763,66596,77135,18338,37602,2317,43,44,11956,633591
7_K,179100,518096,224770,44504,82536,18518,20217,990,87,44,170017,453425
7_A,0,372022,254227,57551,86675,18338,36912,1980,130,44,31506,852919
8_9,84600,444628,296732,62279,83653,26237,38292,2317,43,88,11722,661713
8_J,103500,440567,288338,64113,75624,18338,37602,2317,43,44,12011,669807
8_Q,103500,449907,296937,65332,77135,18338,37602,2317,43,44,12133,649016
8_K,182700,520682,223906,44504,82536,18518,20217,990,43,44,169312,448852
8_A,0,374796,254227,57551,86675,18338,36912,1980,87,44,31683,850011
9_J,106200,446551,272206,64037,67193,18342,37602,2317,43,44,12089,685680
9_Q,106200,455891,280805,65256,68704,18342,37602,2317,43,44,12211,664889
9_K,199800,516350,215120,43240,75993,18518,20217,990,43,44,171947,450042
9_A,0,242138,254161,51037,78780,18338,36912,1980,43,44,175377,853494
J_Q,105300,247855,246774,53553,60080,18346,36912,2317,87,44,198394,742642
J_K,0,110360,139876,25554,69450,18518,19140,990,87,44,130150,1198135
J_A,0,204908,220575,51290,70156,18342,36222,1980,87,44,8645,1100055
Q_K,0,113920,141078,25741,70875,18518,19140,990,130,44,93293,1228575
Q_A,0,207621,221938,51477,71581,18342,36222,1980,130,44,8794,1094175
K_A,0,127448,149744,27192,78843,18518,19140,990,173,44,20512,1269700
