vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,0,444408,537732,193588,37480,25698,147060,15454,344,88,10351,300101
2_4,0,439384,536340,193106,37480,25656,147048,15454,344,88,10162,307242
2_5,0,439384,536340,193106,37480,25656,147036,15454,344,88,10162,307254
2_6,0,457868,545925,193588,36002,25899,147051,15455,301,88,9503,280624
2_7,0,474740,555510,193588,34524,26141,147066,15456,258,88,9556,255377
2_8,0,476392,556074,190430,33046,26184,147054,15456,215,88,9448,257917
2_9,0,483068,558030,187754,31568,26269,147042,15456,172,88,9529,253328
2_J,0,357984,437400,187754,31568,18212,141360,15179,216,44,8851,513736
2_Q,0,352772,436008,190912,33046,18212,141360,15179,259,44,8560,515952
2_K,0,347560,434616,194070,34524,18212,141360,15179,302,44,8377,518060
2_A,0,329788,425031,194070,36002,18212,141333,15178,345,44,8141,544160
3_4,0,423264,527319,189948,37480,25456,147009,15453,344,88,10001,335942
3_5,0,423264,527319,189948,37480,25456,146997,15453,344,88,10001,335954
3_6,0,441748,536904,190430,36002,25699,147012,15454,301,88,9342,309324
3_7,0,458620,546489,190430,34524,25941,147027,15455,258,88,9395,284077
3_8,0,476392,556074,190430,33046,26184,147042,15456,215,88,9448,257929
3_9,0,478044,556638,187272,31568,26227,147030,15456,172,88,9340,260469
3_J,0,353672,436008,187272,31568,18212,141348,15179,216,44,8662,520123
3_Q,0,348460,434616,190430,33046,18212,141348,15179,259,44,8371,522339
3_K,0,343248,433224,193588,34524,18212,141348,15179,302,44,8188,524447
3_A,0,325476,423639,193588,36002,18212,141321,15178,345,44,7952,550547
4_5,0,407144,518298,186790,37480,25256,146958,15452,344,88,9840,364654
4_6,0,425628,527883,187272,36002,25499,146973,15453,301,88,9181,338024
4_7,0,442500,537468,187272,34524,25741,146988,15454,258,88,9234,312777
4_8,0,460272,547053,187272,33046,25984,147003,15455,215,88,9287,286629
4_9,0,478044,556638,187272,31568,26227,147018,15456,172,88,9340,260481
4_J,0,349360,434616,186790,31568,18212,141336,15179,216,44,8473,526510
4_Q,0,344148,433224,189948,33046,18212,141336,15179,259,44,8182,528726
4_K,0,338936,431832,193106,34524,18212,141336,15179,302,44,7999,530834
4_A,0,321164,422247,193106,36002,18212,141309,15178,345,44,7763,556934
5_6,0,413068,519690,187272,36002,25299,146934,15452,301,88,9181,359017
5_7,0,425628,527883,187272,34524,25499,146949,15453,258,88,9234,339516
5_8,0,442500,537468,187272,33046,25741,146964,15454,215,88,9287,314269
5_9,0,460272,547053,187272,31568,25984,146979,15455,172,88,9340,288121
5_J,0,349360,434616,186790,31568,18212,141324,15179,216,44,8473,526522
5_Q,0,344148,433224,189948,33046,18212,141324,15179,259,44,8182,528738
5_K,0,338936,431832,193106,34524,18212,141324,15179,302,44,7999,530846
5_A,0,321164,422247,193106,36002,18212,141297,15178,345,44,7763,556946
6_7,0,431552,528849,175752,32969,25546,146937,15453,258,88,8432,346468
6_8,0,448424,538434,175752,31491,25788,146952,15454,215,88,8486,321220
6_9,0,466196,548019,175752,30013,26031,146967,15455,172,88,8539,295072
6_J,0,350300,435180,187272,30063,18212,141312,15179,172,44,7762,526808
6_Q,0,345800,433788,187272,31568,18212,141312,15179,216,44,7363,531550
6_K,0,340588,432396,190430,33046,18212,141312,15179,259,44,7180,533658
6_A,0,335376,431004,193588,34524,18212,141312,15179,302,44,7104,535659
7_8,0,457008,540228,164232,29936,25834,146940,15454,215,88,8584,323785
7_9,0,474780,549813,164232,28458,26077,146955,15455,172,88,8637,297637
7_J,0,354612,436572,175752,28508,18216,141300,15179,172,44,7860,534089
7_Q,0,350340,435744,187754,30063,18212,141300,15179,172,44,7551,525945
7_K,0,344940,434352,187754,31568,18212,141300,15179,216,44,7260,531479
7_A,0,335416,431568,190430,33046,18212,141300,15179,259,44,6996,539854
8_9,0,484076,551607,152712,26903,26123,146943,15455,172,88,8736,299489
8_J,0,358924,437964,164232,26953,18220,141288,15179,172,44,7959,541369
8_Q,0,354652,437136,176234,28508,18216,141288,15179,172,44,7650,533225
8_K,0,350380,436308,188236,30063,18212,141288,15179,172,44,7449,524973
8_A,0,340668,433524,187754,31568,18212,141288,15179,216,44,7077,536774
9_J,0,363236,439356,152712,25398,18224,141276,15179,172,44,8058,548649
9_Q,0,358964,438528,164714,26953,18220,141276,15179,172,44,7749,540505
9_K,0,354692,437700,176716,28508,18216,141276,15179,172,44,7548,532253
9_A,0,346108,435480,188236,30063,18212,141276,15179,172,44,7266,530268
J_Q,0,217800,338448,152712,26903,18224,136032,15178,216,44,7724,799023
J_K,0,217800,338448,164714,28458,18220,136032,15178,216,44,7658,785536
J_A,0,214200,337056,176234,30013,18216,136032,15178,216,44,7511,777604
Q_K,0,213300,337056,167872,29936,18220,136032,15178,259,44,7754,786653
Q_A,0,209700,335664,179392,31491,18216,136032,15178,259,44,7607,778721
K_A,0,205200,334272,182550,32969,18216,136032,15178,302,44,7703,779838
