vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,189150,586593,269296,55742,31383,18299,20577,1292,129,44,88408,451391
3_3,0,150470,231864,44744,38051,16829,33462,2281,129,44,26529,1167901
3_4,91650,412523,289275,65282,39739,18254,36792,2253,129,44,25875,730488
3_5,88725,409555,288411,65282,39739,18254,36792,2253,129,44,25497,737623
3_6,88725,420010,297432,66692,40820,18254,36792,2253,129,44,25002,716151
3_7,88725,423304,303759,67726,35409,18254,36792,2253,129,44,24909,711000
3_8,101400,433217,303096,67918,39435,18254,36792,2253,129,44,24697,685069
3_9,105300,431405,301263,67730,37647,18254,36792,2253,129,44,24503,686984
3_T,113100,431452,299538,67542,35618,18254,36792,2253,129,44,24928,682654
3_J,0,141662,144196,28484,11628,18434,18900,990,129,44,866264,481573
3_Q,0,207527,247758,52946,37647,18254,36102,1980,129,44,17900,1092017
3_K,0,210284,249159,53134,39435,18254,36102,1980,129,44,13448,1090335
3_A,0,206256,242292,52100,39587,18254,36102,1980,129,44,9419,1106141
2_4,185250,583866,268324,55742,31383,18299,20577,1292,129,44,87928,459470
3_4,91650,412523,289275,65282,39739,18254,36792,2253,129,44,25875,730488
4_4,0,149736,223980,44744,38051,16829,33438,2281,129,44,21957,1181115
4_5,82875,396573,284868,64714,39739,18254,36792,2253,129,44,25097,760966
4_6,82875,407028,293889,66124,40820,18254,36792,2253,129,44,24602,739494
4_7,82875,410322,300216,67158,35409,18254,36792,2253,129,44,24509,734343
4_8,95550,420235,299553,67350,39435,18254,36792,2253,129,44,24297,708412
4_9,105300,431405,300399,67730,37647,18254,36792,2253,129,44,24282,688069
4_T,110175,428484,298674,67542,35618,18254,36792,2253,129,44,24466,689873
4_J,0,140928,144196,28484,11628,18434,18900,990,129,44,855571,493000
4_Q,0,206059,247758,52946,37647,18254,36102,1980,129,44,17438,1093947
4_K,0,208816,249159,53134,39435,18254,36102,1980,129,44,12986,1092265
4_A,0,204788,242292,52100,39587,18254,36102,1980,129,44,8957,1108071
2_5,181350,581139,267460,55742,31383,18299,20577,1292,129,44,87532,467357
3_5,88725,409555,288411,65282,39739,18254,36792,2253,129,44,25497,737623
4_5,82875,396573,284868,64714,39739,18254,36792,2253,129,44,25097,760966
5_5,0,149002,216924,44744,38051,16829,33414,2281,129,44,17985,1192901
5_6,77025,394046,290454,65556,40820,18254,36792,2253,129,44,24286,762645
5_7,77025,397340,296781,66590,35409,18254,36792,2253,129,44,24193,757494
5_8,89700,407253,296118,66782,39435,18254,36792,2253,129,44,23981,731563
5_9,99450,418423,296964,67162,37647,18254,36792,2253,129,44,23966,711220
5_T,110175,413484,297918,67094,35618,18254,36792,2253,129,44,39777,690766
5_J,0,140194,144196,28484,11628,18434,18900,990,129,44,760303,589002
5_Q,0,204591,247758,52946,37647,18254,36102,1980,129,44,17060,1095793
5_K,0,207348,249159,53134,39435,18254,36102,1980,129,44,12608,1094111
5_A,0,203320,242292,52100,39587,18254,36102,1980,129,44,8579,1109917
2_6,195975,598056,268403,56185,31383,18299,20577,1292,172,44,81594,440324
3_6,88725,420010,297432,66692,40820,18254,36792,2253,172,44,25001,716109
4_6,82875,407028,293889,66124,40820,18254,36792,2253,172,44,24601,739452
5_6,77025,394046,290454,65556,40820,18254,36792,2253,172,44,24285,762603
6_6,0,148268,211251,44932,41826,16829,33390,2281,172,44,14672,1198639
6_7,71175,392629,296256,66398,29595,18254,36792,2253,172,44,23565,775171
6_8,77025,398074,295593,66590,40489,18254,36792,2253,172,44,23353,753665
6_9,85800,394994,296439,66522,38701,18254,36792,2253,172,44,38036,734297
6_T,96525,380305,297393,66006,36672,18254,36792,2253,172,44,49347,728541
6_J,0,144598,145418,28672,12682,18434,18900,990,172,44,632904,709490
6_Q,0,208082,249159,53134,38701,18254,36102,1980,172,44,16432,1090244
6_K,0,210839,250560,53322,40489,18254,36102,1980,172,44,11980,1088562
6_A,0,214330,251961,53510,40668,18254,36102,1980,172,44,8083,1087200
2_7,205725,608021,268754,56440,29587,18299,20577,1292,172,44,83326,420067
3_7,88725,423304,303759,67726,35401,18254,36792,2253,172,44,24916,710958
4_7,82875,410322,300216,67158,35401,18254,36792,2253,172,44,24516,734301
5_7,77025,397340,296781,66590,35401,18254,36792,2253,172,44,24200,757452
6_7,71175,392629,296256,66398,29587,18254,36792,2253,172,44,23565,775179
7_7,0,144598,205005,44932,34709,16839,33366,2281,172,44,12236,1218122
7_8,77025,374425,287226,65106,33766,18258,36792,2253,172,44,38059,779178
7_9,85800,361595,288072,64590,31978,18258,36792,2253,172,44,48242,774508
7_T,96525,340156,289026,63626,29949,18258,36792,2253,172,44,55803,779700
7_J,0,144598,145418,28672,7602,18434,18900,990,172,44,481930,865544
7_Q,0,211573,250560,53322,31763,18254,36102,1980,172,44,16573,1091961
7_K,0,210839,250560,53322,33613,18254,36102,1980,172,44,11942,1095476
7_A,0,211394,250560,53322,33613,18254,36102,1980,172,44,7866,1098997
2_8,209625,605789,266992,56252,27791,18299,20577,1292,215,44,90705,414723
3_8,101400,433217,303096,67918,39419,18254,36792,2253,215,44,24711,684985
4_8,95550,420235,299553,67350,39419,18254,36792,2253,215,44,24311,708328
5_8,89700,407253,296118,66782,39419,18254,36792,2253,215,44,23995,731479
6_8,77025,398074,295593,66590,40473,18254,36792,2253,215,44,23360,753631
7_8,77025,374425,287226,65106,33758,18258,36792,2253,215,44,38058,779144
8_8,0,140928,199032,44744,38035,16849,33342,2281,215,44,10148,1226686
8_9,85800,320955,278412,62086,37937,18262,36792,2253,215,44,52217,817331
8_T,96525,295766,279366,61378,35908,18262,36792,2253,215,44,56074,829721
8_J,0,140928,144196,28484,15204,18434,18900,990,215,44,358038,986871
8_Q,0,201458,241758,52098,37722,18258,36102,1980,215,44,16414,1106255
8_K,0,211573,250560,53322,39357,18254,36102,1980,215,44,11916,1088981
8_A,0,208637,249159,53134,39419,18254,36102,1980,215,44,7661,1097699
2_9,218400,606284,265338,56064,25995,18299,20577,1292,215,44,90734,409062
3_9,105300,431405,301263,67730,37623,18254,36792,2253,215,44,24517,686908
4_9,105300,431405,300399,67730,37623,18254,36792,2253,215,44,24296,687993
5_9,99450,418423,296964,67162,37623,18254,36792,2253,215,44,23980,711144
6_9,85800,394994,296439,66522,38677,18254,36792,2253,215,44,38043,734271
7_9,85800,361595,288072,64590,31962,18258,36792,2253,215,44,48241,774482
8_9,85800,320955,278412,62086,37929,18262,36792,2253,215,44,52217,817339
9_9,0,137992,193887,44556,33759,16859,33318,2281,215,44,8754,1240639
9_T,99450,252844,269922,57338,34265,18266,36792,2253,215,44,57147,883768
9_J,0,137992,142974,28296,15204,18434,18900,990,215,44,266204,1083051
9_Q,0,192811,232956,50874,36079,18262,36102,1980,215,44,16507,1126474
9_K,0,202926,241758,52098,37714,18258,36102,1980,215,44,12009,1109200
9_A,0,210839,249159,53134,37561,18254,36102,1980,215,44,7887,1097129
2_T,228150,605177,263792,55876,23958,18299,20577,1292,215,44,91634,403290
3_T,113100,431452,299538,67542,35586,18254,36792,2253,215,44,24942,682586
4_T,110175,428484,298674,67542,35586,18254,36792,2253,215,44,24480,689805
5_T,110175,413484,297918,67094,35586,18254,36792,2253,215,44,39791,690698
6_T,96525,380305,297393,66006,36640,18254,36792,2253,215,44,49354,728523
