vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,290664,326184,44744,53255,28960,39090,2246,215,44,32526,894376
2_3,185250,569110,262330,53072,38985,30430,20556,1256,215,44,132954,418102
2_4,98475,454867,300477,64318,53155,30385,37482,2221,215,44,36627,634038
2_5,98475,454867,299613,64318,53155,30385,37482,2221,215,44,36490,635039
2_6,98475,464558,307653,65540,53182,30385,37482,2221,215,44,35816,616733
2_7,101400,472266,314400,66574,52296,30385,37482,2221,215,44,35723,599298
2_8,105300,471009,312459,66386,45249,30385,37482,2221,215,44,35511,606043
2_9,109200,468822,310626,66198,51063,30385,37482,2221,215,44,35692,600356
2_T,0,205474,175831,28484,19230,30565,20007,990,215,44,867730,363734
2_J,0,248156,261261,52758,51063,30385,36792,1980,215,44,24928,1004722
2_Q,0,250913,262662,52946,52851,30385,36792,1980,215,44,17670,1005846
2_K,0,253670,264063,53134,54639,30385,36792,1980,215,44,13218,1004164
2_A,0,246907,256776,52100,54791,30385,36792,1980,215,44,9189,1023125
2_4,98475,455435,300681,64318,53155,18212,37482,2221,172,44,36941,645168
3_4,171600,552193,251523,52629,38985,18257,20547,1256,172,44,125063,480035
4_4,0,149736,219069,44556,48987,16787,33438,2245,172,44,25994,1171276
4_5,92625,396263,273414,62528,51519,18212,36792,2221,172,44,35938,742576
4_6,92625,402672,281034,63750,51546,18212,36792,2221,172,44,35264,727972
4_7,95550,407645,287361,64784,50660,18212,36792,2221,172,44,35171,713692
4_8,99450,413173,293796,65818,45249,18212,36792,2221,172,44,35099,702278
4_9,113100,422711,293241,66010,49275,18212,36792,2221,172,44,35272,675254
4_T,0,136524,145242,28296,17442,18392,18930,990,172,44,861420,484852
4_J,0,199077,245604,52570,49275,18212,36102,1980,172,44,24267,1085001
4_Q,0,201834,247005,52758,51063,18212,36102,1980,172,44,17009,1086125
4_K,0,204591,248406,52946,52851,18212,36102,1980,172,44,12557,1084443
4_A,0,200563,241431,51912,53003,18212,36102,1980,172,44,8528,1100357
2_5,98475,455435,299817,64318,53155,18212,37482,2221,172,44,36804,646169
3_5,171600,552193,250659,52629,38985,18257,20547,1256,172,44,124908,481054
4_5,92625,396263,273414,62528,51519,18212,36792,2221,172,44,35938,742576
5_5,0,149736,213021,44556,48987,16787,33414,2245,172,44,21496,1181846
5_6,86775,393736,279000,63370,51546,18212,36792,2221,172,44,35127,745309
5_7,86775,396475,285327,64404,50660,18212,36792,2221,172,44,35034,736188
5_8,89700,402003,291762,65438,45249,18212,36792,2221,172,44,34962,725749
5_9,103350,395791,291207,65182,49275,18212,36792,2221,172,44,51333,698725
5_T,0,136524,145242,28296,17442,18392,18930,990,172,44,766312,579960
5_J,0,199077,245604,52570,49275,18212,36102,1980,172,44,24130,1085138
5_Q,0,201834,247005,52758,51063,18212,36102,1980,172,44,16872,1086262
5_K,0,204591,248406,52946,52851,18212,36102,1980,172,44,12420,1084580
5_A,0,200563,241431,51912,53003,18212,36102,1980,172,44,8391,1100494
2_6,98475,465174,307863,65540,53174,18212,37482,2221,216,44,36129,627774
3_6,186225,564885,250380,52884,37189,18257,20547,1256,216,44,118791,461630
4_6,92625,402672,281034,63750,51538,18212,36792,2221,216,44,35263,727937
5_6,86775,393736,279000,63370,51538,18212,36792,2221,216,44,35126,745274
6_6,0,145332,206811,44556,49461,16797,33390,2245,216,44,16961,1196491
6_7,82875,385576,276852,63368,50071,18216,36792,2221,216,44,34273,761800
6_8,85800,376854,283287,63954,44660,18216,36792,2221,216,44,48899,751361
6_9,98475,360892,282732,63250,49661,18216,36792,2221,216,44,60020,739785
6_T,0,137258,145242,28296,19471,18392,18930,990,216,44,616338,727127
6_J,0,202568,247005,52758,49446,18212,36102,1980,216,44,23502,1080471
6_Q,0,201834,247005,52758,51296,18212,36102,1980,216,44,16065,1086792
6_K,0,204591,248406,52946,53084,18212,36102,1980,216,44,11613,1085110
6_A,0,208082,249807,53134,53022,18212,36102,1980,216,44,7716,1083989
2_7,101400,472922,314616,66574,52280,18212,37482,2221,258,44,36044,610251
3_7,199875,576843,250731,53139,35393,18257,20547,1256,258,44,120523,435438
4_7,95550,407645,287361,64784,50644,18212,36792,2221,258,44,35178,713615
5_7,86775,396475,285327,64404,50644,18212,36792,2221,258,44,35041,736111
6_7,82875,385576,276852,63368,50063,18216,36792,2221,258,44,34273,761766
7_7,0,140928,201285,44556,48478,16807,33366,2245,258,44,13805,1210532
7_8,85800,346455,274920,62086,37937,18220,36792,2221,258,44,56041,791530
7_9,95550,321509,274365,60934,48831,18220,36792,2221,258,44,64912,788668
7_T,0,137258,145242,28296,20284,18392,18930,990,258,44,473844,868766
7_J,0,195210,239604,51722,48616,18216,36102,1980,258,44,23510,1097042
7_Q,0,205325,248406,52946,50251,18212,36102,1980,258,44,16206,1082574
7_K,0,204591,248406,52946,52101,18212,36102,1980,258,44,11575,1086089
7_A,0,205146,248406,52946,52101,18212,36102,1980,258,44,7499,1089610
2_8,105300,471665,312675,66386,45225,18212,37482,2221,258,44,35847,616989
3_8,214500,588801,251190,53394,33597,18257,20547,1256,258,44,122275,408185
4_8,99450,413173,293796,65818,45225,18212,36792,2221,258,44,35113,702202
5_8,89700,402003,291762,65438,45225,18212,36792,2221,258,44,34976,725673
6_8,85800,376854,283287,63954,44644,18216,36792,2221,258,44,48906,751328
7_8,85800,346455,274920,62086,37929,18220,36792,2221,258,44,56040,791539
8_8,0,137258,196443,44556,41361,16817,33342,2245,258,44,11266,1228714
8_9,95550,279110,266214,58234,42108,18224,36792,2221,258,44,68966,844583
8_T,0,137258,145242,28296,15204,18392,18930,990,258,44,358753,988937
8_J,0,188586,232203,50686,41893,18220,36102,1980,258,44,23538,1118794
8_Q,0,198701,241005,51910,43528,18216,36102,1980,258,44,16234,1104326
8_K,0,208816,249807,53134,45163,18212,36102,1980,258,44,11736,1087052
8_A,0,205880,248406,52946,45225,18212,36102,1980,258,44,7481,1095770
2_9,109200,469478,310842,66198,51031,18212,37482,2221,301,44,36027,611268
3_9,219375,585701,249536,53206,31801,18257,20547,1256,301,44,130532,401748
4_9,113100,422711,293241,66010,49243,18212,36792,2221,301,44,35293,675136
5_9,103350,395791,291207,65182,49243,18212,36792,2221,301,44,51354,698607
6_9,98475,360892,282732,63250,49637,18216,36792,2221,301,44,60034,739710
7_9,95550,321509,274365,60934,48815,18220,36792,2221,301,44,64918,788635
8_9,95550,279110,266214,58234,42100,18224,36792,2221,301,44,68965,844549
9_9,0,133588,191730,44368,44687,16827,33318,2245,301,44,9198,1235998
9_T,0,133588,144020,28108,22806,18392,18930,990,301,44,269577,1075548
9_J,0,178471,223509,49462,47852,18224,36102,1980,301,44,23389,1132970
9_Q,0,188586,232311,50686,49487,18220,36102,1980,301,44,16085,1118502
9_K,0,198701,241113,51910,51122,18216,36102,1980,301,44,11587,1101228
9_A,0,206614,248406,52946,50969,18212,36102,1980,301,44,7465,1089265
2_T,0,206418,175112,28574,19230,18392,20007,990,301,44,867795,375441
3_T,0,0,0,0,0,18392,0,0,301,44,1662869,30698
4_T,0,136524,144279,28386,17442,18392,18930,990,301,44,861225,485791
5_T,0,136524,144279,28386,17442,18392,18930,990,301,44,766141,580875
6_T,0,137258,144279,28386,19471,18392,18930,990,301,44,616192,728061
7_T,0,137258,144279,28386,20284,18392,18930,990,301,44,473722,869718
8_T,0,137258,144279,28386,15204,18392,18930,990,301,44,358656,989864
9_T,0,133588,143065,28198,22806,18392,18930,990,301,44,269513,1076477
T_T,0,0,0,31020,22806,18392,7932,990,301,44,57684,1573135
T_J,0,133588,143065,28198,22806,18392,18930,990,301,44,94494,1251496
T_Q,0,137258,144279,28386,22806,18392,18930,990,301,44,78632,1262286
T_K,0,140928,145493,28574,22806,18392,18930,990,301,44,61984,1273862
T_A,0,140928,145493,28574,21018,18392,18930,990,301,44,44308,1293326
2_J,0,248812,261504,52758,51031,18212,36792,1980,301,44,25263,1015607
3_J,0,133588,159248,28198,31801,18257,19479,990,301,44,98672,1221726
4_J,0,199077,245631,52570,49243,18212,36102,1980,301,44,24288,1084856
5_J,0,199077,245631,52570,49243,18212,36102,1980,301,44,24151,1084993
6_J,0,202568,247032,52758,49422,18212,36102,1980,301,44,23516,1080369
7_J,0,195210,239631,51722,48600,18216,36102,1980,301,44,23516,1096982
8_J,0,188586,232230,50686,41885,18220,36102,1980,301,44,23537,1118733
9_J,0,178471,223536,49462,47852,18224,36102,1980,301,44,23389,1132943
T_J,0,133588,144020,28108,22806,18392,18930,990,301,44,94534,1250591
J_J,0,0,64380,44368,44687,16827,27456,1978,301,44,7187,1505076
J_Q,0,142396,208236,49462,49702,18224,35412,1980,301,44,16349,1190198
J_K,0,149736,216612,50686,51337,18220,35412,1980,301,44,11851,1176125
J_A,0,154874,223587,51722,51184,18216,35412,1980,301,44,7729,1167255
2_Q,0,251569,262905,52946,52827,18212,36792,1980,301,44,18005,1016723
3_Q,0,137258,160470,28386,33597,18257,19479,990,301,44,74820,1238702
4_Q,0,201834,247032,52758,51039,18212,36102,1980,301,44,17030,1085972
5_Q,0,201834,247032,52758,51039,18212,36102,1980,301,44,16893,1086109
6_Q,0,201834,247032,52758,51280,18212,36102,1980,301,44,16079,1086682
7_Q,0,205325,248433,52946,50243,18212,36102,1980,301,44,16212,1082506
8_Q,0,198701,241032,51910,43528,18216,36102,1980,301,44,16233,1104257
9_Q,0,188586,232338,50686,49495,18220,36102,1980,301,44,16085,1118467
T_Q,0,137258,145242,28296,22806,18392,18930,990,301,44,78656,1261389
J_Q,0,142396,208236,49462,49710,18224,35412,1980,301,44,16349,1190190
Q_Q,0,0,64935,44556,48963,16817,27456,1978,301,44,6863,1500391
Q_K,0,151938,218013,50874,53133,18220,35412,1980,301,44,12019,1170370
Q_A,0,157076,224988,51910,52980,18216,35412,1980,301,44,7897,1161500
2_K,0,254326,264306,53134,54623,18212,36792,1980,301,44,13553,1015033
3_K,0,140928,161692,28574,35393,18257,19479,990,301,44,56530,1250116
4_K,0,204591,248433,52946,52835,18212,36102,1980,301,44,12578,1084282
5_K,0,204591,248433,52946,52835,18212,36102,1980,301,44,12441,1084419
6_K,0,204591,248433,52946,53076,18212,36102,1980,301,44,11627,1084992
7_K,0,204591,248433,52946,52101,18212,36102,1980,301,44,11581,1086013
8_K,0,208816,249834,53134,45171,18212,36102,1980,301,44,11735,1086975
9_K,0,198701,241140,51910,51138,18216,36102,1980,301,44,11587,1101185
T_K,0,140928,146464,28484,22806,18392,18930,990,301,44,61992,1272973
J_K,0,149736,216612,50686,51353,18220,35412,1980,301,44,11851,1176109
Q_K,0,151938,218013,50874,53141,18220,35412,1980,301,44,12019,1170362
K_K,0,0,65490,44744,53239,16807,27456,1978,301,44,6971,1495274
K_A,0,159278,226389,52098,54776,18216,35412,1980,301,44,8065,1155745
2_A,0,247523,257013,52100,54783,18212,36792,1980,258,44,9517,1034082
3_A,0,140928,161692,28574,37189,18257,19479,990,258,44,35877,1269016
4_A,0,200563,241458,51912,52995,18212,36102,1980,258,44,8542,1100238
5_A,0,200563,241458,51912,52995,18212,36102,1980,258,44,8405,1100375
6_A,0,208082,249834,53134,53022,18212,36102,1980,258,44,7731,1083905
7_A,0,205146,248433,52946,52109,18212,36102,1980,258,44,7498,1089576
8_A,0,205880,248433,52946,45241,18212,36102,1980,258,44,7473,1095735
9_A,0,206614,248433,52946,50993,18212,36102,1980,258,44,7458,1089264
T_A,0,140928,146464,28484,21018,18392,18930,990,258,44,44293,1292503
J_A,0,154874,223587,51722,51208,18216,35412,1980,258,44,7722,1167281
Q_A,0,157076,224988,51910,52996,18216,35412,1980,258,44,7890,1161534
K_A,0,159278,226389,52098,54784,18216,35412,1980,258,44,8058,1155787
A_A,0,0,65490,44744,53247,16797,27456,1978,258,44,6712,1495578
