vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,277452,309630,43992,106744,29206,39090,2174,344,0,43346,860326
2_3,86775,438399,303543,59338,110076,30631,38172,2157,344,0,88733,554136
2_4,96525,444574,298959,59434,100614,30631,38168,2157,344,0,88379,552519
2_5,167700,466947,230924,45058,90092,30676,20496,1184,344,0,249857,409026
2_6,110175,432857,289026,60940,91179,30631,37474,2157,344,0,87579,569942
2_7,114075,440190,295881,61974,91027,30631,37474,2157,344,0,87861,550690
2_8,48750,231335,183359,29124,78930,30811,20067,990,344,0,734289,354305
2_9,0,244673,257241,52286,99996,30631,36788,1980,344,0,70705,917660
2_T,0,238988,260433,52382,104199,30631,36792,1980,344,0,34974,951581
2_J,0,238988,260433,52382,110013,30631,36792,1980,344,0,23981,956760
2_Q,0,241745,261834,52570,110826,30631,36792,1980,344,0,17098,958484
2_K,0,245236,263235,52758,105746,30631,36792,1980,344,0,12646,962936
2_A,0,235716,254439,51536,111712,30631,36792,1980,344,0,8438,980716
2_3,86775,438399,303543,59338,110076,30674,38172,2157,301,0,89055,553814
3_3,0,277452,306174,43992,106744,29249,39042,2174,301,0,35896,871280
3_4,96525,434499,293337,58354,100614,30674,38168,2157,301,0,88367,569308
3_5,167700,466947,229529,45058,90092,30719,20496,1184,301,0,248981,411297
3_6,110175,418565,282558,59672,91179,30674,37474,2157,301,0,87567,591982
3_7,114075,425898,289413,60706,91027,30674,37474,2157,301,0,87849,572730
3_8,48750,231335,183215,29124,78930,30854,20067,990,301,0,732135,356603
3_9,0,244673,257241,52286,99996,30674,36788,1980,301,0,70693,917672
3_T,0,238988,260433,52382,104199,30674,36792,1980,301,0,34962,951593
3_J,0,238988,260433,52382,110013,30674,36792,1980,301,0,23969,956772
3_Q,0,241745,261834,52570,110826,30674,36792,1980,301,0,17086,958496
3_K,0,245236,263235,52758,105746,30674,36792,1980,301,0,12634,962948
3_A,0,235716,254439,51536,111712,30674,36792,1980,301,0,8426,980728
2_4,96525,444614,298965,59436,100556,30717,38172,2157,258,0,88903,552001
3_4,96525,434499,293337,58354,100556,30717,38172,2157,258,0,88569,569160
4_4,0,281856,300528,44180,83670,29301,38990,2174,258,0,29150,902197
4_5,167700,452607,219416,43788,82067,30765,20496,1184,258,0,246613,447410
4_6,110175,421895,265525,59600,82215,30721,37474,2157,258,0,87450,614834
4_7,114075,429228,272380,60634,82063,30721,37474,2157,258,0,87732,595582
4_8,53625,218286,175036,27856,70959,30897,20067,990,258,0,749467,364863
4_9,0,242286,257241,52192,90394,30717,36788,1980,258,0,71431,929017
4_T,0,237148,256395,52288,94679,30717,36792,1980,258,0,34810,967237
4_J,0,237148,256395,52288,100493,30717,36792,1980,258,0,23817,972416
4_Q,0,239905,257796,52476,101306,30717,36792,1980,258,0,16934,974140
4_K,0,243396,259197,52664,96226,30717,36792,1980,258,0,12482,978592
4_A,0,233876,250401,51442,102192,30717,36792,1980,258,0,8274,996372
2_6,110175,433473,289236,60944,91055,18210,37482,2157,259,0,88220,581093
3_6,110175,419133,282762,59674,91055,18210,37482,2157,259,0,87886,603511
4_6,110175,422463,265729,59602,82149,18214,37478,2157,259,0,87567,626511
5_6,195975,462917,207230,43028,72246,18261,20487,1184,259,0,233244,457473
6_6,0,147534,193452,44556,61070,16813,33382,2173,259,0,22537,1190528
6_7,109200,338837,233036,58324,73485,18222,36784,2157,259,0,129340,712660
6_8,0,113036,133316,25572,65017,18390,18990,990,259,0,617869,718865
6_9,0,194637,219726,51226,81816,18218,36098,1980,259,0,54355,1053989
6_T,0,193169,235788,51300,86682,18214,36102,1980,259,0,34037,1054773
6_J,0,204179,240972,52570,91144,18210,36102,1980,259,0,23037,1043851
6_Q,0,203445,240972,52570,92019,18210,36102,1980,259,0,15975,1050772
6_K,0,206936,242373,52758,86939,18210,36102,1980,259,0,11523,1055224
6_A,0,207670,242373,52758,92691,18210,36102,1980,259,0,7447,1052814
2_7,114075,440846,296097,61978,90895,18210,37482,2157,302,0,88510,561752
3_7,114075,426506,289623,60708,90895,18210,37482,2157,302,0,88176,584170
4_7,114075,429836,272590,60636,81989,18214,37478,2157,302,0,87857,607170
5_7,210600,474007,207689,43283,70450,18261,20487,1184,302,0,235844,430197
6_7,109200,338837,233036,58324,73477,18222,36784,2157,302,0,129340,712625
7_7,0,143130,189366,44556,61062,16823,33358,2173,302,0,17941,1203593
7_8,0,113036,133316,25572,66805,18390,18990,990,302,0,475453,859450
7_9,0,187279,212433,50190,81961,18222,36098,1980,302,0,54363,1069476
7_T,0,185811,228495,50264,86827,18218,36102,1980,302,0,34045,1070260
7_J,0,196821,233679,51534,91289,18214,36102,1980,302,0,23045,1059338
7_Q,0,206936,242373,52758,92190,18210,36102,1980,302,0,16116,1045337
7_K,0,206936,242373,52758,86931,18210,36102,1980,302,0,11485,1055227
7_A,0,204734,240972,52570,92745,18210,36102,1980,302,0,7230,1057459
2_8,48750,232263,182602,29214,78930,18390,20067,990,345,0,734743,366010
3_8,48750,232263,182458,29214,78930,18390,20067,990,345,0,732267,368630
4_8,53625,219166,174322,27944,70959,18390,20064,990,345,0,749461,377038
5_8,0,0,0,0,0,18390,0,0,345,0,1662542,31027
6_8,0,113036,132406,25658,65017,18390,18984,990,345,0,617894,719584
7_8,0,113036,132406,25658,66805,18390,18984,990,345,0,475493,860197
8_8,0,0,0,30644,81546,18390,7956,990,345,0,66470,1505963
8_9,0,123312,139939,26928,68721,18390,18987,990,345,0,170229,1144463
8_T,0,133588,147223,28198,48855,18390,18990,990,345,0,131123,1184602
8_J,0,133588,147223,28198,82506,18390,18990,990,345,0,100048,1182026
8_Q,0,137258,148437,28386,82506,18390,18990,990,345,0,78528,1198474
8_K,0,140928,149651,28574,82506,18390,18990,990,345,0,61180,1210750
8_A,0,137258,148437,28386,80718,18390,18990,990,345,0,48899,1229891
2_9,0,245321,257484,52288,99922,18210,36792,1980,387,0,71367,928553
3_9,0,245321,257484,52288,99922,18210,36792,1980,387,0,71033,928887
4_9,0,242886,257478,52192,90378,18210,36788,1980,387,0,71562,940443
5_9,0,123312,150764,26928,78716,18258,19419,990,387,0,174282,1119248
6_9,0,194637,219750,51224,81866,18218,36094,1980,387,0,54361,1053787
7_9,0,187279,212457,50188,82019,18222,36094,1980,387,0,54361,1069317
8_9,0,123312,140900,26840,68721,18390,18990,990,387,0,170229,1143545
9_9,0,0,61050,44180,83760,16824,27452,1978,387,0,11245,1465428
9_T,0,135790,207408,48946,90686,18222,35412,1980,387,0,31886,1141587
9_J,0,143130,211746,50028,100407,18218,35412,1980,387,0,22658,1128338
9_Q,0,150470,220122,51252,101308,18214,35412,1980,387,0,15937,1117222
9_K,0,157810,228390,52476,97692,18210,35412,1980,387,0,11583,1108364
9_A,0,159278,227835,52476,101710,18210,35412,1980,387,0,7328,1107688
2_T,0,239628,260676,52382,104183,18210,36792,1980,387,0,35642,962424
3_T,0,239628,260676,52382,104183,18210,36792,1980,387,0,35308,962758
4_T,0,237748,256632,52286,94721,18210,36788,1980,387,0,34954,978598
5_T,0,133588,158492,28198,86741,18255,19419,990,387,0,127574,1138660
6_T,0,193169,235815,51296,86790,18214,36094,1980,387,0,34049,1054510
7_T,0,185811,228522,50260,86943,18218,36094,1980,387,0,34049,1070040
8_T,0,133588,148232,28108,48855,18390,18990,990,387,0,131169,1183595
9_T,0,135790,207408,48944,90744,18222,35408,1980,387,0,31885,1141536
T_T,0,0,64380,43992,101396,16815,27456,1978,387,0,8191,1447709
T_J,0,132120,212691,49746,103693,18218,35412,1980,387,0,20107,1137950
T_Q,0,139460,221067,50970,104594,18214,35412,1980,387,0,15533,1124687
T_K,0,146800,229335,52194,100978,18210,35412,1980,387,0,11387,1115621
T_A,0,148268,228780,52194,105971,18210,35412,1980,387,0,7276,1113826
2_J,0,239628,260676,52382,109997,18210,36792,1980,430,0,24648,967561
3_J,0,239628,260676,52382,109997,18210,36792,1980,430,0,24314,967895
4_J,0,237748,256632,52286,100535,18210,36788,1980,430,0,23960,983735
5_J,0,133588,158492,28198,86741,18255,19419,990,430,0,101316,1164875
6_J,0,204179,240999,52566,91252,18210,36094,1980,430,0,23055,1043539
7_J,0,196821,233706,51530,91405,18214,36094,1980,430,0,23055,1059069
8_J,0,133588,148232,28108,82506,18390,18990,990,430,0,100083,1180987
9_J,0,143130,211746,50026,100465,18218,35408,1980,430,0,22663,1128238
T_J,0,132120,212691,49746,103693,18218,35412,1980,430,0,20106,1137908
J_J,0,0,64380,43992,107210,16805,27456,1978,430,0,6823,1443230
J_Q,0,139460,221067,50970,110408,18214,35412,1980,430,0,15521,1118842
J_K,0,146800,229335,52194,106792,18210,35412,1980,430,0,11375,1109776
J_A,0,148268,228780,52194,111785,18210,35412,1980,430,0,7264,1107981
2_Q,0,242385,262077,52570,110818,18210,36792,1980,430,0,17765,969277
3_Q,0,242385,262077,52570,110818,18210,36792,1980,430,0,17431,969611
4_Q,0,240505,258033,52474,101356,18210,36788,1980,430,0,17077,985451
5_Q,0,137258,159714,28386,87562,18255,19419,990,430,0,78332,1181958
6_Q,0,203445,240999,52566,92135,18210,36094,1980,430,0,15993,1050452
7_Q,0,206936,242400,52754,92314,18210,36094,1980,430,0,16126,1045060
8_Q,0,137258,149454,28296,82506,18390,18990,990,430,0,78553,1197437
9_Q,0,150470,220122,51250,101374,18214,35408,1980,430,0,15942,1117114
T_Q,0,139460,221067,50970,104602,18214,35412,1980,430,0,15532,1124637
J_Q,0,139460,221067,50970,110416,18214,35412,1980,430,0,15521,1118834
Q_Q,0,0,64935,44180,110511,16795,27456,1978,430,0,6499,1439520
Q_K,0,149736,230736,52382,101720,18210,35412,1980,430,0,11543,1110155
Q_A,0,150470,230181,52382,112606,18210,35412,1980,430,0,7432,1103201
2_K,0,245876,263478,52758,105746,18210,36792,1980,430,0,13313,973721
3_K,0,245876,263478,52758,105746,18210,36792,1980,430,0,12979,974055
4_K,0,243996,259434,52662,96284,18210,36788,1980,430,0,12625,989895
5_K,0,140928,160936,28574,82490,18255,19419,990,430,0,60042,1200240
6_K,0,206936,242400,52754,87063,18210,36094,1980,430,0,11541,1054896
7_K,0,206936,242400,52754,87063,18210,36094,1980,430,0,11495,1054942
8_K,0,140928,150676,28484,82506,18390,18990,990,430,0,61195,1209715
9_K,0,157810,228390,52474,97758,18210,35408,1980,430,0,11588,1108256
T_K,0,146800,229335,52194,100986,18210,35412,1980,430,0,11386,1115571
J_K,0,146800,229335,52194,106800,18210,35412,1980,430,0,11375,1109768
Q_K,0,149736,230736,52382,101720,18210,35412,1980,430,0,11543,1110155
K_K,0,0,65490,44368,107678,16785,27456,1978,430,0,6607,1441512
K_A,0,153406,231582,52570,107534,18210,35412,1980,430,0,7600,1103580
2_A,0,236316,254676,51536,111712,18210,36792,1980,387,0,9098,991597
3_A,0,236316,254676,51536,111712,18210,36792,1980,387,0,8764,991931
4_A,0,234436,250632,51440,102250,18210,36788,1980,387,0,8410,1007771
5_A,0,137258,159714,28386,90092,18255,19419,990,387,0,39210,1218593
6_A,0,207670,242400,52754,92815,18210,36094,1980,387,0,7466,1052528
7_A,0,204734,240999,52566,92877,18210,36094,1980,387,0,7233,1057224
8_A,0,137258,149454,28296,80718,18390,18990,990,387,0,48889,1228932
9_A,0,159278,227835,52474,101784,18210,35408,1980,387,0,7326,1107622
T_A,0,148268,228780,52194,105987,18210,35412,1980,387,0,7268,1113818
J_A,0,148268,228780,52194,111801,18210,35412,1980,387,0,7257,1108015
Q_A,0,150470,230181,52382,112614,18210,35412,1980,387,0,7425,1103243
K_A,0,153406,231582,52570,107534,18210,35412,1980,387,0,7593,1103630
A_A,0,0,64935,44180,111012,16785,27456,1978,387,0,6231,1439340
