vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,292132,348123,44744,42319,29327,39174,2390,215,44,10387,903449
2_3,104325,503060,336909,66816,41375,30746,38256,2349,215,44,9714,578495
2_4,108225,499967,334644,66628,39587,30746,38256,2349,215,44,9314,582329
2_5,112125,497608,332487,66440,37799,30746,38256,2349,215,44,8998,585237
2_6,203775,608718,335849,59107,8577,30787,20676,1400,215,44,51720,391436
2_7,113100,483173,330330,69074,37826,30742,37566,2349,215,44,8037,599848
2_8,105300,478705,329790,69074,39676,30742,37566,2349,215,44,7763,611080
2_9,101400,480509,330759,69262,41464,30742,37566,2349,215,44,7927,610067
2_T,98475,477533,330435,69262,40248,30742,37566,2349,215,44,7915,617520
2_J,98475,481571,331620,69450,35168,30742,37566,2349,215,44,8083,617021
2_Q,98475,481571,331512,69450,42770,30742,37566,2349,215,44,8072,609538
2_K,101400,484539,331512,69450,42770,30742,37566,2349,215,44,8302,603415
2_A,96525,288225,193442,31339,36222,30922,20097,990,215,44,621938,392345
2_3,104325,503060,336909,66816,41375,30788,38256,2349,172,44,10028,578182
3_3,0,288462,336354,44556,38051,29369,39126,2390,172,44,9483,924297
3_4,108225,487117,324558,65406,37951,30788,38256,2349,172,44,9162,608276
3_5,112125,484758,322401,65218,36163,30788,38256,2349,172,44,8846,611184
3_6,194025,594528,331387,58664,8577,30829,20676,1400,172,44,49715,422287
3_7,113100,473098,320670,67852,36190,30784,37566,2349,172,44,7885,622594
3_8,110175,479650,328926,69074,37826,30784,37566,2349,172,44,7751,607987
3_9,105300,477971,328494,69074,39676,30784,37566,2349,172,44,7728,613146
3_T,102375,474995,328170,69074,38460,30784,37566,2349,172,44,7716,620599
3_J,102375,479033,329355,69262,33380,30784,37566,2349,172,44,7884,620100
3_Q,102375,479033,329247,69262,40982,30784,37566,2349,172,44,7873,612617
3_K,105300,482001,329247,69262,40982,30784,37566,2349,172,44,8103,606494
3_A,96525,284008,191932,31151,34434,30964,20097,990,172,44,619741,402246
2_4,108225,499967,334644,66628,39587,30831,38256,2349,129,44,9829,581815
3_4,108225,487117,324558,65406,37951,30831,38256,2349,129,44,9363,608075
4_4,0,285526,325737,44368,33783,29412,39078,2390,129,44,8692,943145
4_5,112125,472463,312423,63996,34527,30831,38256,2349,129,44,8694,636467
4_6,184275,580338,327033,58221,8577,30872,20676,1400,129,44,47710,453029
4_7,113100,463578,311118,66630,34554,30827,37566,2349,129,44,7733,644676
4_8,110175,470130,319374,67852,36190,30827,37566,2349,129,44,7599,630069
4_9,110175,479650,327738,69074,37826,30827,37566,2349,129,44,7716,609210
4_T,106275,473191,326013,68886,36672,30827,37566,2349,129,44,7517,622835
4_J,106275,477229,327198,69074,31592,30827,37566,2349,129,44,7685,622336
4_Q,106275,477229,327090,69074,39194,30827,37566,2349,129,44,7674,614853
4_K,109200,480197,327090,69074,39194,30827,37566,2349,129,44,7904,608730
4_A,100425,281034,190422,30963,32646,31007,20097,990,129,44,618402,406145
2_5,112125,497608,332487,66440,37799,30874,38256,2349,86,44,9630,584606
3_5,112125,484758,322401,65218,36163,30874,38256,2349,86,44,9164,610866
4_5,112125,472463,312423,63996,34527,30874,38256,2349,86,44,8811,636350
5_5,0,282590,316272,44180,29515,29455,39030,2390,86,44,7985,960757
5_6,174525,566148,322787,57778,8577,30915,20676,1400,86,44,45705,483663
5_7,113100,454058,301674,65408,32918,30870,37566,2349,86,44,7581,666650
5_8,110175,460610,309930,66630,34554,30870,37566,2349,86,44,7447,652043
5_9,110175,470130,318294,67852,36190,30870,37566,2349,86,44,7564,631184
5_T,110175,474870,325365,68886,35063,30870,37566,2349,86,44,7505,619525
5_J,110175,475425,325149,68886,29804,30870,37566,2349,86,44,7486,624464
5_Q,110175,475425,325041,68886,37406,30870,37566,2349,86,44,7475,616981
5_K,113100,478393,325041,68886,37406,30870,37566,2349,86,44,7705,610858
5_A,102375,276817,188912,30775,30858,31050,20097,990,86,44,621339,408961
2_7,113100,483813,330546,69074,37826,18338,37566,2349,86,44,8730,610832
3_7,113100,473698,320880,67852,36190,18338,37566,2349,86,44,8264,633937
4_7,113100,464138,311322,66630,34554,18338,37566,2349,86,44,7911,656266
5_7,113100,454578,301872,65408,32918,18338,37566,2349,86,44,7642,678403
6_7,175500,566148,313256,57778,8577,18383,20667,1400,86,44,36705,513760
7_7,0,151938,208830,44368,29997,16913,33450,2389,86,44,6334,1217955
7_8,99450,409503,286302,65216,34947,18338,36876,2349,86,44,6524,752669
7_9,99450,416288,294246,66438,36583,18338,36876,2349,86,44,6641,734965
7_T,99450,418293,300897,67472,35456,18338,36876,2349,86,44,6582,726461
7_J,99450,425633,309057,68694,31833,18338,36876,2349,86,44,6703,713241
7_Q,109200,437358,310227,69074,37647,18338,36876,2349,86,44,6684,684421
7_K,109200,362358,310227,66386,37647,18338,36876,2349,86,44,84361,684432
7_A,0,135056,150176,28108,31099,18518,19020,990,86,44,481677,847530
2_8,105300,479345,330006,69074,39676,18338,37566,2349,129,44,8471,622006
3_8,110175,480290,329142,69074,37826,18338,37566,2349,129,44,8137,619234
4_8,110175,470730,319584,67852,36190,18338,37566,2349,129,44,7784,641563
5_8,110175,461170,310134,66630,34554,18338,37566,2349,129,44,7515,663700
6_8,181350,577611,314937,58221,8577,18383,20667,1400,129,44,38395,492590
7_8,99450,409503,286302,65216,34947,18338,36876,2349,129,44,6523,752627
8_8,0,150470,203085,44556,34265,16913,33426,2389,129,44,5975,1221052
8_9,89700,404563,292536,66058,38371,18338,36876,2349,129,44,6623,756717
8_T,89700,406568,299187,67092,37244,18338,36876,2349,129,44,6564,748213
8_J,89700,413908,307347,68314,33621,18338,36876,2349,129,44,6685,734993
8_Q,99450,352133,308517,66774,39435,18338,36876,2349,129,44,82086,706173
8_K,105300,329115,311196,64782,39435,18338,36876,2349,129,44,44626,760114
8_A,0,137992,151398,28296,32887,18518,19020,990,129,44,355986,967044
2_9,101400,481157,330975,69262,41464,18338,37566,2349,172,44,8642,620935
3_9,105300,478611,328710,69074,39676,18338,37566,2349,172,44,8129,624335
4_9,110175,480290,327954,69074,37826,18338,37566,2349,172,44,7908,620608
5_9,110175,470730,318504,67852,36190,18338,37566,2349,172,44,7639,642745
6_9,191100,591801,316726,58664,8577,18383,20667,1400,172,44,40336,464434
7_9,99450,416288,294246,66438,36583,18338,36876,2349,172,44,6647,734873
8_9,89700,404563,292536,66058,38371,18338,36876,2349,172,44,6622,756675
9_9,0,149736,198600,44744,38533,16913,33402,2389,172,44,6118,1221653
9_T,77025,396655,298986,66900,38057,18338,36876,2349,172,44,6735,770167
9_J,77025,331245,307146,65818,34434,18338,36876,2349,172,44,81910,756947
9_Q,85800,307720,308316,64022,41223,18338,36876,2349,172,44,43879,803565
9_K,91650,287702,310995,62350,41223,18338,36876,2349,172,44,42245,818360
9_A,0,141662,152620,28484,34675,18518,19020,990,172,44,262218,1053901
2_T,98475,478189,330651,69262,40240,18338,37566,2349,214,44,8637,628339
3_T,102375,475643,328386,69074,38452,18338,37566,2349,214,44,8124,631739
4_T,106275,473831,326229,68886,36664,18338,37566,2349,214,44,7724,634184
5_T,110175,475510,325581,68886,35055,18338,37566,2349,214,44,7587,630999
6_T,200850,601032,317401,58919,6540,18383,20667,1400,214,44,42101,444753
7_T,99450,418293,300897,67472,35448,18338,36876,2349,214,44,6595,726328
8_T,89700,406568,299187,67092,37236,18338,36876,2349,214,44,6570,748130
9_T,77025,396655,298986,66900,38049,18338,36876,2349,214,44,6734,770134
T_T,0,144598,193974,44744,37068,16923,33378,2389,214,44,5909,1233063
T_J,77025,284816,297702,62418,27532,18342,36876,2349,214,44,40939,864047
T_Q,82875,262807,298872,60558,40214,18342,36876,2349,214,44,38368,870785
T_K,88725,251039,301551,58438,40214,18342,36876,2349,214,44,31484,883028
T_A,0,140928,152620,28484,35488,18518,19020,990,214,44,176873,1139125
2_J,98475,482235,331836,69450,35160,18338,37566,2349,214,44,8812,627825
3_J,102375,479689,329571,69262,33372,18338,37566,2349,214,44,8299,631225
4_J,106275,477877,327414,69074,31584,18338,37566,2349,214,44,7899,633670
5_J,110175,476065,325365,68886,29796,18338,37566,2349,214,44,7583,635923
6_J,210600,615222,319406,59362,6540,18383,20667,1400,214,44,44046,416420
7_J,99450,425633,309057,68694,31825,18338,36876,2349,214,44,6723,713101
8_J,89700,413908,307347,68314,33613,18338,36876,2349,214,44,6698,734903
9_J,77025,331245,307146,65818,34426,18338,36876,2349,214,44,81916,756907
T_J,77025,284816,297702,62418,27532,18342,36876,2349,214,44,40938,864048
J_J,0,144598,192009,44932,34227,16923,33354,2389,214,44,6060,1237554
J_Q,82875,247548,300165,58122,35134,18342,36876,2349,214,44,28427,902208
J_K,88725,243280,302844,55554,35134,18342,36876,2349,214,44,21543,907399
J_A,0,144598,153842,28672,30408,18518,19020,990,214,44,128746,1187252
2_Q,98475,482235,331728,69450,42762,18338,37566,2349,257,44,8800,620300
3_Q,102375,479689,329463,69262,40974,18338,37566,2349,257,44,8287,623700
4_Q,106275,477877,327306,69074,39186,18338,37566,2349,257,44,7887,626145
5_Q,110175,476065,325257,68886,37398,18338,37566,2349,257,44,7571,628398
6_Q,210600,615222,319298,59362,6540,18383,20667,1400,257,44,51618,408913
7_Q,109200,437358,310227,69074,37639,18338,36876,2349,257,44,6711,684231
8_Q,99450,352133,308517,66774,39427,18338,36876,2349,257,44,82106,706033
9_Q,85800,307720,308316,64022,41215,18338,36876,2349,257,44,43892,803475
T_Q,82875,262807,298872,60558,40214,18342,36876,2349,257,44,38374,870736
J_Q,82875,247548,300165,58122,35134,18342,36876,2349,257,44,28426,902166
Q_Q,0,144598,190749,44932,41829,16923,33330,2389,257,44,6086,1231167
Q_K,88725,243280,302844,52098,42736,18342,36876,2349,257,44,10665,914088
Q_A,0,144598,153842,28672,38010,18518,19020,990,257,44,94282,1214071
2_K,101400,485203,331728,69450,42762,18338,37566,2349,257,44,9030,614177
3_K,105300,482657,329463,69262,40974,18338,37566,2349,257,44,8517,617577
4_K,109200,480845,327306,69074,39186,18338,37566,2349,257,44,8117,620022
5_K,113100,479033,325257,68886,37398,18338,37566,2349,257,44,7801,622275
6_K,214500,617949,319298,59362,6540,18383,20667,1400,257,44,51830,402074
7_K,109200,362358,310227,66386,37639,18338,36876,2349,257,44,84388,684242
8_K,105300,329115,311196,64782,39427,18338,36876,2349,257,44,44646,759974
9_K,91650,287702,310995,62350,41215,18338,36876,2349,257,44,42258,818270
T_K,88725,251039,301551,58438,40214,18342,36876,2349,257,44,31490,882979
J_K,88725,243280,302844,55554,35134,18342,36876,2349,257,44,21542,907357
Q_K,88725,243280,302844,52098,42736,18342,36876,2349,257,44,10665,914088
K_K,0,145332,190749,44932,41829,16923,33306,2389,257,44,6354,1230189
