vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,296536,339894,45120,54189,29266,39162,2318,301,44,20555,884919
2_3,78975,507864,342429,68430,52401,30691,38244,2285,301,44,17889,572751
2_4,78975,503271,340164,68242,50613,30691,38244,2285,301,44,17489,581985
2_5,81900,500912,338007,68054,48825,30691,38244,2285,301,44,17173,585868
2_6,95550,515605,338493,68434,47037,30691,38244,2285,301,44,16503,559117
2_7,205725,617454,299352,58534,23781,30736,20616,1328,301,44,85408,369025
2_8,105300,478705,321618,68626,47278,30691,37554,2285,301,44,16432,603470
2_9,105300,477963,321186,68626,47278,30691,37554,2285,301,44,16417,604659
2_T,106275,477221,320862,68626,47037,30691,37554,2285,301,44,16405,605003
2_J,102375,479759,322047,68814,48091,30691,37554,2285,301,44,16573,603770
2_Q,158925,368381,203547,34452,30408,30871,20127,990,301,44,494349,369909
2_K,0,299278,269997,54854,50613,30691,36864,1980,301,44,45704,921978
2_A,0,267311,269151,53706,52401,30691,36864,1980,301,44,30552,969303
2_3,78975,507864,342429,68430,52401,30691,38244,2285,258,44,18203,572480
3_3,0,292866,330429,44932,49921,29266,39114,2318,258,44,17347,905809
3_4,78975,490421,330078,67020,48977,30691,38244,2285,258,44,17337,607974
3_5,81900,488062,327921,66832,47189,30691,38244,2285,258,44,17021,611857
3_6,95550,502755,328407,67212,45401,30691,38244,2285,258,44,16351,585106
3_7,195975,603264,295172,58091,23781,30736,20616,1328,258,44,83121,399918
3_8,105300,478150,320754,68626,45428,30691,37554,2285,258,44,16420,606794
3_9,105300,473925,318921,68438,45490,30691,37554,2285,258,44,16218,613180
3_T,106275,473183,318597,68438,45249,30691,37554,2285,258,44,16206,613524
3_J,102375,475721,319782,68626,46303,30691,37554,2285,258,44,16374,612291
3_Q,158925,364164,201893,34264,28620,30871,20127,990,258,44,492296,379852
3_K,0,295240,268596,54666,48825,30691,36864,1980,258,44,45505,929635
3_A,0,263273,267750,53518,50613,30691,36864,1980,258,44,30353,976960
2_4,78975,503271,340164,68242,50613,30733,38244,2285,215,44,18004,581514
3_4,78975,490421,330078,67020,48977,30733,38244,2285,215,44,17538,607774
4_4,0,289930,321828,44744,45653,29308,39066,2318,215,44,14540,924658
4_5,81900,475767,317943,65610,45553,30733,38244,2285,215,44,16869,637141
4_6,95550,490460,318429,65990,43765,30733,38244,2285,215,44,16199,610390
4_7,186225,589074,291100,57648,23781,30778,20616,1328,215,44,80834,430661
4_8,105300,468630,311202,67404,43792,30733,37554,2285,215,44,16268,628877
4_9,109200,475604,318165,68438,43640,30733,37554,2285,215,44,16206,610220
4_T,109200,471379,316440,68250,43461,30733,37554,2285,215,44,16007,616736
4_J,105300,473917,317625,68438,44515,30733,37554,2285,215,44,16175,615503
4_Q,162825,361940,200239,34076,26832,30913,20127,990,215,44,490351,383752
4_K,0,292686,267195,54478,47037,30733,36864,1980,215,44,46056,935016
4_A,0,259969,266349,53330,48825,30733,36864,1980,215,44,30904,983091
2_5,81900,500912,338007,68054,48825,30776,38244,2285,172,44,17805,585280
3_5,81900,488062,327921,66832,47189,30776,38244,2285,172,44,17339,611540
4_5,81900,475767,317943,65610,45553,30776,38244,2285,172,44,16986,637024
5_5,0,286994,314091,44556,41385,29351,39018,2318,172,44,12105,942270
5_6,95550,478165,308559,64768,42129,30776,38244,2285,172,44,16047,635565
5_7,176475,574884,287136,57205,23781,30821,20616,1328,172,44,78547,461295
5_8,105300,459110,301758,66182,42156,30776,37554,2285,172,44,16116,650851
5_9,109200,466084,308721,67216,42004,30776,37554,2285,172,44,16054,632194
5_T,114075,473058,315792,68250,41611,30776,37554,2285,172,44,15995,612692
5_J,109200,472113,315576,68250,42727,30776,37554,2285,172,44,15976,617631
5_Q,167700,358966,198585,33888,25044,30956,20127,990,172,44,489264,386568
5_K,0,289382,265794,54290,45249,30776,36864,1980,172,44,46607,941146
5_A,0,245415,264948,52758,47037,30776,36864,1980,172,44,42339,989971
2_6,95550,515605,338493,68434,47037,30862,38244,2285,129,44,17196,558425
3_6,95550,502755,328407,67212,45401,30862,38244,2285,129,44,16730,584685
