vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,290664,342507,44744,70018,29282,39198,2354,258,44,14996,878239
2_3,73125,493780,343890,68310,70840,30707,38280,2317,258,44,13038,577715
2_4,73125,493780,343026,68310,70840,30707,38280,2317,258,44,12817,578800
2_5,73125,489187,340869,68122,69052,30707,38280,2317,258,44,12501,587842
2_6,85800,503880,341355,68502,67264,30707,38280,2317,258,44,11831,562066
2_7,95550,515605,342093,68882,65476,30707,38280,2317,258,44,11785,541307
2_8,95550,515605,341661,68882,65476,30707,38280,2317,258,44,11760,541764
2_9,199875,605991,315788,59107,42220,30752,20646,1364,258,44,63911,372348
2_T,109200,481647,321276,68978,56014,30707,37586,2317,258,44,11841,592436
2_J,105300,483451,322569,69166,57802,30707,37586,2317,258,44,12009,591095
2_Q,101400,485255,323862,69354,59590,30707,37586,2317,258,44,12177,589754
2_K,199875,502415,222953,41392,56457,30887,20187,990,258,44,263639,373207
2_A,0,354562,269061,57422,65026,30707,36900,1980,258,44,42713,853631
2_3,73125,493780,343890,68310,70840,30665,38280,2317,258,44,13359,577436
3_3,0,289196,333291,44744,70018,29240,39150,2354,258,44,12823,891186
3_4,67275,479696,339483,67742,70840,30665,38280,2317,258,44,12625,603079
3_5,67275,475103,337326,67554,69052,30665,38280,2317,258,44,12309,612121
3_6,79950,489796,337812,67934,67264,30665,38280,2317,258,44,11639,586345
3_7,89700,501521,338550,68314,65476,30665,38280,2317,258,44,11593,565586
3_8,95550,515605,340797,68882,65476,30665,38280,2317,258,44,11747,542683
3_9,195975,603264,313688,59107,42220,30710,20646,1364,258,44,63498,381530
3_T,106275,478679,320412,68978,56014,30665,37586,2317,258,44,11587,599489
3_J,102375,480483,321705,69166,57802,30665,37586,2317,258,44,11755,598148
3_Q,98475,482287,322998,69354,59590,30665,37586,2317,258,44,11923,596807
3_K,195975,499688,222233,41392,56457,30845,20187,990,258,44,261819,382416
3_A,0,351594,269061,57422,65026,30665,36900,1980,258,44,42459,856895
2_4,73125,493780,343026,68310,70840,30665,38280,2317,258,44,13347,578312
