vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,284792,339972,44368,94183,29323,39222,2354,172,88,15132,862698
2_3,70200,482664,341355,67742,95827,30748,38304,2317,172,88,13174,569713
2_4,67275,479696,340491,67742,95827,30748,38304,2317,172,88,12712,576932
2_5,64350,476728,339735,67742,95827,30748,38304,2317,172,88,12334,583959
2_6,73125,493780,341622,68310,95827,30748,38304,2317,172,88,11843,556168
2_7,78975,503271,342360,68690,94039,30748,38304,2317,172,88,11797,541543
2_8,78975,503271,341928,68690,94039,30748,38304,2317,172,88,11772,542000
2_9,90675,512414,337884,68786,84577,30748,38300,2317,172,88,11865,534478
2_T,108225,526898,334203,69070,72907,30748,38296,2317,172,88,12105,517275
2_J,193050,594528,314089,58664,75863,30793,20646,1364,172,88,55038,368009
2_Q,107250,492820,319689,69258,74936,30748,37606,2317,172,88,12503,564917
2_K,193050,577834,247498,49749,83481,30928,20247,990,172,88,139406,368861
2_A,0,414498,264792,62066,86365,30748,36920,1980,172,88,22871,791804
2_3,70200,482664,341355,67742,95827,30706,38304,2317,172,88,13495,569434
3_3,0,283324,330756,44368,94183,29281,39174,2354,172,88,12959,875645
3_4,61425,465612,336948,67174,95827,30706,38304,2317,172,88,12520,601211
3_5,58500,462644,336192,67174,95827,30706,38304,2317,172,88,12142,608238
3_6,67275,479696,338079,67742,95827,30706,38304,2317,172,88,11651,580447
3_7,73125,489187,338817,68122,94039,30706,38304,2317,172,88,11605,565822
3_8,78975,503271,341064,68690,94039,30706,38304,2317,172,88,11759,542919
3_9,87750,509446,337020,68786,84577,30706,38300,2317,172,88,11611,541531
3_T,105300,523930,333339,69070,72907,30706,38296,2317,172,88,11851,524328
3_J,189150,591801,311989,58664,75863,30751,20646,1364,172,88,54625,377191
3_Q,104325,489852,318825,69258,74936,30706,37606,2317,172,88,12249,571970
3_K,189150,575107,246490,49749,83481,30886,20247,990,172,88,137874,378070
3_A,0,411530,264792,62066,86365,30706,36920,1980,172,88,22617,795068
2_4,67275,479696,340491,67742,95827,30664,38304,2317,172,88,13241,576487
3_4,61425,465612,336948,67174,95827,30664,38304,2317,172,88,12728,601045
4_4,0,281856,322548,44368,94183,29239,39126,2354,172,88,11043,887327
4_5,52650,448560,332757,66606,95827,30664,38304,2317,172,88,11950,632409
4_6,61425,465612,334644,67174,95827,30664,38304,2317,172,88,11459,604618
4_7,67275,475103,335382,67554,94039,30664,38304,2317,172,88,11413,589993
4_8,73125,489187,337629,68122,94039,30664,38304,2317,172,88,11567,567090
4_9,87750,509446,336264,68786,84577,30664,38300,2317,172,88,11598,542342
4_T,102375,520962,332583,69070,72907,30664,38296,2317,172,88,11597,531273
4_J,185250,589074,309997,58664,75863,30709,20646,1364,172,88,54212,386265
4_Q,101400,486884,318069,69258,74936,30664,37606,2317,172,88,11995,578915
4_K,185250,572380,245482,49749,83481,30844,20247,990,172,88,136450,387171
4_A,0,408562,264792,62066,86365,30664,36920,1980,172,88,22363,798332
2_5,64350,476728,339735,67742,95827,30622,38304,2317,172,88,12987,583432
3_5,58500,462644,336192,67174,95827,30622,38304,2317,172,88,12474,607990
4_5,52650,448560,332757,66606,95827,30622,38304,2317,172,88,12074,632327
5_5,0,280388,315348,44368,94183,29197,39078,2354,172,88,9355,897773
5_6,55575,451528,331317,66606,95827,30622,38304,2317,172,88,11267,628681
5_7,61425,461019,332055,66986,94039,30622,38304,2317,172,88,11221,614056
5_8,67275,475103,334302,67554,94039,30622,38304,2317,172,88,11375,591153
5_9,81900,495362,332937,68218,84577,30622,38300,2317,172,88,11406,566405
5_T,102375,520962,331935,69070,72907,30622,38296,2317,172,88,11584,531976
