vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,292132,346290,44556,51280,29492,39258,2390,43,88,10559,896216
2_3,90675,502114,339834,67468,52946,30917,38340,2349,43,88,9886,577644
2_4,87750,499146,338970,67468,52946,30917,38340,2349,43,88,9424,584863
2_5,84825,496178,338214,67468,52946,30917,38340,2349,43,88,9046,591890
2_6,81900,510832,348189,68878,48768,30917,38340,2349,43,88,8310,573690
2_7,88725,519589,348927,69258,54582,30917,38340,2349,43,88,8015,551471
2_8,88725,519589,348495,69258,54582,30917,38340,2349,43,88,7990,551928
2_9,91650,522557,348171,69258,54582,30917,38340,2349,43,88,8216,546133
2_T,104325,530582,343680,69354,42912,30917,38336,2349,43,88,8312,541406
2_J,107250,533550,343680,69354,42912,30917,38336,2349,43,88,8542,535283
2_Q,110175,536518,343680,69354,42912,30917,38336,2349,43,88,8772,529160
2_K,215475,610996,334672,58829,48042,31097,20676,1400,43,88,22488,368498
2_A,200850,599982,277792,58664,42220,30962,20307,990,43,88,84925,395481
2_3,90675,502114,339834,67468,52946,30875,38340,2349,43,88,10207,577365
3_3,0,290664,335922,44556,51280,29450,39210,2390,43,88,9538,909163
3_4,81900,485062,335427,66900,52946,30875,38340,2349,43,88,9232,609142
3_5,78975,482094,334671,66900,52946,30875,38340,2349,43,88,8854,616169
3_6,76050,496748,344646,68310,48768,30875,38340,2349,43,88,8118,597969
3_7,82875,505505,345384,68690,54582,30875,38340,2349,43,88,7823,575750
3_8,88725,519589,347631,69258,54582,30875,38340,2349,43,88,7977,552847
3_9,88725,519589,347307,69258,54582,30875,38340,2349,43,88,7962,553186
3_T,101400,527614,342816,69354,42912,30875,38336,2349,43,88,8058,548459
3_J,104325,530582,342816,69354,42912,30875,38336,2349,43,88,8288,542336
3_Q,107250,533550,342816,69354,42912,30875,38336,2349,43,88,8518,536213
