vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,421200,560280,202133,16661,29362,150856,15602,86,88,9226,306810
2_3,0,483210,572022,196617,16661,30832,147762,15564,86,88,8757,240705
2_4,0,477842,570522,196124,16661,30832,147750,15564,86,88,8307,248528
2_5,0,472474,569022,195631,16661,30832,147738,15564,86,88,7941,256267
2_6,0,490539,578646,198840,16661,30832,147726,15564,86,88,7077,226245
2_7,0,502261,586770,201556,16661,30832,147714,15564,86,88,6981,203791
2_8,0,502261,586770,201556,16661,30832,147702,15564,86,88,6968,203816
2_9,0,503959,587424,198840,14811,30832,147681,15563,86,88,7089,205931
2_T,0,510532,589578,195631,12720,30832,147660,15562,86,88,7213,202402
2_J,0,515900,591078,196124,12720,30832,147648,15562,86,88,7455,194811
2_Q,0,521268,592578,196617,12720,30832,147636,15562,86,88,7697,187220
2_K,0,660484,705810,113337,0,31012,101470,0,86,88,26192,73825
2_A,0,363743,459942,197110,14811,30832,142071,15178,86,88,7876,480567
2_3,0,483210,572022,196617,16661,30790,147762,15564,86,88,9078,240426
3_3,0,416325,558780,201640,16661,29320,150536,15602,86,88,8421,314845
3_4,0,460752,560898,192915,16661,30790,147738,15564,86,88,8127,278685
3_5,0,455384,559398,192422,16661,30790,147726,15564,86,88,7761,286424
3_6,0,473449,569022,195631,16661,30790,147714,15564,86,88,6897,256402
3_7,0,485171,577146,198347,16661,30790,147702,15564,86,88,6801,233948
3_8,0,502261,586770,201556,16661,30790,147690,15564,86,88,6967,203871
3_9,0,498591,585924,198347,14811,30790,147669,15563,86,88,6847,213588
3_T,0,505164,588078,195138,12720,30790,147648,15562,86,88,6971,210059
3_J,0,510532,589578,195631,12720,30790,147636,15562,86,88,7213,202468
3_Q,0,515900,591078,196124,12720,30790,147624,15562,86,88,7455,194877
3_K,0,654875,704310,113085,0,30970,101458,0,86,88,25950,81482
3_A,0,359109,458442,196617,14811,30790,142059,15178,86,88,7634,487490
2_4,0,477842,570522,196124,16661,30748,147750,15564,86,88,8836,248083
3_4,0,460752,560898,192915,16661,30748,147738,15564,86,88,8335,278519
4_4,0,411450,557280,201147,16661,29278,150216,15602,86,88,7729,322767
4_5,0,438294,549774,189213,16661,30748,147714,15564,86,88,7581,316581
4_6,0,456359,559398,192422,16661,30748,147702,15564,86,88,6717,286559
4_7,0,468081,567522,195138,16661,30748,147690,15564,86,88,6621,264105
4_8,0,485171,577146,198347,16661,30748,147678,15564,86,88,6787,234028
4_9,0,498591,585924,198347,14811,30748,147657,15563,86,88,6846,213643
4_T,0,499796,586578,194645,12720,30748,147636,15562,86,88,6729,217716
4_J,0,505164,588078,195138,12720,30748,147624,15562,86,88,6971,210125
4_Q,0,510532,589578,195631,12720,30748,147612,15562,86,88,7213,202534
4_K,0,649266,702810,112833,0,30928,101446,0,86,88,25708,89139
4_A,0,354475,456942,196124,14811,30748,142047,15178,86,88,7392,494413
2_5,0,472474,569022,195631,16661,30706,147738,15564,86,88,8594,255740
3_5,0,455384,559398,192422,16661,30706,147726,15564,86,88,8093,286176
4_5,0,438294,549774,189213,16661,30706,147714,15564,86,88,7705,316499
5_5,0,406575,555780,200654,16661,29236,149896,15602,86,88,7121,330605
5_6,0,439269,549774,189213,16661,30706,147690,15564,86,88,6537,316716
5_7,0,450991,557898,191929,16661,30706,147678,15564,86,88,6441,294262
5_8,0,468081,567522,195138,16661,30706,147666,15564,86,88,6607,264185
5_9,0,481501,576300,195138,14811,30706,147645,15563,86,88,6666,243800
5_T,0,499796,586578,194645,12720,30706,147624,15562,86,88,6728,217771
5_J,0,499796,586578,194645,12720,30706,147612,15562,86,88,6729,217782
5_Q,0,505164,588078,195138,12720,30706,147600,15562,86,88,6971,210191
5_K,0,643657,701310,112581,0,30886,101434,0,86,88,25466,96796
5_A,0,349841,455442,195631,14811,30706,142035,15178,86,88,7150,501336
2_6,0,490539,578646,198840,16661,30707,147726,15564,86,88,7798,225649
3_6,0,473449,569022,195631,16661,30707,147714,15564,86,88,7297,256085
4_6,0,456359,559398,192422,16661,30707,147702,15564,86,88,6909,286408
5_6,0,439269,549774,189213,16661,30707,147690,15564,86,88,6605,316647
6_6,0,407550,555780,200654,16661,29237,149576,15602,86,88,6078,330992
6_7,0,440244,549774,189213,16661,30707,147666,15564,86,88,5528,316773
6_8,0,457334,559398,192422,16661,30707,147654,15564,86,88,5694,286696
6_9,0,470754,568176,192422,14811,30707,147633,15563,86,88,5753,266311
6_T,0,489049,578454,191929,12720,30707,147612,15562,86,88,5815,240282
6_J,0,506139,588078,195138,12720,30707,147600,15562,86,88,5995,210191
6_Q,0,506139,588078,195138,12720,30707,147588,15562,86,88,5996,210202
6_K,0,644632,701310,112581,0,30887,101422,0,86,88,24491,96807
6_A,0,364236,464220,198840,14811,30707,142023,15178,86,88,6354,475761
2_7,0,502261,586770,201556,16661,30707,147714,15564,86,88,7735,203162
3_7,0,485171,577146,198347,16661,30707,147702,15564,86,88,7234,233598
4_7,0,468081,567522,195138,16661,30707,147690,15564,86,88,6846,263921
5_7,0,450991,557898,191929,16661,30707,147678,15564,86,88,6542,294160
6_7,0,440244,549774,189213,16661,30707,147666,15564,86,88,5561,316740
7_7,0,407550,555780,200654,16661,29237,149256,15602,86,88,6043,331347
7_8,0,445612,551274,189706,16661,30707,147642,15564,86,88,5755,309209
7_9,0,459032,560052,189706,14811,30707,147621,15563,86,88,5814,288824
7_T,0,477327,570330,189213,12720,30707,147600,15562,86,88,5876,262795
7_J,0,494417,579954,192422,12720,30707,147588,15562,86,88,6056,232704
7_Q,0,511507,589578,195631,12720,30707,147576,15562,86,88,6236,202613
7_K,0,644632,701310,112581,0,30887,101410,0,86,88,24490,96820
7_A,0,359602,462720,198347,14811,30707,142011,15178,86,88,6112,482642
2_8,0,502261,586770,201556,16661,30749,147702,15564,86,88,7736,203131
3_8,0,502261,586770,201556,16661,30749,147690,15564,86,88,7414,203465
4_8,0,485171,577146,198347,16661,30749,147678,15564,86,88,7026,233788
5_8,0,468081,567522,195138,16661,30749,147666,15564,86,88,6722,264027
6_8,0,457334,559398,192422,16661,30749,147654,15564,86,88,5741,286607
7_8,0,445612,551274,189706,16661,30749,147642,15564,86,88,5769,309153
8_8,0,412425,557280,201147,16661,29279,148936,15602,86,88,6513,324287
8_9,0,450980,552774,190199,14811,30749,147609,15563,86,88,6056,303389
8_T,0,463666,561552,189706,12720,30749,147588,15562,86,88,6118,284469
8_J,0,480756,571176,192915,12720,30749,147576,15562,86,88,6298,254378
8_Q,0,497846,580800,196124,12720,30749,147564,15562,86,88,6478,224287
8_K,0,650241,702810,112833,0,30929,101398,0,86,88,24732,89187
8_A,0,364236,464220,198840,14811,30749,141999,15178,86,88,6354,475743
2_9,0,503959,587424,198840,14811,30791,147690,15564,43,88,7853,205241
3_9,0,498591,585924,198347,14811,30791,147678,15564,43,88,7290,213177
4_9,0,498591,585924,198347,14811,30791,147666,15564,43,88,7081,213398
5_9,0,481501,576300,195138,14811,30791,147654,15564,43,88,6777,243637
6_9,0,470754,568176,192422,14811,30791,147642,15564,43,88,5796,266217
7_9,0,459032,560052,189706,14811,30791,147630,15564,43,88,5824,288763
8_9,0,450980,552774,190199,14811,30791,147618,15564,43,88,6052,303384
9_9,0,417300,558780,198431,12269,29331,148607,15601,43,88,6751,325103
9_T,0,469034,562626,178058,11038,30795,147577,15562,43,88,6266,291217
9_J,0,486124,572250,181267,11038,30795,147565,15562,43,88,6446,261126
9_Q,0,503214,581874,184476,11038,30795,147553,15562,43,88,6626,231035
9_K,0,636821,694032,111384,0,30971,101386,0,43,88,22999,114580
9_A,0,364466,464874,199333,12899,30791,141987,15178,43,88,6596,476049
2_T,0,510532,589578,195631,12720,30876,147678,15564,43,44,7970,201668
3_T,0,505164,588078,195138,12720,30876,147666,15564,43,44,7407,209604
4_T,0,499796,586578,194645,12720,30876,147654,15564,43,44,6957,217427
5_T,0,499796,586578,194645,12720,30876,147642,15564,43,44,6832,217564
6_T,0,489049,578454,191929,12720,30876,147630,15564,43,44,5851,240144
7_T,0,477327,570330,189213,12720,30876,147618,15564,43,44,5879,262690
8_T,0,463666,561552,189706,12720,30876,147606,15564,43,44,6107,284420
9_T,0,469034,562626,178058,11038,30880,147586,15563,43,44,6259,291173
T_T,0,428025,561780,195222,7395,29426,148278,15600,43,44,6992,319499
T_J,0,495896,574170,165917,9177,30884,147554,15562,43,44,6594,266463
T_Q,0,512986,583794,169126,9177,30884,147542,15562,43,44,6774,236372
T_K,0,616817,683754,109683,0,31056,101374,0,43,44,21025,148508
T_A,0,369100,466374,183983,11038,30880,141976,15178,43,44,6744,486944
2_J,0,515900,591078,196124,12720,30918,147666,15564,43,44,8212,194035
3_J,0,510532,589578,195631,12720,30918,147654,15564,43,44,7649,201971
4_J,0,505164,588078,195138,12720,30918,147642,15564,43,44,7199,209794
5_J,0,499796,586578,194645,12720,30918,147630,15564,43,44,6833,217533
6_J,0,506139,588078,195138,12720,30918,147618,15564,43,44,6031,210011
7_J,0,494417,579954,192422,12720,30918,147606,15564,43,44,6059,232557
8_J,0,480756,571176,192915,12720,30918,147594,15564,43,44,6287,254287
9_J,0,486124,572250,181267,11038,30922,147574,15563,43,44,6439,261040
T_J,0,495896,574170,165917,9177,30926,147554,15562,43,44,6594,266421
J_J,0,432900,563280,195715,7395,29468,147958,15600,43,44,7476,312425
J_Q,0,518354,585294,169619,9177,30926,147530,15562,43,44,7016,228739
J_K,0,622426,685254,109935,0,31098,101362,0,43,44,21267,140875
J_A,0,373734,467874,184476,11038,30922,141964,15178,43,44,6986,480045
2_Q,0,521268,592578,196617,12720,30960,147654,15564,43,44,8454,186402
3_Q,0,515900,591078,196124,12720,30960,147642,15564,43,44,7891,194338
4_Q,0,510532,589578,195631,12720,30960,147630,15564,43,44,7441,202161
5_Q,0,505164,588078,195138,12720,30960,147618,15564,43,44,7075,209900
6_Q,0,506139,588078,195138,12720,30960,147606,15564,43,44,6032,209980
7_Q,0,511507,589578,195631,12720,30960,147594,15564,43,44,6239,202424
8_Q,0,497846,580800,196124,12720,30960,147582,15564,43,44,6467,224154
9_Q,0,503214,581874,184476,11038,30964,147562,15563,43,44,6619,230907
T_Q,0,512986,583794,169126,9177,30968,147542,15562,43,44,6774,236288
J_Q,0,518354,585294,169619,9177,30968,147530,15562,43,44,7016,228697
Q_Q,0,437775,564780,196208,7395,29510,147638,15600,43,44,7960,305351
Q_K,0,628035,686754,110187,0,31140,101350,0,43,44,21509,133242
Q_A,0,378368,469374,184969,11038,30964,141952,15178,43,44,7228,473146
2_A,0,363743,459942,197110,14811,18338,142080,15179,87,44,8640,492330
3_A,0,359109,458442,196617,14811,18338,142068,15179,87,44,8077,499532
4_A,0,354475,456942,196124,14811,18338,142056,15179,87,44,7627,506621
5_A,0,349841,455442,195631,14811,18338,142044,15179,87,44,7261,513626
6_A,0,364236,464220,198840,14811,18338,142032,15179,87,44,6397,488120
7_A,0,359602,462720,198347,14811,18338,142020,15179,87,44,6122,495034
8_A,0,364236,464220,198840,14811,18338,142008,15179,87,44,6350,488191
9_A,0,364466,464874,199333,12899,18338,141987,15178,87,44,6588,488510
T_A,0,369100,466374,183983,11038,18342,141967,15177,87,44,6743,499449
J_A,0,373734,467874,184476,11038,18342,141955,15177,87,44,6985,492592
Q_A,0,378368,469374,184969,11038,18342,141943,15177,87,44,7227,485735
K_A,0,411450,552348,111888,0,18518,93632,0,87,44,15019,509318
A_A,0,0,0,158253,12269,16878,102511,15135,87,44,7923,1399204
