vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,286260,339972,44368,86581,29365,39234,2354,129,88,15362,868591
2_3,73125,485632,341355,67742,88225,30790,38316,2317,129,88,13404,571181
2_4,70200,482664,340491,67742,88225,30790,38316,2317,129,88,12942,578400
2_5,67275,479696,339735,67742,88225,30790,38316,2317,129,88,12564,585427
2_6,73125,493780,341622,68310,88225,30790,38316,2317,129,88,11832,563770
2_7,78975,507864,343761,68878,88225,30790,38316,2317,129,88,11965,540996
2_8,78975,507864,343329,68878,88225,30790,38316,2317,129,88,11940,541453
2_9,87750,514765,339285,68974,78763,30790,38312,2317,129,88,12033,539098
2_T,104325,529249,335604,69258,67093,30790,38308,2317,129,88,12273,522870
2_J,107250,532217,335604,69258,67093,30790,38308,2317,129,88,12503,516747
2_Q,196950,596311,314107,58574,75879,30970,20646,1364,129,88,47690,369596
2_K,196950,597255,261889,54184,75863,30835,20277,990,129,88,105103,368741
2_A,0,428716,264792,65138,78763,30790,36932,1980,129,88,12235,792741
2_3,73125,485632,341355,67742,88225,30748,38316,2317,129,88,13725,570902
3_3,0,284792,330756,44368,86581,29323,39186,2354,129,88,13189,881538
3_4,64350,468580,336948,67174,88225,30748,38316,2317,129,88,12750,602679
3_5,61425,465612,336192,67174,88225,30748,38316,2317,129,88,12372,609706
3_6,67275,479696,338079,67742,88225,30748,38316,2317,129,88,11640,588049
3_7,73125,493780,340218,68310,88225,30748,38316,2317,129,88,11773,565275
3_8,78975,507864,342465,68878,88225,30748,38316,2317,129,88,11927,542372
3_9,84825,511797,338421,68974,78763,30748,38312,2317,129,88,11779,546151
3_T,101400,526281,334740,69258,67093,30748,38308,2317,129,88,12019,529923
3_J,104325,529249,334740,69258,67093,30748,38308,2317,129,88,12249,523800
3_Q,193050,593584,311983,58574,75879,30928,20646,1364,129,88,47274,378805
3_K,193050,594528,260761,54184,75863,30793,20277,990,129,88,103718,377923
3_A,0,425748,264792,65138,78763,30748,36932,1980,129,88,11981,796005
2_4,70200,482664,340491,67742,88225,30706,38316,2317,129,88,13471,577955
3_4,64350,468580,336948,67174,88225,30706,38316,2317,129,88,12958,602513
4_4,0,283324,322548,44368,86581,29281,39138,2354,129,88,11273,893220
4_5,55575,451528,332757,66606,88225,30706,38316,2317,129,88,12180,633877
4_6,61425,465612,334644,67174,88225,30706,38316,2317,129,88,11448,612220
