vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,416325,558780,201640,24504,29278,150616,15562,172,88,9022,306317
2_3,0,477842,570522,196124,24504,30748,147546,15528,172,88,8525,240705
2_4,0,472474,569022,195631,24504,30748,147534,15528,172,88,8075,248528
2_5,0,467106,567522,195138,24504,30748,147522,15528,172,88,7709,256267
2_6,0,485171,577146,198347,24504,30748,147510,15528,172,88,6845,226245
2_7,0,502261,586770,201556,24504,30748,147498,15528,172,88,6990,196189
2_8,0,498591,585924,198347,22654,30748,147477,15527,172,88,6860,205916
2_9,0,504923,588078,195631,20804,30748,147456,15526,172,88,6981,201897
2_T,0,512471,590232,192422,18713,30748,147435,15525,172,88,7105,197393
2_J,0,517839,591732,192915,18713,30748,147423,15525,172,88,7347,189802
2_Q,0,654875,702906,113085,0,30928,101058,0,172,88,35366,73826
2_K,0,378138,468720,196617,20804,30748,141822,15177,172,88,7718,452300
2_A,0,359109,458442,196617,22654,30748,141831,15178,172,88,7608,479857
2_3,0,477842,570522,196124,24504,30706,147546,15528,172,88,8846,240426
3_3,0,411450,557280,201147,24504,29236,150296,15562,172,88,8217,314352
3_4,0,455384,559398,192422,24504,30706,147522,15528,172,88,7895,278685
3_5,0,450016,557898,191929,24504,30706,147510,15528,172,88,7529,286424
3_6,0,468081,567522,195138,24504,30706,147498,15528,172,88,6665,256402
3_7,0,485171,577146,198347,24504,30706,147486,15528,172,88,6810,226346
3_8,0,498591,585924,198347,22654,30706,147465,15527,172,88,6859,205971
3_9,0,499555,586578,195138,20804,30706,147444,15526,172,88,6739,209554
3_T,0,507103,588732,191929,18713,30706,147423,15525,172,88,6863,205050
3_J,0,512471,590232,192422,18713,30706,147411,15525,172,88,7105,197459
3_Q,0,649266,701406,112833,0,30886,101046,0,172,88,35124,81483
3_K,0,373504,467220,196124,20804,30706,141810,15177,172,88,7476,459223
3_A,0,354475,456942,196124,22654,30706,141819,15178,172,88,7366,486780
2_4,0,472474,569022,195631,24504,30664,147534,15528,172,88,8604,248083
3_4,0,455384,559398,192422,24504,30664,147522,15528,172,88,8103,278519
4_4,0,406575,555780,200654,24504,29194,149976,15562,172,88,7525,322274
4_5,0,432926,548274,188720,24504,30664,147498,15528,172,88,7349,316581
4_6,0,450991,557898,191929,24504,30664,147486,15528,172,88,6485,286559
4_7,0,468081,567522,195138,24504,30664,147474,15528,172,88,6630,256503
4_8,0,481501,576300,195138,22654,30664,147453,15527,172,88,6679,236128
4_9,0,499555,586578,195138,20804,30664,147432,15526,172,88,6738,209609
4_T,0,501735,587232,191436,18713,30664,147411,15525,172,88,6621,212707
4_J,0,507103,588732,191929,18713,30664,147399,15525,172,88,6863,205116
4_Q,0,643657,699906,112581,0,30844,101034,0,172,88,34882,89140
4_K,0,368870,465720,195631,20804,30664,141798,15177,172,88,7234,466146
4_A,0,349841,455442,195631,22654,30664,141807,15178,172,88,7124,493703
2_5,0,467106,567522,195138,24504,30622,147522,15528,172,88,8362,255740
3_5,0,450016,557898,191929,24504,30622,147510,15528,172,88,7861,286176
4_5,0,432926,548274,188720,24504,30622,147498,15528,172,88,7473,316499
5_5,0,401700,554280,200161,24504,29152,149656,15562,172,88,6917,330112
5_6,0,433901,548274,188720,24504,30622,147474,15528,172,88,6305,316716
5_7,0,450991,557898,191929,24504,30622,147462,15528,172,88,6450,286660
5_8,0,464411,566676,191929,22654,30622,147441,15527,172,88,6499,266285
5_9,0,482465,576954,191929,20804,30622,147420,15526,172,88,6558,239766
5_T,0,501735,587232,191436,18713,30622,147399,15525,172,88,6620,212762
5_J,0,501735,587232,191436,18713,30622,147387,15525,172,88,6621,212773
5_Q,0,638048,698406,112329,0,30802,101022,0,172,88,34640,96797
5_K,0,364236,464220,195138,20804,30622,141786,15177,172,88,6992,473069
5_A,0,345207,453942,195138,22654,30622,141795,15178,172,88,6882,500626
2_6,0,485171,577146,198347,24504,30623,147510,15528,172,88,7566,225649
3_6,0,468081,567522,195138,24504,30623,147498,15528,172,88,7065,256085
4_6,0,450991,557898,191929,24504,30623,147486,15528,172,88,6677,286408
5_6,0,433901,548274,188720,24504,30623,147474,15528,172,88,6373,316647
6_6,0,402675,554280,200161,24504,29153,149336,15562,172,88,5874,330499
6_7,0,440244,549774,189213,24504,30623,147450,15528,172,88,5537,309171
6_8,0,453664,558552,189213,22654,30623,147429,15527,172,88,5586,288796
6_9,0,471718,568830,189213,20804,30623,147408,15526,172,88,5645,262277
6_T,0,490988,579108,188720,18713,30623,147387,15525,172,88,5707,235273
6_J,0,508078,588732,191929,18713,30623,147375,15525,172,88,5887,205182
6_Q,0,639023,698406,112329,0,30803,101010,0,172,88,33665,96808
6_K,0,365211,464220,195138,20804,30623,141774,15177,172,88,6017,473080
6_A,0,359602,462720,198347,22654,30623,141783,15178,172,88,6086,475051
2_7,0,502261,586770,201556,24504,30665,147498,15528,172,88,7745,195517
3_7,0,485171,577146,198347,24504,30665,147486,15528,172,88,7244,225953
4_7,0,468081,567522,195138,24504,30665,147474,15528,172,88,6856,256276
5_7,0,450991,557898,191929,24504,30665,147462,15528,172,88,6552,286515
6_7,0,440244,549774,189213,24504,30665,147450,15528,172,88,5571,309095
7_7,0,407550,555780,200654,24504,29195,149016,15562,172,88,6322,323461
7_8,0,445612,551274,189706,22654,30665,147417,15527,172,88,5827,303362
7_9,0,459032,560052,189706,20804,30665,147396,15526,172,88,5886,282977
7_T,0,477327,570330,189213,18713,30665,147375,15525,172,88,5948,256948
7_J,0,494417,579954,192422,18713,30665,147363,15525,172,88,6128,226857
7_Q,0,644632,699906,112581,0,30845,100998,0,172,88,33906,89176
7_K,0,369845,465720,195631,20804,30665,141762,15177,172,88,6258,466182
7_A,0,359602,462720,198347,22654,30665,141771,15178,172,88,6086,475021
2_8,0,498591,585924,198347,22654,30707,147486,15528,129,88,7621,205229
3_8,0,498591,585924,198347,22654,30707,147474,15528,129,88,7299,205563
4_8,0,481501,576300,195138,22654,30707,147462,15528,129,88,6911,235886
5_8,0,464411,566676,191929,22654,30707,147450,15528,129,88,6607,266125
