vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,268644,324642,43616,163851,29197,39186,2282,301,88,24610,815887
2_3,55575,451528,328329,65518,167139,30622,38268,2253,301,88,21428,551255
2_4,52650,448560,327465,65518,167139,30622,38268,2253,301,88,20966,558474
2_5,52650,448560,326709,65518,167139,30622,38268,2253,301,88,20829,559367
2_6,61425,465612,328596,66086,167139,30622,38268,2253,301,88,20338,531576
2_7,73125,483637,327015,66750,157677,30622,38264,2253,301,88,20338,512234
2_8,81900,493295,323673,67034,148215,30622,38260,2253,301,88,20324,506339
2_9,94575,506655,320295,67254,138753,30622,38256,2253,301,88,20769,492483
2_T,169650,563421,275591,55238,143149,30667,20586,1292,301,88,95189,357132
2_J,169650,520493,230843,44652,143181,30802,20217,990,301,88,193118,357969
2_Q,0,400440,257637,59314,138753,30622,36876,1980,301,88,44555,741738
2_K,0,362748,259983,57046,148215,30622,36880,1980,301,88,40531,773910
2_A,0,308332,260082,54594,157677,30622,36884,1980,301,88,42775,818969
2_3,55575,451528,328329,65518,167139,30580,38268,2253,301,88,21749,550976
3_3,0,267176,317730,43616,163851,29155,39138,2282,301,88,20133,828834
3_4,46800,434476,323922,64950,167139,30580,38268,2253,301,88,20774,582753
3_5,46800,434476,323166,64950,167139,30580,38268,2253,301,88,20637,583646
3_6,55575,451528,325053,65518,167139,30580,38268,2253,301,88,20146,555855
3_7,67275,469553,323472,66182,157677,30580,38264,2253,301,88,20146,536513
3_8,81900,493295,322809,67034,148215,30580,38260,2253,301,88,20311,507258
3_9,91650,503687,319431,67254,138753,30580,38256,2253,301,88,20515,499536
3_T,165750,560694,273773,55238,143149,30625,20586,1292,301,88,94494,366314
3_J,165750,517766,229979,44652,143181,30760,20217,990,301,88,191442,367178
3_Q,0,397472,257637,59314,138753,30580,36876,1980,301,88,44301,745002
3_K,0,359780,259983,57046,148215,30580,36880,1980,301,88,40277,777174
3_A,0,305364,260082,54594,157677,30580,36884,1980,301,88,42521,822233
2_4,52650,448560,327465,65518,167139,30538,38268,2253,301,88,21495,558029
3_4,46800,434476,323922,64950,167139,30538,38268,2253,301,88,20982,582587
4_4,0,265708,311538,43616,163851,29113,39090,2282,301,88,16201,840516
4_5,40950,420392,319731,64382,167139,30538,38268,2253,301,88,20445,607817
4_6,49725,437444,321618,64950,167139,30538,38268,2253,301,88,19954,580026
4_7,61425,455469,320037,65614,157677,30538,38264,2253,301,88,19954,560684
4_8,76050,479211,319374,66466,148215,30538,38260,2253,301,88,20119,531429
4_9,91650,503687,318675,67254,138753,30538,38256,2253,301,88,20502,500347
4_T,161850,557967,272063,55238,143149,30583,20586,1292,301,88,93799,375388
4_J,161850,515039,229115,44652,143181,30718,20217,990,301,88,189874,376279
4_Q,0,394504,257637,59314,138753,30538,36876,1980,301,88,44047,748266
4_K,0,356812,259983,57046,148215,30538,36880,1980,301,88,40023,780438
4_A,0,303146,260082,54594,157677,30538,36884,1980,301,88,41517,825497
2_5,52650,448560,326709,65518,167139,30538,38268,2253,301,88,21483,558797
3_5,46800,434476,323166,64950,167139,30538,38268,2253,301,88,20970,583355
4_5,40950,420392,319731,64382,167139,30538,38268,2253,301,88,20570,607692
5_5,0,265708,306066,43616,163851,29113,39042,2282,301,88,13268,848969
5_6,49725,437444,320970,64950,167139,30538,38268,2253,301,88,19942,580686
5_7,55575,445978,318111,65234,157677,30538,38264,2253,301,88,19942,578343
5_8,67275,467486,317448,66086,148215,30538,38260,2253,301,88,20107,554247
5_9,81900,491962,316749,66874,138753,30538,38256,2253,301,88,20490,524140
5_T,161850,557967,270461,55238,143149,30583,20586,1292,301,88,93346,377443
5_J,161850,515039,228251,44652,143181,30718,20217,990,301,88,188656,378361
5_Q,0,394504,257637,59314,138753,30538,36876,1980,301,88,44035,748278
5_K,0,356812,259983,57046,148215,30538,36880,1980,301,88,40011,780450
5_A,0,303146,260082,54594,157677,30538,36884,1980,301,88,41505,825509
2_6,61425,465612,328596,66086,167139,30581,38268,2253,258,88,21061,530937
3_6,55575,451528,325053,65518,167139,30581,38268,2253,258,88,20548,555495
4_6,49725,437444,321618,64950,167139,30581,38268,2253,258,88,20148,579832
5_6,49725,437444,320970,64950,167139,30581,38268,2253,258,88,20011,580617
6_6,0,267176,301314,43616,163851,29156,38994,2282,258,88,10332,855237
6_7,59475,438871,312813,64154,157677,30581,38264,2253,258,88,19197,588673
6_8,71175,456896,311304,64818,148215,30581,38260,2253,258,88,19362,569094
6_9,85800,480638,310605,65606,138753,30581,38256,2253,258,88,19745,539721
6_T,166725,560694,268967,55238,143149,30626,20586,1292,258,88,92160,372521
6_J,166725,517766,227387,44652,143181,30761,20217,990,258,88,186813,373466
6_Q,0,397472,257637,59314,138753,30581,36876,1980,258,88,43290,746055
6_K,0,359780,259983,57046,148215,30581,36880,1980,258,88,39266,778227
6_A,0,319088,262329,55162,157677,30581,36884,1980,258,88,40939,807318
2_7,73125,483677,327021,66752,157619,30665,38268,2253,215,88,21088,511533
3_7,67275,469593,323478,66184,157619,30665,38268,2253,215,88,20575,536091
4_7,61425,455509,320043,65616,157619,30665,38268,2253,215,88,20175,560428
5_7,55575,446018,318117,65236,157619,30665,38268,2253,215,88,20038,578212
6_7,59475,438871,312813,64154,157619,30665,38268,2253,215,88,19224,588659
7_7,0,272314,294804,43804,140777,29249,38942,2282,215,88,8563,881266
7_8,74100,462639,294436,64746,139251,30669,38260,2253,215,88,19486,586161
7_9,88725,486381,293737,65534,129789,30669,38256,2253,215,88,19869,556788
7_T,170625,549081,258755,53968,135124,30713,20586,1292,215,88,90456,401401
7_J,180375,516166,218371,43639,135210,30845,20217,990,215,88,184827,381361
7_Q,0,403498,257637,59284,128972,30665,36876,1980,215,88,45147,747942
7_K,0,362424,255945,56952,138695,30665,36880,1980,215,88,42419,786041
7_A,0,243764,258291,52380,148157,30665,36884,1980,215,88,118475,821405
2_8,81900,493383,323685,67038,148099,30750,38268,2253,172,88,21081,505587
3_8,81900,493383,322821,67038,148099,30750,38268,2253,172,88,20747,506785
4_8,76050,479299,319386,66470,148099,30750,38268,2253,172,88,20347,531122
5_8,67275,467574,317460,66090,148099,30750,38268,2253,172,88,20210,554065
6_8,71175,456936,311310,64820,148099,30750,38268,2253,172,88,19396,569037
7_8,74100,462679,294442,64748,139193,30754,38264,2253,172,88,19493,586118
8_8,0,281856,289716,44180,117703,29343,38890,2282,172,88,7392,900682
8_9,91650,495454,277403,65604,120825,30758,38256,2253,172,88,19994,569847
8_T,184275,547433,249518,52953,127099,30801,20586,1292,172,88,89134,408953
8_J,197925,515809,209409,42498,127239,30930,20217,990,172,88,184026,383001
8_Q,0,406466,241575,59354,120008,30754,36876,1980,172,88,45272,769759
8_K,0,256604,256791,52566,128914,30750,36880,1980,172,88,161129,786430
8_A,0,246328,255099,52474,138637,30750,36884,1980,172,88,6835,943057
2_9,94575,506791,320313,67260,138579,30835,38268,2253,129,88,21523,491690
3_9,91650,503823,319449,67260,138579,30835,38268,2253,129,88,20948,499022
4_9,91650,503823,318693,67260,138579,30835,38268,2253,129,88,20727,499999
5_9,81900,492098,316767,66880,138579,30835,38268,2253,129,88,20590,523917
6_9,85800,480726,310617,65610,138579,30835,38268,2253,129,88,19776,539623
7_9,88725,486469,293749,65538,129673,30839,38264,2253,129,88,19873,556704
8_9,91650,495502,277409,65606,120767,30843,38260,2253,129,88,19991,569806
9_9,0,292132,285204,44556,94629,29437,38838,2282,129,88,6807,918202
9_T,201825,547778,240305,51811,119074,30889,20586,1292,129,88,88164,410363
