vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,283324,339972,44368,101785,29281,39210,2354,215,88,14902,856805
2_3,67275,479696,341355,67742,103429,30706,38292,2317,215,88,12944,568245
2_4,64350,476728,340491,67742,103429,30706,38292,2317,215,88,12482,575464
2_5,64350,476728,339735,67742,103429,30706,38292,2317,215,88,12345,576357
2_6,73125,489187,340221,68122,101641,30706,38292,2317,215,88,11675,556715
2_7,81900,500912,340959,68502,99853,30706,38292,2317,215,88,11629,536931
2_8,81900,500912,340527,68502,99853,30706,38292,2317,215,88,11604,537388
2_9,94575,510055,336483,68598,90391,30706,38288,2317,215,88,11697,528891
2_T,189150,591801,314089,58664,75863,30751,20646,1364,215,88,62397,367276
2_J,108225,488048,318288,69070,80750,30706,37594,2317,215,88,12105,564898
2_Q,104325,489852,319689,69258,82538,30706,37594,2317,215,88,12273,563449
2_K,189150,548107,234043,45410,91083,30886,20217,990,215,88,183988,368127
2_A,0,389780,264684,59378,93967,30706,36908,1980,215,88,32757,801841
2_3,67275,479696,341355,67742,103429,30664,38292,2317,215,88,13265,567966
3_3,0,281856,330756,44368,101785,29239,39162,2354,215,88,12729,869752
3_4,58500,462644,336948,67174,103429,30664,38292,2317,215,88,12290,599743
3_5,58500,462644,336192,67174,103429,30664,38292,2317,215,88,12153,600636
3_6,67275,475103,336678,67554,101641,30664,38292,2317,215,88,11483,580994
3_7,76050,486828,337416,67934,99853,30664,38292,2317,215,88,11437,561210
3_8,81900,500912,339663,68502,99853,30664,38292,2317,215,88,11591,538307
3_9,91650,507087,335619,68598,90391,30664,38288,2317,215,88,11443,535944
3_T,185250,589074,311989,58664,75863,30709,20646,1364,215,88,61984,376458
3_J,105300,485080,317424,69070,80750,30664,37594,2317,215,88,11851,571951
3_Q,101400,486884,318825,69258,82538,30664,37594,2317,215,88,12019,570502
3_K,185250,545380,233179,45410,91083,30844,20217,990,215,88,182312,377336
3_A,0,386812,264684,59378,93967,30664,36908,1980,215,88,32503,805105
2_4,64350,476728,340491,67742,103429,30622,38292,2317,215,88,13011,575019
3_4,58500,462644,336948,67174,103429,30622,38292,2317,215,88,12498,599577
4_4,0,280388,322548,44368,101785,29197,39114,2354,215,88,10813,881434
4_5,52650,448560,332757,66606,103429,30622,38292,2317,215,88,11961,624807
4_6,61425,461019,333243,66986,101641,30622,38292,2317,215,88,11291,605165
4_7,70200,472744,333981,67366,99853,30622,38292,2317,215,88,11245,585381
4_8,76050,486828,336228,67934,99853,30622,38292,2317,215,88,11399,562478
4_9,91650,507087,334863,68598,90391,30622,38288,2317,215,88,11430,536755
4_T,181350,586347,309997,58664,75863,30667,20646,1364,215,88,61571,385532
4_J,102375,482112,316668,69070,80750,30622,37594,2317,215,88,11597,578896
4_Q,98475,483916,318069,69258,82538,30622,37594,2317,215,88,11765,577447
4_K,181350,542653,232315,45410,91083,30802,20217,990,215,88,180744,386437
4_A,0,383844,264684,59378,93967,30622,36908,1980,215,88,32249,808369
2_5,64350,476728,339735,67742,103429,30622,38292,2317,215,88,12999,575787
3_5,58500,462644,336192,67174,103429,30622,38292,2317,215,88,12486,600345
4_5,52650,448560,332757,66606,103429,30622,38292,2317,215,88,12086,624682
5_5,0,280388,315348,44368,101785,29197,39066,2354,215,88,9608,889887
5_6,55575,451528,331317,66606,101641,30622,38292,2317,215,88,11279,622824
5_7,61425,461019,332055,66986,99853,30622,38292,2317,215,88,11233,608199
5_8,67275,475103,334302,67554,99853,30622,38292,2317,215,88,11387,585296
5_9,81900,495362,332937,68218,90391,30622,38288,2317,215,88,11418,560548
5_T,181350,586347,308113,58664,75863,30667,20646,1364,215,88,61400,387587
5_J,102375,482112,316020,69070,80750,30622,37594,2317,215,88,11585,579556
5_Q,98475,483916,317421,69258,82538,30622,37594,2317,215,88,11753,578107
5_K,181350,542653,231451,45410,91083,30802,20217,990,215,88,179526,388519
5_A,0,383844,264684,59378,93967,30622,36908,1980,215,88,32237,808381
2_6,73125,489187,340221,68122,101641,30665,38292,2317,172,88,12390,556084
3_6,67275,475103,336678,67554,101641,30665,38292,2317,172,88,11877,580642
4_6,61425,461019,333243,66986,101641,30665,38292,2317,172,88,11477,604979
5_6,55575,451528,331317,66606,101641,30665,38292,2317,172,88,11340,622763
6_6,0,278186,307755,44180,97517,29240,39018,2354,172,88,7746,906048
6_7,65325,451137,322293,65764,98217,30665,38292,2317,172,88,10348,627686
6_8,71175,465221,324540,66332,98217,30665,38292,2317,172,88,10502,604783
6_9,85800,485480,323175,66996,88755,30665,38288,2317,172,88,10533,580035
6_T,176475,574884,304116,58221,75863,30710,20646,1364,172,88,58521,411244
6_J,106275,484525,315480,69070,78900,30665,37594,2317,172,88,10840,576378
6_Q,102375,482846,315480,69070,80750,30665,37594,2317,172,88,10821,580126
6_K,186225,541163,229365,45222,89295,30845,20217,990,172,88,177496,391226
6_A,0,395748,265530,59758,92179,30665,36908,1980,172,88,31484,797792
2_7,81900,500912,340959,68502,99853,30749,38292,2317,129,88,12370,536233
3_7,76050,486828,337416,67934,99853,30749,38292,2317,129,88,11857,560791
4_7,70200,472744,333981,67366,99853,30749,38292,2317,129,88,11457,585128
5_7,61425,461019,332055,66986,99853,30749,38292,2317,129,88,11320,608071
6_7,65325,451137,322293,65764,98217,30749,38292,2317,129,88,10374,627619
7_7,0,276718,301170,43992,93249,29324,38970,2354,129,88,7036,919274
7_8,74100,455894,314886,65110,96581,30749,38292,2317,129,88,10591,623567
7_9,88725,476153,313521,65774,87119,30749,38288,2317,129,88,10622,598819
7_T,170625,563421,300227,57778,75863,30794,20646,1364,129,88,56616,434753
7_J,109200,477973,306252,67848,77264,30749,37594,2317,129,88,10929,591961
7_Q,109200,487493,315048,69070,78900,30749,37594,2317,129,88,11050,570666
7_K,194025,541666,227279,45034,87507,30929,20217,990,129,88,176548,387892
7_A,0,393194,264129,59570,90391,30749,36908,1980,129,88,32035,803131
2_8,81900,500912,340527,68502,99853,30834,38292,2317,86,88,12359,536634
3_8,81900,500912,339663,68502,99853,30834,38292,2317,86,88,12025,537832
4_8,76050,486828,336228,67934,99853,30834,38292,2317,86,88,11625,562169
5_8,67275,475103,334302,67554,99853,30834,38292,2317,86,88,11488,585112
6_8,71175,465221,324540,66332,98217,30834,38292,2317,86,88,10542,604660
7_8,74100,455894,314886,65110,96581,30834,38292,2317,86,88,10605,623511
8_8,0,278186,296994,43992,93249,29409,38922,2354,86,88,6858,922166
8_9,91650,469046,308439,64694,87119,30834,38288,2317,86,88,10852,608891
8_T,174525,566148,298667,57778,75863,30879,20646,1364,86,88,56687,429573
8_J,112125,466649,300324,66580,77264,30834,37594,2317,86,88,11159,607284
8_Q,112125,476169,309120,67802,78900,30834,37594,2317,86,88,11280,585989
8_K,197925,544393,226415,45034,87507,31014,20217,990,86,88,175896,382739
