vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,275984,332289,43992,132818,29239,39198,2318,258,88,19774,836346
2_3,61425,465612,334824,66790,135284,30664,38280,2285,258,88,17044,559750
2_4,58500,462644,333960,66790,135284,30664,38280,2285,258,88,16582,566969
2_5,58500,462644,333204,66790,135284,30664,38280,2285,258,88,16445,567862
2_6,67275,475103,333690,67170,133496,30664,38280,2285,258,88,15775,548220
2_7,73125,489187,335829,67738,133496,30664,38280,2285,258,88,15908,525446
2_8,81900,495362,331677,67834,124034,30664,38276,2285,258,88,15750,524176
2_9,94575,507988,328443,68118,114572,30664,38272,2285,258,88,15987,511054
2_T,179400,577611,294066,57332,109506,30709,20616,1328,258,88,79186,362204
2_J,108225,489490,310530,68526,104931,30664,37578,2285,258,88,16603,543126
2_Q,179400,534675,232632,45095,117132,30844,20217,990,258,88,187925,363048
2_K,0,401222,262338,59662,116360,30664,36892,1980,258,88,37397,765443
2_A,0,350556,262437,56762,125822,30664,36896,1980,258,88,39641,807200
2_3,61425,465612,334824,66790,135284,30622,38280,2285,258,88,17365,559471
3_3,0,274516,324225,43992,132818,29197,39150,2318,258,88,16449,849293
3_4,52650,448560,330417,66222,135284,30622,38280,2285,258,88,16390,591248
3_5,52650,448560,329661,66222,135284,30622,38280,2285,258,88,16253,592141
3_6,61425,461019,330147,66602,133496,30622,38280,2285,258,88,15583,572499
3_7,67275,475103,332286,67170,133496,30622,38280,2285,258,88,15716,549725
3_8,81900,495362,330813,67834,124034,30622,38276,2285,258,88,15737,525095
3_9,91650,505020,327579,68118,114572,30622,38272,2285,258,88,15733,518107
3_T,175500,574884,292107,57332,109506,30667,20616,1328,258,88,78632,371386
3_J,105300,486522,309666,68526,104931,30622,37578,2285,258,88,16349,550179
3_Q,175500,531948,231768,45095,117132,30802,20217,990,258,88,186249,372257
3_K,0,398254,262338,59662,116360,30622,36892,1980,258,88,37143,768707
3_A,0,347588,262437,56762,125822,30622,36896,1980,258,88,39387,810464
2_4,58500,462644,333960,66790,135284,30580,38280,2285,258,88,17111,566524
3_4,52650,448560,330417,66222,135284,30580,38280,2285,258,88,16598,591082
4_4,0,273048,317025,43992,132818,29155,39102,2318,258,88,13525,860975
4_5,46800,434476,326226,65654,135284,30580,38280,2285,258,88,16061,616312
4_6,55575,446935,326712,66034,133496,30580,38280,2285,258,88,15391,596670
4_7,61425,461019,328851,66602,133496,30580,38280,2285,258,88,15524,573896
4_8,76050,481278,327378,67266,124034,30580,38276,2285,258,88,15545,549266
4_9,91650,505020,326823,68118,114572,30580,38272,2285,258,88,15720,518918
4_T,171600,572157,290256,57332,109506,30625,20616,1328,258,88,78078,380460
4_J,102375,483554,308910,68526,104931,30580,37578,2285,258,88,16095,557124
4_Q,171600,529221,230904,45095,117132,30760,20217,990,258,88,184681,381358
4_K,0,395286,262338,59662,116360,30580,36892,1980,258,88,36889,771971
4_A,0,344620,262437,56762,125822,30580,36896,1980,258,88,39133,813728
2_5,58500,462644,333204,66790,135284,30580,38280,2285,258,88,17099,567292
3_5,52650,448560,329661,66222,135284,30580,38280,2285,258,88,16586,591850
4_5,46800,434476,326226,65654,135284,30580,38280,2285,258,88,16186,616187
5_5,0,273048,310689,43992,132818,29155,39054,2318,258,88,11456,869428
5_6,49725,437444,324786,65654,133496,30580,38280,2285,258,88,15379,614329
5_7,55575,451528,326925,66222,133496,30580,38280,2285,258,88,15512,591555
5_8,67275,469553,325452,66886,124034,30580,38276,2285,258,88,15533,572084
5_9,81900,493295,324897,67738,114572,30580,38272,2285,258,88,15708,542711
5_T,171600,572157,288513,57332,109506,30625,20616,1328,258,88,77766,382515
5_J,102375,483554,308262,68526,104931,30580,37578,2285,258,88,16083,557784
5_Q,171600,529221,230040,45095,117132,30760,20217,990,258,88,183463,383440
5_K,0,395286,262338,59662,116360,30580,36892,1980,258,88,36877,771983
5_A,0,344620,262437,56762,125822,30580,36896,1980,258,88,39121,813740
2_6,67275,475103,333690,67170,133496,30623,38280,2285,215,88,16490,547589
3_6,61425,461019,330147,66602,133496,30623,38280,2285,215,88,15977,572147
4_6,55575,446935,326712,66034,133496,30623,38280,2285,215,88,15577,596484
5_6,49725,437444,324786,65654,133496,30623,38280,2285,215,88,15440,614268
6_6,0,270846,303816,43804,128550,29198,39006,2318,215,88,8874,885589
6_7,59475,441646,317163,65000,131860,30623,38280,2285,215,88,14627,611042
6_8,71175,459671,315690,65664,122398,30623,38276,2285,215,88,14648,591571
6_9,85800,483413,315135,66516,112936,30623,38272,2285,215,88,14823,562198
6_T,166725,560694,284657,56889,109506,30668,20616,1328,215,88,74746,406172
6_J,106275,485967,307722,68526,103081,30623,37578,2285,215,88,15338,554606
6_Q,176475,527731,227954,44907,115344,30803,20217,990,215,88,181433,386147
6_K,0,394216,260937,59474,114572,30623,36892,1980,215,88,35945,777362
6_A,0,356524,263283,57142,124034,30623,36896,1980,215,88,38368,803151
2_7,73125,489187,335829,67738,133496,30707,38280,2285,172,88,16657,524740
3_7,67275,475103,332286,67170,133496,30707,38280,2285,172,88,16144,549298
4_7,61425,461019,328851,66602,133496,30707,38280,2285,172,88,15744,573635
5_7,55575,451528,326925,66222,133496,30707,38280,2285,172,88,15607,591419
6_7,59475,441646,317163,65000,131860,30707,38280,2285,172,88,14661,610967
7_7,0,272314,299208,43804,128550,29282,38958,2318,172,88,7954,889656
7_8,74100,452564,310500,64584,122398,30707,38276,2285,172,88,14877,601753
7_9,88725,472823,309099,65248,112936,30707,38272,2285,172,88,15052,576897
7_T,170625,563421,283130,56889,109506,30752,20616,1328,172,88,74675,401102
7_J,109200,474643,301686,67258,103081,30707,37578,2285,172,88,15567,570039
7_Q,180375,530458,227090,44907,115344,30887,20217,990,172,88,180672,381104
7_K,0,397184,260937,59474,114572,30707,36892,1980,172,88,36174,774124
7_A,0,356524,263283,57142,124034,30707,36896,1980,172,88,38356,803122
2_8,81900,495402,331683,67836,123976,30792,38280,2285,129,88,16506,523427
3_8,81900,495402,330819,67836,123976,30792,38280,2285,129,88,16172,524625
4_8,76050,481318,327384,67268,123976,30792,38280,2285,129,88,15772,548962
5_8,67275,469593,325458,66888,123976,30792,38280,2285,129,88,15635,571905
6_8,71175,459711,315696,65666,122340,30792,38280,2285,129,88,14689,591453
7_8,74100,452564,310500,64584,122340,30792,38280,2285,129,88,14884,601758
8_8,0,278186,292986,43992,105476,29376,38906,2318,129,88,7071,913776
8_9,91650,479121,292339,65176,103972,30796,38272,2285,129,88,15177,593299
8_T,174525,551808,272885,55619,101481,30840,20616,1328,129,88,73113,429872
8_J,112125,480941,285085,67186,94117,30796,37578,2285,129,88,15692,586282
8_Q,197925,530101,217984,43766,107373,30972,20217,990,129,88,179763,382996
8_K,0,401694,260937,59380,104791,30792,36892,1980,129,88,40968,774653
8_A,0,248902,259245,52568,114514,30792,36896,1980,129,88,155426,811764
2_9,94575,508076,328455,68122,114456,30877,38280,2285,86,88,16740,510264
3_9,91650,505108,327591,68122,114456,30877,38280,2285,86,88,16165,517596
4_9,91650,505108,326835,68122,114456,30877,38280,2285,86,88,15944,518573
5_9,81900,493383,324909,67742,114456,30877,38280,2285,86,88,15807,542491
6_9,85800,483501,315147,66520,112820,30877,38280,2285,86,88,14861,562039
