vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,195585,550698,294522,54067,32467,36134,20644,1399,129,44,26524,500091
2_4,192045,548193,293658,54067,32467,36134,20644,1399,129,44,26140,507384
2_5,188505,545688,292794,54067,32467,36134,20644,1399,129,44,25798,514635
2_6,184965,560613,300930,55386,7857,36131,20667,1400,129,44,20899,523283
2_7,181425,558108,300282,55386,38979,36131,20667,1400,129,44,20318,499435
2_8,177885,555603,299742,55386,38979,36131,20667,1400,129,44,27017,499321
2_9,181425,558108,299310,55386,38979,36131,20667,1400,129,44,27171,493554
2_T,184965,556155,297867,55217,37374,36131,20667,1400,129,44,27194,495161
2_J,188505,558660,297651,55217,37374,36131,20667,1400,129,44,27352,489174
2_Q,192045,561165,297543,55217,37374,36131,20667,1400,129,44,27510,483079
2_K,195585,563670,297543,55217,37374,36131,20667,1400,129,44,27668,476876
2_A,0,0,0,0,0,36266,0,0,129,44,1553309,122556
3_4,91155,397160,266244,63237,32363,35918,36634,2346,129,44,10529,776545
3_5,88500,394468,265380,63237,32363,35918,36634,2346,129,44,10220,783065
3_6,85845,388644,283263,63313,32328,35910,36801,2348,129,44,9644,774035
3_7,83190,395792,287304,64463,36549,35906,36824,2349,129,44,9397,760357
3_8,89385,403802,287934,64815,42103,35906,36824,2349,129,44,9168,739845
3_9,89385,403802,287502,64815,42103,35906,36824,2349,129,44,9152,740293
3_T,92040,402170,285925,64646,40498,35906,36824,2349,129,44,9193,742580
3_J,94695,404862,285709,64646,40498,35906,36824,2349,129,44,9369,737273
3_Q,97350,407554,285601,64646,40498,35906,36824,2349,129,44,9545,731858
3_K,100005,410246,285601,64646,40498,35906,36824,2349,129,44,9721,726335
3_A,0,118736,125328,24912,30164,36134,18877,989,129,44,805169,551822
4_5,83190,382656,262093,62716,32363,35918,36634,2346,129,44,10038,804177
4_6,80535,376832,280084,62792,32328,35910,36801,2348,129,44,9472,795029
4_7,77880,383980,284125,63942,36549,35906,36824,2349,129,44,9225,781351
4_8,84075,391990,284755,64294,42103,35906,36824,2349,129,44,8996,760839
4_9,89385,403802,286746,64815,42103,35906,36824,2349,129,44,9140,741061
4_T,89385,399478,285169,64646,40498,35906,36824,2349,129,44,8993,748883
4_J,92040,402170,284953,64646,40498,35906,36824,2349,129,44,9169,743576
4_Q,94695,404862,284845,64646,40498,35906,36824,2349,129,44,9345,738161
4_K,97350,407554,284845,64646,40498,35906,36824,2349,129,44,9521,732638
4_A,0,118080,125328,24912,30164,36134,18877,989,129,44,795710,561937
5_6,75225,365020,276905,62271,32328,35910,36801,2348,129,44,9294,816029
5_7,72570,372168,280946,63421,36549,35906,36824,2349,129,44,9053,802345
5_8,78765,380178,281576,63773,42103,35906,36824,2349,129,44,8824,781833
5_9,84075,391990,283567,64294,42103,35906,36824,2349,129,44,8968,762055
5_T,89385,399478,284413,64646,40498,35906,36824,2349,129,44,8981,749651
5_J,89385,399478,284197,64646,40498,35906,36824,2349,129,44,8969,749879
5_Q,92040,402170,284089,64646,40498,35906,36824,2349,129,44,9145,744464
5_K,94695,391062,284089,64219,40498,35906,36824,2349,129,44,23548,738941
5_A,0,117424,125328,24912,30164,36134,18877,989,129,44,708332,649971
6_7,67260,363488,282373,63172,7857,35906,36828,2349,129,44,8486,844412
6_8,64605,360796,281833,63172,38979,35906,36828,2349,129,44,8261,819402
6_9,69915,372608,283824,63693,38979,35906,36828,2349,129,44,8405,799624
6_T,75225,380096,284670,64045,37374,35906,36828,2349,129,44,8418,787220
6_J,80535,391908,286877,64566,37374,35906,36828,2349,129,44,8566,767222
6_Q,80535,381558,286769,64200,37374,35906,36828,2349,129,44,19270,767342
6_K,83190,364240,286769,63468,37374,35906,36828,2349,129,44,29472,772535
6_A,0,130544,133161,26231,31122,36131,18900,990,129,44,580856,754196
7_8,59295,348984,278870,62651,44237,35906,36828,2349,129,44,8054,834957
7_9,64605,360796,280861,63172,44237,35906,36828,2349,129,44,8199,815178
7_T,69915,368284,281707,63524,42632,35906,36828,2349,129,44,8212,802774
7_J,75225,369746,283914,63679,42632,35906,36828,2349,129,44,19076,782776
7_Q,80535,361548,286229,63468,42632,35906,36828,2349,129,44,29250,773386
7_K,80535,331878,286229,62187,42632,35906,36828,2349,129,44,39447,794140
7_A,0,129888,133161,26231,31122,36131,18900,990,129,44,459286,876422
8_9,59295,348984,278006,62651,51209,35906,36828,2349,129,44,7986,828917
8_T,64605,346122,278852,62698,49604,35906,36828,2349,129,44,18654,816513
8_J,69915,337924,281059,62426,49604,35906,36828,2349,129,44,28889,807231
8_Q,75225,320066,283374,62032,49604,35906,36828,2349,129,44,38880,807867
8_K,80535,300138,285797,60479,49604,35906,36828,2349,129,44,41891,818604
8_A,0,129232,133161,26231,38094,36131,18900,990,129,44,345770,983622
9_T,58410,317934,277358,61553,49604,35906,36828,2349,129,44,29607,842582
9_J,63720,299386,279565,60976,49604,35906,36828,2349,129,44,39781,844016
9_Q,69030,279458,281880,59606,49604,35906,36828,2349,129,44,41919,855551
9_K,74340,261600,284303,57992,49604,35906,36828,2349,129,44,40424,868785
9_A,0,129888,133161,26231,38094,36131,18900,990,129,44,258678,1070058
T_J,66375,254924,269754,57799,47944,35910,36801,2348,129,44,40451,899825
T_Q,71685,237756,272069,56185,47944,35910,36801,2348,129,44,37576,913857
T_K,76995,226798,274492,54144,47944,35910,36801,2348,129,44,31251,925448
T_A,0,126608,132042,26062,38094,36131,18900,990,129,44,178754,1154550
J_Q,74340,221818,271961,53684,47944,35910,36801,2348,129,44,28458,938867
J_K,79650,217760,274384,51216,47944,35910,36801,2348,129,44,22133,943985
J_A,0,127264,132042,26062,38094,36131,18900,990,129,44,133111,1199537
Q_K,82305,219072,274384,47922,47944,35910,36801,2348,129,44,12325,953120
Q_A,0,127920,132042,26062,38094,36131,18900,990,129,44,100174,1231818
K_A,0,128576,132042,26062,38094,36131,18900,990,129,44,80633,1250703
