vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,136290,319164,190758,33214,76648,36239,20413,1111,343,0,423662,474462
2_4,57525,326271,247401,51192,68642,36023,37240,2090,343,0,213077,672500
2_5,61065,324294,245392,51023,67224,36023,37240,2090,343,0,213151,674459
2_6,0,176544,155424,24912,55732,36239,19984,989,343,0,792882,449255
2_7,0,229568,234152,48664,75300,36011,36740,1980,343,0,132415,917131
2_8,0,224976,233387,48767,78081,36011,36740,1980,343,0,82280,969739
2_9,0,223664,233387,48767,83339,36011,36740,1980,343,0,52202,995871
2_T,0,224842,234640,48936,83872,36011,36740,1980,343,0,33765,1011175
2_J,0,227988,235893,49105,79016,36011,36740,1980,343,0,23641,1021587
2_Q,0,227988,235893,49105,85988,36011,36740,1980,343,0,16981,1021275
2_K,0,229300,235893,49105,85988,36011,36740,1980,343,0,12810,1024134
2_A,0,224052,232068,48124,85988,36015,36717,1979,343,0,9174,1037844
3_4,148680,313484,179091,32140,68718,36242,20381,1110,343,0,412172,499943
3_5,153105,310717,177216,31971,67300,36242,20381,1110,343,0,412712,501207
3_6,0,0,0,0,0,36371,0,0,343,0,1553081,122509
3_7,0,111520,137511,24574,73999,36239,19336,989,343,0,295886,1011907
3_8,0,120704,144600,25724,80511,36236,19359,990,343,0,213159,1070678
3_9,0,120048,144600,25724,80511,36236,19359,990,343,0,157625,1126868
3_T,0,122672,145719,25893,81044,36236,19359,990,343,0,113142,1166906
3_J,0,125952,146838,26062,76188,36236,19359,990,343,0,82825,1197511
3_Q,0,125952,146838,26062,83160,36236,19359,990,343,0,60666,1212698
3_K,0,126608,146838,26062,83160,36236,19359,990,343,0,43124,1229584
3_A,0,127264,146838,26062,83160,36236,19359,990,343,0,25210,1246842
4_5,61065,275452,207348,49966,57484,36035,36360,2087,343,0,212818,773346
4_6,0,104960,119391,23593,49220,36242,18884,988,343,0,789898,568785
4_7,0,180204,198285,47607,65560,36023,35860,1977,343,0,132191,1014254
4_8,0,178892,212730,47683,69985,36015,36023,1979,343,0,82140,1046514
