vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,61065,441624,310327,62745,94561,36509,38268,2285,301,44,16352,648223
2_4,61065,441624,309463,62745,94561,36509,38268,2285,301,44,16173,649266
2_5,61065,437434,307454,62576,93143,36509,38268,2285,301,44,15902,657323
2_6,72570,450828,307841,62928,91725,36509,38268,2285,301,44,15284,633721
2_7,77880,463684,309724,63449,91725,36509,38268,2285,301,44,15398,613037
2_8,86730,469166,305936,63529,84037,36509,38264,2285,301,44,15276,610227
2_9,172575,545061,277395,53988,70101,36734,20616,1328,301,44,76774,457387
2_T,99120,443290,287691,63778,76349,36509,37570,2285,301,44,15517,649850
2_J,95580,444922,288836,63947,77767,36509,37570,2285,301,44,15640,648903
2_Q,172575,454978,207165,38342,76188,36734,20187,990,301,44,247415,457385
2_K,0,333712,242055,53375,86351,36509,36884,1980,301,44,40589,880504
2_A,0,286358,242874,51249,89303,36509,36888,1980,301,44,41105,925693
3_4,55755,428768,306176,62224,94561,36509,38268,2285,301,44,15986,671427
3_5,55755,424578,304167,62055,93143,36509,38268,2285,301,44,15730,679469
3_6,67260,437972,304554,62407,91725,36509,38268,2285,301,44,15112,655867
3_7,72570,450828,306437,62928,91725,36509,38268,2285,301,44,15226,635183
3_8,86730,469166,305072,63529,84037,36509,38264,2285,301,44,15264,611103
3_9,169035,542556,275436,53988,70101,36734,20616,1328,301,44,76274,465891
3_T,96465,440598,286827,63778,76349,36509,37570,2285,301,44,15317,656261
3_J,92925,442230,287972,63947,77767,36509,37570,2285,301,44,15440,655314
3_Q,169035,452473,206460,38342,76188,36734,20187,990,301,44,245661,465889
3_K,0,331020,242055,53375,86351,36509,36884,1980,301,44,40389,883396
3_A,0,283666,242874,51249,89303,36509,36888,1980,301,44,40905,928585
4_5,50445,415912,302241,61703,93143,36509,38268,2285,301,44,15708,695745
4_6,59295,427270,302628,62055,91725,36509,38268,2285,301,44,15100,676824
4_7,64605,440126,304511,62576,91725,36509,38268,2285,301,44,15214,656140
4_8,77880,458464,303146,63177,84037,36509,38264,2285,301,44,15252,632945
4_9,169035,542556,273585,53988,70101,36734,20616,1328,301,44,75962,468054
4_T,96465,440598,286071,63778,76349,36509,37570,2285,301,44,15304,657030
4_J,92925,442230,287216,63947,77767,36509,37570,2285,301,44,15427,656083
4_Q,169035,452473,205755,38342,76188,36734,20187,990,301,44,244202,468053
4_K,0,331020,242055,53375,86351,36509,36884,1980,301,44,40376,883409
4_A,0,283666,242874,51249,89303,36509,36888,1980,301,44,40892,928598
5_6,59295,415490,293638,60938,90225,36513,38241,2284,301,44,14966,700369
5_7,64605,428346,295521,61459,90225,36513,38241,2284,301,44,15086,679679
5_8,77880,446684,294156,62060,82537,36513,38237,2284,301,44,15124,656484
5_9,160185,529509,269769,53574,70101,36734,20616,1328,301,44,74098,496045
5_T,96465,440076,285423,63778,74904,36509,37570,2285,301,44,15292,659657
5_J,92925,438562,285315,63778,76349,36509,37570,2285,301,44,15280,663386
5_Q,169035,448671,203931,38173,74770,36734,20187,990,301,44,242717,476751
5_K,0,327352,240802,53206,84933,36509,36884,1980,301,44,40229,890064
5_A,0,279998,241621,51080,87885,36509,36888,1980,301,44,40745,935253
6_7,68145,419780,286639,60342,88725,36517,38214,2283,301,44,14257,697057
6_8,81420,438118,285274,60943,81037,36517,38210,2283,301,44,14299,673858
6_9,155760,518967,266061,53160,70101,36734,20616,1328,301,44,71537,517695
6_T,100005,434120,276949,62661,73404,36513,37543,2284,301,44,14467,674013
6_J,100005,442768,284775,63778,74904,36509,37570,2285,301,44,14571,654794
6_Q,177000,449223,202107,38004,73352,36734,20187,990,301,44,240643,473719
6_K,0,327722,239549,53037,83515,36509,36884,1980,301,44,40075,892688
6_A,0,291490,242386,51432,86467,36509,36888,1980,301,44,40750,924057
7_8,84075,431640,280510,59962,81037,36521,38187,2282,301,44,14473,683272
7_9,159300,521472,264534,53160,70101,36734,20616,1328,301,44,71412,513302
7_T,102660,423840,271420,61511,73404,36517,37520,2283,301,44,14642,688162
7_J,102660,432488,279246,62628,74904,36513,37547,2284,301,44,14746,668943
7_Q,180540,451728,201402,38004,73352,36734,20187,990,301,44,239696,469326
7_K,0,330414,239549,53037,83515,36509,36884,1980,301,44,40249,889822
7_A,0,224560,242386,48870,86467,36509,36888,1980,301,44,110229,924070
8_9,162840,511005,254952,52010,63589,36737,20593,1327,301,44,70155,538751
8_T,105315,429664,256439,61435,65164,36525,37357,2281,301,44,14734,703045
8_J,105315,438312,264265,62552,66664,36521,37384,2282,301,44,14838,683826
8_Q,197355,447056,193299,36854,66840,36737,20164,989,301,44,243458,469207
8_K,0,228524,239498,48664,75998,36509,36884,1980,301,44,150265,893637
8_A,0,223932,238733,48767,78779,36509,36884,1980,301,44,6678,1039697
9_T,188505,520221,244314,51350,55472,36740,20561,1326,301,44,62962,530508
9_J,197355,533268,246279,51764,55472,36740,20561,1326,301,44,64484,504710
9_Q,0,0,0,0,0,36869,0,0,301,44,1552531,122559
9_K,0,118080,141828,24912,63589,36737,19516,989,301,44,49748,1256560
