vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,0,477577,550077,166847,12272,36684,147663,15556,86,88,8097,297357
2_4,0,472641,548697,166420,12272,36684,147651,15556,86,88,7743,304466
2_5,0,467705,547317,165993,12272,36684,147639,15556,86,88,7431,311533
2_6,0,462769,546357,179651,8086,36676,147915,15599,86,88,6901,308176
2_7,0,475296,554481,179224,13816,36676,147921,15599,86,88,6488,282629
2_8,0,470360,553101,178797,13816,36676,147909,15599,86,88,6287,289585
2_9,0,475296,554481,179224,13816,36676,147897,15599,86,88,6471,282670
2_T,0,476044,555042,176397,12158,36676,147876,15598,86,88,6577,285762
2_J,0,480980,556422,176824,12158,36676,147864,15598,86,88,6765,278843
2_Q,0,485916,557802,177251,12158,36676,147852,15598,86,88,6953,271924
2_K,0,490852,559182,177678,12158,36676,147840,15598,86,88,7141,265005
2_A,0,597528,649656,107544,0,37036,101864,0,86,88,22388,196114
3_4,0,456811,539754,163593,12272,36684,147612,15555,86,88,7568,332281
3_5,0,451875,538374,163166,12272,36684,147600,15555,86,88,7271,339333
3_6,0,446939,537414,176824,8086,36676,147876,15598,86,88,6741,335976
3_7,0,459466,545538,176397,13816,36676,147882,15598,86,88,6328,310429
3_8,0,470360,553101,178797,13816,36676,147897,15599,86,88,6287,289597
3_9,0,470360,553101,178797,13816,36676,147885,15599,86,88,6283,289613
3_T,0,471108,553662,175970,12158,36676,147864,15598,86,88,6389,292705
3_J,0,476044,555042,176397,12158,36676,147852,15598,86,88,6577,285786
3_Q,0,480980,556422,176824,12158,36676,147840,15598,86,88,6765,278867
3_K,0,485916,557802,177251,12158,36676,147828,15598,86,88,6953,271948
3_A,0,592405,648276,107304,0,37036,101852,0,86,88,22200,203057
4_5,0,436045,529431,160339,12272,36684,147561,15554,86,88,7101,367143
4_6,0,431109,528471,173997,8086,36676,147837,15597,86,88,6581,363776
4_7,0,443636,536595,173570,13816,36676,147843,15597,86,88,6168,338229
4_8,0,454530,544158,175970,13816,36676,147858,15598,86,88,6127,317397
4_9,0,470360,553101,178797,13816,36676,147873,15599,86,88,6283,289625
4_T,0,466172,552282,175543,12158,36676,147852,15598,86,88,6201,299648
4_J,0,471108,553662,175970,12158,36676,147840,15598,86,88,6389,292729
4_Q,0,476044,555042,176397,12158,36676,147828,15598,86,88,6577,285810
4_K,0,480980,556422,176824,12158,36676,147816,15598,86,88,6765,278891
4_A,0,587282,646896,107064,0,37036,101840,0,86,88,22012,210000
5_6,0,415279,519528,171170,8086,36676,147798,15596,86,88,6415,391582
5_7,0,427806,527652,170743,13816,36676,147804,15596,86,88,6008,366029
5_8,0,438700,535215,173143,13816,36676,147819,15597,86,88,5967,345197
5_9,0,454530,544158,175970,13816,36676,147834,15598,86,88,6123,317425
5_T,0,466172,552282,175543,12158,36676,147840,15598,86,88,6201,299660
5_J,0,466172,552282,175543,12158,36676,147828,15598,86,88,6201,299672
5_Q,0,471108,553662,175970,12158,36676,147816,15598,86,88,6389,292753
5_K,0,476044,555042,176397,12158,36676,147804,15598,86,88,6577,285834
5_A,0,582159,645516,106824,0,37036,101828,0,86,88,21824,216943
6_7,0,416164,519528,171170,8086,36676,147774,15596,86,88,5499,391637
6_8,0,427058,527091,173570,8086,36676,147789,15597,86,88,5462,370801
6_9,0,442888,536034,176397,8086,36676,147804,15598,86,88,5618,343029
6_T,0,454530,544158,175970,6428,36676,147810,15598,86,88,5696,325264
6_J,0,470360,553101,178797,6428,36676,147825,15599,86,88,5856,297488
6_Q,0,470360,553101,178797,6428,36676,147813,15599,86,88,5856,297500
6_K,0,475296,554481,179224,6428,36676,147801,15599,86,88,6044,290581
6_A,0,600507,655020,108450,0,37036,101834,0,86,88,15560,193723
7_8,0,411228,518148,170743,15287,36676,147750,15596,86,88,5030,391672
7_9,0,427058,527091,173570,15287,36676,147765,15597,86,88,5187,363899
7_T,0,438700,535215,173143,13629,36676,147771,15597,86,88,5265,346134
7_J,0,454530,544158,175970,13629,36676,147786,15598,86,88,5425,318358
7_Q,0,470360,553101,178797,13629,36676,147801,15599,86,88,5585,290582
7_K,0,470360,553101,178797,13629,36676,147789,15599,86,88,5585,290594
7_A,0,595384,653640,108210,0,37036,101822,0,86,88,22302,193736
8_9,0,416164,519528,171170,15287,36676,147726,15596,86,88,5215,384768
8_T,0,427806,527652,170743,13629,36676,147732,15596,86,88,5293,367003
8_J,0,443636,536595,173570,13629,36676,147747,15597,86,88,5453,339227
8_Q,0,459466,545538,176397,13629,36676,147762,15598,86,88,5613,311451
8_K,0,475296,554481,179224,13629,36676,147777,15599,86,88,5773,283675
8_A,0,595384,653640,108210,0,37036,101810,0,86,88,22302,193748
9_T,0,415279,519528,171170,13629,36676,147702,15596,86,88,5481,387069
9_J,0,431109,528471,173997,13629,36676,147717,15597,86,88,5641,359293
9_Q,0,446939,537414,176824,13629,36676,147732,15598,86,88,5801,331517
9_K,0,462769,546357,179651,13629,36676,147747,15599,86,88,5961,303741
9_A,0,600507,655020,108450,0,37036,101798,0,86,88,22490,186829
T_J,0,436045,529431,160339,11925,36684,147417,15554,86,88,5757,368978
T_Q,0,451875,538374,163166,11925,36684,147432,15555,86,88,5917,341202
T_K,0,467705,547317,165993,11925,36684,147447,15556,86,88,6077,313426
T_A,0,582159,645516,106824,0,37036,101768,0,86,88,20939,217888
J_Q,0,456811,539754,163593,11925,36684,147420,15555,86,88,6105,334283
J_K,0,472641,548697,166420,11925,36684,147435,15556,86,88,6265,306507
J_A,0,587282,646896,107064,0,37036,101756,0,86,88,21127,210969
Q_K,0,477577,550077,166847,11925,36684,147423,15556,86,88,6453,299588
Q_A,0,592405,648276,107304,0,37036,101744,0,86,88,21315,204050
K_A,0,597528,649656,107544,0,37036,101732,0,86,88,21503,197131
