vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,76995,456616,312967,62928,62891,36596,38289,2348,172,88,8920,653494
2_4,74340,453924,312103,62928,62891,36596,38289,2348,172,88,8554,660071
2_5,71685,451232,311347,62928,62891,36596,38289,2348,172,88,8230,666498
2_6,71685,467336,320294,64214,58837,36592,38316,2349,172,88,7743,644678
2_7,80535,473848,319671,64397,62973,36592,38316,2349,172,88,7547,625816
2_8,83190,471694,317986,64228,61555,36592,38316,2349,172,88,7387,628747
2_9,85845,474386,317662,64228,61555,36592,38316,2349,172,88,7559,623552
2_T,101775,483552,313602,64308,52128,36592,38312,2349,172,88,7638,611788
2_J,188505,558660,315093,55217,44533,36817,20676,1400,172,88,34765,456378
2_Q,100890,448726,299144,64477,53733,36592,37622,2349,172,88,7979,660532
2_K,97350,450358,300397,64646,55151,36592,37622,2349,172,88,8102,659477
2_A,175230,533076,231741,46425,52923,36817,20247,990,172,88,132652,481943
3_4,69030,441068,308816,62407,62891,36596,38289,2348,172,88,8367,682232
3_5,66375,438376,308060,62407,62891,36596,38289,2348,172,88,8058,688644
3_6,66375,454480,317007,63693,58837,36592,38316,2349,172,88,7571,666824
3_7,75225,460992,316384,63876,62973,36592,38316,2349,172,88,7375,647962
3_8,83190,471694,317122,64228,61555,36592,38316,2349,172,88,7375,629623
3_9,83190,471694,316798,64228,61555,36592,38316,2349,172,88,7359,629963
3_T,99120,480860,312738,64308,52128,36592,38312,2349,172,88,7438,618199
3_J,184965,556155,312852,55217,44533,36817,20676,1400,172,88,34547,464882
3_Q,98235,446034,298280,64477,53733,36592,37622,2349,172,88,7779,666943
3_K,94695,447666,299533,64646,55151,36592,37622,2349,172,88,7902,665888
3_A,171690,530571,230754,46425,52923,36817,20247,990,172,88,131180,490447
4_5,61065,425520,304881,61886,62891,36596,38289,2348,172,88,7876,710692
4_6,61065,441624,313828,63172,58837,36592,38316,2349,172,88,7399,688862
4_7,69915,448136,313205,63355,62973,36592,38316,2349,172,88,7203,670000
4_8,77880,458838,313943,63707,61555,36592,38316,2349,172,88,7203,651661
4_9,83190,471694,316042,64228,61555,36592,38316,2349,172,88,7347,630731
4_T,96465,478168,311982,64308,52128,36592,38312,2349,172,88,7238,624502
4_J,181425,553650,310719,55217,44533,36817,20676,1400,172,88,34329,473278
4_Q,95580,443342,297524,64477,53733,36592,37622,2349,172,88,7579,673246
4_K,92040,444974,298777,64646,55151,36592,37622,2349,172,88,7702,672191
4_A,168150,528066,229767,46425,52923,36817,20247,990,172,88,129816,498843
5_6,55755,428768,310757,62651,58837,36592,38316,2349,172,88,7221,710798
5_7,64605,435280,310134,62834,62973,36592,38316,2349,172,88,7031,691930
5_8,72570,445982,310872,63186,61555,36592,38316,2349,172,88,7031,673591
5_9,77880,458838,312971,63707,61555,36592,38316,2349,172,88,7175,652661
5_T,96465,478168,311334,64308,52128,36592,38312,2349,172,88,7226,625162
5_J,177885,551145,308694,55217,44533,36817,20676,1400,172,88,34111,481566
5_Q,92925,440650,296876,64477,53733,36592,37622,2349,172,88,7379,679441
5_K,89385,442282,298129,64646,55151,36592,37622,2349,172,88,7502,678386
5_A,164610,525561,228780,46425,52923,36817,20247,990,172,88,128560,507131
6_7,59295,431460,309677,62651,57419,36592,38316,2349,172,88,6494,707791
6_8,64605,440126,310415,63003,56001,36592,38316,2349,172,88,6498,694139
6_9,69915,452982,312514,63524,56001,36592,38316,2349,172,88,6642,673209
6_T,87615,472312,310877,64125,46574,36592,38312,2349,172,88,6693,646595
6_J,177885,555603,307896,55386,38979,36817,20676,1400,172,88,33560,483842
6_Q,92925,445496,297589,64646,48179,36592,37622,2349,172,88,6845,679801
6_K,89385,447128,298842,64815,49597,36592,37622,2349,172,88,6968,678746
6_A,177885,541113,229461,46839,52923,36817,20247,990,172,88,121928,483841
7_8,64605,428346,301641,61886,61473,36596,38289,2348,172,88,6327,710533
7_9,69915,441202,303740,62407,61473,36596,38289,2348,172,88,6472,689602
7_T,87615,460532,302103,63008,52046,36596,38285,2348,172,88,6523,662988
7_J,169035,542556,304014,54972,45951,36817,20676,1400,172,88,31936,504687
7_Q,92925,444974,297157,64646,53706,36592,37622,2349,172,88,6791,675282
7_K,89385,443460,297157,64646,55151,36592,37622,2349,172,88,6779,678903
7_A,177885,537311,227355,46670,51505,36817,20247,990,172,88,127871,485393
8_9,72570,432636,295074,61290,59973,36600,38262,2347,172,88,6532,706760
8_T,90270,451966,293437,61891,50546,36600,38258,2347,172,88,6583,680146
8_J,163725,532014,300240,54558,45951,36817,20676,1400,172,88,30542,526121
8_Q,95580,439018,288899,63529,52206,36596,37595,2348,172,88,6851,689422
8_K,95580,447666,296833,64646,53706,36592,37622,2349,172,88,6955,670095
8_A,184965,537863,225249,46501,50087,36817,20247,990,172,88,127180,482145
9_T,92925,441686,288124,60741,50546,36604,38235,2346,172,88,6759,694078
9_J,167265,534519,298647,54558,45951,36817,20676,1400,172,88,30700,521511
