vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,0,441118,535629,176397,29689,36508,147276,15490,258,88,8144,321707
2_4,0,436182,534249,175970,29689,36508,147264,15490,258,88,7790,328816
2_5,0,431246,532869,175543,29689,36508,147252,15490,258,88,7478,335883
2_6,0,452897,543192,178797,29689,36508,147267,15491,258,88,6871,301246
2_7,0,465237,551316,178797,28218,36508,147273,15491,258,88,6916,282202
2_8,0,465985,551877,175970,26747,36508,147252,15490,258,88,6821,285308
2_9,0,472554,553818,173570,25276,36508,147231,15489,258,88,6924,280588
2_T,0,479310,555759,170743,23618,36508,147210,15488,258,88,7030,276292
2_J,0,599622,651051,108450,0,36868,100646,0,258,88,42437,172884
2_Q,0,350691,436212,173997,25276,36508,141573,15176,258,88,7056,525469
2_K,0,345568,434832,176824,26747,36508,141582,15177,258,88,6982,527738
2_A,0,328105,425328,176824,28218,36508,141564,15177,258,88,6856,553378
3_4,0,420352,525306,173143,29689,36508,147225,15489,258,88,7615,356631
3_5,0,415416,523926,172716,29689,36508,147213,15489,258,88,7318,363683
3_6,0,437067,534249,175970,29689,36508,147228,15490,258,88,6711,329046
3_7,0,449407,542373,175970,28218,36508,147234,15490,258,88,6756,310002
3_8,0,465985,551877,175970,26747,36508,147240,15490,258,88,6821,285320
3_9,0,467618,552438,173143,25276,36508,147219,15489,258,88,6736,287531
3_T,0,474374,554379,170316,23618,36508,147198,15488,258,88,6842,283235
3_J,0,594499,649671,108210,0,36868,100634,0,258,88,42249,179827
3_Q,0,346453,434832,173570,25276,36508,141561,15176,258,88,6868,531714
3_K,0,341330,433452,176397,26747,36508,141570,15177,258,88,6794,533983
3_A,0,323867,423948,176397,28218,36508,141552,15177,258,88,6668,559623
4_5,0,399586,514983,169889,29689,36508,147174,15488,258,88,7148,391493
4_6,0,421237,525306,173143,29689,36508,147189,15489,258,88,6551,356846
4_7,0,433577,533430,173143,28218,36508,147195,15489,258,88,6596,337802
4_8,0,450155,542934,173143,26747,36508,147201,15489,258,88,6661,313120
4_9,0,467618,552438,173143,25276,36508,147207,15489,258,88,6736,287543
4_T,0,469438,552999,169889,23618,36508,147186,15488,258,88,6654,290178
4_J,0,589376,648291,107970,0,36868,100622,0,258,88,42061,186770
4_Q,0,342215,433452,173143,25276,36508,141549,15176,258,88,6680,537959
4_K,0,337092,432072,175970,26747,36508,141558,15177,258,88,6606,540228
4_A,0,319629,422568,175970,28218,36508,141540,15177,258,88,6480,565868
5_6,0,405407,516363,170316,29689,36508,147150,15488,258,88,6385,384652
5_7,0,417747,524487,170316,28218,36508,147156,15488,258,88,6436,365602
5_8,0,434325,533991,170316,26747,36508,147162,15488,258,88,6501,340920
5_9,0,451788,543495,170316,25276,36508,147168,15488,258,88,6576,315343
5_T,0,469438,552999,169889,23618,36508,147174,15488,258,88,6654,290190
5_J,0,584253,646911,107730,0,36868,100610,0,258,88,41873,193713
5_Q,0,337977,432072,172716,25276,36508,141537,15176,258,88,6492,544204
5_K,0,332854,430692,175543,26747,36508,141546,15177,258,88,6418,546473
5_A,0,315391,421188,175543,28218,36508,141528,15177,258,88,6292,572113
6_7,0,411228,517743,170743,28218,36508,147126,15488,258,88,5735,379169
6_8,0,423568,525867,170743,26747,36508,147132,15488,258,88,5804,360101
6_9,0,440146,535371,170743,25276,36508,147138,15488,258,88,5879,335409
6_T,0,457796,544875,170316,23618,36508,147144,15488,258,88,5957,310256
6_J,0,590261,648291,107970,0,36868,100598,0,258,88,41176,186794
6_Q,0,343100,433452,173143,25276,36508,141525,15176,258,88,5794,537984
6_K,0,337977,432072,175970,26747,36508,141534,15177,258,88,5720,540253
6_A,0,332854,430692,178797,28218,36508,141543,15178,258,88,5753,542415
7_8,0,428504,526827,160339,25203,36516,146841,15446,258,88,5918,366364
7_9,0,445082,536331,160339,23732,36516,146847,15446,258,88,5994,341671
7_T,0,462732,545835,159912,22074,36516,146853,15446,258,88,6072,316518
7_J,0,577921,640167,106584,0,36868,100568,0,258,88,39811,210039
7_Q,0,343150,434013,173570,23778,36508,141513,15176,258,88,5981,538269
7_K,0,338725,432633,173570,25276,36508,141513,15176,258,88,5825,542732
7_A,0,329364,429873,175970,26747,36508,141522,15177,258,88,5671,551126
8_9,0,453508,538110,149935,22188,36524,146556,15404,258,88,6110,343623
8_T,0,471158,547614,149508,20530,36524,146562,15404,258,88,6188,318470
8_J,0,565581,632043,105198,0,36868,100538,0,258,88,38447,233283
8_Q,0,347388,435393,163166,22234,36516,141222,15134,258,88,6097,544808
8_K,0,343200,434574,173997,23778,36508,141501,15176,258,88,6013,537211
8_A,0,333652,431814,173570,25276,36508,141501,15176,258,88,5777,548684
9_T,0,480282,549393,139104,18986,36532,146271,15362,258,88,6304,319724
9_J,0,553241,624054,103812,0,36868,100508,0,258,88,36948,256527
9_Q,0,351626,436773,152762,20690,36524,140931,15092,258,88,6213,551347
9_K,0,347438,435954,163593,22234,36516,141210,15134,258,88,6129,543750
9_A,0,339012,433755,173997,23778,36508,141489,15176,258,88,5965,542278
T_J,0,534893,614955,102186,0,36868,100478,0,258,88,34992,287586
T_Q,0,355864,438153,139104,18986,36532,140631,15049,258,88,6329,561310
T_K,0,351676,437334,149935,20530,36524,140910,15091,258,88,6245,553713
T_A,0,343250,435135,160339,22074,36516,141189,15133,258,88,6081,552241
J_Q,0,342495,489570,104052,0,36868,92754,0,258,88,25698,620521
J_K,0,355770,498255,105678,0,36868,92772,0,258,88,27090,595525
J_A,0,364620,505560,107064,0,36868,92790,0,258,88,28402,576654
Q_K,0,213285,337020,153189,22188,36524,135711,15091,258,88,6582,792368
Q_A,0,209745,335640,163593,23732,36516,135990,15133,258,88,6418,785191
K_A,0,205320,334260,166420,25203,36516,135999,15134,258,88,6488,786618
