vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,63720,444316,314206,63172,88245,36592,38304,2317,172,88,12438,648734
2_4,61065,441624,313342,63172,88245,36592,38304,2317,172,88,12072,655311
2_5,58410,438932,312586,63172,88245,36592,38304,2317,172,88,11748,661738
2_6,66375,454480,314226,63693,88245,36592,38304,2317,172,88,11264,636548
2_7,71685,463146,314856,64045,86827,36592,38304,2317,172,88,11244,623028
2_8,71685,463146,314424,64045,86827,36592,38304,2317,172,88,11218,623486
2_9,82305,471320,310744,64125,79139,36592,38300,2317,172,88,11294,615908
2_T,98235,484288,307422,64374,69712,36592,38296,2317,172,88,11508,599300
2_J,175230,547566,295335,54972,70101,36817,20646,1364,172,88,51929,458084
2_Q,97350,452072,293372,64543,71317,36592,37606,2317,172,88,11849,645026
2_K,175230,533076,232107,46547,77073,36817,20247,990,172,88,131875,458082
2_A,0,379454,241099,57720,80557,36592,36920,1980,172,88,21397,856325
3_4,55755,428768,310055,62651,88245,36592,38304,2317,172,88,11885,677472
3_5,53100,426076,309299,62651,88245,36592,38304,2317,172,88,11576,683884
3_6,61065,441624,310939,63172,88245,36592,38304,2317,172,88,11092,658694
3_7,66375,450290,311569,63524,86827,36592,38304,2317,172,88,11072,645174
3_8,71685,463146,313560,64045,86827,36592,38304,2317,172,88,11206,624362
3_9,79650,468628,309880,64125,79139,36592,38300,2317,172,88,11094,622319
3_T,95580,481596,306558,64374,69712,36592,38296,2317,172,88,11308,605711
3_J,171690,545061,293235,54972,70101,36817,20646,1364,172,88,51570,466588
3_Q,94695,449380,292508,64543,71317,36592,37606,2317,172,88,11649,651437
3_K,171690,530571,231120,46547,77073,36817,20247,990,172,88,130403,466586
3_A,0,376762,241099,57720,80557,36592,36920,1980,172,88,21197,859217
4_5,47790,413220,306120,62130,88245,36592,38304,2317,172,88,11394,705932
4_6,55755,428768,307760,62651,88245,36592,38304,2317,172,88,10920,680732
4_7,61065,437434,308390,63003,86827,36592,38304,2317,172,88,10900,667212
4_8,66375,450290,310381,63524,86827,36592,38304,2317,172,88,11034,646400
4_9,79650,468628,309124,64125,79139,36592,38300,2317,172,88,11082,623087
4_T,92925,478904,305802,64374,69712,36592,38296,2317,172,88,11108,612014
4_J,168150,542556,291243,54972,70101,36817,20646,1364,172,88,51211,474984
4_Q,92040,446688,291752,64543,71317,36592,37606,2317,172,88,11449,657740
4_K,168150,528066,230133,46547,77073,36817,20247,990,172,88,129039,474982
4_A,0,374070,241099,57720,80557,36592,36920,1980,172,88,20997,862109
5_6,50445,415912,304689,62130,88245,36592,38304,2317,172,88,10742,702668
5_7,55755,424578,305319,62482,86827,36592,38304,2317,172,88,10728,689142
5_8,61065,437434,307310,63003,86827,36592,38304,2317,172,88,10862,668330
5_9,74340,455772,306053,63604,79139,36592,38300,2317,172,88,10910,645017
5_T,92925,478904,305154,64374,69712,36592,38296,2317,172,88,11096,612674
5_J,164610,540051,289359,54972,70101,36817,20646,1364,172,88,50852,483272
5_Q,89385,443996,291104,64543,71317,36592,37606,2317,172,88,11249,663935
5_K,164610,525561,229146,46547,77073,36817,20247,990,172,88,127783,483270
5_A,0,371378,241099,57720,80557,36592,36920,1980,172,88,20797,865001
6_7,53985,418604,303609,62130,86827,36592,38304,2317,172,88,10015,699661
6_8,59295,431460,305600,62651,86827,36592,38304,2317,172,88,10153,678845
6_9,69915,447762,304343,63252,79139,36592,38300,2317,172,88,10201,660223
6_T,87615,470894,303444,64022,69712,36592,38296,2317,172,88,10387,628765
6_J,169035,542556,287583,54972,70101,36817,20646,1364,172,88,49984,478986
6_Q,92925,446688,290564,64543,71317,36592,37606,2317,172,88,10539,658953
6_K,169035,528066,228159,46547,77073,36817,20247,990,172,88,126125,478985
6_A,0,385882,243117,58241,80557,36592,36920,1980,172,88,20246,848509
7_8,61950,422372,296826,61534,85327,36596,38277,2316,172,88,10211,696635
7_9,72570,438674,295569,62135,77639,36596,38273,2316,172,88,10260,678012
7_T,90270,461806,294670,62905,68212,36596,38269,2316,172,88,10446,646554
7_J,163725,532014,283842,54558,70101,36817,20646,1364,172,88,48448,500529
7_Q,95580,448858,290132,64543,69872,36592,37606,2317,172,88,10714,655830
7_K,172575,526769,226053,46378,75655,36817,20247,990,172,88,125325,481235
7_A,0,382214,241864,58072,79139,36592,36920,1980,172,88,20099,855164
8_9,75225,432196,290913,61154,77639,36600,38250,2315,172,88,10436,687316
8_T,92925,451526,289249,61755,68212,36600,38246,2315,172,88,10622,660594
8_J,167265,534519,282282,54558,70101,36817,20646,1364,172,88,48465,496027
8_Q,98235,438578,284711,63393,69872,36596,37583,2316,172,88,10890,669870
8_K,176115,529274,225066,46378,75655,36817,20247,990,172,88,124769,476733
8_A,0,384906,241864,58072,79139,36592,36920,1980,172,88,20274,852297
9_T,95580,457350,274217,61679,59972,36608,38083,2313,172,88,10714,675528
9_J,170805,524052,272667,53408,63589,36820,20623,1363,172,88,47349,521368
9_Q,100890,444402,269838,63317,61632,36604,37420,2314,172,88,10982,684645
9_K,192045,529901,216486,45351,69143,36820,20224,989,172,88,123694,477391
9_A,0,389410,241813,57969,71488,36592,36920,1980,172,88,24651,851221
T_J,187620,520221,262884,52334,55472,36823,20600,1362,172,88,46459,528269
T_Q,103545,450748,250983,63377,51616,36612,37253,2312,172,88,11074,704524
T_K,214170,523089,206982,44032,61026,36823,20201,988,172,88,127600,477133
T_A,0,235472,223278,49062,61472,36600,36753,1978,172,88,190340,877089
J_Q,200010,535773,262842,52748,55472,36823,20591,1362,172,88,40879,505544
J_K,0,0,0,0,0,36952,0,0,172,88,1552535,122557
J_A,0,118080,141828,24912,63589,36820,19546,989,172,88,25574,1280706
Q_K,0,105616,132516,23593,62631,36823,19124,988,172,88,91351,1239402
Q_A,0,199602,210251,49231,63077,36600,36063,1978,172,88,7605,1107637
K_A,0,118080,140724,24912,70561,36820,19147,989,172,88,18994,1281817
