vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,0,450990,538794,177251,15287,36676,147708,15562,86,88,8155,321707
2_4,0,446054,537414,176824,15287,36676,147696,15562,86,88,7801,328816
2_5,0,441118,536034,176397,15287,36676,147684,15562,86,88,7489,335883
2_6,0,457833,544977,179224,15287,36676,147699,15563,86,88,6695,308176
2_7,0,468727,552540,181624,15287,36676,147714,15564,86,88,6634,287364
2_8,0,468727,552540,181624,15287,36676,147702,15564,86,88,6620,287390
2_9,0,470173,553101,179224,13816,36676,147681,15563,86,88,6723,289173
2_T,0,476044,555042,176397,12158,36676,147660,15562,86,88,6829,285762
2_J,0,480980,556422,176824,12158,36676,147648,15562,86,88,7017,278843
2_Q,0,485916,557802,177251,12158,36676,147636,15562,86,88,7205,271924
2_K,0,609868,657780,108930,0,37036,101470,0,86,88,24164,172882
2_A,0,336581,429276,177678,13816,36676,142044,15177,86,88,7344,553538
3_4,0,430224,528471,173997,15287,36676,147657,15561,86,88,7626,356631
3_5,0,425288,527091,173570,15287,36676,147645,15561,86,88,7329,363683
3_6,0,442003,536034,176397,15287,36676,147660,15562,86,88,6535,335976
3_7,0,452897,543597,178797,15287,36676,147675,15563,86,88,6474,315164
3_8,0,468727,552540,181624,15287,36676,147690,15564,86,88,6620,287402
3_9,0,465237,551721,178797,13816,36676,147669,15563,86,88,6535,296116
3_T,0,471108,553662,175970,12158,36676,147648,15562,86,88,6641,292705
3_J,0,476044,555042,176397,12158,36676,147636,15562,86,88,6829,285786
3_Q,0,480980,556422,176824,12158,36676,147624,15562,86,88,7017,278867
3_K,0,604745,656400,108690,0,37036,101458,0,86,88,23976,179825
3_A,0,332343,427896,177251,13816,36676,142032,15177,86,88,7156,559783
4_5,0,409458,518148,170743,15287,36676,147606,15560,86,88,7159,391493
4_6,0,426173,527091,173570,15287,36676,147621,15561,86,88,6375,363776
4_7,0,437067,534654,175970,15287,36676,147636,15562,86,88,6314,342964
4_8,0,452897,543597,178797,15287,36676,147651,15563,86,88,6460,315202
4_9,0,465237,551721,178797,13816,36676,147657,15563,86,88,6535,296128
4_T,0,466172,552282,175543,12158,36676,147636,15562,86,88,6453,299648
4_J,0,471108,553662,175970,12158,36676,147624,15562,86,88,6641,292729
4_Q,0,476044,555042,176397,12158,36676,147612,15562,86,88,6829,285810
4_K,0,599622,655020,108450,0,37036,101446,0,86,88,23788,186768
4_A,0,328105,426516,176824,13816,36676,142020,15177,86,88,6968,566028
5_6,0,410343,518148,170743,15287,36676,147582,15560,86,88,6209,391582
5_7,0,421237,525711,173143,15287,36676,147597,15561,86,88,6154,370764
5_8,0,437067,534654,175970,15287,36676,147612,15562,86,88,6300,343002
5_9,0,449407,542778,175970,13816,36676,147618,15562,86,88,6375,323928
5_T,0,466172,552282,175543,12158,36676,147624,15562,86,88,6453,299660
5_J,0,466172,552282,175543,12158,36676,147612,15562,86,88,6453,299672
5_Q,0,471108,553662,175970,12158,36676,147600,15562,86,88,6641,292753
5_K,0,594499,653640,108210,0,37036,101434,0,86,88,23600,193711
5_A,0,323867,425136,176397,13816,36676,142008,15177,86,88,6780,572273
6_7,0,411228,518148,170743,15287,36676,147558,15560,86,88,5293,391637
6_8,0,427058,527091,173570,15287,36676,147573,15561,86,88,5443,363871
6_9,0,439398,535215,173570,13816,36676,147579,15561,86,88,5518,344797
6_T,0,456163,544719,173143,12158,36676,147585,15561,86,88,5596,320529
6_J,0,471993,553662,175970,12158,36676,147600,15562,86,88,5756,292753
6_Q,0,471993,553662,175970,12158,36676,147588,15562,86,88,5756,292765
6_K,0,595384,653640,108210,0,37036,101422,0,86,88,22715,193723
6_A,0,337092,433260,179224,13816,36676,142023,15178,86,88,6054,548807
7_8,0,416164,519528,171170,15287,36676,147534,15560,86,88,5469,384742
7_9,0,428504,527652,171170,13816,36676,147540,15560,86,88,5545,365667
7_T,0,445269,537156,170743,12158,36676,147546,15560,86,88,5623,341399
7_J,0,461099,546099,173570,12158,36676,147561,15561,86,88,5783,313623
7_Q,0,476929,555042,176397,12158,36676,147576,15562,86,88,5943,285847
7_K,0,595384,653640,108210,0,37036,101410,0,86,88,22714,193736
7_A,0,332854,431880,178797,13816,36676,142011,15178,86,88,5866,555052
8_9,0,421100,520908,171597,13816,36676,147510,15560,86,88,5733,379230
8_T,0,432742,529032,171170,12158,36676,147516,15560,86,88,5811,361465
8_J,0,448572,537975,173997,12158,36676,147531,15561,86,88,5971,333689
8_Q,0,464402,546918,176824,12158,36676,147546,15562,86,88,6131,305913
8_K,0,600507,655020,108450,0,37036,101398,0,86,88,22902,186817
8_A,0,337092,433260,179224,13816,36676,141999,15178,86,88,6053,548832
9_T,0,437678,529992,160766,10614,36684,147225,15518,86,88,5927,367726
9_J,0,453508,538935,163593,10614,36684,147240,15519,86,88,6087,339950
9_Q,0,469338,547878,166420,10614,36684,147255,15520,86,88,6247,312174
9_K,0,588167,646896,107064,0,37036,101368,0,86,88,21538,210061
9_A,0,337142,433821,179651,12318,36676,141987,15178,86,88,6241,549116
T_J,0,462632,540714,149935,8910,36692,146940,15476,86,88,6203,344628
T_Q,0,478462,549657,152762,8910,36692,146955,15477,86,88,6363,316852
T_K,0,569819,637392,105438,0,37036,101338,0,86,88,19987,241120
T_A,0,341380,435201,165993,10614,36684,141687,15135,86,88,6357,559079
J_Q,0,483398,551037,153189,8910,36692,146943,15477,86,88,6551,309933
J_K,0,574942,638772,105678,0,37036,101326,0,86,88,20175,234201
J_A,0,345618,436581,166420,10614,36684,141675,15135,86,88,6545,552858
Q_K,0,580065,640152,105918,0,37036,101314,0,86,88,20363,227282
Q_A,0,349856,437961,166847,10614,36684,141663,15135,86,88,6733,546637
K_A,0,373470,509400,107544,0,37036,93614,0,86,88,14122,576944
