vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,79650,459308,312967,62928,55919,36638,38301,2348,129,88,9138,654890
2_4,76995,456616,312103,62928,55919,36638,38301,2348,129,88,8772,661467
2_5,74340,453924,311347,62928,55919,36638,38301,2348,129,88,8448,667894
2_6,71685,467336,320294,64214,51865,36634,38328,2349,129,88,7774,651608
2_7,80535,478038,320924,64566,57419,36634,38328,2349,129,88,7712,625582
2_8,80535,473848,319239,64397,56001,36634,38328,2349,129,88,7552,633204
2_9,83190,476540,318915,64397,56001,36634,38328,2349,129,88,7724,628009
2_T,98235,485706,314855,64477,46574,36634,38324,2349,129,88,7803,617130
2_J,100890,488398,314855,64477,46574,36634,38324,2349,129,88,7979,611607
2_Q,192045,561165,315093,55217,44533,36859,20676,1400,129,88,28024,457075
2_K,100005,453050,300397,64646,48179,36634,37634,2349,129,88,8320,660873
2_A,178770,550071,246060,50702,45951,36859,20277,990,129,88,99766,482641
3_4,71685,443760,308816,62407,55919,36638,38301,2348,129,88,8585,683628
3_5,69030,441068,308060,62407,55919,36638,38301,2348,129,88,8276,690040
3_6,66375,454480,317007,63693,51865,36634,38328,2349,129,88,7602,673754
3_7,75225,465182,317637,64045,57419,36634,38328,2349,129,88,7540,647728
3_8,80535,473848,318375,64397,56001,36634,38328,2349,129,88,7540,634080
3_9,80535,473848,318051,64397,56001,36634,38328,2349,129,88,7524,634420
3_T,95580,483014,313991,64477,46574,36634,38324,2349,129,88,7603,623541
3_J,98235,485706,313991,64477,46574,36634,38324,2349,129,88,7779,618018
3_Q,188505,558660,312852,55217,44533,36859,20676,1400,129,88,27806,465579
3_K,97350,450358,299533,64646,48179,36634,37634,2349,129,88,8120,667284
3_A,175230,547566,244932,50702,45951,36859,20277,990,129,88,98435,491145
4_5,63720,428212,304881,61886,55919,36638,38301,2348,129,88,8094,712088
4_6,61065,441624,313828,63172,51865,36634,38328,2349,129,88,7430,695792
4_7,69915,452326,314458,63524,57419,36634,38328,2349,129,88,7368,669766
4_8,75225,460992,315196,63876,56001,36634,38328,2349,129,88,7368,656118
4_9,80535,473848,317295,64397,56001,36634,38328,2349,129,88,7512,635188
4_T,92925,480322,313235,64477,46574,36634,38324,2349,129,88,7403,629844
4_J,95580,483014,313235,64477,46574,36634,38324,2349,129,88,7579,624321
4_Q,184965,556155,310719,55217,44533,36859,20676,1400,129,88,27588,473975
4_K,94695,447666,298777,64646,48179,36634,37634,2349,129,88,7920,673587
4_A,171690,545061,243804,50702,45951,36859,20277,990,129,88,97212,499541
5_6,55755,428768,310757,62651,51865,36634,38328,2349,129,88,7252,717728
5_7,64605,439470,311387,63003,57419,36634,38328,2349,129,88,7196,691696
5_8,69915,448136,312125,63355,56001,36634,38328,2349,129,88,7196,678048
5_9,75225,460992,314224,63876,56001,36634,38328,2349,129,88,7340,657118
5_T,92925,480322,312587,64477,46574,36634,38324,2349,129,88,7391,630504
5_J,92925,480322,312587,64477,46574,36634,38324,2349,129,88,7379,630516
5_Q,181425,553650,308694,55217,44533,36859,20676,1400,129,88,27370,482263
5_K,92040,444974,298129,64646,48179,36634,37634,2349,129,88,7720,679782
5_A,168150,542556,242676,50702,45951,36859,20277,990,129,88,96097,507829
6_7,59295,431460,309677,62651,51865,36634,38328,2349,129,88,6499,713329
6_8,64605,440126,310415,63003,50447,36634,38328,2349,129,88,6503,699677
6_9,69915,452982,312514,63524,50447,36634,38328,2349,129,88,6647,678747
6_T,87615,472312,310877,64125,41020,36634,38324,2349,129,88,6698,652133
6_J,92925,485168,313300,64646,41020,36634,38324,2349,129,88,6846,630875
