vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,66375,447008,314206,63172,81273,36634,38316,2317,129,88,12656,650130
2_4,63720,444316,313342,63172,81273,36634,38316,2317,129,88,12290,656707
2_5,61065,441624,312586,63172,81273,36634,38316,2317,129,88,11966,663134
2_6,66375,454480,314226,63693,81273,36634,38316,2317,129,88,11295,643478
2_7,71685,467336,316109,64214,81273,36634,38316,2317,129,88,11409,622794
2_8,71685,467336,315677,64214,81273,36634,38316,2317,129,88,11383,623252
2_9,79650,473474,311997,64294,73585,36634,38312,2317,129,88,11459,620365
2_T,94695,486442,308675,64543,64158,36634,38308,2317,129,88,11673,604642
2_J,97350,489134,308675,64543,64158,36634,38308,2317,129,88,11849,599119
2_Q,178770,550071,295335,54972,70101,36859,20646,1364,129,88,45188,458781
2_K,178770,550071,246060,50702,70101,36859,20277,990,129,88,99477,458780
2_A,0,392496,241099,60648,73585,36634,36932,1980,129,88,11631,857082
3_4,58410,431460,310055,62651,81273,36634,38316,2317,129,88,12103,678868
3_5,55755,428768,309299,62651,81273,36634,38316,2317,129,88,11794,685280
3_6,61065,441624,310939,63172,81273,36634,38316,2317,129,88,11123,665624
3_7,66375,454480,312822,63693,81273,36634,38316,2317,129,88,11237,644940
3_8,71685,467336,314813,64214,81273,36634,38316,2317,129,88,11371,624128
3_9,76995,470782,311133,64294,73585,36634,38312,2317,129,88,11259,626776
3_T,92040,483750,307811,64543,64158,36634,38308,2317,129,88,11473,611053
3_J,94695,486442,307811,64543,64158,36634,38308,2317,129,88,11649,605530
3_Q,175230,547566,293235,54972,70101,36859,20646,1364,129,88,44829,467285
3_K,175230,547566,244932,50702,70101,36859,20277,990,129,88,98146,467284
3_A,0,389804,241099,60648,73585,36634,36932,1980,129,88,11431,859974
4_5,50445,415912,306120,62130,81273,36634,38316,2317,129,88,11612,707328
4_6,55755,428768,307760,62651,81273,36634,38316,2317,129,88,10951,687662
4_7,61065,441624,309643,63172,81273,36634,38316,2317,129,88,11065,666978
4_8,66375,454480,311634,63693,81273,36634,38316,2317,129,88,11199,646166
4_9,76995,470782,310377,64294,73585,36634,38312,2317,129,88,11247,627544
4_T,89385,481058,307055,64543,64158,36634,38308,2317,129,88,11273,617356
4_J,92040,483750,307055,64543,64158,36634,38308,2317,129,88,11449,611833
4_Q,171690,545061,291243,54972,70101,36859,20646,1364,129,88,44470,475681
4_K,171690,545061,243804,50702,70101,36859,20277,990,129,88,96923,475680
4_A,0,387112,241099,60648,73585,36634,36932,1980,129,88,11231,862866
5_6,50445,415912,304689,62130,81273,36634,38316,2317,129,88,10773,709598
5_7,55755,428768,306572,62651,81273,36634,38316,2317,129,88,10893,688908
5_8,61065,441624,308563,63172,81273,36634,38316,2317,129,88,11027,668096
5_9,71685,457926,307306,63773,73585,36634,38312,2317,129,88,11075,649474
5_T,89385,481058,306407,64543,64158,36634,38308,2317,129,88,11261,618016
5_J,89385,481058,306407,64543,64158,36634,38308,2317,129,88,11249,618028
5_Q,168150,542556,289359,54972,70101,36859,20646,1364,129,88,44111,483969
5_K,168150,542556,242676,50702,70101,36859,20277,990,129,88,95808,483968
