vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,50445,415912,302178,61093,154033,36466,38268,2253,301,88,20189,631078
2_4,47790,413220,301314,61093,154033,36466,38268,2253,301,88,19823,637655
2_5,47790,413220,300558,61093,154033,36466,38268,2253,301,88,19686,638548
2_6,55755,428768,302198,61614,154033,36466,38268,2253,301,88,19202,613358
2_7,66375,445070,300725,62215,146345,36466,38264,2253,301,88,19220,594982
2_8,74340,453698,297675,62464,138657,36466,38260,2253,301,88,19233,588869
2_9,85845,465674,294598,62652,130969,36466,38256,2253,301,88,19640,575562
2_T,153990,518967,258447,51684,132345,36691,20586,1292,301,88,90238,447675
2_J,153990,480327,216111,41680,132345,36691,20217,990,301,88,181890,447674
2_Q,0,366358,234739,55074,130969,36466,36876,1980,301,88,41528,807925
2_K,0,331844,236811,52934,138657,36466,36880,1980,301,88,37698,838645
2_A,0,282068,236865,50639,146345,36466,36884,1980,301,88,39655,881013
3_4,42480,400364,298027,60572,154033,36466,38268,2253,301,88,19636,659816
3_5,42480,400364,297271,60572,154033,36466,38268,2253,301,88,19514,660694
3_6,50445,415912,298911,61093,154033,36466,38268,2253,301,88,19030,635504
3_7,61065,432214,297438,61694,146345,36466,38264,2253,301,88,19048,617128
3_8,74340,453698,296811,62464,138657,36466,38260,2253,301,88,19221,589745
3_9,83190,462982,293734,62652,130969,36466,38256,2253,301,88,19440,581973
3_T,150450,516462,256629,51684,132345,36691,20586,1292,301,88,89597,456179
3_J,150450,477822,215265,41680,132345,36691,20217,990,301,88,180277,456178
3_Q,0,363666,234739,55074,130969,36466,36876,1980,301,88,41328,810817
3_K,0,329152,236811,52934,138657,36466,36880,1980,301,88,37498,841537
3_A,0,279376,236865,50639,146345,36466,36884,1980,301,88,39455,883905
4_5,37170,387508,294092,60051,154033,36466,38268,2253,301,88,19332,682742
4_6,45135,403056,295732,60572,154033,36466,38268,2253,301,88,18858,657542
4_7,55755,419358,294259,61173,146345,36466,38264,2253,301,88,18876,639166
4_8,69030,440842,293632,61943,138657,36466,38260,2253,301,88,19049,611783
4_9,83190,462982,292978,62652,130969,36466,38256,2253,301,88,19428,582741
4_T,146910,513957,254919,51684,132345,36691,20586,1292,301,88,88956,464575
4_J,146910,475317,214419,41680,132345,36691,20217,990,301,88,178772,464574
4_Q,0,360974,234739,55074,130969,36466,36876,1980,301,88,41128,813709
4_K,0,326460,236811,52934,138657,36466,36880,1980,301,88,37298,844429
4_A,0,277374,236865,50639,146345,36466,36884,1980,301,88,38565,886797
5_6,45135,403056,295084,60572,154033,36466,38268,2253,301,88,18840,658208
5_7,50445,410692,292441,60821,146345,36466,38264,2253,301,88,18864,655324
5_8,61065,430140,291814,61591,138657,36466,38260,2253,301,88,19037,632632
5_9,74340,452280,291160,62300,130969,36466,38256,2253,301,88,19416,604475
5_T,146910,513957,253317,51684,132345,36691,20586,1292,301,88,88503,466630
5_J,146910,475317,213573,41680,132345,36691,20217,990,301,88,177562,466630
5_Q,0,360974,234739,55074,130969,36466,36876,1980,301,88,41115,813722
5_K,0,326460,236811,52934,138657,36466,36880,1980,301,88,37285,844442
