vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,55755,428768,308174,62285,124625,36508,38280,2285,258,88,16070,639208
2_4,53100,426076,307310,62285,124625,36508,38280,2285,258,88,15704,645785
2_5,53100,426076,306554,62285,124625,36508,38280,2285,258,88,15567,646678
2_6,61065,437434,306941,62637,123207,36508,38280,2285,258,88,14949,628652
2_7,66375,450290,308824,63158,123207,36508,38280,2285,258,88,15063,607968
2_8,74340,455772,305036,63238,115519,36508,38276,2285,258,88,14941,606043
2_9,85845,467092,302094,63487,107831,36508,38272,2285,258,88,15152,593392
2_T,162840,532014,276141,53697,101223,36733,20616,1328,258,88,74835,452531
2_J,98235,448940,284995,63844,100009,36508,37578,2285,258,88,15727,623837
2_Q,162840,493374,217779,42094,108195,36733,20217,990,258,88,177207,452529
2_K,0,367116,238928,55407,109249,36508,36892,1980,258,88,34832,831046
2_A,0,320790,238982,52685,116937,36508,36896,1980,258,88,36789,870391
3_4,47790,413220,304023,61764,124625,36508,38280,2285,258,88,15517,667946
3_5,47790,413220,303267,61764,124625,36508,38280,2285,258,88,15395,668824
3_6,55755,424578,303654,62116,123207,36508,38280,2285,258,88,14777,650798
3_7,61065,437434,305537,62637,123207,36508,38280,2285,258,88,14891,630114
3_8,74340,455772,304172,63238,115519,36508,38276,2285,258,88,14929,606919
3_9,83190,464400,301230,63487,107831,36508,38272,2285,258,88,14952,599803
3_T,159300,529509,274182,53697,101223,36733,20616,1328,258,88,74335,461035
3_J,95580,446248,284131,63844,100009,36508,37578,2285,258,88,15527,630248
3_Q,159300,490869,216933,42094,108195,36733,20217,990,258,88,175594,461033
3_K,0,364424,238928,55407,109249,36508,36892,1980,258,88,34632,833938
3_A,0,318098,238982,52685,116937,36508,36896,1980,258,88,36589,873283
4_5,42480,400364,300088,61243,124625,36508,38280,2285,258,88,15213,690872
4_6,50445,411722,300475,61595,123207,36508,38280,2285,258,88,14605,672836
4_7,55755,424578,302358,62116,123207,36508,38280,2285,258,88,14719,652152
4_8,69030,442916,300993,62717,115519,36508,38276,2285,258,88,14757,628957
4_9,83190,464400,300474,63487,107831,36508,38272,2285,258,88,14940,600571
4_T,155760,527004,272331,53697,101223,36733,20616,1328,258,88,73835,469431
4_J,92925,443556,283375,63844,100009,36508,37578,2285,258,88,15327,636551
4_Q,155760,488364,216087,42094,108195,36733,20217,990,258,88,174089,469429
4_K,0,361732,238928,55407,109249,36508,36892,1980,258,88,34432,836830
4_A,0,315406,238982,52685,116937,36508,36896,1980,258,88,36389,876175
5_6,45135,403056,298657,61243,123207,36508,38280,2285,258,88,14587,689000
5_7,50445,415912,300540,61764,123207,36508,38280,2285,258,88,14707,668310
5_8,61065,432214,299175,62365,115519,36508,38276,2285,258,88,14745,649806
5_9,74340,453698,298656,63135,107831,36508,38272,2285,258,88,14928,622305
5_T,155760,527004,270588,53697,101223,36733,20616,1328,258,88,73523,471486
5_J,92925,443556,282727,63844,100009,36508,37578,2285,258,88,15314,637212
5_Q,155760,488364,215241,42094,108195,36733,20217,990,258,88,172879,471485
