vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,232560,181845,30690,37440,34656,16242,1241,301,0,62447,1114882
2_3,183360,530432,238114,49380,37440,36006,20517,1220,301,0,164718,450816
2_4,183360,530432,237142,49380,37440,36006,20517,1220,301,0,164479,452027
2_5,183360,526290,235077,49194,35659,36006,20517,1220,301,0,164146,460534
2_6,201600,540786,234795,49448,33878,36006,20517,1220,301,0,158137,435616
2_7,216000,552594,235137,49702,32097,36006,20517,1220,301,0,159854,408876
2_8,220800,549568,233396,49516,30316,36006,20517,1220,301,0,167973,402691
2_9,0,0,0,0,0,36141,0,0,301,0,1639420,36442
2_T,0,131760,156218,27876,30556,36006,19449,990,301,0,121506,1187642
2_J,0,135360,157419,28062,32337,36006,19449,990,301,0,89195,1213185
2_Q,0,138960,158620,28248,34118,36006,19449,990,301,0,66488,1229124
2_K,0,142560,159821,28434,34939,36006,19449,990,301,0,48397,1241407
2_A,0,142560,159821,28434,29952,36006,19449,990,301,0,27974,1266817
3_3,0,146880,217856,44268,43928,32951,33438,2209,301,0,36892,1153581
3_4,91200,387560,276833,61608,45604,35789,36768,2189,301,0,55886,718566
3_5,91200,383596,274590,61422,43823,35789,36768,2189,301,0,55571,727055
3_6,94080,392098,282077,62632,43125,35785,36768,2189,301,0,54903,708346
3_7,97920,397542,288293,63656,37804,35781,36768,2189,301,0,54811,697239
3_8,111360,406996,287643,63848,41730,35781,36768,2189,301,0,54980,670708
3_9,0,138240,141718,28248,11414,36006,18900,990,301,0,856387,480100
3_T,0,198516,242301,52200,41970,35781,36078,1980,301,0,35033,1068144
3_J,0,201218,243680,52386,43751,35781,36078,1980,301,0,23888,1073241
3_Q,0,203920,245059,52572,45532,35781,36078,1980,301,0,17019,1074062
3_K,0,206622,246438,52758,46353,35781,36078,1980,301,0,12566,1073427
3_A,0,203386,239682,51734,39741,35785,36078,1980,301,0,8536,1095081
4_4,0,146880,212276,44268,43928,32951,33414,2209,301,0,30498,1165579
4_5,85440,374764,272457,61044,43823,35789,36768,2189,301,0,55350,744379
4_6,85440,381058,279944,62254,43125,35785,36768,2189,301,0,54682,730758
4_7,88320,386502,286160,63278,37804,35781,36768,2189,301,0,54590,720611
4_8,101760,395956,285510,63470,41730,35781,36768,2189,301,0,54759,694080
4_9,0,138240,141718,28248,11414,36006,18900,990,301,0,851882,484605
4_T,0,198516,242301,52200,41970,35781,36078,1980,301,0,34812,1068365
4_J,0,201218,243680,52386,43751,35781,36078,1980,301,0,23667,1073462
4_Q,0,203920,245059,52572,45532,35781,36078,1980,301,0,16798,1074283
4_K,0,206622,246438,52758,46353,35781,36078,1980,301,0,12345,1073648
4_A,0,203386,239682,51734,39741,35785,36078,1980,301,0,8315,1095302
5_5,0,143280,205857,44082,39684,32961,33390,2209,301,0,24636,1185904
5_6,85440,368438,270105,61044,41500,35789,36768,2189,301,0,54413,756317
5_7,88320,373882,276321,62068,36179,35785,36768,2189,301,0,54321,746170
5_8,101760,368456,275671,61812,40105,35785,36768,2189,301,0,69818,719639
5_9,0,134640,140517,28062,11414,36006,18900,990,301,0,741454,600020
5_T,0,198516,242301,52200,40127,35781,36078,1980,301,0,34675,1070345
5_J,0,197796,242301,52200,41970,35781,36078,1980,301,0,23352,1080545
5_Q,0,200498,243680,52386,43751,35781,36078,1980,301,0,16483,1081366
5_K,0,203200,245059,52572,44572,35781,36078,1980,301,0,12030,1080731
5_A,0,199964,238303,51548,37960,35785,36078,1980,301,0,8000,1102385
6_6,0,138960,200520,44082,39204,32961,33366,2209,301,0,19244,1201457
6_7,88320,354244,267969,60660,28847,35789,36768,2189,301,0,65111,772106
6_8,97920,336938,267319,59956,39541,35789,36768,2189,301,0,76144,759439
6_9,0,135360,140517,28062,12475,36006,18900,990,301,0,599333,740360
6_T,0,192028,235017,51176,39563,35785,36078,1980,301,0,33921,1086455
6_J,0,201938,243680,52386,41188,35781,36078,1980,301,0,22730,1076242
6_Q,0,201218,243680,52386,43031,35781,36078,1980,301,0,15683,1082166
6_K,0,203920,245059,52572,43852,35781,36078,1980,301,0,11230,1081531
6_A,0,208062,246438,52758,37262,35781,36078,1980,301,0,7332,1086312
7_7,0,135360,195723,44082,32196,32961,33342,2209,301,0,15360,1220770
7_8,97920,297980,259183,57716,32929,35793,36768,2189,301,0,84604,806921
7_9,0,135360,140517,28062,7488,36006,18900,990,301,0,470418,874262
7_T,0,185540,227733,50152,32951,35789,36078,1980,301,0,33921,1107859
7_J,0,195450,236396,51362,34576,35785,36078,1980,301,0,22730,1097646
7_Q,0,205360,245059,52572,36201,35781,36078,1980,301,0,15815,1083157
7_K,0,204640,245059,52572,37084,35781,36078,1980,301,0,11184,1087625
7_A,0,205902,245059,52572,30316,35781,36078,1980,301,0,7108,1097207
8_8,0,131760,190924,43896,35440,32971,33318,2209,301,0,12122,1229363
8_9,0,131760,139316,27876,14976,36006,18900,990,301,0,360014,982165
8_T,0,175630,219178,48942,38814,35793,36078,1980,301,0,33764,1121824
8_J,0,185540,227841,50152,40439,35789,36078,1980,301,0,22573,1111611
8_Q,0,195450,236504,51362,42064,35785,36078,1980,301,0,15658,1097122
8_K,0,205360,245059,52572,42969,35781,36078,1980,301,0,11159,1081045
8_A,0,203200,243680,52386,36023,35781,36078,1980,301,0,6905,1095970
9_9,0,0,0,30690,14976,34656,7920,990,301,0,61774,1560997
9_T,0,131760,139316,27876,14976,36006,18900,990,301,0,125504,1216675
9_J,0,135360,140517,28062,14976,36006,18900,990,301,0,100913,1236279
9_Q,0,138960,141718,28248,14976,36006,18900,990,301,0,79690,1252515
9_K,0,142560,142919,28434,14976,36006,18900,990,301,0,62627,1264591
9_A,0,142560,142919,28434,13195,36006,18900,990,301,0,44497,1284502
T_T,0,0,62872,43896,35920,32971,27432,1978,301,0,7882,1499052
T_J,0,136800,203374,48756,40835,35793,35388,1980,301,0,20170,1188907
T_Q,0,144000,211617,49966,42460,35789,35388,1980,301,0,15387,1175416
T_K,0,151200,219860,51176,43365,35785,35388,1980,301,0,11096,1162153
T_A,0,156240,226616,52200,38044,35781,35388,1980,301,0,7118,1158636
J_J,0,0,63414,44082,40164,32961,27432,1978,301,0,6692,1495280
J_Q,0,146160,212996,50152,44241,35789,35388,1980,301,0,15554,1169743
J_K,0,153360,221239,51362,45146,35785,35388,1980,301,0,11263,1156480
J_A,0,158400,227995,52386,39825,35781,35388,1980,301,0,7285,1152963
Q_Q,0,0,63956,44268,44408,32951,27432,1978,301,0,6366,1490644
Q_K,0,155520,222618,51548,45967,35785,35388,1980,301,0,11430,1151767
Q_A,0,160560,229374,52572,40646,35781,35388,1980,301,0,7452,1148250
K_K,0,0,64498,44454,47692,32941,27432,1978,301,0,6472,1486536
K_A,0,163440,230753,52758,35659,35781,35388,1980,301,0,7619,1148625
A_A,0,0,64498,44454,40684,32941,27432,1978,301,0,6220,1493796
