vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,234000,202257,30690,23424,34739,16278,1361,172,44,42361,1126978
2_3,190080,585428,281422,57212,23424,36089,20607,1328,172,44,64242,452256
2_4,186240,582740,280450,57212,23424,36089,20607,1328,172,44,63763,460235
2_5,182400,580052,279586,57212,23424,36089,20607,1328,172,44,63368,468022
2_6,192960,594034,280505,57652,23424,36089,20607,1328,172,44,57297,448192
2_7,202560,608016,282048,58092,23424,36089,20607,1328,172,44,59192,420732
2_8,202560,603874,280307,57906,21643,36089,20607,1328,172,44,66459,421315
2_9,210240,604388,278674,57720,19862,36089,20607,1328,172,44,66488,416692
2_T,219840,604182,277149,57534,17841,36089,20607,1328,172,44,66520,410998
2_J,223680,606870,276933,57534,17841,36089,20607,1328,172,44,66731,404475
2_Q,0,0,0,0,0,36224,0,0,172,44,1639424,36440
2_K,0,140400,159268,28248,19862,36089,19539,990,172,44,48851,1258841
2_A,0,140400,159268,28248,21643,36089,19539,990,172,44,28428,1277483
3_3,0,148320,234380,44268,29912,33034,33474,2317,172,44,20706,1165677
3_4,93120,410948,289901,65640,31588,35872,36804,2285,172,44,18436,727494
3_5,90240,408020,289037,65640,31588,35872,36804,2285,172,44,18059,734543
3_6,87360,415350,297903,67036,32671,35868,36804,2285,172,44,17329,719482
3_7,87360,422550,305498,68246,29131,35864,36804,2285,172,44,17415,706935
3_8,96960,430168,304848,68438,33057,35864,36804,2285,172,44,17212,686452
3_9,99840,428412,303037,68252,31276,35864,36804,2285,172,44,17019,689299
3_T,107520,428864,301334,68066,29255,35864,36804,2285,172,44,17069,685027
3_J,110400,431792,301118,68066,29255,35864,36804,2285,172,44,17298,679206
3_Q,0,139680,141718,28248,11414,36089,18900,990,172,44,853511,481538
3_K,0,207520,245707,52572,31276,35864,36114,1980,172,44,13074,1087981
3_A,0,203564,238951,51548,31432,35868,36114,1980,172,44,9044,1103587
4_4,0,147600,225344,44268,29912,33034,33450,2317,172,44,17288,1178875
4_5,84480,395224,285525,65076,31588,35872,36804,2285,172,44,17660,757574
4_6,81600,402554,294391,66472,32671,35868,36804,2285,172,44,16930,742513
4_7,81600,409754,301986,67682,29131,35864,36804,2285,172,44,17016,729966
4_8,91200,417372,301336,67874,33057,35864,36804,2285,172,44,16813,709483
4_9,99840,428412,302173,68252,31276,35864,36804,2285,172,44,16798,690384
4_T,104640,425936,300470,68066,29255,35864,36804,2285,172,44,16608,692160
4_J,107520,428864,300254,68066,29255,35864,36804,2285,172,44,16837,686339
4_Q,0,138960,141718,28248,11414,36089,18900,990,172,44,842958,492811
4_K,0,206080,245707,52572,31276,35864,36114,1980,172,44,12613,1089882
4_A,0,202124,238951,51548,31432,35868,36114,1980,172,44,8583,1105488
5_5,0,146880,217280,44268,29912,33034,33426,2317,172,44,14326,1190645
5_6,75840,389758,290987,65908,32671,35868,36804,2285,172,44,16615,765352
5_7,75840,396958,298582,67118,29131,35864,36804,2285,172,44,16701,752805
5_8,85440,404576,297932,67310,33057,35864,36804,2285,172,44,16498,732322
5_9,94080,415616,298769,67688,31276,35864,36804,2285,172,44,16483,713223
5_T,104640,425936,299714,68066,29255,35864,36804,2285,172,44,16471,693053
5_J,104640,411056,299498,67618,29255,35864,36804,2285,172,44,31788,693280
