vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,232560,188757,30690,38400,34655,16254,1281,258,44,55483,1113922
2_3,182400,560456,251170,52668,38400,36005,20547,1256,258,44,118284,450816
2_4,178560,557768,250198,52668,38400,36005,20547,1256,258,44,117805,458795
2_5,178560,557768,249334,52668,38400,36005,20547,1256,258,44,117650,459814
2_6,192960,570296,249052,52922,36619,36005,20547,1256,258,44,111641,440704
2_7,206400,582104,249394,53176,34838,36005,20547,1256,258,44,113358,414924
2_8,211200,579930,247653,52990,33057,36005,20547,1256,258,44,120625,408739
2_9,219840,579592,246020,52804,31276,36005,20547,1256,258,44,121506,403156
2_T,0,0,0,0,0,36140,0,0,258,44,1639420,36442
2_J,0,131760,156542,27876,31276,36005,19479,990,258,44,90079,1217995
2_Q,0,135360,157743,28062,33057,36005,19479,990,258,44,66520,1234786
2_K,0,138960,158944,28248,34838,36005,19479,990,258,44,48429,1246109
2_A,0,138960,158944,28248,36619,36005,19479,990,258,44,28006,1264751
3_3,0,146880,223472,44268,44888,32950,33450,2245,258,44,31228,1152621
3_4,87360,398024,281297,63400,46564,35788,36780,2221,258,44,35954,724614
3_5,87360,398024,280433,63400,46564,35788,36780,2221,258,44,35817,725615
3_6,87360,404318,287920,64610,45866,35784,36780,2221,258,44,35149,711994
3_7,90240,409762,294136,65634,40545,35780,36780,2221,258,44,35057,701847
3_8,103680,419588,293486,65826,44471,35780,36780,2221,258,44,34854,675316
3_9,107520,417460,291675,65640,42690,35780,36780,2221,258,44,35033,677203
3_T,0,138240,141718,28248,11414,36005,18900,990,258,44,856387,480100
3_J,0,199236,242625,52200,42690,35780,36090,1980,258,44,24310,1077091
3_Q,0,201938,244004,52386,44471,35780,36090,1980,258,44,17069,1078284
3_K,0,204640,245383,52572,46252,35780,36090,1980,258,44,12616,1076689
3_A,0,200684,238627,51548,46408,35784,36090,1980,258,44,8586,1092295
4_4,0,146160,216740,44268,44888,32950,33426,2245,258,44,25506,1165819
4_5,81600,385228,276921,62836,46564,35788,36780,2221,258,44,35418,748646
4_6,81600,391522,284408,64046,45866,35784,36780,2221,258,44,34750,735025
4_7,84480,396966,290624,65070,40545,35780,36780,2221,258,44,34658,724878
4_8,97920,406792,289974,65262,44471,35780,36780,2221,258,44,34455,698347
4_9,107520,417460,290811,65640,42690,35780,36780,2221,258,44,34812,678288
4_T,0,137520,141718,28248,11414,36005,18900,990,258,44,845834,491373
4_J,0,197796,242625,52200,42690,35780,36090,1980,258,44,23849,1078992
4_Q,0,200498,244004,52386,44471,35780,36090,1980,258,44,16608,1080185
4_K,0,203200,245383,52572,46252,35780,36090,1980,258,44,12155,1078590
4_A,0,199244,238627,51548,46408,35784,36090,1980,258,44,8125,1094196
5_5,0,146160,210692,44268,44888,32950,33402,2245,258,44,21008,1176389
5_6,75840,382690,282383,63668,45866,35784,36780,2221,258,44,34613,752157
