vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,289440,338438,44268,29912,33355,39126,2354,172,44,16289,918906
2_3,193920,588116,310039,58220,15936,36410,20646,1364,172,44,55008,432429
2_4,105600,463940,309590,66466,29807,36193,37518,2317,172,44,14045,646612
2_5,102720,461012,308726,66466,29807,36193,37518,2317,172,44,13668,653661
2_6,99840,471594,318012,67862,31610,36189,37518,2317,172,44,12938,634208
2_7,96960,478034,326027,69072,32515,36185,37518,2317,172,44,12784,620676
2_8,96960,478576,325487,69072,27350,36185,37518,2317,172,44,12759,625864
2_9,96960,474612,323676,68886,33057,36185,37518,2317,172,44,12566,626311
2_T,103680,475064,321973,68700,31036,36185,37518,2317,172,44,12616,622999
2_J,106560,477992,321757,68700,31036,36185,37518,2317,172,44,12845,617178
2_Q,109440,480920,321649,68700,31036,36185,37518,2317,172,44,13074,611249
2_K,0,204356,173128,28248,18902,36410,20007,990,172,44,852073,377974
2_A,0,246738,253651,51548,31432,36189,36828,1980,172,44,9273,1044449
3_3,0,234000,197181,30690,15936,35060,16278,1401,172,44,40548,1140994
3_4,180480,571446,295455,57780,15936,36410,20637,1364,172,44,50619,481961
3_5,176640,568758,294591,57780,15936,36410,20637,1364,172,44,50224,489748
3_6,187200,582740,295510,58220,15936,36410,20637,1364,172,44,44153,469918
3_7,192960,594034,297053,58660,15936,36410,20637,1364,172,44,45808,449226
3_8,202560,608016,298704,59100,15936,36410,20637,1364,172,44,47724,421637
3_9,202560,603874,297071,58914,14155,36410,20637,1364,172,44,55001,422102
3_T,211200,603668,295546,58728,12134,36410,20637,1364,172,44,55033,417368
3_J,215040,606356,295330,58728,12134,36410,20637,1364,172,44,55244,410845
3_Q,218880,609044,295222,58728,12134,36410,20637,1364,172,44,55455,404214
3_K,0,0,0,0,0,36545,0,0,172,44,1638782,36761
3_A,0,140400,159268,28248,14155,36410,19569,990,172,44,35243,1277805
4_4,0,149040,228942,44082,25668,33365,33474,2353,172,44,12903,1182261
4_5,96960,403076,282691,64692,28182,36197,36828,2317,172,44,12803,748342
4_6,94080,410406,291557,66088,29985,36193,36828,2317,172,44,12073,732561
4_7,91200,414136,299152,67298,30890,36189,36828,2317,172,44,11919,722159
4_8,91200,421336,306855,68508,27350,36185,36828,2317,172,44,12026,709483
4_9,100800,428954,306313,68700,31276,36185,36828,2317,172,44,11833,688882
4_T,104640,426478,304610,68514,29255,36185,36828,2317,172,44,11643,691618
4_J,107520,429406,304394,68514,29255,36185,36828,2317,172,44,11872,685797
4_Q,110400,432334,304286,68514,29255,36185,36828,2317,172,44,12101,679868
4_K,0,136080,142758,28062,17121,36410,18930,990,172,44,845517,486220
4_A,0,200862,238328,51362,29651,36189,36138,1980,172,44,8300,1109278
5_5,0,148320,219870,44082,25668,33365,33450,2353,172,44,10949,1194031
