vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,286560,344164,44268,41644,33672,39174,2390,257,44,9775,910356
2_3,102720,495352,332988,66280,40701,36510,38256,2349,257,44,9102,587745
2_4,106560,492334,330745,66094,38920,36510,38256,2349,257,44,8703,591532
2_5,110400,490036,328610,65908,37139,36510,38256,2349,257,44,8388,594407
2_6,200640,599410,331559,58660,8448,36727,20676,1400,257,44,50544,403939
2_7,111360,476058,326464,68514,37161,36502,37566,2349,257,44,7434,608595
2_8,103680,471642,325924,68514,39004,36502,37566,2349,257,44,7169,619653
2_9,99840,473398,326871,68700,40785,36502,37566,2349,257,44,7332,618660
2_T,96960,470470,326547,68700,39585,36502,37566,2349,257,44,7320,626004
2_J,96960,474434,327710,68886,34598,36502,37566,2349,257,44,7487,625511
2_Q,96960,474434,327602,68886,42086,36502,37566,2349,257,44,7476,618142
2_K,99840,477362,327602,68886,42086,36502,37566,2349,257,44,7705,612105
2_A,95040,283666,190493,31080,35659,36727,20097,990,257,44,614265,403986
3_3,0,282960,332417,44082,37400,33682,39126,2390,257,44,8559,931387
3_4,106560,479714,320798,64884,37295,36514,38256,2349,257,44,8237,617396
3_5,110400,477416,318663,64698,35514,36514,38256,2349,257,44,7922,620271
3_6,191040,585428,327127,58220,8448,36727,20676,1400,257,44,48233,434704
3_7,111360,466148,316937,67304,35536,36506,37566,2349,257,44,6968,631329
3_8,108480,472588,325060,68514,37161,36502,37566,2349,257,44,6835,616948
3_9,103680,470922,324628,68514,39004,36502,37566,2349,257,44,6820,622018
3_T,100800,467994,324304,68514,37804,36502,37566,2349,257,44,6808,629362
3_J,100800,471958,325467,68700,32817,36502,37566,2349,257,44,6975,628869
3_Q,100800,471958,325359,68700,40305,36502,37566,2349,257,44,6964,621500
3_K,103680,474886,325359,68700,40305,36502,37566,2349,257,44,7193,615463
3_A,95040,279524,189010,30894,33878,36727,20097,990,257,44,611776,414067
4_4,0,280080,321822,43896,33156,33692,39078,2390,257,44,7569,950320
4_5,110400,465338,308824,63488,33889,36518,38256,2349,257,44,7569,645372
4_6,181440,571446,322803,57780,8448,36727,20676,1400,257,44,46035,465248
4_7,111360,456780,307518,66094,33911,36510,37566,2349,257,44,6615,653300
4_8,108480,463220,315641,67304,35536,36506,37566,2349,257,44,6482,638919
4_9,108480,472588,323872,68514,37161,36502,37566,2349,257,44,6599,618372
4_T,104640,466238,322169,68328,36023,36502,37566,2349,257,44,6409,631779
4_J,104640,470202,323332,68514,31036,36502,37566,2349,257,44,6576,631286
4_Q,104640,470202,323224,68514,38524,36502,37566,2349,257,44,6565,623917
4_K,107520,473130,323224,68514,38524,36502,37566,2349,257,44,6794,617880
4_A,98880,276606,187527,30708,32097,36727,20097,990,257,44,610252,418119
5_5,0,277200,312379,43710,28912,33702,39030,2390,257,44,6747,967933
5_6,171840,557464,318587,57340,8448,36727,20676,1400,257,44,43921,495600
5_7,111360,447412,298207,64884,32286,36514,37566,2349,257,44,6346,675079
5_8,108480,453852,306330,66094,33911,36510,37566,2349,257,44,6213,660698
5_9,108480,463220,314561,67304,35536,36506,37566,2349,257,44,6330,640151
5_T,108480,467904,321521,68328,34420,36502,37566,2349,257,44,6272,628661
5_J,108480,468446,321305,68328,29255,36502,37566,2349,257,44,6261,633511
5_Q,108480,468446,321197,68328,36743,36502,37566,2349,257,44,6250,626142
5_K,111360,471374,321197,68328,36743,36502,37566,2349,257,44,6479,620105
5_A,100800,272464,186044,30522,30316,36727,20097,990,257,44,613024,421019
6_6,0,233280,171261,30690,8448,35377,16254,1441,257,44,46682,1168570
6_7,172800,557464,309056,57340,8448,36727,20667,1400,257,44,34981,513120
6_8,178560,568758,310707,57780,8448,36727,20667,1400,257,44,36657,492299
6_9,188160,582740,312466,58220,8448,36727,20667,1400,257,44,38583,464592
6_T,197760,591860,313132,58474,6427,36727,20667,1400,257,44,40334,445222
6_J,207360,605842,315107,58914,6427,36727,20667,1400,257,44,42264,417295
6_Q,207360,605842,314999,58914,6427,36727,20667,1400,257,44,49723,409944
6_K,211200,608530,314999,58914,6427,36727,20667,1400,257,44,49934,403205
6_A,0,0,0,0,0,36862,0,0,257,44,1637978,37163
7_7,0,149040,205972,43896,29392,33692,33450,2389,257,44,5043,1209129
7_8,97920,403254,282835,64692,34307,36514,36876,2349,257,44,5235,748021
7_9,97920,409912,290646,65902,35932,36510,36876,2349,257,44,5352,730604
7_T,97920,411886,297186,66926,34816,36506,36876,2349,257,44,5294,722244
7_J,97920,419086,305213,68136,31276,36502,36876,2349,257,44,5415,709230
7_Q,107520,430668,306374,68514,36983,36502,36876,2349,257,44,5404,680813
7_K,107520,356268,306374,65826,36983,36502,36876,2349,257,44,82481,680824
7_A,0,132480,147632,27876,30556,36727,19020,990,257,44,475309,841413
8_8,0,147600,200214,44082,33636,33682,33426,2389,257,44,4677,1212297
8_9,88320,398330,288945,65524,37713,36510,36876,2349,257,44,5327,752109
8_T,88320,400304,295485,66548,36597,36506,36876,2349,257,44,5269,743749
8_J,88320,407504,303512,67758,33057,36502,36876,2349,257,44,5390,730735
8_Q,97920,346174,304673,66216,38764,36502,36876,2349,257,44,80211,702318
8_K,103680,323258,307321,64220,38764,36502,36876,2349,257,44,43050,755983
8_A,0,135360,148833,28062,32337,36727,19020,990,257,44,351334,959340
9_9,0,146880,195716,44268,37880,33672,33402,2389,257,44,4811,1212985
9_T,75840,390478,295271,66356,37418,36506,36876,2349,257,44,5432,765477
9_J,75840,325510,303298,65262,33878,36502,36876,2349,257,44,80025,752463
9_Q,84480,302124,304459,63464,40545,36502,36876,2349,257,44,42302,798902
9_K,90240,282184,307107,61788,40545,36502,36876,2349,257,44,40685,813727
9_A,0,138960,150034,28248,34118,36727,19020,990,257,44,258741,1045165
T_T,0,141840,191099,44268,36440,33672,33378,2389,257,44,4595,1224322
T_J,75840,279636,293999,61876,27088,36506,36876,2349,257,44,39371,858462
T_Q,81600,257762,295160,60014,39563,36506,36876,2349,257,44,36832,865341
T_K,87360,246006,297808,57890,39563,36506,36876,2349,257,44,30007,877638
T_A,0,138240,150034,28248,34939,36727,19020,990,257,44,174356,1129449
J_J,0,141840,189121,44454,33676,33662,33354,2389,257,44,4737,1228770
J_Q,81600,242584,296431,57576,34576,36506,36876,2349,257,44,26967,896538
J_K,87360,238268,299079,55004,34576,36506,36876,2349,257,44,20142,901843
J_A,0,141840,151235,28434,29952,36727,19020,990,257,44,126691,1177114
Q_Q,0,141840,187861,44454,41164,33662,33330,2389,257,44,4763,1222540
Q_K,87360,238268,299079,51548,42064,36506,36876,2349,257,44,9355,908598
Q_A,0,141840,151235,28434,37440,36727,19020,990,257,44,92592,1203725
K_K,0,142560,187861,44454,41164,33662,33306,2389,257,44,5029,1221578
K_A,0,142560,151235,28434,37440,36727,19020,990,257,44,73221,1222376
A_A,0,0,0,30690,37440,35377,7968,990,257,44,15247,1584291
