vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,283680,327856,44268,83942,33601,39150,2282,344,44,25205,871932
2_3,72000,484116,331416,66408,82973,36451,38232,2253,344,44,24140,573927
2_4,72000,479610,329173,66222,81192,36451,38232,2253,344,44,23741,583042
2_5,74880,477312,327038,66036,79411,36451,38232,2253,344,44,23426,586877
2_6,84480,494120,328894,66600,79411,36451,38232,2253,344,44,22948,558527
2_7,192960,588922,276164,55760,56583,36676,20586,1292,344,44,106111,376862
2_8,103680,470494,309863,67076,70227,36451,37538,2253,344,44,22745,591589
2_9,103680,470494,309539,67076,70227,36451,37538,2253,344,44,22730,591928
2_T,104640,469402,309215,67076,69987,36451,37538,2253,344,44,23090,592264
2_J,153600,358570,199241,33986,55623,36676,20127,990,344,44,476226,376877
2_Q,0,287416,264069,53916,75485,36451,36852,1980,344,44,49306,906441
2_K,0,262864,264069,53020,81192,36451,36852,1980,344,44,36787,938701
2_A,0,244586,263232,52386,82973,36451,36852,1980,344,44,18807,974649
3_3,0,280080,319565,44082,79698,33611,39102,2282,344,44,20533,892963
3_4,72000,466990,319226,65012,79567,36455,38232,2253,344,44,23275,608906
3_5,74880,464692,317091,64826,77786,36455,38232,2253,344,44,22960,612741
3_6,84480,481500,318947,65390,77786,36455,38232,2253,344,44,22482,584391
3_7,183360,574940,272155,55320,56583,36676,20586,1292,344,44,103377,407627
3_8,103680,469952,308999,67076,68384,36451,37538,2253,344,44,22411,595172
3_9,103680,466530,307296,66890,68446,36451,37538,2253,344,44,22218,600614
3_T,104640,465438,306972,66890,68206,36451,37538,2253,344,44,22578,600950
3_J,153600,354428,197617,33800,53842,36676,20127,990,344,44,473878,386958
3_Q,0,283452,262690,53730,73704,36451,36852,1980,344,44,48794,914263
3_K,0,258900,262690,52834,79411,36451,36852,1980,344,44,36275,946523
3_A,0,240622,261853,52200,81192,36451,36852,1980,344,44,18295,982471
4_4,0,277200,311994,43896,75454,33621,39054,2282,344,44,16519,911896
4_5,74880,452614,307252,63616,76161,36459,38232,2253,344,44,22607,637842
4_6,84480,469422,309108,64180,76161,36459,38232,2253,344,44,22129,609492
4_7,173760,560958,268254,54880,56583,36676,20586,1292,344,44,100756,438171
4_8,103680,460584,299580,65866,66759,36455,37538,2253,344,44,22058,617143
4_9,107520,468196,306540,66890,66603,36451,37538,2253,344,44,21997,597928
4_T,107520,463682,304837,66704,66425,36451,37538,2253,344,44,22179,604327
4_J,157440,352254,195993,33614,52061,36676,20127,990,344,44,471751,391010
4_Q,0,280952,261311,53544,71923,36451,36852,1980,344,44,49139,919764
4_K,0,255656,261311,52648,77630,36451,36852,1980,344,44,36620,952768
4_A,0,237378,260474,52014,79411,36451,36852,1980,344,44,17896,989460
