vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,425280,559344,194752,12048,33756,151078,15640,86,88,8560,311672
2_3,0,503040,579390,180648,12902,36684,147962,15598,86,88,8088,227818
2_4,0,497760,577902,180168,12902,36684,147950,15598,86,88,7639,235527
2_5,0,492480,576414,179688,12902,36684,147938,15598,86,88,7274,243152
2_6,0,487200,575346,194662,8688,36676,147933,15599,86,88,6688,239338
2_7,0,500640,584055,194182,14573,36676,147921,15599,86,88,6236,212248
2_8,0,495360,582567,193702,14573,36676,147909,15599,86,88,5983,219761
2_9,0,500640,584055,194182,14573,36676,147897,15599,86,88,6220,212288
2_T,0,501600,584706,191054,12490,36676,147876,15598,86,88,6344,215786
2_J,0,506880,586194,191534,12490,36676,147864,15598,86,88,6585,208309
2_Q,0,512160,587682,192014,12490,36676,147852,15598,86,88,6826,200832
2_K,0,517440,589170,192494,12490,36676,147840,15598,86,88,7067,193355
2_A,0,636240,691704,107544,0,37036,101873,0,86,88,23180,114553
3_3,0,420480,557856,194272,12048,33756,150758,15640,86,88,7436,319884
3_4,0,480960,568356,177040,12902,36684,147938,15598,86,88,7139,265513
3_5,0,475680,566868,176560,12902,36684,147926,15598,86,88,6774,273138
3_6,0,470400,565800,191534,8688,36676,147921,15599,86,88,6188,269324
3_7,0,483840,574509,191054,14573,36676,147909,15599,86,88,5736,242234
3_8,0,495360,582567,193702,14573,36676,147897,15599,86,88,5661,220095
3_9,0,495360,582567,193702,14573,36676,147885,15599,86,88,5658,220110
3_T,0,496320,583218,190574,12490,36676,147864,15598,86,88,5782,223608
3_J,0,501600,584706,191054,12490,36676,147852,15598,86,88,6023,216131
3_Q,0,506880,586194,191534,12490,36676,147840,15598,86,88,6264,208654
3_K,0,512160,587682,192014,12490,36676,147828,15598,86,88,6505,201177
3_A,0,630720,690216,107304,0,37036,101861,0,86,88,22618,122375
4_4,0,415680,556368,193792,12048,33756,150438,15640,86,88,6538,327870
4_5,0,458880,557322,173432,12902,36684,147914,15598,86,88,6387,303011
4_6,0,453600,556254,188406,8688,36676,147909,15599,86,88,5801,299197
4_7,0,467040,564963,187926,14573,36676,147897,15599,86,88,5349,272107
4_8,0,478560,573021,190574,14573,36676,147885,15599,86,88,5274,249968
4_9,0,495360,582567,193702,14573,36676,147873,15599,86,88,5449,220331
4_T,0,491040,581730,190094,12490,36676,147852,15598,86,88,5333,231317
4_J,0,496320,583218,190574,12490,36676,147840,15598,86,88,5574,223840
4_Q,0,501600,584706,191054,12490,36676,147828,15598,86,88,5815,216363
4_K,0,506880,586194,191534,12490,36676,147816,15598,86,88,6056,208886
4_A,0,625200,688728,107064,0,37036,101849,0,86,88,22169,130084
5_5,0,410880,554880,193312,12048,33756,150118,15640,86,88,5808,335688
5_6,0,436800,546708,185278,8688,36676,147897,15599,86,88,5498,328986
5_7,0,450240,555417,184798,14573,36676,147885,15599,86,88,5046,301896
5_8,0,461760,563475,187446,14573,36676,147873,15599,86,88,4971,279757
5_9,0,478560,573021,190574,14573,36676,147861,15599,86,88,5146,250120
5_T,0,491040,581730,190094,12490,36676,147840,15598,86,88,5208,231454
5_J,0,491040,581730,190094,12490,36676,147828,15598,86,88,5209,231465
5_Q,0,496320,583218,190574,12490,36676,147816,15598,86,88,5450,223988
5_K,0,501600,584706,191054,12490,36676,147804,15598,86,88,5691,216511
5_A,0,619680,687240,106824,0,37036,101837,0,86,88,21804,137709
6_6,0,406080,553392,196440,8688,33736,149816,15642,86,88,4944,343392
6_7,0,437760,546708,185278,8688,36676,147882,15600,86,88,4436,329102
6_8,0,449280,554766,187926,8688,36676,147870,15600,86,88,4361,306963
6_9,0,466080,564312,191054,8688,36676,147858,15600,86,88,4536,277326
6_T,0,478560,573021,190574,6605,36676,147837,15599,86,88,4598,258660
6_J,0,495360,582567,193702,6605,36676,147825,15599,86,88,4777,229019
6_Q,0,495360,582567,193702,6605,36676,147813,15599,86,88,4778,229030
6_K,0,500640,584055,194182,6605,36676,147801,15599,86,88,5019,221553
6_A,0,639360,697437,108450,0,37036,101834,0,86,88,15247,112766
7_7,0,401280,551904,195960,16416,33736,149496,15642,86,88,4396,343300
7_8,0,432480,545220,184798,16416,36676,147858,15600,86,88,3909,329173
7_9,0,449280,554766,187926,16416,36676,147846,15600,86,88,4084,299536
7_T,0,461760,563475,187446,14333,36676,147825,15599,86,88,4146,280870
7_J,0,478560,573021,190574,14333,36676,147813,15599,86,88,4325,251229
7_Q,0,495360,582567,193702,14333,36676,147801,15599,86,88,4504,221588
7_K,0,495360,582567,193702,14333,36676,147789,15599,86,88,4505,221599
7_A,0,633840,695949,108210,0,37036,101822,0,86,88,22461,112812
8_8,0,401280,551904,195960,16416,33736,149176,15642,86,88,4370,343646
8_9,0,437760,546708,185278,16416,36676,147834,15600,86,88,4133,321725
8_T,0,450240,555417,184798,14333,36676,147813,15599,86,88,4195,303059
8_J,0,467040,564963,187926,14333,36676,147801,15599,86,88,4374,273418
8_Q,0,483840,574509,191054,14333,36676,147789,15599,86,88,4553,243777
8_K,0,500640,584055,194182,14333,36676,147777,15599,86,88,4732,214136
8_A,0,633840,695949,108210,0,37036,101810,0,86,88,22448,112837
9_9,0,406080,553392,196440,16416,33736,148856,15642,86,88,4844,336724
9_T,0,436800,546708,185278,14333,36676,147801,15599,86,88,4432,324503
9_J,0,453600,556254,188406,14333,36676,147789,15599,86,88,4611,294862
9_Q,0,470400,565800,191534,14333,36676,147777,15599,86,88,4790,265221
9_K,0,487200,575346,194662,14333,36676,147765,15599,86,88,4969,235580
