vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,283680,342353,44082,65442,33752,39234,2390,172,88,9488,891623
2_3,83520,488408,335878,66920,67092,36596,38316,2349,172,88,8815,584150
2_4,80640,485480,335014,66920,67092,36596,38316,2349,172,88,8354,591283
2_5,77760,482552,334258,66920,67092,36596,38316,2349,172,88,7977,598224
2_6,77760,499856,344072,68316,63010,36592,38316,2349,172,88,7487,574286
2_7,87360,506932,343422,68508,66936,36592,38316,2349,172,88,7263,554366
2_8,90240,504634,341611,68322,65155,36592,38316,2349,172,88,7060,557765
2_9,93120,507562,341287,68322,65155,36592,38316,2349,172,88,7285,552056
2_T,110400,517776,336900,68420,53532,36592,38312,2349,172,88,7381,540382
2_J,204480,597236,330358,58474,47314,36817,20676,1400,172,88,36252,379037
2_Q,109440,481810,322148,68606,55553,36592,37622,2349,172,88,7777,590147
2_K,105600,483566,323527,68792,57334,36592,37622,2349,172,88,7944,588718
2_A,190080,569804,243322,49274,56583,36817,20247,990,172,88,138440,406487
3_3,0,282240,331985,44082,65442,33752,39186,2390,172,88,8148,904819
3_4,74880,471600,331502,66356,67092,36596,38316,2349,172,88,7842,615511
3_5,72000,468672,330746,66356,67092,36596,38316,2349,172,88,7465,622452
3_6,72000,485976,340560,67752,63010,36592,38316,2349,172,88,6975,598514
3_7,81600,493052,339910,67944,66936,36592,38316,2349,172,88,6751,578594
3_8,90240,504634,340747,68322,65155,36592,38316,2349,172,88,6726,558963
3_9,90240,504634,340423,68322,65155,36592,38316,2349,172,88,6711,559302
3_T,107520,514848,336036,68420,53532,36592,38312,2349,172,88,6807,547628
3_J,200640,594548,328117,58474,47314,36817,20676,1400,172,88,35660,388398
3_Q,106560,478882,321284,68606,55553,36592,37622,2349,172,88,7203,597393
3_K,102720,480638,322663,68792,57334,36592,37622,2349,172,88,7370,595964
3_A,186240,567116,242335,49274,56583,36817,20247,990,172,88,136594,415848
4_4,0,280800,322769,44082,65442,33752,39138,2390,172,88,7034,916637
4_5,66240,454792,327342,65792,67092,36596,38316,2349,172,88,7066,646459
4_6,66240,472096,337156,67188,63010,36592,38316,2349,172,88,6576,622521
4_7,75840,479172,336506,67380,66936,36592,38316,2349,172,88,6352,602601
4_8,84480,490754,337343,67758,65155,36592,38316,2349,172,88,6327,582970
4_9,90240,504634,339667,68322,65155,36592,38316,2349,172,88,6490,560279
4_T,104640,511920,335280,68420,53532,36592,38312,2349,172,88,6346,554653
4_J,196800,591860,325984,58474,47314,36817,20676,1400,172,88,35181,397538
4_Q,103680,475954,320528,68606,55553,36592,37622,2349,172,88,6742,604418
4_K,99840,477710,321907,68792,57334,36592,37622,2349,172,88,6909,602989
4_A,182400,564428,241348,49274,56583,36817,20247,990,172,88,134969,424988
5_5,0,279360,314705,44082,65442,33752,39090,2390,172,88,6088,927135
5_6,60480,458216,333860,66624,63010,36592,38316,2349,172,88,6261,646336
5_7,70080,465292,333210,66816,66936,36592,38316,2349,172,88,6037,626416
5_8,78720,476874,334047,67194,65155,36592,38316,2349,172,88,6012,606785
5_9,84480,490754,336371,67758,65155,36592,38316,2349,172,88,6175,584094
5_T,104640,511920,334632,68420,53532,36592,38312,2349,172,88,6209,555438
5_J,192960,589172,323959,58474,47314,36817,20676,1400,172,88,34786,406486
5_Q,100800,473026,319880,68606,55553,36592,37622,2349,172,88,6365,611251
5_K,96960,474782,321259,68792,57334,36592,37622,2349,172,88,6532,609822
5_A,178560,561740,240361,49274,56583,36817,20247,990,172,88,133536,433936
6_6,0,283680,309172,44268,62198,33742,39042,2390,172,88,5372,932180
6_7,64320,461144,332780,66624,61229,36592,38316,2349,172,88,5415,643275
6_8,70080,470518,333617,67002,59448,36592,38316,2349,172,88,5390,628732
6_9,75840,484398,335941,67566,59448,36592,38316,2349,172,88,5553,606041
6_T,95040,505564,334202,68228,47825,36592,38312,2349,172,88,5587,578345
6_J,192960,594034,323243,58660,41607,36817,20676,1400,172,88,34146,408501
6_Q,100800,478252,320719,68792,49846,36592,37622,2349,172,88,5743,611329
6_K,96960,480008,322098,68978,51627,36592,37622,2349,172,88,5910,609900
6_A,192960,578410,241133,49714,56583,36817,20247,990,172,88,126691,408499
7_7,0,280080,302033,44082,65442,33752,38994,2390,172,88,4972,940299
7_8,70080,457898,324102,65792,65311,36596,38316,2349,172,88,5212,646388
7_9,75840,471778,326426,66356,65311,36596,38316,2349,172,88,5375,623697
7_T,95040,492944,324687,67018,53688,36596,38312,2349,172,88,5409,596001
7_J,183360,580052,319243,58220,49095,36817,20676,1400,172,88,32123,431058
7_Q,100800,477710,320287,68792,55491,36592,37622,2349,172,88,5697,606704
7_K,96960,476044,320287,68792,57334,36592,37622,2349,172,88,5686,610378
7_A,192960,574268,238945,49528,54802,36817,20247,990,172,88,133115,410372
8_8,0,278640,296046,43896,61198,33762,38946,2390,172,88,4854,952312
8_9,78720,462628,317019,65146,63686,36600,38316,2349,172,88,5458,642122
8_T,97920,483794,315280,65808,52063,36600,38312,2349,172,88,5492,614426
8_J,177600,568758,315351,57780,49095,36817,20676,1400,172,88,30361,454206
8_Q,103680,471270,311300,67582,53866,36596,37622,2349,172,88,5780,621999
8_K,103680,480638,319963,68792,55491,36592,37622,2349,172,88,5901,601016
8_A,200640,574782,236757,49342,53021,36817,20247,990,172,88,132420,407028
9_9,0,280080,292590,43896,61198,33772,38898,2390,172,88,5112,954108
9_T,100800,472670,309514,64552,52063,36604,38312,2349,172,88,5717,629463
9_J,181440,571446,313758,57780,49095,36817,20676,1400,172,88,30568,449064
9_Q,106560,460146,305534,66326,53866,36600,37622,2349,172,88,6005,637036
9_K,106560,469514,314197,67536,55491,36596,37622,2349,172,88,6126,616053
9_A,204480,577470,235770,49342,53021,36817,20247,990,172,88,132021,401886
T_T,0,286560,287341,44082,33240,33790,38842,2390,172,88,5112,980687
T_J,185280,555220,302388,56338,39134,36820,20673,1400,172,88,29123,485668
T_Q,109440,466868,284995,66254,43081,36608,37618,2349,172,88,6135,658696
T_K,109440,476236,293658,67464,44706,36604,37618,2349,172,88,6256,637713
T_A,228480,569812,225678,47900,43060,36820,20244,990,172,88,135750,403310
J_J,0,229680,144360,30504,48624,35476,16194,1441,172,88,28800,1176965
J_Q,198720,571890,302323,56778,39134,36820,20664,1400,172,88,23446,460869
