vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,405120,552960,196440,31872,33568,150376,15522,258,88,8620,317480
2_3,0,464160,563880,191054,31872,36508,147330,15492,258,88,8096,253566
2_4,0,458880,562392,190574,31872,36508,147318,15492,258,88,7647,261275
2_5,0,453600,560904,190094,31872,36508,147306,15492,258,88,7282,268900
2_6,0,476640,571938,193702,31872,36508,147294,15492,258,88,6672,231840
2_7,0,489840,580647,193702,30029,36508,147273,15491,258,88,6700,211768
2_8,0,490800,581298,190574,28186,36508,147252,15490,258,88,6571,215279
2_9,0,498000,583437,187926,26343,36508,147231,15489,258,88,6692,210332
2_T,0,505440,585576,184798,24260,36508,147210,15488,258,88,6816,205862
2_J,0,638400,693225,108450,0,36868,100646,0,258,88,44837,89532
2_Q,0,372720,463896,188406,26343,36508,141573,15176,258,88,6872,460464
2_K,0,367200,462408,191534,28186,36508,141582,15177,258,88,6833,462530
2_A,0,348480,452211,191534,30029,36508,141591,15178,258,88,6723,489704
3_3,0,400320,551472,195960,31872,33568,150056,15522,258,88,7496,325692
3_4,0,442080,552846,187446,31872,36508,147306,15492,258,88,7147,291261
3_5,0,436800,551358,186966,31872,36508,147294,15492,258,88,6782,298886
3_6,0,459840,562392,190574,31872,36508,147282,15492,258,88,6172,261826
3_7,0,473040,571101,190574,30029,36508,147261,15491,258,88,6200,241754
3_8,0,490800,581298,190574,28186,36508,147240,15490,258,88,6249,215613
3_9,0,492720,581949,187446,26343,36508,147219,15489,258,88,6130,218154
3_T,0,500160,584088,184318,24260,36508,147198,15488,258,88,6254,213684
3_J,0,632880,691737,108210,0,36868,100634,0,258,88,44275,97354
3_Q,0,368160,462408,187926,26343,36508,141561,15176,258,88,6310,467566
3_K,0,362640,460920,191054,28186,36508,141570,15177,258,88,6271,469632
3_A,0,343920,450723,191054,30029,36508,141579,15178,258,88,6161,496806
4_4,0,395520,549984,195480,31872,33568,149736,15522,258,88,6598,333678
4_5,0,420000,541812,183838,31872,36508,147282,15492,258,88,6395,328759
4_6,0,443040,552846,187446,31872,36508,147270,15492,258,88,5785,291699
4_7,0,456240,561555,187446,30029,36508,147249,15491,258,88,5813,271627
4_8,0,474000,571752,187446,28186,36508,147228,15490,258,88,5862,245486
4_9,0,492720,581949,187446,26343,36508,147207,15489,258,88,5921,218375
4_T,0,494880,582600,183838,24260,36508,147186,15488,258,88,5805,221393
4_J,0,627360,690249,107970,0,36868,100622,0,258,88,43826,105063
4_Q,0,363600,460920,187446,26343,36508,141549,15176,258,88,5861,474555
4_K,0,358080,459432,190574,28186,36508,141558,15177,258,88,5822,476621
4_A,0,339360,449235,190574,30029,36508,141567,15178,258,88,5712,503795
5_5,0,390720,548496,195000,31872,33568,149416,15522,258,88,5868,341496
5_6,0,426240,543300,184318,31872,36508,147258,15492,258,88,5482,321488
5_7,0,439440,552009,184318,30029,36508,147237,15491,258,88,5510,301416
5_8,0,457200,562206,184318,28186,36508,147216,15490,258,88,5559,275275
5_9,0,475920,572403,184318,26343,36508,147195,15489,258,88,5618,248164
5_T,0,494880,582600,183838,24260,36508,147174,15488,258,88,5680,221530
5_J,0,621840,688761,107730,0,36868,100610,0,258,88,43461,112688
5_Q,0,359040,459432,186966,26343,36508,141537,15176,258,88,5496,481460
5_K,0,353520,457944,190094,28186,36508,141546,15177,258,88,5457,483526
5_A,0,334800,447747,190094,30029,36508,141555,15178,258,88,5347,510700
6_6,0,396480,549984,195480,31872,33568,149096,15522,258,88,5252,334704
6_7,0,432480,544788,184798,30029,36508,147225,15491,258,88,4722,315917
6_8,0,445680,553497,184798,28186,36508,147204,15490,258,88,4771,295824
6_9,0,463440,563694,184798,26343,36508,147183,15489,258,88,4830,269673
6_T,0,482400,573891,184318,24260,36508,147162,15488,258,88,4892,243039
6_J,0,628320,690249,107970,0,36868,100598,0,258,88,42673,105280
6_Q,0,364560,460920,187446,26343,36508,141525,15176,258,88,4708,474772
6_K,0,359040,459432,190574,28186,36508,141534,15177,258,88,4669,476838
6_A,0,353520,457944,193702,30029,36508,141543,15178,258,88,4737,478797
7_7,0,401280,551472,192832,27504,33588,148758,15520,258,88,5432,335572
7_8,0,450960,554565,173432,26515,36516,147185,15489,258,88,4891,302405
7_9,0,468720,564762,173432,24672,36516,147164,15488,258,88,4950,276254
7_T,0,487680,574959,172952,22589,36516,147143,15487,258,88,5012,249620
7_J,0,615120,681540,106584,0,36868,100577,0,258,88,40920,130349
7_Q,0,364800,461571,187926,24438,36508,141504,15175,258,88,4914,475122
7_K,0,360000,460083,187926,26343,36508,141513,15176,258,88,4759,479650
7_A,0,349920,457107,190574,28186,36508,141522,15177,258,88,4587,488377
8_8,0,410880,554448,190184,23136,33608,148420,15518,258,88,5654,330110
8_9,0,477600,566667,162066,23001,36524,147145,15487,258,88,5091,278377
8_T,0,496560,576864,161586,20918,36524,147124,15486,258,88,5153,251743
8_J,0,601920,672831,105198,0,36868,100556,0,258,88,39188,155397
8_Q,0,369360,463059,176560,22767,36516,141485,15174,258,88,5055,481982
8_K,0,365040,462222,188406,24438,36508,141492,15175,258,88,4986,473691
8_A,0,354720,459246,187926,26343,36508,141501,15176,258,88,4698,485840
9_9,0,421440,557424,187536,18768,33628,148082,15516,258,88,5896,323668
9_T,0,506160,578769,150220,19247,36532,147105,15485,258,88,5304,253136
9_J,0,588720,664266,103812,0,36868,100535,0,258,88,37322,180435
9_Q,0,373920,464547,165194,21096,36524,141466,15173,258,88,5206,488832
9_K,0,369600,463710,177040,22767,36516,141473,15174,258,88,5137,480541
9_A,0,360720,461385,188406,24438,36508,141480,15175,258,88,4935,478911
T_T,0,432960,560400,184408,13920,33648,147744,15514,258,88,6144,317220
T_J,0,569040,654501,102186,0,36868,100514,0,258,88,34931,213918
T_Q,0,378480,466035,150220,19247,36532,141447,15172,258,88,5360,499465
T_K,0,374160,465198,162066,20918,36524,141454,15173,258,88,5291,491174
T_A,0,365280,462873,173432,22589,36516,141461,15174,258,88,5089,489544
J_J,0,0,0,0,0,36868,0,0,258,88,1637876,37214
J_Q,0,371520,527136,104052,0,36868,92781,0,258,88,25333,554268
J_K,0,385920,536496,105678,0,36868,92790,0,258,88,27133,527073
J_A,0,395520,544368,107064,0,36868,92799,0,258,88,28800,506539
Q_Q,0,0,0,147840,18768,33628,101826,15130,258,88,6148,1388618
Q_K,0,231360,362832,165674,23001,36524,136255,15173,258,88,5685,735454
Q_A,0,227520,361344,177040,24672,36516,136262,15174,258,88,5483,727947
K_K,0,0,0,150720,23136,33608,101844,15132,258,88,6102,1381416
K_A,0,222720,359856,180168,26515,36516,136271,15175,258,88,5588,729149
A_A,0,0,0,153120,27504,33588,101862,15134,258,88,5574,1375176
