vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,272160,328392,43524,123330,33700,39210,2318,215,88,19387,849980
2_3,63360,461144,330800,66240,125766,36550,38292,2285,215,88,16658,570906
2_4,60480,458216,329936,66240,125766,36550,38292,2285,215,88,16197,578039
2_5,57600,455288,329180,66240,125766,36550,38292,2285,215,88,15820,584980
2_6,66240,472096,331036,66804,125766,36550,38292,2285,215,88,15342,557590
2_7,72000,485976,333144,67368,125766,36550,38292,2285,215,88,15474,535146
2_8,77760,489930,329083,67466,116342,36550,38288,2285,215,88,15317,538980
2_9,89280,502442,325931,67750,106918,36550,38284,2285,215,88,15554,527007
2_T,106560,517518,322201,67970,95295,36550,38280,2285,215,88,16002,509340
2_J,180480,571446,290229,56898,107925,36775,20616,1328,215,88,70473,375831
2_Q,180480,555822,241935,48962,107925,36775,20247,990,215,88,143035,375830
2_K,0,420596,259031,61728,106918,36550,36904,1980,215,88,29787,758507
2_A,0,377196,259091,58448,116342,36550,36908,1980,215,88,29001,796485
3_3,0,270720,320328,43524,123330,33700,39162,2318,215,88,15743,863176
3_4,54720,444336,326424,65676,125766,36550,38292,2285,215,88,15685,602267
3_5,51840,441408,325668,65676,125766,36550,38292,2285,215,88,15308,609208
3_6,60480,458216,327524,66240,125766,36550,38292,2285,215,88,14830,581818
3_7,66240,472096,329632,66804,125766,36550,38292,2285,215,88,14962,559374
3_8,77760,489930,328219,67466,116342,36550,38288,2285,215,88,14983,540178
3_9,86400,499514,325067,67750,106918,36550,38284,2285,215,88,14980,534253
3_T,103680,514590,321337,67970,95295,36550,38280,2285,215,88,15428,516586
3_J,176640,568758,288270,56898,107925,36775,20616,1328,215,88,69599,385192
3_Q,176640,553134,240948,48962,107925,36775,20247,990,215,88,141189,385191
3_K,0,417668,259031,61728,106918,36550,36904,1980,215,88,29213,762009
3_A,0,374268,259091,58448,116342,36550,36908,1980,215,88,28427,799987
4_4,0,269280,313128,43524,123330,33700,39114,2318,215,88,12613,874994
