vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,286560,342353,44082,50466,33836,39258,2390,86,88,9946,903239
2_3,89280,494264,335878,66920,52116,36680,38340,2349,86,88,9273,587030
2_4,86400,491336,335014,66920,52116,36680,38340,2349,86,88,8812,594163
2_5,83520,488408,334258,66920,52116,36680,38340,2349,86,88,8435,601104
2_6,80640,502784,344072,68316,48034,36676,38340,2349,86,88,7705,583214
2_7,87360,511438,344801,68694,53741,36676,38340,2349,86,88,7419,561312
2_8,87360,511438,344369,68694,53741,36676,38340,2349,86,88,7394,561769
2_9,90240,514366,344045,68694,53741,36676,38340,2349,86,88,7619,556060
2_T,102720,522372,339658,68792,42118,36676,38336,2349,86,88,7715,551394
2_J,105600,525300,339658,68792,42118,36676,38336,2349,86,88,7944,545357
2_Q,108480,528228,339658,68792,42118,36676,38336,2349,86,88,8173,539320
2_K,212160,602612,330358,58474,47314,36901,20676,1400,86,88,21760,380475
2_A,197760,590804,273532,58220,41607,36901,20307,990,86,88,84082,407927
3_3,0,285120,331985,44082,50466,33836,39210,2390,86,88,8606,916435
3_4,80640,477456,331502,66356,52116,36680,38340,2349,86,88,8300,618391
3_5,77760,474528,330746,66356,52116,36680,38340,2349,86,88,7923,625332
3_6,74880,488904,340560,67752,48034,36676,38340,2349,86,88,7193,607442
3_7,81600,497558,341289,68130,53741,36676,38340,2349,86,88,6907,585540
3_8,87360,511438,343505,68694,53741,36676,38340,2349,86,88,7060,562967
3_9,87360,511438,343181,68694,53741,36676,38340,2349,86,88,7045,563306
3_T,99840,519444,338794,68792,42118,36676,38336,2349,86,88,7141,558640
3_J,102720,522372,338794,68792,42118,36676,38336,2349,86,88,7370,552603
3_Q,105600,525300,338794,68792,42118,36676,38336,2349,86,88,7599,546566
3_K,208320,599924,328117,58474,47314,36901,20676,1400,86,88,21168,389836
3_A,193920,588116,272263,58220,41607,36901,20307,990,86,88,82518,417288
4_4,0,283680,322769,44082,50466,33836,39162,2390,86,88,7492,928253
4_5,72000,460648,327342,65792,52116,36680,38340,2349,86,88,7524,649339
4_6,69120,475024,337156,67188,48034,36676,38340,2349,86,88,6794,631449
4_7,75840,483678,337885,67566,53741,36676,38340,2349,86,88,6508,609547
4_8,81600,497558,340101,68130,53741,36676,38340,2349,86,88,6661,586974
4_9,87360,511438,342425,68694,53741,36676,38340,2349,86,88,6824,564283
4_T,96960,516516,338038,68792,42118,36676,38336,2349,86,88,6680,565665
4_J,99840,519444,338038,68792,42118,36676,38336,2349,86,88,6909,559628
4_Q,102720,522372,338038,68792,42118,36676,38336,2349,86,88,7138,553591
4_K,204480,597236,325984,58474,47314,36901,20676,1400,86,88,20689,398976
4_A,190080,585428,270994,58220,41607,36901,20307,990,86,88,81175,426428
5_5,0,282240,314705,44082,50466,33836,39114,2390,86,88,6546,938751
5_6,63360,461144,333860,66624,48034,36676,38340,2349,86,88,6479,655264
5_7,70080,469798,334589,67002,53741,36676,38340,2349,86,88,6193,633362
5_8,75840,483678,336805,67566,53741,36676,38340,2349,86,88,6346,610789
5_9,81600,497558,339129,68130,53741,36676,38340,2349,86,88,6509,588098
5_T,96960,516516,337390,68792,42118,36676,38336,2349,86,88,6543,566450
5_J,96960,516516,337390,68792,42118,36676,38336,2349,86,88,6532,566461
5_Q,99840,519444,337390,68792,42118,36676,38336,2349,86,88,6761,560424
5_K,200640,594548,323959,58474,47314,36901,20676,1400,86,88,20294,407924
5_A,186240,582740,269725,58220,41607,36901,20307,990,86,88,80024,435376
6_6,0,285120,309172,44268,47222,33826,39066,2390,86,88,5350,945716
6_7,64320,461144,332780,66624,48034,36676,38340,2349,86,88,5393,656470
6_8,70080,475024,334996,67188,48034,36676,38340,2349,86,88,5546,633897
6_9,75840,488904,337320,67752,48034,36676,38340,2349,86,88,5709,611206
6_T,91200,507862,335581,68414,36411,36676,38336,2349,86,88,5743,589558
6_J,96960,521742,338229,68978,36411,36676,38336,2349,86,88,5910,566539
6_Q,96960,521742,338229,68978,36411,36676,38336,2349,86,88,5899,566550
6_K,196800,596722,323243,58660,41607,36901,20676,1400,86,88,19414,416707
6_A,196800,596722,270215,58660,41607,36901,20307,990,86,88,73221,416707
7_7,0,283680,303412,44268,54710,33826,39018,2390,86,88,4826,946000
7_8,64320,461144,331916,66624,55522,36676,38340,2349,86,88,5322,649917
7_9,70080,475024,334240,67188,55522,36676,38340,2349,86,88,5485,627226
7_T,85440,493982,332501,67850,43899,36676,38336,2349,86,88,5519,605578
7_J,91200,507862,335149,68414,43899,36676,38336,2349,86,88,5686,582559
7_Q,96960,521742,337797,68978,43899,36676,38336,2349,86,88,5853,559540
7_K,192960,594034,321434,58660,49095,36901,20676,1400,86,88,19110,417860
