vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,414720,556368,197400,16416,33736,150856,15602,86,88,8592,318440
2_3,0,474720,567288,192014,16416,36676,147762,15564,86,88,8124,253566
2_4,0,469440,565800,191534,16416,36676,147750,15564,86,88,7675,261275
2_5,0,464160,564312,191054,16416,36676,147738,15564,86,88,7310,268900
2_6,0,481920,573858,194182,16416,36676,147726,15564,86,88,6460,239328
2_7,0,493440,581916,196830,16416,36676,147714,15564,86,88,6364,217210
2_8,0,493440,581916,196830,16416,36676,147702,15564,86,88,6351,217235
2_9,0,495120,582567,194182,14573,36676,147681,15563,86,88,6472,219296
2_T,0,501600,584706,191054,12490,36676,147660,15562,86,88,6596,215786
2_J,0,506880,586194,191534,12490,36676,147648,15562,86,88,6837,208309
2_Q,0,512160,587682,192014,12490,36676,147636,15562,86,88,7078,200832
2_K,0,649440,700413,108930,0,37036,101470,0,86,88,25311,89530
2_A,0,357600,456447,192494,14573,36676,142071,15178,86,88,7255,489836
3_3,0,409920,554880,196920,16416,33736,150536,15602,86,88,7468,326652
3_4,0,452640,556254,188406,16416,36676,147738,15564,86,88,7175,291261
3_5,0,447360,554766,187926,16416,36676,147726,15564,86,88,6810,298886
3_6,0,465120,564312,191054,16416,36676,147714,15564,86,88,5960,269314
3_7,0,476640,572370,193702,16416,36676,147702,15564,86,88,5864,247196
3_8,0,493440,581916,196830,16416,36676,147690,15564,86,88,6029,217569
3_9,0,489840,581079,193702,14573,36676,147669,15563,86,88,5910,227118
3_T,0,496320,583218,190574,12490,36676,147648,15562,86,88,6034,223608
3_J,0,501600,584706,191054,12490,36676,147636,15562,86,88,6275,216131
3_Q,0,506880,586194,191534,12490,36676,147624,15562,86,88,6516,208654
3_K,0,643920,698925,108690,0,37036,101458,0,86,88,24749,97352
3_A,0,353040,454959,192014,14573,36676,142059,15178,86,88,6693,496938
4_4,0,405120,553392,196440,16416,33736,150216,15602,86,88,6570,334638
4_5,0,430560,545220,184798,16416,36676,147714,15564,86,88,6423,328759
4_6,0,448320,554766,187926,16416,36676,147702,15564,86,88,5573,299187
4_7,0,459840,562824,190574,16416,36676,147690,15564,86,88,5477,277069
4_8,0,476640,572370,193702,16416,36676,147678,15564,86,88,5642,247442
4_9,0,489840,581079,193702,14573,36676,147657,15563,86,88,5701,227339
4_T,0,491040,581730,190094,12490,36676,147636,15562,86,88,5585,231317
4_J,0,496320,583218,190574,12490,36676,147624,15562,86,88,5826,223840
4_Q,0,501600,584706,191054,12490,36676,147612,15562,86,88,6067,216363
4_K,0,638400,697437,108450,0,37036,101446,0,86,88,24300,105061
4_A,0,348480,453471,191534,14573,36676,142047,15178,86,88,6244,503927
5_5,0,400320,551904,195960,16416,33736,149896,15602,86,88,5840,342456
5_6,0,431520,545220,184798,16416,36676,147690,15564,86,88,5270,328976
5_7,0,443040,553278,187446,16416,36676,147678,15564,86,88,5174,306858
5_8,0,459840,562824,190574,16416,36676,147666,15564,86,88,5339,277231
5_9,0,473040,571533,190574,14573,36676,147645,15563,86,88,5398,257128
5_T,0,491040,581730,190094,12490,36676,147624,15562,86,88,5460,231454
5_J,0,491040,581730,190094,12490,36676,147612,15562,86,88,5461,231465
5_Q,0,496320,583218,190574,12490,36676,147600,15562,86,88,5702,223988
5_K,0,632880,695949,108210,0,37036,101434,0,86,88,23935,112686
5_A,0,343920,451983,191054,14573,36676,142035,15178,86,88,5879,510832
6_6,0,401280,551904,195960,16416,33736,149576,15602,86,88,4744,342912
6_7,0,432480,545220,184798,16416,36676,147666,15564,86,88,4208,329102
6_8,0,449280,554766,187926,16416,36676,147654,15564,86,88,4373,299475
6_9,0,462480,563475,187926,14573,36676,147633,15563,86,88,4432,279372
6_T,0,480480,573672,187446,12490,36676,147612,15562,86,88,4494,253698
6_J,0,497280,583218,190574,12490,36676,147600,15562,86,88,4673,224057
6_Q,0,497280,583218,190574,12490,36676,147588,15562,86,88,4674,224068
6_K,0,633840,695949,108210,0,37036,101422,0,86,88,22907,112766
6_A,0,358080,460692,194182,14573,36676,142023,15178,86,88,5029,485697
7_7,0,401280,551904,195960,16416,33736,149256,15602,86,88,4676,343300
7_8,0,437760,546708,185278,16416,36676,147642,15564,86,88,4401,321685
7_9,0,450960,555417,185278,14573,36676,147621,15563,86,88,4460,301582
7_T,0,468960,565614,184798,12490,36676,147600,15562,86,88,4522,275908
7_J,0,485760,575160,187926,12490,36676,147588,15562,86,88,4701,246267
7_Q,0,502560,584706,191054,12490,36676,147576,15562,86,88,4880,216626
7_K,0,633840,695949,108210,0,37036,101410,0,86,88,22873,112812
7_A,0,353520,459204,193702,14573,36676,142011,15178,86,88,4755,492511
8_8,0,406080,553392,196440,16416,33736,148936,15602,86,88,5130,336398
8_9,0,443040,548196,185758,14573,36676,147609,15563,86,88,4687,316028
8_T,0,455520,556905,185278,12490,36676,147588,15562,86,88,4749,297362
