vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,280800,336044,43896,85276,33784,39234,2354,129,88,14743,875956
2_3,72000,477952,337300,67188,86900,36634,38316,2317,129,88,12786,580694
2_4,69120,475024,336436,67188,86900,36634,38316,2317,129,88,12325,587827
2_5,66240,472096,335680,67188,86900,36634,38316,2317,129,88,11948,594768
2_6,72000,485976,337536,67752,86900,36634,38316,2317,129,88,11230,573426
2_7,77760,499856,339644,68316,86900,36634,38316,2317,129,88,11362,550982
2_8,77760,499856,339212,68316,86900,36634,38316,2317,129,88,11337,551439
2_9,86400,506738,335259,68414,77476,36634,38312,2317,129,88,11430,549107
2_T,102720,521094,331673,68698,65853,36634,38308,2317,129,88,11670,533120
2_J,105600,524022,331673,68698,65853,36634,38308,2317,129,88,11899,527083
2_Q,193920,588116,310039,58220,74766,36859,20646,1364,129,88,46620,381537
2_K,193920,588116,257866,53740,74766,36859,20277,990,129,88,104017,381536
2_A,0,422680,261307,64580,77476,36634,36932,1980,129,88,11629,798869
3_3,0,279360,326828,43896,85276,33784,39186,2354,129,88,12251,889152
3_4,63360,461144,332924,66624,86900,36634,38316,2317,129,88,11813,612055
3_5,60480,458216,332168,66624,86900,36634,38316,2317,129,88,11436,618996
3_6,66240,472096,334024,67188,86900,36634,38316,2317,129,88,10718,597654
3_7,72000,485976,336132,67752,86900,36634,38316,2317,129,88,10850,575210
3_8,77760,499856,338348,68316,86900,36634,38316,2317,129,88,11003,552637
3_9,83520,503810,334395,68414,77476,36634,38312,2317,129,88,10856,556353
3_T,99840,518166,330809,68698,65853,36634,38308,2317,129,88,11096,540366
3_J,102720,521094,330809,68698,65853,36634,38308,2317,129,88,11325,534329
3_Q,190080,585428,307939,58220,74766,36859,20646,1364,129,88,45887,390898
3_K,190080,585428,256738,53740,74766,36859,20277,990,129,88,102312,390897
3_A,0,419752,261307,64580,77476,36634,36932,1980,129,88,11055,802371
4_4,0,277920,318620,43896,85276,33784,39138,2354,129,88,10129,900970
4_5,54720,444336,328764,66060,86900,36634,38316,2317,129,88,11037,643003
4_6,60480,458216,330620,66624,86900,36634,38316,2317,129,88,10319,621661
4_7,66240,472096,332728,67188,86900,36634,38316,2317,129,88,10451,599217
4_8,72000,485976,334944,67752,86900,36634,38316,2317,129,88,10604,576644
4_9,83520,503810,333639,68414,77476,36634,38312,2317,129,88,10635,557330
4_T,96960,515238,330053,68698,65853,36634,38308,2317,129,88,10635,547391
4_J,99840,518166,330053,68698,65853,36634,38308,2317,129,88,10864,541354
4_Q,186240,582740,305947,58220,74766,36859,20646,1364,129,88,45267,400038
4_K,186240,582740,255610,53740,74766,36859,20277,990,129,88,100828,400037
4_A,0,416824,261307,64580,77476,36634,36932,1980,129,88,10594,805760
5_5,0,276480,311420,43896,85276,33784,39090,2354,129,88,8319,911468
5_6,54720,444336,327324,66060,86900,36634,38316,2317,129,88,10004,645476
5_7,60480,458216,329432,66624,86900,36634,38316,2317,129,88,10136,623032
5_8,66240,472096,331648,67188,86900,36634,38316,2317,129,88,10289,600459
5_9,77760,489930,330343,67850,77476,36634,38312,2317,129,88,10320,581145
5_T,96960,515238,329405,68698,65853,36634,38308,2317,129,88,10498,548176
5_J,96960,515238,329405,68698,65853,36634,38308,2317,129,88,10487,548187
5_Q,182400,580052,304063,58220,74766,36859,20646,1364,129,88,44731,408986
5_K,182400,580052,254482,53740,74766,36859,20277,990,129,88,99536,408985
5_A,0,413896,261307,64580,77476,36634,36932,1980,129,88,10217,809065
6_6,0,276480,305228,43896,85276,33784,39042,2354,129,88,6287,919740
6_7,58560,447264,326244,66060,86900,36634,38316,2317,129,88,9158,640634
6_8,64320,461144,328460,66624,86900,36634,38316,2317,129,88,9311,618061
6_9,75840,478978,327155,67286,77476,36634,38312,2317,129,88,9342,598747
6_T,95040,504286,326217,68134,65853,36634,38308,2317,129,88,9520,565778
6_J,100800,518166,328865,68698,65853,36634,38308,2317,129,88,9687,542759
6_Q,183360,580052,302287,58220,74766,36859,20646,1364,129,88,43532,411001
6_K,183360,580052,253354,53740,74766,36859,20277,990,129,88,97689,411000
6_A,0,426692,263523,65144,77476,36634,36932,1980,129,88,9355,794351
7_7,0,277920,300044,43896,85276,33784,38994,2354,129,88,5907,923912
7_8,67200,464072,328028,66624,86900,36634,38316,2317,129,88,9505,612491
7_9,72960,472532,325454,66908,77476,36634,38312,2317,129,88,9536,609958
7_T,88320,495632,324516,67756,65853,36634,38308,2317,129,88,9714,583037
7_J,94080,509512,327164,68320,65853,36634,38308,2317,129,88,9881,560018
7_Q,187200,582740,300619,58220,74766,36859,20646,1364,129,88,43567,406106
7_K,187200,582740,252226,53740,74766,36859,20277,990,129,88,97184,406105
7_A,0,426692,263523,65144,77476,36634,36932,1980,129,88,9309,794397
8_8,0,279360,295868,43896,85276,33794,38946,2354,129,88,5713,926880
8_9,75840,465550,320417,65838,77476,36638,38312,2317,129,88,9751,619948
8_T,91200,484508,318642,66500,65853,36638,38308,2317,129,88,9929,598192
8_J,96960,498388,321290,67064,65853,36638,38308,2317,129,88,10096,575173
8_Q,191040,585428,299059,58220,74766,36859,20646,1364,129,88,43623,401082
8_K,191040,585428,251098,53740,74766,36859,20277,990,129,88,96808,401081
8_A,0,429620,263523,65144,77476,36634,36932,1980,129,88,9524,791254
9_9,0,284400,290297,44082,62398,33812,38890,2354,129,88,5419,950435
9_T,94080,490146,302328,66428,57003,36646,38304,2317,129,88,10056,614779
9_J,99840,504026,304976,66992,57003,36646,38304,2317,129,88,10223,591760
9_Q,194880,574064,288923,56964,66826,36862,20643,1364,129,88,42212,429349
9_K,204480,583904,241952,52738,66826,36862,20274,990,129,88,95397,408664
9_A,0,437084,263520,65114,67788,36634,36928,1980,129,88,9877,793162
T_T,0,295200,285885,44454,34440,33830,38834,2354,129,88,5419,971671
T_J,102720,514000,284698,67060,46218,36654,38300,2317,129,88,10353,609767
T_Q,213120,569646,278558,55776,56865,36865,20640,1364,129,88,41001,438252
T_K,227520,581454,231656,51422,56865,36865,20271,990,129,88,94245,410799
T_A,0,440012,243299,65182,57003,36642,36924,1980,129,88,10007,821038
J_J,0,296640,284733,44454,34440,33830,38786,2354,129,88,5685,971165
J_Q,216960,572334,277571,55776,56865,36865,20640,1364,129,88,41212,432500
J_K,231360,584142,230669,51422,56865,36865,20271,990,129,88,94456,405047
J_A,0,258428,243299,52638,57003,36642,36924,1980,129,88,207292,817881
Q_Q,0,226800,142371,30318,73824,35527,16170,1401,129,88,19488,1166188
