vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,409920,554880,196920,24144,33652,150616,15562,172,88,8390,317960
2_3,0,469440,565800,191534,24144,36592,147546,15528,172,88,7894,253566
2_4,0,464160,564312,191054,24144,36592,147534,15528,172,88,7445,261275
2_5,0,458880,562824,190574,24144,36592,147522,15528,172,88,7080,268900
2_6,0,476640,572370,193702,24144,36592,147510,15528,172,88,6230,239328
2_7,0,493440,581916,196830,24144,36592,147498,15528,172,88,6374,209722
2_8,0,489840,581079,193702,22301,36592,147477,15527,172,88,6245,219281
2_9,0,496080,583218,191054,20458,36592,147456,15526,172,88,6366,215294
2_T,0,503520,585357,187926,18375,36592,147435,15525,172,88,6490,210824
2_J,0,508800,586845,188406,18375,36592,147423,15525,172,88,6731,203347
2_Q,0,643920,697521,108690,0,36952,101058,0,172,88,34372,89531
2_K,0,371760,465156,192014,20458,36592,141822,15177,172,88,7099,461966
2_A,0,353040,454959,192014,22301,36592,141831,15178,172,88,6989,489140
3_3,0,405120,553392,196440,24144,33652,150296,15562,172,88,7266,326172
3_4,0,447360,554766,187926,24144,36592,147522,15528,172,88,6945,291261
3_5,0,442080,553278,187446,24144,36592,147510,15528,172,88,6580,298886
3_6,0,459840,562824,190574,24144,36592,147498,15528,172,88,5730,269314
3_7,0,476640,572370,193702,24144,36592,147486,15528,172,88,5874,239708
3_8,0,489840,581079,193702,22301,36592,147465,15527,172,88,5923,219615
3_9,0,490800,581730,190574,20458,36592,147444,15526,172,88,5804,223116
3_T,0,498240,583869,187446,18375,36592,147423,15525,172,88,5928,218646
3_J,0,503520,585357,187926,18375,36592,147411,15525,172,88,6169,211169
3_Q,0,638400,696033,108450,0,36952,101046,0,172,88,33810,97353
3_K,0,367200,463668,191534,20458,36592,141810,15177,172,88,6537,469068
3_A,0,348480,453471,191534,22301,36592,141819,15178,172,88,6427,496242
4_4,0,400320,551904,195960,24144,33652,149976,15562,172,88,6368,334158
4_5,0,425280,543732,184318,24144,36592,147498,15528,172,88,6193,328759
4_6,0,443040,553278,187446,24144,36592,147486,15528,172,88,5343,299187
4_7,0,459840,562824,190574,24144,36592,147474,15528,172,88,5487,269581
4_8,0,473040,571533,190574,22301,36592,147453,15527,172,88,5536,249488
4_9,0,490800,581730,190574,20458,36592,147432,15526,172,88,5595,223337
4_T,0,492960,582381,186966,18375,36592,147411,15525,172,88,5479,226355
4_J,0,498240,583869,187446,18375,36592,147399,15525,172,88,5720,218878
4_Q,0,632880,694545,108210,0,36952,101034,0,172,88,33361,105062
4_K,0,362640,462180,191054,20458,36592,141798,15177,172,88,6088,476057
4_A,0,343920,451983,191054,22301,36592,141807,15178,172,88,5978,503231
5_5,0,395520,550416,195480,24144,33652,149656,15562,172,88,5638,341976
5_6,0,426240,543732,184318,24144,36592,147474,15528,172,88,5040,328976
5_7,0,443040,553278,187446,24144,36592,147462,15528,172,88,5184,299370
5_8,0,456240,561987,187446,22301,36592,147441,15527,172,88,5233,279277
5_9,0,474000,572184,187446,20458,36592,147420,15526,172,88,5292,253126
5_T,0,492960,582381,186966,18375,36592,147399,15525,172,88,5354,226492
5_J,0,492960,582381,186966,18375,36592,147387,15525,172,88,5355,226503
5_Q,0,627360,693057,107970,0,36952,101022,0,172,88,32996,112687
5_K,0,358080,460692,190574,20458,36592,141786,15177,172,88,5723,482962
5_A,0,339360,450495,190574,22301,36592,141795,15178,172,88,5613,510136
6_6,0,396480,550416,195480,24144,33652,149336,15562,172,88,4542,342432
6_7,0,432480,545220,184798,24144,36592,147450,15528,172,88,4218,321614
6_8,0,445680,553929,184798,22301,36592,147429,15527,172,88,4267,301521
6_9,0,463440,564126,184798,20458,36592,147408,15526,172,88,4326,275370
6_T,0,482400,574323,184318,18375,36592,147387,15525,172,88,4388,248736
6_J,0,499200,583869,187446,18375,36592,147375,15525,172,88,4567,219095
6_Q,0,628320,693057,107970,0,36952,101010,0,172,88,31968,112767
6_K,0,359040,460692,190574,20458,36592,141774,15177,172,88,4695,483042
6_A,0,353520,459204,193702,22301,36592,141783,15178,172,88,4763,485001
7_7,0,401280,551904,195960,24144,33652,149016,15562,172,88,4954,335572
7_8,0,437760,546708,185278,22301,36592,147417,15527,172,88,4473,315988
7_9,0,450960,555417,185278,20458,36592,147396,15526,172,88,4532,295885
7_T,0,468960,565614,184798,18375,36592,147375,15525,172,88,4594,270211
7_J,0,485760,575160,187926,18375,36592,147363,15525,172,88,4773,240570
7_Q,0,633840,694545,108210,0,36952,100998,0,172,88,32174,105325
7_K,0,363600,462180,191054,20458,36592,141762,15177,172,88,4901,476320
7_A,0,353520,459204,193702,22301,36592,141771,15178,172,88,4729,485047
8_8,0,406080,553392,193312,19776,33672,148678,15560,172,88,5176,336398
8_9,0,456240,556485,173912,18787,36600,147377,15525,172,88,4673,302445
8_T,0,474240,566682,173432,16704,36600,147356,15524,172,88,4735,276771
8_J,0,491040,576228,176560,16704,36600,147344,15524,172,88,4914,247130
8_Q,0,620640,685836,106824,0,36952,100977,0,172,88,30442,130373
8_K,0,363840,462831,191534,18553,36592,141741,15176,172,88,5128,476649
8_A,0,354480,459855,191054,20458,36592,141750,15177,172,88,4840,487838
9_9,0,415680,556368,190664,15408,33692,148340,15558,172,88,5418,330916
