vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,282240,342353,44082,72930,33710,39222,2390,215,88,9259,885815
2_3,80640,485480,335878,66920,74580,36554,38304,2349,215,88,8586,582710
2_4,77760,482552,335014,66920,74580,36554,38304,2349,215,88,8125,589843
2_5,77760,482552,334258,66920,74580,36554,38304,2349,215,88,7988,590736
2_6,77760,495350,342693,68130,68717,36550,38304,2349,215,88,7320,574828
2_7,90240,504634,342043,68322,72643,36550,38304,2349,215,88,7096,549820
2_8,94080,502336,340232,68136,70862,36550,38304,2349,215,88,6893,552259
2_9,96960,505264,339908,68136,70862,36550,38304,2349,215,88,7118,546550
2_T,200640,594548,330358,58474,47314,36775,20676,1400,215,88,43498,378318
2_J,110400,477126,320769,68420,61260,36550,37610,2349,215,88,7381,590136
2_Q,106560,478882,322148,68606,63041,36550,37610,2349,215,88,7548,588707
2_K,102720,480638,323527,68792,64822,36550,37610,2349,215,88,7715,587278
2_A,186240,536612,229900,44822,64071,36775,20217,990,215,88,186607,405767
3_3,0,280800,331985,44082,72930,33710,39174,2390,215,88,7919,899011
3_4,72000,468672,331502,66356,74580,36554,38304,2349,215,88,7613,614071
3_5,72000,468672,330746,66356,74580,36554,38304,2349,215,88,7476,614964
3_6,72000,481470,339181,67566,68717,36550,38304,2349,215,88,6808,599056
3_7,84480,490754,338531,67758,72643,36550,38304,2349,215,88,6584,574048
3_8,94080,502336,339368,68136,70862,36550,38304,2349,215,88,6559,553457
3_9,94080,502336,339044,68136,70862,36550,38304,2349,215,88,6544,553796
3_T,196800,591860,328117,58474,47314,36775,20676,1400,215,88,42906,387679
3_J,107520,474198,319905,68420,61260,36550,37610,2349,215,88,6807,597382
3_Q,103680,475954,321284,68606,63041,36550,37610,2349,215,88,6974,595953
3_K,99840,477710,322663,68792,64822,36550,37610,2349,215,88,7141,594524
3_A,182400,533924,229054,44822,64071,36775,20217,990,215,88,184620,415128
4_4,0,279360,322769,44082,72930,33710,39126,2390,215,88,6805,910829
4_5,66240,454792,327342,65792,74580,36554,38304,2349,215,88,7077,638971
4_6,66240,467590,335777,67002,68717,36550,38304,2349,215,88,6409,623063
4_7,78720,476874,335127,67194,72643,36550,38304,2349,215,88,6185,598055
4_8,88320,488456,335964,67572,70862,36550,38304,2349,215,88,6160,577464
4_9,94080,502336,338288,68136,70862,36550,38304,2349,215,88,6323,554773
4_T,192960,589172,325984,58474,47314,36775,20676,1400,215,88,42427,396819
4_J,104640,471270,319149,68420,61260,36550,37610,2349,215,88,6346,604407
4_Q,100800,473026,320528,68606,63041,36550,37610,2349,215,88,6513,602978
4_K,96960,474782,321907,68792,64822,36550,37610,2349,215,88,6680,601549
4_A,178560,531236,228208,44822,64071,36775,20217,990,215,88,182854,424268
5_5,0,279360,314705,44082,72930,33710,39078,2390,215,88,6339,919407
5_6,60480,458216,333860,66624,68717,36550,38304,2349,215,88,6272,640629
5_7,70080,465292,333210,66816,72643,36550,38304,2349,215,88,6048,620709
5_8,78720,476874,334047,67194,70862,36550,38304,2349,215,88,6023,601078
5_9,84480,490754,336371,67758,70862,36550,38304,2349,215,88,6186,578387
5_T,192960,589172,323959,58474,47314,36775,20676,1400,215,88,42272,398999
5_J,104640,471270,318501,68420,61260,36550,37610,2349,215,88,6209,605192
5_Q,100800,473026,319880,68606,63041,36550,37610,2349,215,88,6376,603763
5_K,96960,474782,321259,68792,64822,36550,37610,2349,215,88,6543,602334
5_A,178560,531236,227362,44822,64071,36775,20217,990,215,88,181520,426448
6_6,0,280080,307793,44082,65442,33710,39030,2390,215,88,5267,934207
6_7,70080,457898,324966,65792,65311,36554,38304,2349,215,88,5294,645453
6_8,78720,469480,325803,66170,63530,36554,38304,2349,215,88,5269,625822
