vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,263520,320776,43152,161384,33616,39186,2282,301,88,23995,824004
2_3,54720,444336,324336,64972,164632,36466,38268,2253,301,88,20814,561118
2_4,51840,441408,323472,64972,164632,36466,38268,2253,301,88,20353,568251
2_5,51840,441408,322716,64972,164632,36466,38268,2253,301,88,20216,569144
2_6,60480,458216,324572,65536,164632,36466,38268,2253,301,88,19738,541754
2_7,72000,476050,323051,66198,155208,36466,38264,2253,301,88,19738,522687
2_8,80640,485634,319791,66482,145784,36466,38260,2253,301,88,19725,516880
2_9,93120,498866,316495,66702,136360,36466,38256,2253,301,88,20170,503227
2_T,167040,554776,271943,54820,141084,36691,20586,1292,301,88,93558,370125
2_J,167040,513112,227312,44324,141084,36691,20217,990,301,88,191021,370124
2_Q,0,394556,254323,58760,136360,36466,36876,1980,301,88,43750,748844
2_K,0,357256,256599,56492,145784,36466,36880,1980,301,88,39719,780739
2_A,0,303440,256659,54044,155208,36466,36884,1980,301,88,41909,825325
3_3,0,262080,313864,43152,161384,33616,39138,2282,301,88,19199,837200
3_4,46080,427528,319960,64408,164632,36466,38268,2253,301,88,19841,592479
3_5,46080,427528,319204,64408,164632,36466,38268,2253,301,88,19704,593372
3_6,54720,444336,321060,64972,164632,36466,38268,2253,301,88,19226,565982
3_7,66240,462170,319539,65634,155208,36466,38264,2253,301,88,19226,546915
3_8,80640,485634,318927,66482,145784,36466,38260,2253,301,88,19391,518078
3_9,90240,495938,315631,66702,136360,36466,38256,2253,301,88,19596,510473
3_T,163200,552088,270125,54820,141084,36691,20586,1292,301,88,92543,379486
3_J,163200,510424,226466,44324,141084,36691,20217,990,301,88,189034,379485
3_Q,0,391628,254323,58760,136360,36466,36876,1980,301,88,43176,752346
3_K,0,354328,256599,56492,145784,36466,36880,1980,301,88,39145,784241
3_A,0,300512,256659,54044,155208,36466,36884,1980,301,88,41335,828827
4_4,0,260640,307672,43152,161384,33616,39090,2282,301,88,15061,849018
4_5,40320,413648,315800,63844,164632,36466,38268,2253,301,88,19305,617379
4_6,48960,430456,317656,64408,164632,36466,38268,2253,301,88,18827,589989
4_7,60480,448290,316135,65070,155208,36466,38264,2253,301,88,18827,570922
4_8,74880,471754,315523,65918,145784,36466,38260,2253,301,88,18992,542085
4_9,90240,495938,314875,66702,136360,36466,38256,2253,301,88,19375,511450
4_T,159360,549400,268415,54820,141084,36691,20586,1292,301,88,91641,388626
4_J,159360,507736,225620,44324,141084,36691,20217,990,301,88,187268,388625
4_Q,0,388700,254323,58760,136360,36466,36876,1980,301,88,42715,755735
4_K,0,351400,256599,56492,145784,36466,36880,1980,301,88,38684,787630
4_A,0,298328,256659,54044,155208,36466,36884,1980,301,88,40130,832216
5_5,0,260640,302200,43152,161384,33616,39042,2282,301,88,12003,857596
5_6,48960,430456,317008,64408,164632,36466,38268,2253,301,88,18690,590774
5_7,54720,438916,314218,64692,155208,36466,38264,2253,301,88,18690,588488
5_8,66240,460172,313606,65540,145784,36466,38260,2253,301,88,18855,564739
5_9,80640,484356,312958,66324,136360,36466,38256,2253,301,88,19238,535064
