vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,270720,328392,43524,130818,33658,39198,2318,258,88,19158,844172
2_3,60480,458216,330800,66240,133254,36508,38280,2285,258,88,16429,569466
2_4,57600,455288,329936,66240,133254,36508,38280,2285,258,88,15968,576599
2_5,57600,455288,329180,66240,133254,36508,38280,2285,258,88,15831,577492
2_6,66240,467590,329657,66618,131473,36508,38280,2285,258,88,15175,558132
2_7,72000,481470,331765,67182,131473,36508,38280,2285,258,88,15307,535688
2_8,80640,487632,327704,67280,122049,36508,38276,2285,258,88,15150,534434
2_9,93120,500144,324552,67564,112625,36508,38272,2285,258,88,15387,521501
2_T,176640,568758,290229,56898,107925,36733,20616,1328,258,88,77719,375112
2_J,106560,482288,306910,67970,103023,36508,37578,2285,258,88,16002,552834
2_Q,176640,527094,229071,44764,115413,36733,20217,990,258,88,185926,375110
2_K,0,395348,258923,59104,114406,36508,36892,1980,258,88,36614,772183
2_A,0,345252,258983,56208,123830,36508,36896,1980,258,88,38804,813497
3_3,0,269280,320328,43524,130818,33658,39150,2318,258,88,15514,857368
3_4,51840,441408,326424,65676,133254,36508,38280,2285,258,88,15456,600827
3_5,51840,441408,325668,65676,133254,36508,38280,2285,258,88,15319,601720
3_6,60480,453710,326145,66054,131473,36508,38280,2285,258,88,14663,582360
3_7,66240,467590,328253,66618,131473,36508,38280,2285,258,88,14795,559916
3_8,80640,487632,326840,67280,122049,36508,38276,2285,258,88,14816,535632
3_9,90240,497216,323688,67564,112625,36508,38272,2285,258,88,14813,528747
3_T,172800,566070,288270,56898,107925,36733,20616,1328,258,88,76845,384473
3_J,103680,479360,306046,67970,103023,36508,37578,2285,258,88,15428,560080
3_Q,172800,524406,228225,44764,115413,36733,20217,990,258,88,183939,384471
3_K,0,392420,258923,59104,114406,36508,36892,1980,258,88,36040,775685
3_A,0,342324,258983,56208,123830,36508,36896,1980,258,88,38230,816999
4_4,0,267840,313128,43524,130818,33658,39102,2318,258,88,12384,869186
4_5,46080,427528,322264,65112,133254,36508,38280,2285,258,88,14920,625727
4_6,54720,439830,322741,65490,131473,36508,38280,2285,258,88,14264,606367
4_7,60480,453710,324849,66054,131473,36508,38280,2285,258,88,14396,583923
4_8,74880,473752,323436,66716,122049,36508,38276,2285,258,88,14417,559639
4_9,90240,497216,322932,67564,112625,36508,38272,2285,258,88,14592,529724
4_T,168960,563382,286419,56898,107925,36733,20616,1328,258,88,76084,393613
4_J,100800,476432,305290,67970,103023,36508,37578,2285,258,88,14967,567105
4_Q,168960,521718,227379,44764,115413,36733,20217,990,258,88,182173,393611
