vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,218790,606640,316360,58080,34785,12579,20667,1400,0,44,28515,414444
3_3,0,155584,246784,45410,28068,12537,33498,2389,0,44,12095,1175895
3_4,101970,440356,293268,68370,34443,12495,36828,2349,0,44,11886,710295
3_5,99000,437348,292404,68370,34443,12453,36828,2349,0,44,11631,717434
3_6,96030,430932,312846,68442,34699,12411,36828,2349,0,44,11097,706626
3_7,93060,439144,317436,69726,39196,12369,36828,2349,43,44,10799,691310
3_8,99990,447996,318183,70108,45117,12369,36828,2349,43,44,10537,668740
3_9,99990,447996,317751,70108,45117,12411,36828,2349,43,44,10526,669141
3_T,102960,446136,316004,69918,43080,12453,36828,2349,43,0,10569,671964
3_J,105930,449144,315788,69918,43080,12495,36828,2349,43,0,10800,665929
3_Q,108900,452152,315680,69918,43080,12537,36828,2349,43,0,11031,659786
3_K,111870,455160,315680,69918,43080,12579,36828,2349,43,0,11262,653535
2_4,214830,603874,315496,58080,34785,12579,20667,1400,0,44,28034,422515
3_4,101970,440356,293268,68370,34443,12537,36828,2349,0,44,11678,710461
4_4,0,154836,235444,45410,28068,12495,33474,2389,0,44,11185,1188959
4_5,93060,424188,288830,67798,34443,12453,36828,2349,0,44,11230,741081
4_6,90090,417772,309380,67870,34699,12411,36828,2349,0,44,10696,730165
4_7,87120,425984,313970,69154,39196,12369,36828,2349,43,44,10398,714849
4_8,94050,434836,314717,69536,45117,12369,36828,2349,43,44,10136,692279
4_9,99990,447996,316995,70108,45117,12411,36828,2349,43,44,10305,670118
4_T,99990,443128,315248,69918,43080,12453,36828,2349,43,0,10106,679161
4_J,102960,446136,315032,69918,43080,12495,36828,2349,43,0,10337,673126
4_Q,105930,449144,314924,69918,43080,12537,36828,2349,43,0,10568,666983
4_K,108900,452152,314924,69918,43080,12579,36828,2349,43,0,10799,660732
2_5,210870,601108,314632,58080,34785,12579,20667,1400,0,44,27637,430502
3_5,99000,437348,292404,68370,34443,12537,36828,2349,0,44,11299,717682
4_5,93060,424188,288830,67798,34443,12495,36828,2349,0,44,11106,741163
5_5,0,154088,225364,45410,28068,12453,33450,2389,0,44,10359,1200679
5_6,84150,404612,305914,67298,34699,12411,36828,2349,0,44,10379,753620
5_7,81180,412824,310504,68582,39196,12369,36828,2349,43,44,10081,738304
5_8,88110,421676,311251,68964,45117,12369,36828,2349,43,44,9819,715734
5_9,94050,434836,313529,69536,45117,12411,36828,2349,43,44,9988,693573
5_T,99990,443128,314492,69918,43080,12453,36828,2349,43,0,9969,680054
5_J,99990,443128,314276,69918,43080,12495,36828,2349,43,0,9958,680239
5_Q,102960,446136,314168,69918,43080,12537,36828,2349,43,0,10189,674096
5_K,105930,434024,314168,69470,43080,12579,36828,2349,43,0,25988,667845
2_6,206910,618026,323635,59554,8706,12579,20667,1400,43,44,22314,438426
3_6,96030,430980,312852,68444,34641,12537,36828,2349,43,44,10654,706902
4_6,90090,417820,309386,67872,34641,12495,36828,2349,43,44,10461,730275
5_6,84150,404660,305920,67300,34641,12453,36828,2349,43,44,10268,753648
6_6,0,148852,220097,45220,42009,12411,33426,2389,43,44,9346,1198467
6_7,75240,403072,312272,68296,8706,12369,36828,2349,86,44,9393,783649
6_8,72270,400064,311732,68296,42841,12369,36828,2349,86,44,9131,756294
6_9,78210,413224,314010,68868,42841,12411,36828,2349,86,44,9300,734133
6_T,84150,421516,314973,69250,40804,12453,36828,2349,86,0,9281,720614
6_J,90090,434676,317467,69822,40804,12495,36828,2349,86,0,9450,698237
6_Q,90090,423336,317359,69438,40804,12537,36828,2349,86,0,21163,698314
6_K,93060,404420,317359,68670,40804,12579,36828,2349,86,0,32362,703787
2_7,202950,615260,322987,59554,42841,12579,20667,1400,43,44,22008,411971
3_7,93060,439192,317442,69726,39196,12537,36828,2349,43,44,10366,691521
4_7,87120,426032,313976,69154,39196,12495,36828,2349,43,44,10173,714894
5_7,81180,412872,310510,68582,39196,12453,36828,2349,43,44,9980,738267
6_7,75240,403072,312272,68296,8706,12411,36828,2349,43,44,9403,783640
7_7,0,148104,212537,45220,47922,12369,33402,2389,86,44,8756,1201475
7_8,66330,386904,308482,67724,48754,12369,36828,2349,86,44,8913,773521
7_9,72270,400064,310760,68296,48754,12411,36828,2349,86,44,9082,751360
7_T,78210,408356,311723,68678,46717,12453,36828,2349,86,0,9063,737841
7_J,84150,410176,314217,68866,46717,12495,36828,2349,86,0,20956,715464
7_Q,90090,401412,316819,68670,46717,12537,36828,2349,86,0,32093,704703
7_K,90090,368904,316819,67326,46717,12579,36828,2349,86,0,43242,727364
2_8,198990,612494,322447,59554,42841,12579,20667,1400,86,44,29438,411764
3_8,99990,448052,318189,70108,45109,12537,36828,2349,86,44,10098,668914
4_8,94050,434892,314723,69536,45109,12495,36828,2349,86,44,9905,692287
5_8,88110,421732,311257,68964,45109,12453,36828,2349,86,44,9712,715660
6_8,72270,400064,311732,68296,42841,12411,36828,2349,86,44,9135,756248
7_8,66330,386904,308482,67724,48754,12369,36828,2349,129,44,8899,773492
8_8,0,147356,206237,45220,55638,12369,33378,2389,129,44,8284,1201260
8_9,66330,386904,307618,67724,56470,12411,36828,2349,129,44,8876,766621
8_T,72270,383856,308581,67786,54433,12453,36828,2349,129,0,20517,753102
8_J,78210,375092,311075,67526,54433,12495,36828,2349,129,0,31718,742449
8_Q,84150,355744,313677,67138,54433,12537,36828,2349,129,0,42663,742656
8_K,90090,334128,316387,65534,54433,12579,36828,2349,129,0,45932,753915
2_9,202950,615260,322015,59554,42841,12579,20667,1400,86,44,29647,405261
3_9,99990,448052,317757,70108,45109,12537,36828,2349,86,44,10083,669361
4_9,99990,448052,317001,70108,45109,12495,36828,2349,86,44,10070,670172
5_9,94050,434892,313535,69536,45109,12453,36828,2349,86,44,9877,693545
6_9,78210,413224,314010,68868,42841,12411,36828,2349,86,44,9300,734133
7_9,72270,400064,310760,68296,48754,12369,36828,2349,129,44,9064,751377
8_9,66330,386904,307618,67724,56470,12369,36828,2349,129,44,8872,766667
9_9,0,148104,201197,45220,55638,12411,33354,2389,129,44,8550,1205268
9_T,65340,352884,306970,66572,54433,12453,36828,2349,129,0,32532,781814
9_J,71280,332780,309464,65992,54433,12495,36828,2349,129,0,43669,782885
9_Q,77220,311164,312066,64580,54433,12537,36828,2349,129,0,45990,795008
9_K,83160,291816,314776,62912,54433,12579,36828,2349,129,0,44339,808983
2_T,206910,612970,320456,59364,40796,12579,20667,1400,86,44,29679,407353
3_T,102960,446192,316010,69918,43064,12537,36828,2349,86,44,10133,672183
4_T,99990,443184,315254,69918,43064,12495,36828,2349,86,44,9878,679214
5_T,99990,443184,314498,69918,43064,12453,36828,2349,86,44,9865,680025
6_T,84150,421516,314973,69250,40796,12411,36828,2349,86,44,9288,720613
7_T,78210,408356,311723,68678,46709,12369,36828,2349,129,44,9052,737857
8_T,72270,383856,308581,67786,54425,12369,36828,2349,129,44,20520,753147
9_T,65340,352884,306970,66572,54425,12411,36828,2349,129,44,32539,781813
T_T,0,144364,195994,45030,50854,12453,33330,2389,129,0,8451,1219310
T_J,74250,283780,298458,62582,52599,12495,36828,2349,129,0,44406,844428
T_Q,80190,265188,301060,60914,52599,12537,36828,2349,129,0,41243,859267
T_K,86130,253400,303770,58798,52599,12579,36828,2349,129,0,34300,871422
