vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,439560,515376,200286,23000,24678,148696,15242,172,0,65190,280104
2_3,0,546766,548649,173564,22875,24721,145818,15240,129,0,64846,169696
2_5,0,395912,429948,169768,21018,12339,139920,15179,86,0,52555,475579
2_6,0,385968,427581,185494,22891,12339,139920,15179,130,0,47014,475788
2_7,0,376772,425214,197424,24584,12339,139920,15179,173,0,41996,478703
2_8,0,367114,422190,196918,25513,12339,139920,15179,215,0,37012,495904
2_9,0,362406,420678,199702,20160,12339,139920,15179,215,0,32272,509433
2_T,0,356708,419166,199196,28118,12339,139920,15179,258,0,27275,514145
2_J,0,361416,420678,199702,28118,12339,139920,15179,258,0,23114,511580
2_Q,0,366124,422190,200208,28118,12339,139920,15179,258,0,19061,508907
2_K,0,370832,423702,200714,28118,12339,139920,15179,258,0,15116,506126
2_A,0,380028,426069,188784,26425,12339,139920,15179,215,0,11185,512160
2_3,0,546766,548649,173564,22875,24721,145818,15240,129,0,64846,169696
3_3,0,445500,516888,196996,18584,24764,148376,15242,86,0,64938,280930
3_5,0,395912,429948,157332,19325,12382,139908,15179,43,0,52461,489814
3_6,0,385968,427581,173058,21198,12382,139908,15179,87,0,46920,490023
3_7,0,376772,425214,184988,22891,12382,139908,15179,130,0,41902,492938
3_8,0,368324,422847,196918,23836,12382,139908,15179,172,0,37012,495726
3_9,0,363616,421335,196412,18303,12382,139908,15179,172,0,32146,512851
3_T,0,357918,419823,195906,26261,12382,139908,15179,215,0,27149,517563
3_J,0,362626,421335,196412,26261,12382,139908,15179,215,0,22988,514998
3_Q,0,367334,422847,196918,26261,12382,139908,15179,215,0,18935,512325
3_K,0,372042,424359,197424,26261,12382,139908,15179,215,0,14990,509544
3_A,0,381238,426726,185494,24568,12382,139908,15179,172,0,11059,515578
2_5,0,395912,429948,169768,21018,12339,139920,15179,86,0,52555,475579
3_5,0,395912,429948,157332,19325,12382,139908,15179,43,0,52461,489814
5_5,0,0,0,152306,14168,0,99640,15136,0,0,48120,1382934
5_6,0,225720,326520,157332,19505,0,134448,15178,44,0,37905,795652
5_7,0,221760,325008,169262,21198,0,134448,15178,87,0,34039,791324
5_8,0,217800,323496,181192,22143,0,134448,15178,129,0,30301,787617
5_9,0,213840,321984,193122,18303,0,134448,15178,129,0,26681,788619
5_T,0,223740,329544,192616,24404,0,134448,15178,172,0,22746,769456
5_J,0,223740,329544,192616,24404,0,134448,15178,172,0,19351,772851
5_Q,0,227700,331056,193122,24404,0,134448,15178,172,0,16306,769918
5_K,0,231660,332568,193628,24404,0,134448,15178,172,0,13369,766877
5_A,0,235620,334080,181698,22711,0,134448,15178,129,0,10446,777994
2_6,0,385968,427581,185494,22891,12339,139920,15179,130,0,47014,475788
3_6,0,385968,427581,173058,21198,12382,139908,15179,87,0,46920,490023
5_6,0,225720,326520,157332,19505,0,134448,15178,44,0,37905,795652
6_6,0,0,0,155342,19068,0,99640,15136,88,0,34868,1388162
6_7,0,205920,315936,169768,23297,0,134448,15178,131,0,32966,814660
