vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,296208,341038,45220,54118,24873,39138,2318,215,44,21796,887336
2_3,102960,512068,328819,67094,54017,24831,38220,2285,215,44,19626,562125
2_4,106920,509648,326532,66904,52214,24789,38220,2285,215,44,19433,565100
2_5,188100,598096,298292,58084,24138,24747,20616,1328,215,44,92023,406621
2_6,107910,479040,318565,68140,52245,24748,37530,2285,215,44,18559,603023
2_7,107910,488752,326852,69376,53899,24790,37530,2285,215,44,18680,581971
2_8,102960,482932,324889,69186,53969,24832,37530,2285,172,44,18473,595032
2_9,102960,482924,324457,69186,52987,24916,37530,2285,129,44,18454,596432
2_T,107910,484428,324133,69186,45785,25002,37530,2285,129,0,18435,597481
2_J,107910,484428,323917,69186,53501,25044,37530,2285,129,0,18424,589950
2_K,0,258912,269810,53696,55538,12421,36840,1980,173,0,29779,993155
2_A,0,252012,262298,52650,55679,12421,36840,1980,216,0,10189,1028019
2_3,102960,512060,328819,67094,54025,24916,38220,2285,172,44,19619,562090
3_3,0,293216,331551,45030,49818,24874,39090,2318,172,44,18907,907284
3_4,106920,497088,316301,65668,50568,24832,38220,2285,172,44,19280,590926
3_5,178200,583698,294069,57638,24138,24790,20616,1328,172,44,89722,437889
3_6,107910,469320,308766,66904,50599,24791,37530,2285,172,44,18406,625577
3_7,107910,479032,317053,68140,52253,24833,37530,2285,172,44,18527,604525
3_8,107910,484624,324025,69186,52112,24875,37530,2285,129,44,18461,591123
3_9,106920,481064,322170,68996,51192,24959,37530,2285,86,44,18254,598804
3_T,111870,482568,321846,68996,43990,25045,37530,2285,86,0,18235,599853
3_J,111870,482568,321630,68996,51706,25087,37530,2285,86,0,18224,592322
3_K,0,255540,268387,53506,53743,12464,36840,1980,130,0,30335,999379
3_A,0,248640,260875,52460,53884,12464,36840,1980,173,0,9989,1034999
2_4,106920,509632,326532,66904,52230,24959,38220,2285,129,44,19419,565030
3_4,106920,497080,316301,65668,50576,24917,38220,2285,129,44,19273,590891
4_4,0,290224,322928,44840,45518,24875,39042,2318,129,44,16306,926080
4_5,168300,569300,289954,57192,24138,24833,20616,1328,129,44,87421,469049
4_6,107910,459600,299075,65668,48953,24834,37530,2285,129,44,18253,648023
4_7,107910,469312,307362,66904,50607,24876,37530,2285,129,44,18374,626971
4_8,107910,474904,314334,67950,50466,24918,37530,2285,86,44,18308,613569
4_9,110880,482756,321414,68996,49577,25002,37530,2285,43,44,18242,595535
4_T,115830,480708,319667,68806,42195,25088,37530,2285,43,0,18035,602117
4_J,115830,480708,319451,68806,49911,25130,37530,2285,43,0,18024,594586
4_K,0,252168,266964,53316,51948,12507,36840,1980,87,0,30135,1006359
4_A,0,245268,259452,52270,52089,12507,36840,1980,130,0,9789,1041979
2_6,107910,479624,318775,68140,52261,12452,37530,2285,130,44,18469,614684
3_6,107910,469872,308970,66904,50607,12410,37530,2285,130,44,18323,637319
4_6,107910,460120,299273,65668,48953,12368,37530,2285,130,44,18177,659846
5_6,169290,569300,280318,57192,24138,12326,20607,1328,130,44,76768,500863
6_6,0,153340,214820,44840,46002,12327,33438,2317,130,44,12964,1192082
6_7,97020,412080,282434,65286,50998,12369,36840,2285,130,44,17400,735418
6_8,97020,414872,288980,66332,50857,12411,36840,2285,87,44,17334,725242
6_9,99990,419924,295634,67378,49968,12495,36840,2285,44,44,17268,710434
6_T,104940,424796,302396,68424,44232,12581,36840,2285,44,0,17202,698564
6_J,114840,395076,303467,67462,50153,12623,36840,2285,44,0,60107,669407
6_K,0,206620,252276,53316,52190,0,36150,1980,88,0,12728,1096956
6_A,0,210180,253699,53506,52120,0,36150,1980,131,0,8839,1095699
2_7,107910,489384,327068,69376,53907,12452,37530,2285,173,44,18564,593611
3_7,107910,479632,317263,68140,52253,12410,37530,2285,173,44,18418,616246
4_7,107910,469880,307566,66904,50599,12368,37530,2285,173,44,18272,638773
5_7,179190,583698,281913,57638,24138,12326,20607,1328,173,44,78687,472562
6_7,97020,412088,282434,65286,50990,12327,36840,2285,173,44,17366,735451
7_7,0,152592,209268,45030,50302,12369,33414,2317,173,44,11642,1195153
7_8,87120,407132,288576,66140,52652,12411,36840,2285,130,44,17476,741498
7_9,87120,409924,295230,67186,51763,12495,36840,2285,87,44,17410,731920
7_T,91080,374728,301992,66888,46027,12581,36840,2285,87,0,58756,721040
7_J,100980,352568,303063,65926,51948,12623,36840,2285,87,0,52689,733295
7_K,0,209432,253699,53506,53985,0,36150,1980,131,0,12870,1090551
7_A,0,210000,253699,53506,53977,0,36150,1980,174,0,8801,1094017
2_8,102960,483572,325105,69186,53961,12452,37530,2285,216,44,18366,606627
3_8,107910,485272,324241,69186,52096,12410,37530,2285,216,44,18353,602761
4_8,107910,475520,314544,67950,50442,12368,37530,2285,216,44,18207,625288
5_8,189090,593788,282381,57894,22335,12326,20607,1328,216,44,80446,451849
6_8,97020,414888,288980,66332,50833,12327,36840,2285,216,44,17301,725238
7_8,87120,407140,288576,66140,52636,12369,36840,2285,216,44,17469,741469
8_8,0,148104,203265,45030,50302,12411,33390,2317,173,44,10261,1207007
8_9,84150,358792,286854,64796,50914,12495,36840,2285,130,44,58095,756909
8_T,88110,332668,293616,64946,45178,12581,36840,2285,130,0,49265,786685
8_J,97020,308996,294687,63088,52089,12623,36840,2285,130,0,52410,792136
8_K,0,212244,255122,53696,53915,0,36150,1980,174,0,13032,1085991
8_A,0,209252,253699,53506,53969,0,36150,1980,217,0,8783,1094748
2_9,102960,483580,324673,69186,52963,12452,37530,2285,258,44,18358,608015
3_9,106920,481720,322386,68996,51160,12410,37530,2285,258,44,18165,610430
4_9,110880,483420,321630,68996,49537,12368,37530,2285,258,44,18152,607204
5_9,202950,605896,282957,58150,20532,12326,20607,1328,258,44,82215,425041
6_9,99990,419948,295634,67378,49928,12327,36840,2285,258,44,17246,710426
7_9,87120,409940,295230,67186,51731,12369,36840,2285,258,44,17414,731887
8_9,84150,358800,286854,64796,50898,12411,36840,2285,215,44,58098,756913
9_9,0,143616,198234,45030,49312,12495,33366,2317,172,44,9178,1218540
9_T,88110,293624,285348,61724,38351,12581,36840,2285,172,0,48624,844645
9_J,94050,269204,286419,59866,51240,12623,36840,2285,172,0,49053,850552
9_K,0,204736,247604,52650,53066,0,36150,1980,216,0,13071,1102831
9_A,0,212812,255122,53696,52909,0,36150,1980,259,0,8955,1090421
2_T,107910,485100,324349,69186,45745,12452,37530,2285,258,44,18353,609092
3_T,111870,483240,322062,68996,43942,12410,37530,2285,258,44,18160,611507
4_T,115830,481380,319883,68806,42139,12368,37530,2285,258,44,17967,613814
5_T,218790,617256,283641,58406,18487,12326,20607,1328,258,44,83987,397174
6_T,104940,424820,302396,68424,44184,12327,36840,2285,258,44,17194,698592
7_T,91080,374744,301992,66888,45987,12369,36840,2285,258,44,58774,721043
8_T,88110,332676,293616,64946,45154,12411,36840,2285,215,44,49282,786725
9_T,88110,293624,285348,61724,38343,12495,36840,2285,172,44,48630,844689
T_T,0,139128,194175,45030,41618,12581,33342,2317,172,0,8386,1235555
T_J,94050,229072,276944,56070,44233,12623,36840,2285,172,0,45591,914424
T_K,0,193668,238663,51414,46059,0,36150,1980,216,0,13113,1131041
T_A,0,201744,246181,52460,45902,0,36150,1980,259,0,8997,1118631
2_J,107910,485100,324133,69186,53461,12452,37530,2285,301,44,18341,601561
3_J,111870,483240,321846,68996,51658,12410,37530,2285,301,44,18148,603976
4_J,115830,481380,319667,68806,49855,12368,37530,2285,301,44,17955,606283
5_J,218790,617256,283425,58406,18487,12326,20607,1328,301,44,91673,389661
6_J,114840,395108,303467,67462,50097,12327,36840,2285,301,44,60106,669427
7_J,100980,352592,303063,65926,51900,12369,36840,2285,301,44,52714,733290
8_J,97020,309012,294687,63088,52057,12411,36840,2285,258,44,52434,792168
9_J,94050,269212,286419,59866,51224,12495,36840,2285,215,44,49066,850588
T_J,94050,229072,276944,56070,44233,12581,36840,2285,215,0,45590,914424
J_J,0,139128,191943,45030,49334,12623,33318,2317,215,0,8125,1230271
J_K,0,193668,238663,51414,53775,0,36150,1980,259,0,13101,1123294
J_A,0,201744,246181,52460,53618,0,36150,1980,302,0,8985,1110884
2_Q,49500,244714,188036,29924,34974,12452,20067,990,301,44,768798,362504
3_Q,54450,241668,186657,29734,33171,12410,20067,990,301,44,767219,365593
4_Q,55440,237360,185278,29544,31368,12368,20067,990,301,44,770970,368574
5_Q,0,0,0,0,0,12326,0,0,301,44,1686962,12671
6_Q,0,136136,149740,28520,31610,12327,18990,990,301,44,632885,700761
7_Q,0,139876,150975,28710,33413,12369,18990,990,301,44,495563,831073
8_Q,0,139876,150975,28710,35216,12411,18990,990,258,44,360219,964615
9_Q,0,139876,150975,28710,36029,12495,18990,990,215,44,261591,1062389
T_Q,0,139128,150975,28710,30864,12581,18990,990,215,0,186095,1143756
J_Q,0,139128,150975,28710,38580,12623,18990,990,215,0,142578,1179515
Q_K,0,143616,152210,28900,38580,0,18990,990,259,0,48271,1280488
Q_A,0,143616,152210,28900,36777,0,18990,990,302,0,30663,1299856
2_K,0,258928,269810,53696,55506,12452,36840,1980,301,44,29689,993058
3_K,0,255556,268387,53506,53703,12410,36840,1980,301,44,30252,999325
4_K,0,252184,266964,53316,51900,12368,36840,1980,301,44,30059,1006348
5_K,0,143616,163550,28900,20532,12326,19539,990,301,44,73397,1249109
6_K,0,205996,252060,53316,52142,12327,36150,1980,301,44,12720,1085268
7_K,0,208800,253483,53506,53945,12369,36150,1980,301,44,12888,1078838
8_K,0,211604,254906,53696,53891,12411,36150,1980,258,44,13057,1074307
9_K,0,204128,247394,52650,53058,12495,36150,1980,215,44,13085,1091105
T_K,0,193100,238459,51414,46067,12581,36150,1980,215,0,13113,1119225
J_K,0,193100,238459,51414,53783,12623,36150,1980,215,0,13102,1111478
K_K,0,0,67024,45220,54118,0,27504,1978,259,0,8344,1507857
K_A,0,162316,231026,52650,55663,0,35460,1980,302,0,9385,1163522
2_A,0,251972,262292,52650,55663,12452,36840,1980,258,44,10085,1028068
3_A,0,248600,260869,52460,53860,12410,36840,1980,258,44,9892,1035091
4_A,0,245228,259446,52270,52057,12368,36840,1980,258,44,9699,1042114
5_A,0,143616,163550,28900,22335,12326,19539,990,258,44,52521,1268225
6_A,0,209548,253483,53506,52088,12327,36150,1980,258,44,8825,1084095
7_A,0,209360,253483,53506,53953,12369,36150,1980,258,44,8805,1082396
8_A,0,208612,253483,53506,53961,12411,36150,1980,215,44,8786,1083156
9_A,0,212164,254906,53696,52917,12495,36150,1980,172,44,8955,1078825
T_A,0,201136,245971,52460,45926,12581,36150,1980,172,0,8983,1106945
J_A,0,201136,245971,52460,53642,12623,36150,1980,172,0,8972,1099198
K_A,0,162316,231026,52650,55679,0,35460,1980,216,0,9379,1163598
A_A,0,0,67024,45220,54118,0,27504,1978,259,0,8092,1508109
