vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,299948,347753,45410,50702,24898,39162,2354,215,44,15996,885822
2_3,89100,515368,342606,68586,49750,24856,38244,2317,215,44,14343,566875
2_4,92070,512948,340319,68396,47947,24814,38244,2317,215,44,14150,570840
2_5,96030,510528,338140,68206,46144,24772,38244,2317,215,44,13957,573707
2_6,202950,615260,318883,59554,16422,24773,20646,1364,215,44,73752,378441
2_7,106920,489508,330992,69824,46175,24773,37554,2317,215,44,13227,590755
2_8,102960,487808,330452,69824,48040,24815,37554,2317,215,44,13208,595067
2_9,99000,485540,330020,69824,48048,24857,37554,2317,172,44,13189,601739
2_T,99990,484784,329696,69824,46824,24942,37554,2317,172,0,13170,603031
2_J,99990,488896,330903,70014,41659,24984,37554,2317,172,0,13339,602476
2_Q,99990,488896,330795,70014,49375,25026,37554,2317,172,0,13328,594837
2_A,0,274192,272449,54270,51412,12404,36864,1980,216,0,32362,976155
2_3,89100,515360,342606,68586,49758,24940,38244,2317,172,44,14336,566841
3_3,0,296956,337114,45220,46402,24898,39114,2354,172,44,14259,905771
3_4,92070,500388,330088,67160,46301,24856,38244,2317,172,44,13997,596667
3_5,96030,497968,327909,66970,44498,24814,38244,2317,172,44,13804,599534
3_6,193050,600862,314516,59108,16422,24815,20646,1364,172,44,71595,409710
3_7,106920,479788,321193,68588,44529,24815,37554,2317,172,44,13074,613310
3_8,106920,489500,329588,69824,46183,24857,37554,2317,172,44,13196,592149
3_9,101970,483680,327733,69634,46253,24899,37554,2317,129,44,12989,605102
3_T,102960,482924,327409,69634,45029,24984,37554,2317,129,0,12970,606394
3_J,102960,487036,328616,69824,39864,25026,37554,2317,129,0,13139,605839
3_Q,102960,487036,328508,69824,47580,25068,37554,2317,129,0,13128,598200
3_A,0,270072,271026,54080,49617,12446,36864,1980,173,0,32162,983884
2_4,92070,512932,340319,68396,47963,24983,38244,2317,129,44,14136,570771
3_4,92070,500380,330088,67160,46309,24941,38244,2317,129,44,13990,596632
4_4,0,293964,327483,45030,42102,24899,39066,2354,129,44,12666,924567
4_5,96030,485408,317786,65734,42852,24857,38244,2317,129,44,13651,625252
