vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,281248,330786,44460,134070,24779,39174,2282,344,44,25607,829510
2_3,62370,471118,334600,66444,136566,24737,38256,2253,344,44,24827,550745
2_4,62370,471118,333736,66444,136566,24695,38256,2253,344,44,24814,551664
2_5,62370,466438,331557,66254,134763,24653,38256,2253,344,44,24621,560751
2_6,72270,483734,333475,66826,134763,24696,38256,2253,344,44,24186,531457
2_7,87120,504250,331840,67494,125205,24738,38256,2253,301,44,24213,506590
2_8,97020,514030,328422,67780,115647,24822,38256,2253,258,44,24205,499567
2_9,183150,581160,279465,55846,111111,24907,20586,1292,215,44,105204,349324
2_T,110880,489512,309254,68002,106097,24993,37566,2253,215,0,25006,538526
2_Q,0,369440,264817,57794,117638,12369,36876,1980,259,0,49520,801611
2_K,0,329072,267233,55908,126448,12369,36876,1980,302,0,47669,834447
2_A,0,278348,268226,54088,130653,12369,36876,1980,345,0,43669,885750
2_3,62370,471118,334600,66444,136566,24737,38256,2253,344,44,24827,550745
3_3,0,279752,323874,44460,134070,24695,39126,2282,344,44,21449,842208
3_4,56430,456830,330162,65872,136566,24653,38256,2253,344,44,24621,576273
3_5,56430,452150,327983,65682,134763,24611,38256,2253,344,44,24428,585360
3_6,66330,469446,329901,66254,134763,24654,38256,2253,344,44,23993,556066
3_7,81180,489962,328266,66922,125205,24696,38256,2253,301,44,24020,531199
3_8,97020,514030,327558,67780,115647,24780,38256,2253,258,44,24192,500486
3_9,179190,578394,277629,55846,111111,24865,20586,1292,215,44,104499,358633
3_T,107910,486504,308390,68002,106097,24951,37566,2253,215,0,24751,545665
3_Q,0,366432,264817,57794,117638,12327,36876,1980,259,0,49265,804916
3_K,0,326064,267233,55908,126448,12327,36876,1980,302,0,47414,837752
3_A,0,276096,268226,54088,130653,12327,36876,1980,345,0,42658,889055
2_4,62370,471118,333736,66444,136566,24737,38256,2253,344,44,24815,551621
3_4,56430,456830,330162,65872,136566,24695,38256,2253,344,44,24622,576230
4_4,0,279752,317682,44460,134070,24653,39078,2282,344,44,18208,851731
4_5,50490,442542,325940,65300,134763,24611,38256,2253,344,44,24416,603345
4_6,60390,459838,327858,65872,134763,24654,38256,2253,344,44,23981,574051
4_7,72270,478094,326223,66540,125205,24696,38256,2253,301,44,24008,554414
4_8,87120,502162,325515,67398,115647,24780,38256,2253,258,44,24180,524691
4_9,179190,578394,275901,55846,111111,24865,20586,1292,215,44,104037,360823
4_T,107910,486504,307634,68002,106097,24951,37566,2253,215,0,24739,546433
4_Q,0,366432,264817,57794,117638,12327,36876,1980,259,0,49253,804928
4_K,0,326064,267233,55908,126448,12327,36876,1980,302,0,47402,837764
4_A,0,276096,268226,54088,130653,12327,36876,1980,345,0,42646,889067
2_5,62370,466430,331557,66254,134771,24737,38256,2253,301,44,24615,560716
3_5,56430,452142,327983,65682,134771,24695,38256,2253,301,44,24422,585325
4_5,50490,442542,325940,65300,134771,24653,38256,2253,301,44,24409,603345
5_5,0,276012,310787,44270,129770,24611,39030,2282,301,44,15031,870166
5_6,60390,446718,317843,64636,133117,24654,38256,2253,301,44,23828,600264
5_7,72270,464974,316208,65304,123559,24696,38256,2253,258,44,23855,580627
5_8,87120,489042,315500,66162,114001,24780,38256,2253,215,44,24027,550904
5_9,169290,563996,272038,55400,111111,24865,20586,1292,172,44,101592,391918
5_T,107910,485936,306986,68002,104240,24951,37566,2253,172,0,24727,549561
5_Q,0,362312,263394,57604,115843,12327,36876,1980,216,0,49053,812699
5_K,0,321944,265810,55718,124653,12327,36876,1980,259,0,47202,845535
5_A,0,271976,266803,53898,128858,12327,36876,1980,302,0,42446,896838
2_6,72270,483726,333475,66826,134771,24822,38256,2253,258,44,24180,531423
3_6,66330,469438,329901,66254,134771,24780,38256,2253,258,44,23987,556032
4_6,60390,459838,327858,65872,134771,24738,38256,2253,258,44,23974,574052
5_6,60390,446718,317843,64636,133117,24696,38256,2253,258,44,23828,600265
6_6,0,277508,306035,44270,129770,24739,38982,2282,258,44,12151,876265
6_7,76230,457702,310859,64212,123559,24781,38256,2253,215,44,23096,591097
6_8,91080,478218,309296,64880,114001,24865,38256,2253,172,44,23268,565971
6_9,174240,566762,270526,55400,111111,24950,20586,1292,129,44,100383,386881
6_T,111870,474364,300782,66720,104240,25036,37566,2253,129,0,23968,565376
6_Q,0,365320,263394,57604,115843,12412,36876,1980,173,0,48294,810408
6_K,0,324952,265810,55718,124653,12412,36876,1980,216,0,46443,843244
6_A,0,247320,269081,53126,128858,12412,36876,1980,259,0,83843,878549
2_7,87120,504234,331840,67494,125213,24907,38256,2253,215,44,24207,506521
3_7,81180,489946,328266,66922,125213,24865,38256,2253,215,44,24014,531130
4_7,72270,478086,326223,66540,125213,24823,38256,2253,215,44,24001,554380
5_7,72270,464966,316208,65304,123559,24781,38256,2253,215,44,23855,580593
6_7,76230,457654,310853,64210,123559,24824,38256,2253,215,44,23096,591110
7_7,0,283492,299450,44460,106500,24866,38934,2282,172,44,10409,901695
7_8,94050,484586,292084,64806,104981,24950,38256,2253,129,44,23393,582772
7_9,178200,554900,260202,54116,103055,25035,20586,1292,86,44,98664,416124
7_T,114840,480732,283732,66646,95220,25121,37566,2253,86,0,24093,582015
7_Q,0,369072,263391,57508,106027,12497,36876,1980,130,0,53124,811699
7_K,0,251216,261681,52934,115095,12497,36876,1980,173,0,127088,852764
7_A,0,245420,264952,53030,119300,12497,36876,1980,216,0,8054,969979
2_8,97020,514014,328422,67780,115655,24992,38256,2253,172,44,24199,499497
3_8,97020,514014,327558,67780,115655,24950,38256,2253,172,44,24186,500416
4_8,87120,502154,325515,67398,115655,24908,38256,2253,172,44,24173,524656
5_8,87120,489034,315500,66162,114001,24866,38256,2253,172,44,24027,550869
6_8,91080,478162,309290,64878,114001,24909,38256,2253,172,44,23268,565991
7_8,94050,484578,292084,64806,104981,24951,38256,2253,129,44,23393,582779
8_8,0,293216,294296,44840,83230,25035,38886,2282,86,44,9245,921144
8_9,192060,553128,250862,53088,94999,25120,20586,1292,43,44,97330,423752
8_T,117810,487100,266790,66716,86200,25206,37566,2253,43,0,24219,598401
8_Q,0,260192,246993,53098,97007,12582,36876,1980,87,0,169618,833871
8_K,0,253992,262533,53028,105459,12582,36876,1980,130,0,12463,973261
8_A,0,248008,261678,53124,109742,12582,36876,1980,173,0,8144,979997
2_T,110880,490032,309452,68002,106089,12410,37566,2253,173,44,25014,550389
3_T,107910,487024,308588,68002,106089,12368,37566,2253,173,44,24759,557528
4_T,107910,487024,307832,68002,106089,12326,37566,2253,173,44,24746,558339
5_T,107910,486464,307184,68002,104224,12284,37566,2253,173,44,24733,561467
6_T,111870,474844,300974,66718,104224,12327,37566,2253,173,44,23974,577337
7_T,114840,481260,283930,66646,95204,12369,37566,2253,130,44,24099,593963
8_T,117810,487676,266994,66716,86184,12453,37566,2253,87,44,24225,610296
9_T,225720,563850,239674,52188,84898,12538,20577,1292,44,44,90386,421093
T_T,0,151096,183437,45220,59960,12624,33378,2281,44,0,8367,1215897
T_Q,0,207312,207068,51932,88190,0,36186,1980,88,0,17158,1102390
T_K,0,204472,223034,51862,96642,0,36186,1980,131,0,12631,1085366
T_A,0,202976,239432,51936,101534,0,36186,1980,174,0,8417,1069669
2_J,183150,489410,222873,41382,110121,12410,20187,990,216,44,269702,361819
3_J,179190,486644,222153,41382,110121,12368,20187,990,216,44,267881,371128
4_J,179190,486644,221433,41382,110121,12326,20187,990,216,44,266410,373361
5_J,179190,482336,219478,41192,108318,12284,20187,990,216,44,264867,383202
6_J,184140,485102,218758,41192,108318,12327,20187,990,216,44,262866,378164
7_J,201960,483836,209706,40036,100262,12369,20187,990,173,44,262523,380218
8_J,220770,478284,200858,38752,92206,12453,20187,990,130,44,266751,380879
9_J,0,0,0,0,0,12538,0,0,87,44,1686966,12669
T_J,0,104720,133990,24668,86195,12624,19110,990,87,0,190083,1139837
J_Q,0,119680,143031,26142,95064,0,19110,990,131,0,68397,1239759
J_K,0,130900,150693,27426,96152,0,19110,990,174,0,51546,1235313
J_A,0,141372,158103,28710,75986,0,19110,990,217,0,33968,1253848
