vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,273768,323000,44080,165570,24737,39162,2246,387,44,30550,808760
2_3,56430,453428,327966,64720,168898,24695,38244,2221,387,44,33168,542103
2_4,56430,453428,327102,64720,168898,24653,38244,2221,387,44,33155,543022
2_5,56430,453428,326346,64720,168898,24653,38244,2221,387,44,33143,543790
2_6,72270,474692,324459,65388,159340,24696,38244,2221,344,44,32567,518039
2_7,87120,498760,323643,66246,149782,24780,38244,2221,301,44,32738,488425
2_8,97020,508910,320081,66468,140224,24865,38244,2221,258,44,33316,480653
2_9,173250,557038,262210,52968,145246,24950,20556,1256,215,44,130455,344116
2_J,0,368668,259907,57444,140412,12369,36864,1980,259,0,58762,775639
2_Q,0,328308,262323,55622,149970,12369,36864,1980,302,0,48903,815663
2_K,0,288696,264739,54184,158780,12369,36864,1980,345,0,46296,848051
2_A,0,248556,265732,52940,162985,12369,36864,1980,388,0,32532,897958
2_3,56430,453428,327966,64720,168898,24695,38244,2221,387,44,33168,542103
3_3,0,272272,317240,44080,165570,24653,39114,2246,387,44,25240,821458
3_4,50490,439140,323528,64148,168898,24611,38244,2221,387,44,32962,567631
3_5,50490,439140,322772,64148,168898,24611,38244,2221,387,44,32950,568399
3_6,66330,460404,320885,64816,159340,24654,38244,2221,344,44,32374,542648
3_7,81180,484472,320069,65674,149782,24738,38244,2221,301,44,32545,513034
3_8,97020,508910,319217,66468,140224,24823,38244,2221,258,44,33303,481572
3_9,169290,554272,260518,52968,145246,24908,20556,1256,215,44,129606,353425
3_J,0,365660,259907,57444,140412,12327,36864,1980,259,0,58507,778944
3_Q,0,325300,262323,55622,149970,12327,36864,1980,302,0,48648,818968
3_K,0,286444,264739,54184,158780,12327,36864,1980,345,0,45285,851356
3_A,0,247060,265732,52940,162985,12327,36864,1980,388,0,31521,900507
2_4,56430,453428,327102,64720,168898,24695,38244,2221,387,44,33156,542979
3_4,50490,439140,323528,64148,168898,24653,38244,2221,387,44,32963,567588
4_4,0,272272,312056,44080,165570,24611,39066,2246,387,44,20991,830981
4_5,50490,439140,322016,64148,168898,24611,38244,2221,387,44,32938,569167
4_6,60390,450796,318842,64434,159340,24654,38244,2221,344,44,32362,560633
4_7,72270,472604,318026,65292,149782,24738,38244,2221,301,44,32533,536249
4_8,87120,497042,317174,66086,140224,24823,38244,2221,258,44,33291,505777
4_9,169290,554272,258934,52968,145246,24908,20556,1256,215,44,129000,355615
4_J,0,365660,259907,57444,140412,12327,36864,1980,259,0,58495,778956
4_Q,0,325300,262323,55622,149970,12327,36864,1980,302,0,48636,818980
4_K,0,286444,264739,54184,158780,12327,36864,1980,345,0,45273,851368
4_A,0,247060,265732,52940,162985,12327,36864,1980,388,0,31509,900519
2_5,56430,453428,326346,64720,168898,24695,38244,2221,344,44,33144,543790
3_5,50490,439140,322772,64148,168898,24653,38244,2221,344,44,32951,568399
4_5,50490,439140,322016,64148,168898,24611,38244,2221,344,44,32938,569210
5_5,0,272272,307448,44080,165570,24611,39018,2246,344,44,17319,839352
5_6,60390,440516,313385,63342,159340,24654,38244,2221,301,44,32350,577517
5_7,72270,458772,311714,64010,149782,24738,38244,2221,258,44,32521,557730
5_8,87120,482462,310862,64804,140224,24823,38244,2221,215,44,33279,528006
5_9,169290,554272,257458,52968,145246,24908,20556,1256,172,44,128394,357740
5_J,0,365660,259907,57444,140412,12327,36864,1980,216,0,58483,779011
5_Q,0,325300,262323,55622,149970,12327,36864,1980,259,0,48624,819035
5_K,0,286444,264739,54184,158780,12327,36864,1980,302,0,45261,851423
5_A,0,235720,265732,52556,162985,12327,36864,1980,345,0,43221,900574
2_6,72270,474684,324459,65388,159340,24780,38244,2221,301,44,32568,518005
3_6,66330,460396,320885,64816,159340,24738,38244,2221,301,44,32375,542614
4_6,60390,450796,318842,64434,159340,24696,38244,2221,301,44,32362,560634
5_6,60390,440476,313379,63340,159340,24696,38244,2221,301,44,32350,577523
6_6,0,277508,300863,44270,142300,24739,38970,2246,258,44,13437,867669
6_7,76230,464580,294394,63936,140762,24823,38244,2221,215,44,31657,575198
6_8,91080,488270,293542,64730,131204,24908,38244,2221,172,44,32415,545474
6_9,174240,542410,247170,51684,137190,24993,20556,1256,129,44,125542,387090
6_J,0,370932,259904,57412,130596,12412,36864,1980,173,0,60120,781911
6_Q,0,327172,258194,55526,140412,12412,36864,1980,216,0,50812,828716
6_K,0,245980,260610,52744,149222,12412,36864,1980,259,0,88041,864192
6_A,0,241680,263881,52840,153427,12412,36864,1980,302,0,8085,940833
2_7,87120,498752,323643,66246,149782,24865,38244,2221,258,44,32739,488390
3_7,81180,484464,320069,65674,149782,24823,38244,2221,258,44,32546,512999
4_7,72270,472604,318026,65292,149782,24781,38244,2221,258,44,32533,536249
5_7,72270,458724,311708,64008,149782,24781,38244,2221,258,44,32521,557743
6_7,76230,464572,294394,63936,140762,24824,38244,2221,215,44,31657,575205
7_7,0,287232,295565,44650,119030,24908,38922,2246,172,44,11263,888272
7_8,94050,497478,276762,64800,122184,24993,38244,2221,129,44,32540,558859
7_9,188100,540638,237866,50656,129134,25078,20556,1256,86,44,124063,394827
7_J,0,373940,243506,57482,121576,12497,36864,1980,130,0,60245,804084
7_Q,0,256796,259046,52932,130596,12497,36864,1980,173,0,131598,829822
7_K,0,248568,257336,52838,139664,12497,36864,1980,216,0,12110,950231
7_A,0,242772,260607,52934,143869,12497,36864,1980,259,0,7932,952590
2_8,97020,508902,320081,66468,140224,24950,38244,2221,215,44,33317,480618
3_8,97020,508902,319217,66468,140224,24908,38244,2221,215,44,33304,481537
4_8,87120,497042,317174,66086,140224,24866,38244,2221,215,44,33291,505777
5_8,87120,482414,310856,64802,140224,24866,38244,2221,215,44,33279,528019
6_8,91080,488262,293542,64730,131204,24909,38244,2221,172,44,32415,545481
7_8,94050,497478,276762,64800,122184,24993,38244,2221,129,44,32540,558859
8_8,0,297704,290699,45030,95760,25078,38874,2246,86,44,9811,906972
8_9,205920,540000,228586,49500,121078,25163,20556,1256,43,44,123825,396333
8_J,0,265060,227108,53072,112556,12582,36864,1980,87,0,176739,826256
8_Q,0,258292,242648,53002,121576,12582,36864,1980,130,0,16868,968362
8_K,0,252092,258188,52932,130028,12582,36864,1980,173,0,12341,955124
8_A,0,246108,257333,53028,134311,12582,36864,1980,216,0,8022,961860
2_T,173250,475012,221062,40936,136540,12368,20187,990,216,44,275002,356697
3_T,169290,472246,220342,40936,136540,12326,20187,990,216,44,273181,366006
4_T,169290,472246,219622,40936,136540,12284,20187,990,216,44,271710,368239
5_T,169290,472246,218902,40936,136540,12284,20187,990,216,44,270348,370321
6_T,184140,470474,209946,39908,128484,12327,20187,990,173,44,267172,378459
7_T,201960,469208,201038,38752,120428,12411,20187,990,130,44,266937,380219
8_T,220770,463656,192334,37468,112372,12496,20187,990,87,44,271165,380735
9_T,0,0,0,0,0,12581,0,0,44,44,1686966,12669
T_J,0,104720,133990,24668,114417,0,19110,990,88,0,90532,1223789
T_Q,0,115940,141796,25952,121483,0,19110,990,131,0,74129,1212773
T_K,0,127160,149458,27236,122571,0,19110,990,174,0,57278,1208327
T_A,0,137632,156868,28520,102405,0,19110,990,217,0,39700,1226862
2_J,0,368676,259907,57444,140404,12368,36864,1980,259,44,58769,775589
3_J,0,365668,259907,57444,140404,12326,36864,1980,259,44,58514,778894
4_J,0,365668,259907,57444,140404,12284,36864,1980,259,44,58501,778949
5_J,0,365668,259907,57444,140404,12284,36864,1980,259,44,58489,778961
6_J,0,370940,259904,57412,130588,12327,36864,1980,216,44,60126,781903
7_J,0,373948,243506,57482,121568,12411,36864,1980,173,44,60251,804077
8_J,0,265068,227108,53072,112548,12496,36864,1980,130,44,176745,826249
9_J,0,104720,137446,24668,121078,12581,19479,990,87,44,90386,1200825
J_J,0,0,55664,45030,96128,0,27528,1978,131,0,7997,1477848
J_Q,0,163812,190391,51742,122505,0,35484,1980,174,0,17157,1129059
J_K,0,163812,206627,51672,130957,0,35484,1980,217,0,12630,1108925
J_A,0,162316,222863,51746,135849,0,35484,1980,260,0,8416,1093390
2_Q,0,328316,262323,55622,149962,12368,36864,1980,302,44,48910,815613
3_Q,0,325308,262323,55622,149962,12326,36864,1980,302,44,48655,818918
4_Q,0,325308,262323,55622,149962,12284,36864,1980,302,44,48642,818973
5_Q,0,325308,262323,55622,149962,12284,36864,1980,302,44,48630,818985
6_Q,0,327180,258194,55526,140404,12327,36864,1980,259,44,50818,828708
7_Q,0,256804,259046,52932,130588,12411,36864,1980,216,44,131604,829815
8_Q,0,258300,242648,53002,121568,12496,36864,1980,173,44,16874,968355
9_Q,0,115940,145252,25952,129134,12581,19479,990,130,44,67667,1195135
J_Q,0,163812,190391,51742,122505,0,35484,1980,174,0,17157,1129059
Q_Q,0,0,59072,44650,119398,0,27528,1978,217,0,7595,1451866
Q_K,0,157080,209043,51578,139767,0,35484,1980,260,0,12759,1104353
Q_A,0,155584,225279,51652,144659,0,35484,1980,303,0,8545,1088818
2_K,0,288704,264739,54184,158772,12368,36864,1980,344,44,46303,848002
3_K,0,286452,264739,54184,158772,12326,36864,1980,344,44,45292,851307
4_K,0,286452,264739,54184,158772,12284,36864,1980,344,44,45279,851362
5_K,0,286452,264739,54184,158772,12284,36864,1980,344,44,45267,851374
6_K,0,245988,260610,52744,149214,12327,36864,1980,301,44,88047,864185
7_K,0,248576,257336,52838,139656,12411,36864,1980,258,44,12116,950225
8_K,0,252092,258188,52932,130028,12496,36864,1980,215,44,12347,955118
9_K,0,127160,153058,27236,137190,12581,19479,990,172,44,50496,1183898
J_K,0,163812,206627,51672,130965,0,35484,1980,216,0,12630,1108918
Q_K,0,157080,209043,51578,139775,0,35484,1980,259,0,12759,1104346
K_K,0,0,62480,44270,141920,0,27528,1978,302,0,7625,1426201
K_A,0,151844,228550,51748,148872,0,35484,1980,345,0,8674,1084807
2_A,0,248556,265732,52940,162985,12368,36864,1980,344,44,32539,897952
3_A,0,247060,265732,52940,162985,12326,36864,1980,344,44,31528,900501
4_A,0,247060,265732,52940,162985,12284,36864,1980,344,44,31515,900556
5_A,0,235720,265732,52556,162985,12284,36864,1980,344,44,43227,900568
6_A,0,241680,263881,52840,153427,12327,36864,1980,301,44,8091,940869
7_A,0,242772,260607,52934,143869,12411,36864,1980,258,44,7938,952627
8_A,0,246108,257333,53028,134311,12496,36864,1980,215,44,8028,961897
9_A,0,137632,160756,28520,145246,12581,19479,990,172,44,32678,1174206
J_A,0,162316,222863,51744,135915,0,35484,1980,216,0,8416,1093370
Q_A,0,155584,225279,51650,144725,0,35484,1980,259,0,8545,1088798
K_A,0,151844,228550,51746,148930,0,35484,1980,302,0,8674,1084794
A_A,0,0,65888,44080,159657,0,27528,1978,345,0,7169,1405659
