vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,438570,567216,204082,12490,25158,151096,15642,0,88,9814,288148
2_3,0,520982,589050,189290,13356,25116,147978,15600,0,88,9663,201181
2_4,0,515526,587538,188784,13356,25074,147966,15600,0,88,9420,208952
2_5,0,510070,586026,188278,13356,25032,147954,15600,0,88,9177,216723
2_6,0,504614,584946,204004,8948,24990,147942,15600,0,88,8691,212481
2_7,0,518496,593793,203498,15049,24948,147930,15600,43,88,8217,184642
2_8,0,513040,592281,202992,15049,24948,147918,15600,43,88,7975,192370
2_9,0,518496,593793,203498,15049,24990,147906,15600,43,88,8218,184623
2_T,0,519464,594450,200208,12950,25032,147894,15600,43,44,8335,188284
2_J,0,524920,595962,200714,12950,25074,147882,15600,43,44,8578,180537
2_Q,0,530376,597474,201220,12950,25116,147870,15600,43,44,8821,172790
2_K,0,535832,598986,201726,12950,25158,147858,15600,43,44,9064,165043
2_3,0,520982,589050,189290,13356,25116,147978,15600,0,88,9663,201181
3_3,0,433620,565704,203576,12490,25074,150776,15642,0,88,9328,296006
3_4,0,498146,577836,185494,13356,25032,147954,15600,0,88,9239,239559
3_5,0,492690,576324,184988,13356,24990,147942,15600,0,88,8996,247330
3_6,0,487234,575244,200714,8948,24948,147930,15600,0,88,8510,243088
3_7,0,501116,584091,200208,15049,24906,147918,15600,43,88,8036,215249
3_8,0,513040,592281,202992,15049,24906,147906,15600,43,88,7974,192425
3_9,0,513040,592281,202992,15049,24948,147894,15600,43,88,7975,192394
3_T,0,514008,592938,199702,12950,24990,147882,15600,43,44,8092,196055
3_J,0,519464,594450,200208,12950,25032,147870,15600,43,44,8335,188308
3_Q,0,524920,595962,200714,12950,25074,147858,15600,43,44,8578,180561
3_K,0,530376,597474,201220,12950,25116,147846,15600,43,44,8821,172814
2_4,0,515526,587538,188784,13356,25074,147966,15600,0,88,9420,208952
3_4,0,498146,577836,185494,13356,25032,147954,15600,0,88,9239,239559
4_4,0,428670,564192,203070,12490,24990,150456,15642,0,88,8842,303864
4_5,0,475310,566622,181698,13356,24948,147930,15600,0,88,8815,277937
4_6,0,469854,565542,197424,8948,24906,147918,15600,0,88,8329,273695
4_7,0,483736,574389,196918,15049,24864,147906,15600,43,88,7855,245856
4_8,0,495660,582579,199702,15049,24864,147894,15600,43,88,7793,223032
4_9,0,513040,592281,202992,15049,24906,147882,15600,43,88,7974,192449
4_T,0,508552,591426,199196,12950,24948,147870,15600,43,44,7849,203826
4_J,0,514008,592938,199702,12950,24990,147858,15600,43,44,8092,196079
4_Q,0,519464,594450,200208,12950,25032,147846,15600,43,44,8335,188332
4_K,0,524920,595962,200714,12950,25074,147834,15600,43,44,8578,180585
2_5,0,510070,586026,188278,13356,25032,147954,15600,0,88,9177,216723
3_5,0,492690,576324,184988,13356,24990,147942,15600,0,88,8996,247330
4_5,0,475310,566622,181698,13356,24948,147930,15600,0,88,8815,277937
5_5,0,423720,562680,202564,12490,24906,150136,15642,0,88,8356,311722
5_6,0,452474,555840,194134,8948,24864,147906,15600,0,88,8148,304302
5_7,0,466356,564687,193628,15049,24822,147894,15600,43,88,7674,276463
5_8,0,478280,572877,196412,15049,24822,147882,15600,43,88,7612,253639
5_9,0,495660,582579,199702,15049,24864,147870,15600,43,88,7793,223056
5_T,0,508552,591426,199196,12950,24906,147858,15600,43,44,7848,203881
5_J,0,508552,591426,199196,12950,24948,147846,15600,43,44,7849,203850
5_Q,0,514008,592938,199702,12950,24990,147834,15600,43,44,8092,196103
5_K,0,519464,594450,200208,12950,25032,147822,15600,43,44,8335,188356
2_6,0,504614,584946,204004,8948,24990,147942,15600,0,88,8691,212481
3_6,0,487234,575244,200714,8948,24948,147930,15600,0,88,8510,243088
4_6,0,469854,565542,197424,8948,24906,147918,15600,0,88,8329,273695
5_6,0,452474,555840,194134,8948,24864,147906,15600,0,88,8148,304302
6_6,0,418770,561168,205854,8948,24822,149816,15642,0,88,7702,319494
6_7,0,453464,555840,194134,8948,24780,147882,15600,43,88,7156,304369
6_8,0,465388,564030,196918,8948,24780,147870,15600,43,88,7094,281545
6_9,0,482768,573732,200208,8948,24822,147858,15600,43,88,7275,250962
6_T,0,495660,582579,199702,6849,24864,147846,15600,43,44,7330,231787
6_J,0,513040,592281,202992,6849,24906,147834,15600,43,44,7511,201204
6_Q,0,513040,592281,202992,6849,24948,147822,15600,43,44,7512,201173
6_K,0,518496,593793,203498,6849,24990,147810,15600,43,44,7755,193426
2_7,0,518496,593793,203498,15049,24948,147930,15600,43,88,8217,184642
3_7,0,501116,584091,200208,15049,24906,147918,15600,43,88,8036,215249
4_7,0,483736,574389,196918,15049,24864,147906,15600,43,88,7855,245856
5_7,0,466356,564687,193628,15049,24822,147894,15600,43,88,7674,276463
6_7,0,453464,555840,194134,8948,24780,147882,15600,43,88,7156,304369
7_7,0,413820,559656,205348,16906,24738,149496,15642,86,88,7130,319394
7_8,0,448008,554328,193628,16906,24738,147858,15600,86,88,6628,304436
7_9,0,465388,564030,196918,16906,24780,147846,15600,86,88,6809,273853
7_T,0,478280,572877,196412,14807,24822,147834,15600,86,44,6864,254678
7_J,0,495660,582579,199702,14807,24864,147822,15600,86,44,7045,224095
7_Q,0,513040,592281,202992,14807,24906,147810,15600,86,44,7226,193512
7_K,0,513040,592281,202992,14807,24948,147798,15600,86,44,7227,193481
2_8,0,513040,592281,202992,15049,24948,147918,15600,43,88,7975,192370
3_8,0,513040,592281,202992,15049,24906,147906,15600,43,88,7974,192425
4_8,0,495660,582579,199702,15049,24864,147894,15600,43,88,7793,223032
5_8,0,478280,572877,196412,15049,24822,147882,15600,43,88,7612,253639
6_8,0,465388,564030,196918,8948,24780,147870,15600,43,88,7094,281545
7_8,0,448008,554328,193628,16906,24738,147858,15600,86,88,6628,304436
8_8,0,413820,559656,205348,16906,24738,149176,15642,86,88,7130,319714
8_9,0,453464,555840,194134,16906,24780,147834,15600,86,88,6871,296701
8_T,0,466356,564687,193628,14807,24822,147822,15600,86,44,6926,277526
8_J,0,483736,574389,196918,14807,24864,147810,15600,86,44,7107,246943
8_Q,0,501116,584091,200208,14807,24906,147798,15600,86,44,7288,216360
8_K,0,518496,593793,203498,14807,24948,147786,15600,86,44,7469,185777
2_9,0,518496,593793,203498,15049,24990,147906,15600,43,88,8218,184623
3_9,0,513040,592281,202992,15049,24948,147894,15600,43,88,7975,192394
4_9,0,513040,592281,202992,15049,24906,147882,15600,43,88,7974,192449
5_9,0,495660,582579,199702,15049,24864,147870,15600,43,88,7793,223056
6_9,0,482768,573732,200208,8948,24822,147858,15600,43,88,7275,250962
7_9,0,465388,564030,196918,16906,24780,147846,15600,86,88,6809,273853
8_9,0,453464,555840,194134,16906,24780,147834,15600,86,88,6871,296701
9_9,0,418770,561168,205854,16906,24822,148856,15642,86,88,7616,312496
9_T,0,452474,555840,194134,14807,24864,147810,15600,86,44,7169,299476
9_J,0,469854,565542,197424,14807,24906,147798,15600,86,44,7350,268893
9_Q,0,487234,575244,200714,14807,24948,147786,15600,86,44,7531,238310
9_K,0,504614,584946,204004,14807,24990,147774,15600,86,44,7712,207727
2_T,0,519464,594450,200208,12950,25032,147894,15600,43,44,8335,188284
3_T,0,514008,592938,199702,12950,24990,147882,15600,43,44,8092,196055
4_T,0,508552,591426,199196,12950,24948,147870,15600,43,44,7849,203826
5_T,0,508552,591426,199196,12950,24906,147858,15600,43,44,7848,203881
6_T,0,495660,582579,199702,6849,24864,147846,15600,43,44,7330,231787
7_T,0,478280,572877,196412,14807,24822,147834,15600,86,44,6864,254678
8_T,0,466356,564687,193628,14807,24822,147822,15600,86,44,6926,277526
9_T,0,452474,555840,194134,14807,24864,147810,15600,86,44,7169,299476
T_T,0,423720,562680,202564,12006,24906,148536,15642,86,0,7850,314314
T_J,0,475310,566622,181698,12934,24948,147786,15600,86,0,7499,279821
T_Q,0,492690,576324,184988,12934,24990,147774,15600,86,0,7680,249238
T_K,0,510070,586026,188278,12934,25032,147762,15600,86,0,7861,218655
2_J,0,524920,595962,200714,12950,25074,147882,15600,43,44,8578,180537
3_J,0,519464,594450,200208,12950,25032,147870,15600,43,44,8335,188308
4_J,0,514008,592938,199702,12950,24990,147858,15600,43,44,8092,196079
5_J,0,508552,591426,199196,12950,24948,147846,15600,43,44,7849,203850
6_J,0,513040,592281,202992,6849,24906,147834,15600,43,44,7511,201204
7_J,0,495660,582579,199702,14807,24864,147822,15600,86,44,7045,224095
8_J,0,483736,574389,196918,14807,24864,147810,15600,86,44,7107,246943
9_J,0,469854,565542,197424,14807,24906,147798,15600,86,44,7350,268893
T_J,0,475310,566622,181698,12934,24948,147786,15600,86,0,7499,279821
J_J,0,428670,564192,203070,12006,24990,148216,15642,86,0,8336,307096
J_Q,0,498146,577836,185494,12934,25032,147762,15600,86,0,7923,241491
J_K,0,515526,587538,188784,12934,25074,147750,15600,86,0,8104,210908
2_Q,0,530376,597474,201220,12950,25116,147870,15600,43,44,8821,172790
3_Q,0,524920,595962,200714,12950,25074,147858,15600,43,44,8578,180561
4_Q,0,519464,594450,200208,12950,25032,147846,15600,43,44,8335,188332
5_Q,0,514008,592938,199702,12950,24990,147834,15600,43,44,8092,196103
6_Q,0,513040,592281,202992,6849,24948,147822,15600,43,44,7512,201173
7_Q,0,513040,592281,202992,14807,24906,147810,15600,86,44,7226,193512
8_Q,0,501116,584091,200208,14807,24906,147798,15600,86,44,7288,216360
9_Q,0,487234,575244,200714,14807,24948,147786,15600,86,44,7531,238310
T_Q,0,492690,576324,184988,12934,24990,147774,15600,86,0,7680,249238
J_Q,0,498146,577836,185494,12934,25032,147762,15600,86,0,7923,241491
Q_Q,0,433620,565704,203576,12006,25074,147896,15642,86,0,8822,299878
Q_K,0,520982,589050,189290,12934,25116,147738,15600,86,0,8347,203161
2_K,0,535832,598986,201726,12950,25158,147858,15600,43,44,9064,165043
3_K,0,530376,597474,201220,12950,25116,147846,15600,43,44,8821,172814
4_K,0,524920,595962,200714,12950,25074,147834,15600,43,44,8578,180585
5_K,0,519464,594450,200208,12950,25032,147822,15600,43,44,8335,188356
6_K,0,518496,593793,203498,6849,24990,147810,15600,43,44,7755,193426
7_K,0,513040,592281,202992,14807,24948,147798,15600,86,44,7227,193481
8_K,0,518496,593793,203498,14807,24948,147786,15600,86,44,7469,185777
9_K,0,504614,584946,204004,14807,24990,147774,15600,86,44,7712,207727
T_K,0,510070,586026,188278,12934,25032,147762,15600,86,0,7861,218655
J_K,0,515526,587538,188784,12934,25074,147750,15600,86,0,8104,210908
Q_K,0,520982,589050,189290,12934,25116,147738,15600,86,0,8347,203161
