vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,417780,560736,205854,32822,24820,150376,15522,258,88,9880,294168
2_3,0,480788,573300,200208,32822,24778,147330,15492,258,88,9675,227565
2_4,0,475332,571788,199702,32822,24736,147318,15492,258,88,9432,235336
2_5,0,469876,570276,199196,32822,24694,147306,15492,258,88,9189,243107
2_6,0,493702,581490,202992,32822,24737,147294,15492,258,88,8622,204807
2_7,0,507342,590337,202992,30965,24779,147282,15492,215,88,8676,184136
2_8,0,508310,590994,199702,29108,24863,147270,15492,172,88,8551,187754
2_9,0,515724,593163,196918,27251,24948,147258,15492,129,88,8668,182665
2_T,0,523380,595332,193628,25152,25034,147246,15492,129,44,8785,178082
2_Q,0,385506,471024,197424,27251,12410,141600,15179,173,44,8854,452839
2_K,0,379808,469512,200714,29108,12410,141600,15179,216,44,8824,454889
2_A,0,360470,459153,200714,30965,12410,141600,15179,259,44,8721,482789
2_3,0,480788,573300,200208,32822,24778,147330,15492,258,88,9675,227565
3_3,0,412830,559224,205348,32822,24736,150056,15522,258,88,9394,302026
3_4,0,457952,562086,196412,32822,24694,147306,15492,258,88,9251,265943
3_5,0,452496,560574,195906,32822,24652,147294,15492,258,88,9008,273714
3_6,0,476322,571788,199702,32822,24695,147282,15492,258,88,8441,235414
3_7,0,489962,580635,199702,30965,24737,147270,15492,215,88,8495,214743
3_8,0,508310,590994,199702,29108,24821,147258,15492,172,88,8550,187809
3_9,0,510268,591651,196412,27251,24906,147246,15492,129,88,8425,190436
3_T,0,517924,593820,193122,25152,24992,147234,15492,129,44,8542,185853
3_Q,0,380798,469512,196918,27251,12368,141588,15179,173,44,8611,459862
3_K,0,375100,468000,200208,29108,12368,141588,15179,216,44,8581,461912
3_A,0,355762,457641,200208,30965,12368,141588,15179,259,44,8478,489812
2_4,0,475332,571788,199702,32822,24736,147318,15492,258,88,9432,235336
3_4,0,457952,562086,196412,32822,24694,147306,15492,258,88,9251,265943
4_4,0,407880,557712,204842,32822,24652,149736,15522,258,88,8908,309884
4_5,0,435116,550872,192616,32822,24610,147282,15492,258,88,8827,304321
4_6,0,458942,562086,196412,32822,24653,147270,15492,258,88,8260,266021
4_7,0,472582,570933,196412,30965,24695,147258,15492,215,88,8314,245350
4_8,0,490930,581292,196412,29108,24779,147246,15492,172,88,8369,218416
4_9,0,510268,591651,196412,27251,24864,147234,15492,129,88,8424,190491
4_T,0,512468,592308,192616,25152,24950,147222,15492,129,44,8299,193624
4_Q,0,376090,468000,196412,27251,12326,141576,15179,173,44,8368,466885
4_K,0,370392,466488,199702,29108,12326,141576,15179,216,44,8338,468935
4_A,0,351054,456129,199702,30965,12326,141576,15179,259,44,8235,496835
2_5,0,469876,570276,199196,32822,24694,147306,15492,258,88,9189,243107
3_5,0,452496,560574,195906,32822,24652,147294,15492,258,88,9008,273714
4_5,0,435116,550872,192616,32822,24610,147282,15492,258,88,8827,304321
5_5,0,402930,556200,204336,32822,24568,149416,15522,258,88,8422,317742
5_6,0,441562,552384,193122,32822,24611,147258,15492,258,88,8079,296628
5_7,0,455202,561231,193122,30965,24653,147246,15492,215,88,8133,275957
5_8,0,473550,571590,193122,29108,24737,147234,15492,172,88,8188,249023
5_9,0,492888,581949,193122,27251,24822,147222,15492,129,88,8243,221098
5_T,0,512468,592308,192616,25152,24908,147210,15492,129,44,8298,193679
5_Q,0,371382,466488,195906,27251,12284,141564,15179,173,44,8125,473908
5_K,0,365684,464976,199196,29108,12284,141564,15179,216,44,8095,475958
5_A,0,346346,454617,199196,30965,12284,141564,15179,259,44,7992,503858
2_6,0,493702,581490,202992,32822,24737,147294,15492,258,88,8622,204807
3_6,0,476322,571788,199702,32822,24695,147282,15492,258,88,8441,235414
4_6,0,458942,562086,196412,32822,24653,147270,15492,258,88,8260,266021
5_6,0,441562,552384,193122,32822,24611,147258,15492,258,88,8079,296628
6_6,0,408870,557712,204842,32822,24654,149096,15522,258,88,7918,310522
6_7,0,448008,553896,193628,30965,24696,147234,15492,215,88,7386,290696
6_8,0,461648,562743,193628,29108,24780,147222,15492,172,88,7441,269982
