vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,290224,343900,44840,95602,24904,39222,2354,172,88,15750,855248
2_3,71280,490304,345410,68296,97266,24862,38304,2317,172,88,14112,559893
2_4,68310,487296,344546,68296,97266,24820,38304,2317,172,88,13857,567032
2_5,65340,484288,343790,68296,97266,24778,38304,2317,172,88,13602,574063
2_6,74250,501584,345708,68868,97266,24779,38304,2317,172,88,13166,545802
2_7,80190,511192,346455,69250,95463,24779,38304,2317,172,88,13153,530941
2_8,80190,511192,346023,69250,95463,24821,38304,2317,172,88,13142,531342
2_9,92070,520428,341894,69346,85905,24863,38304,2317,129,88,13232,523728
2_T,109890,535096,338124,69632,74122,24948,38304,2317,129,44,13466,506232
2_J,196020,603628,317168,59108,76976,24990,20646,1364,129,44,56994,355237
2_Q,108900,500196,323401,69822,76167,25032,37614,2317,129,44,13866,554816
2_A,0,421060,268520,62626,87708,12410,36924,1980,173,44,24331,796528
2_3,71280,490304,345410,68296,97266,24862,38304,2317,172,88,14112,559893
3_3,0,288728,334684,44840,95602,24820,39174,2354,172,88,13896,867946
3_4,62370,473008,340972,67724,97266,24778,38304,2317,172,88,13664,591641
3_5,59400,470000,340216,67724,97266,24736,38304,2317,172,88,13409,598672
3_6,68310,487296,342134,68296,97266,24737,38304,2317,172,88,12973,570411
3_7,74250,496904,342881,68678,95463,24737,38304,2317,172,88,12960,555550
3_8,80190,511192,345159,69250,95463,24779,38304,2317,172,88,13129,532261
3_9,89100,517420,341030,69346,85905,24821,38304,2317,129,88,12977,530867
3_T,106920,532088,337260,69632,74122,24906,38304,2317,129,44,13211,513371
3_J,192060,600862,315044,59108,76976,24948,20646,1364,129,44,56577,364546
3_Q,105930,497188,322537,69822,76167,24990,37614,2317,129,44,13611,561955
3_A,0,418052,268520,62626,87708,12368,36924,1980,173,44,24076,799833
2_4,68310,487296,344546,68296,97266,24820,38304,2317,172,88,13857,567032
3_4,62370,473008,340972,67724,97266,24778,38304,2317,172,88,13664,591641
4_4,0,287232,326476,44840,95602,24736,39126,2354,172,88,12186,879492
4_5,53460,455712,336750,67152,97266,24694,38304,2317,172,88,13216,623173
4_6,62370,473008,338668,67724,97266,24695,38304,2317,172,88,12780,594912
4_7,68310,482616,339415,68106,95463,24695,38304,2317,172,88,12767,580051
4_8,74250,496904,341693,68678,95463,24737,38304,2317,172,88,12936,556762
4_9,89100,517420,340274,69346,85905,24779,38304,2317,129,88,12964,531678
4_T,103950,529080,336504,69632,74122,24864,38304,2317,129,44,12956,520402
4_J,188100,598096,313028,59108,76976,24906,20646,1364,129,44,56160,373747
4_Q,102960,494180,321781,69822,76167,24948,37614,2317,129,44,13356,568986
4_A,0,415044,268520,62626,87708,12326,36924,1980,173,44,23821,803138
2_5,65340,484288,343790,68296,97266,24778,38304,2317,172,88,13602,574063
3_5,59400,470000,340216,67724,97266,24736,38304,2317,172,88,13409,598672
4_5,53460,455712,336750,67152,97266,24694,38304,2317,172,88,13216,623173
5_5,0,285736,319276,44840,95602,24652,39078,2354,172,88,10620,889886
5_6,56430,458720,335310,67152,97266,24653,38304,2317,172,88,12587,619305
5_7,62370,468328,336057,67534,95463,24653,38304,2317,172,88,12574,604444
5_8,68310,482616,338335,68106,95463,24695,38304,2317,172,88,12743,581155
5_9,83160,503132,336916,68774,85905,24737,38304,2317,129,88,12771,556071
5_T,103950,529080,335856,69632,74122,24822,38304,2317,129,44,12943,521105
5_J,184140,595330,311120,59108,76976,24864,20646,1364,129,44,55743,382840
5_Q,99990,491172,321133,69822,76167,24906,37614,2317,129,44,13101,575909
5_A,0,412036,268520,62626,87708,12284,36924,1980,173,44,23566,806443
2_6,74250,501584,345708,68868,97266,24821,38304,2317,172,88,13167,545759
3_6,68310,487296,342134,68296,97266,24779,38304,2317,172,88,12974,570368
4_6,62370,473008,338668,67724,97266,24737,38304,2317,172,88,12781,594869
5_6,56430,458720,335310,67152,97266,24695,38304,2317,172,88,12588,619262
6_6,0,287232,313084,44840,95602,24696,39030,2354,172,88,9179,896027
6_7,60390,461728,334230,67152,95463,24696,38304,2317,172,88,11815,615949
6_8,66330,476016,336508,67724,95463,24738,38304,2317,172,88,11984,592660
6_9,78210,494272,335089,68392,85905,24780,38304,2317,129,88,12012,572806
6_T,98010,520220,334029,69250,74122,24865,38304,2317,129,44,12184,538830
