vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,297704,350227,45030,52086,25073,39258,2390,43,88,11179,889226
2_3,92070,509916,343784,68014,53769,25031,38340,2349,43,88,10826,568074
2_4,89100,506908,342920,68014,53769,24989,38340,2349,43,88,10571,575213
2_5,86130,503900,342164,68014,53769,24947,38340,2349,43,88,10316,582244
2_6,83160,518880,352306,69440,49502,24905,38340,2349,43,88,9677,563614
2_7,90090,527740,353053,69822,55415,24863,38340,2349,86,88,9379,541079
2_8,90090,527740,352621,69822,55415,24863,38340,2349,86,88,9367,541523
2_9,93060,530748,352297,69822,55415,24905,38340,2349,86,88,9598,535596
2_T,105930,538856,347708,69918,43632,24947,38340,2349,86,44,9688,530806
2_J,108900,541864,347708,69918,43632,24989,38340,2349,86,44,9919,524555
2_Q,111870,544872,347708,69918,43632,25031,38340,2349,86,44,10150,518304
2_K,218790,621268,337952,59364,48754,25073,20676,1400,86,44,24010,354887
2_3,92070,509916,343784,68014,53769,25031,38340,2349,43,88,10826,568074
3_3,0,296208,339859,45030,52086,24989,39210,2390,43,88,10477,901924
3_4,83160,492620,339346,67442,53769,24947,38340,2349,43,88,10378,599822
3_5,80190,489612,338590,67442,53769,24905,38340,2349,43,88,10123,606853
3_6,77220,504592,348732,68868,49502,24863,38340,2349,43,88,9484,588223
3_7,84150,513452,349479,69250,55415,24821,38340,2349,86,88,9186,565688
3_8,90090,527740,351757,69822,55415,24821,38340,2349,86,88,9354,542442
3_9,90090,527740,351433,69822,55415,24863,38340,2349,86,88,9343,542735
3_T,102960,535848,346844,69918,43632,24905,38340,2349,86,44,9433,537945
3_J,105930,538856,346844,69918,43632,24947,38340,2349,86,44,9664,531694
3_Q,108900,541864,346844,69918,43632,24989,38340,2349,86,44,9895,525443
3_K,214830,618502,335684,59364,48754,25031,20676,1400,86,44,23737,364196
2_4,89100,506908,342920,68014,53769,24989,38340,2349,43,88,10571,575213
3_4,83160,492620,339346,67442,53769,24947,38340,2349,43,88,10378,599822
4_4,0,294712,330643,45030,52086,24905,39162,2390,43,88,9775,913470
4_5,74250,475324,335124,66870,53769,24863,38340,2349,43,88,9930,631354
4_6,71280,490304,345266,68296,49502,24821,38340,2349,43,88,9291,612724
4_7,78210,499164,346013,68678,55415,24779,38340,2349,86,88,8993,590189
4_8,84150,513452,348291,69250,55415,24779,38340,2349,86,88,9161,566943
4_9,90090,527740,350677,69822,55415,24821,38340,2349,86,88,9330,543546
4_T,99990,532840,346088,69918,43632,24863,38340,2349,86,44,9178,544976
4_J,102960,535848,346088,69918,43632,24905,38340,2349,86,44,9409,538725
4_Q,105930,538856,346088,69918,43632,24947,38340,2349,86,44,9640,532474
4_K,210870,615736,333524,59364,48754,24989,20676,1400,86,44,23464,373397
2_5,86130,503900,342164,68014,53769,24947,38340,2349,43,88,10316,582244
3_5,80190,489612,338590,67442,53769,24905,38340,2349,43,88,10123,606853
4_5,74250,475324,335124,66870,53769,24863,38340,2349,43,88,9930,631354
5_5,0,293216,322579,45030,52086,24821,39114,2390,43,88,9073,923864
5_6,65340,476016,341908,67724,49502,24779,38340,2349,43,88,9098,637117
5_7,72270,484876,342655,68106,55415,24737,38340,2349,86,88,8800,614582
5_8,78210,499164,344933,68678,55415,24737,38340,2349,86,88,8968,591336
5_9,84150,513452,347319,69250,55415,24779,38340,2349,86,88,9137,567939
5_T,99990,532840,345440,69918,43632,24821,38340,2349,86,44,9165,545679
5_J,99990,532840,345440,69918,43632,24863,38340,2349,86,44,9154,545648
5_Q,102960,535848,345440,69918,43632,24905,38340,2349,86,44,9385,539397
5_K,206910,612970,331472,59364,48754,24947,20676,1400,86,44,23191,382490
2_6,83160,518880,352306,69440,49502,24948,38340,2349,43,88,9635,563613
3_6,77220,504592,348732,68868,49502,24906,38340,2349,43,88,9442,588222
4_6,71280,490304,345266,68296,49502,24864,38340,2349,43,88,9249,612723
5_6,65340,476016,341908,67724,49502,24822,38340,2349,43,88,9056,637116
6_6,0,296208,317090,45220,48670,24780,39066,2390,43,88,8035,930714
6_7,66330,476016,340828,67724,49502,24738,38340,2349,86,88,8040,638263
6_8,72270,490304,343106,68296,49502,24738,38340,2349,86,88,8208,615017
6_9,78210,504592,345492,68868,49502,24780,38340,2349,86,88,8377,591620
6_T,94050,523980,343613,69536,37719,24822,38340,2349,86,44,8405,569360
6_J,99990,538268,346323,70108,37719,24864,38340,2349,86,44,8574,545639
6_Q,99990,538268,346323,70108,37719,24906,38340,2349,86,44,8563,545608
6_K,202950,615260,330763,59554,42841,24948,20676,1400,86,44,22351,391431
2_7,90090,527732,353053,69822,55423,24948,38340,2349,43,88,9372,541044
3_7,84150,513444,349479,69250,55423,24906,38340,2349,43,88,9179,565653
4_7,78210,499156,346013,68678,55423,24864,38340,2349,43,88,8986,590154
5_7,72270,484868,342655,68106,55423,24822,38340,2349,43,88,8793,614547
6_7,66330,476016,340828,67724,49502,24780,38340,2349,43,88,8083,638221
7_7,0,294712,311330,45220,56386,24738,39018,2390,86,88,7532,930804
7_8,66330,476016,339964,67724,57218,24738,38340,2349,86,88,8015,631436
7_9,72270,490304,342350,68296,57218,24780,38340,2349,86,88,8184,608039
7_T,88110,509692,340471,68964,45435,24822,38340,2349,86,44,8212,585779
7_J,94050,523980,343181,69536,45435,24864,38340,2349,86,44,8381,562058
7_Q,99990,538268,345891,70108,45435,24906,38340,2349,86,44,8550,538337
7_K,198990,612494,328927,59554,50557,24948,20676,1400,86,44,22078,392550
2_8,90090,527732,352621,69822,55423,24990,38340,2349,43,88,9361,541445
3_8,90090,527732,351757,69822,55423,24948,38340,2349,43,88,9348,542364
4_8,84150,513444,348291,69250,55423,24906,38340,2349,43,88,9155,566865
5_8,78210,499156,344933,68678,55423,24864,38340,2349,43,88,8962,591258
6_8,72270,490304,343106,68296,49502,24822,38340,2349,43,88,8252,614932
7_8,66330,476016,339964,67724,57218,24780,38340,2349,86,88,8016,631393
8_8,0,296208,306722,45220,56386,24780,38970,2390,86,88,7801,933653
8_9,75240,493312,342026,68296,57218,24822,38340,2349,86,88,8415,602112
8_T,81180,500832,338860,68582,45435,24864,38340,2349,86,44,8443,603289
8_J,87120,515120,341570,69154,45435,24906,38340,2349,86,44,8612,579568
8_Q,93060,529408,344280,69726,45435,24948,38340,2349,86,44,8781,555847
8_K,202950,615260,327199,59554,50557,24990,20676,1400,86,44,22291,387297
2_9,93060,530740,352297,69822,55423,25032,38340,2349,0,88,9592,535561
3_9,90090,527732,351433,69822,55423,24990,38340,2349,0,88,9337,542700
4_9,90090,527732,350677,69822,55423,24948,38340,2349,0,88,9324,543511
5_9,84150,513444,347319,69250,55423,24906,38340,2349,0,88,9131,567904
6_9,78210,504592,345492,68868,49502,24864,38340,2349,0,88,8421,591578
7_9,72270,490304,342350,68296,57218,24822,38340,2349,43,88,8185,608039
8_9,75240,493312,342026,68296,57218,24822,38340,2349,43,88,8415,602155
9_9,0,297704,303266,45220,56386,24864,38922,2390,43,88,8071,935350
9_T,84150,489260,332980,67300,45435,24906,38340,2349,43,44,8674,618823
9_J,90090,503548,335690,67872,45435,24948,38340,2349,43,44,8843,595102
9_Q,96030,517836,338400,68444,45435,24990,38340,2349,43,44,9012,571381
9_K,206910,618026,325579,59554,50557,25032,20676,1400,43,44,22504,381979
2_T,105930,538840,347708,69918,43640,25117,38340,2349,0,44,9682,530736
3_T,102960,535832,346844,69918,43640,25075,38340,2349,0,44,9427,537875
4_T,99990,532824,346088,69918,43640,25033,38340,2349,0,44,9172,544906
5_T,99990,532824,345440,69918,43640,24991,38340,2349,0,44,9159,545609
