vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,427680,564192,206866,16906,24988,150856,15602,86,88,9860,295180
2_3,0,491700,576756,201220,16906,24946,147762,15564,86,88,9711,227565
2_4,0,486244,575244,200714,16906,24904,147750,15564,86,88,9468,235336
2_5,0,480788,573732,200208,16906,24862,147738,15564,86,88,9225,243107
2_6,0,499158,583434,203498,16906,24863,147726,15564,86,88,8415,212566
2_7,0,511082,591624,206282,16906,24863,147714,15564,86,88,8352,189743
2_8,0,511082,591624,206282,16906,24905,147702,15564,86,88,8353,189712
2_9,0,512798,592281,203498,15049,24947,147690,15564,43,88,8470,191876
2_T,0,519464,594450,200208,12950,25032,147678,15564,43,44,8587,188284
2_J,0,524920,595962,200714,12950,25074,147666,15564,43,44,8830,180537
2_Q,0,530376,597474,201220,12950,25116,147654,15564,43,44,9073,172790
2_A,0,369886,463437,201726,15049,12494,142080,15179,87,44,9261,483061
2_3,0,491700,576756,201220,16906,24946,147762,15564,86,88,9711,227565
3_3,0,422730,562680,206360,16906,24904,150536,15602,86,88,9374,303038
3_4,0,468864,565542,197424,16906,24862,147738,15564,86,88,9287,265943
3_5,0,463408,564030,196918,16906,24820,147726,15564,86,88,9044,273714
3_6,0,481778,573732,200208,16906,24821,147714,15564,86,88,8234,243173
3_7,0,493702,581922,202992,16906,24821,147702,15564,86,88,8171,220350
3_8,0,511082,591624,206282,16906,24863,147690,15564,86,88,8352,189767
3_9,0,507342,590769,202992,15049,24905,147678,15564,43,88,8227,199647
3_T,0,514008,592938,199702,12950,24990,147666,15564,43,44,8344,196055
3_J,0,519464,594450,200208,12950,25032,147654,15564,43,44,8587,188308
3_Q,0,524920,595962,200714,12950,25074,147642,15564,43,44,8830,180561
3_A,0,365178,461925,201220,15049,12452,142068,15179,87,44,9018,490084
2_4,0,486244,575244,200714,16906,24904,147750,15564,86,88,9468,235336
3_4,0,468864,565542,197424,16906,24862,147738,15564,86,88,9287,265943
4_4,0,417780,561168,205854,16906,24820,150216,15602,86,88,8888,310896
4_5,0,446028,554328,193628,16906,24778,147714,15564,86,88,8863,304321
4_6,0,464398,564030,196918,16906,24779,147702,15564,86,88,8053,273780
4_7,0,476322,572220,199702,16906,24779,147690,15564,86,88,7990,250957
4_8,0,493702,581922,202992,16906,24821,147678,15564,86,88,8171,220374
4_9,0,507342,590769,202992,15049,24863,147666,15564,43,88,8226,199702
4_T,0,508552,591426,199196,12950,24948,147654,15564,43,44,8101,203826
4_J,0,514008,592938,199702,12950,24990,147642,15564,43,44,8344,196079
4_Q,0,519464,594450,200208,12950,25032,147630,15564,43,44,8587,188332
4_A,0,360470,460413,200714,15049,12410,142056,15179,87,44,8775,497107
2_5,0,480788,573732,200208,16906,24862,147738,15564,86,88,9225,243107
3_5,0,463408,564030,196918,16906,24820,147726,15564,86,88,9044,273714
4_5,0,446028,554328,193628,16906,24778,147714,15564,86,88,8863,304321
5_5,0,412830,559656,205348,16906,24736,149896,15602,86,88,8402,318754
5_6,0,447018,554328,193628,16906,24737,147690,15564,86,88,7872,304387
5_7,0,458942,562518,196412,16906,24737,147678,15564,86,88,7809,281564
5_8,0,476322,572220,199702,16906,24779,147666,15564,86,88,7990,250981
5_9,0,489962,581067,199702,15049,24821,147654,15564,43,88,8045,230309
5_T,0,508552,591426,199196,12950,24906,147642,15564,43,44,8100,203881
5_J,0,508552,591426,199196,12950,24948,147630,15564,43,44,8101,203850
5_Q,0,514008,592938,199702,12950,24990,147618,15564,43,44,8344,196103
5_A,0,355762,458901,200208,15049,12368,142044,15179,87,44,8532,504130
2_6,0,499158,583434,203498,16906,24863,147726,15564,86,88,8415,212566
3_6,0,481778,573732,200208,16906,24821,147714,15564,86,88,8234,243173
4_6,0,464398,564030,196918,16906,24779,147702,15564,86,88,8053,273780
5_6,0,447018,554328,193628,16906,24737,147690,15564,86,88,7872,304387
6_6,0,413820,559656,205348,16906,24738,149576,15602,86,88,7412,319072
6_7,0,448008,554328,193628,16906,24738,147666,15564,86,88,6881,304411
