vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,291720,343900,44840,87886,24946,39234,2354,129,88,15981,861226
2_3,74250,493312,345410,68296,89550,24904,38316,2317,129,88,14343,561389
2_4,71280,490304,344546,68296,89550,24862,38316,2317,129,88,14088,568528
2_5,68310,487296,343790,68296,89550,24820,38316,2317,129,88,13833,575559
2_6,74250,501584,345708,68868,89550,24821,38316,2317,129,88,13155,553518
2_7,80190,515872,347878,69440,89550,24821,38316,2317,129,88,13322,530381
2_8,80190,515872,347446,69440,89550,24863,38316,2317,129,88,13311,530782
2_9,89100,522848,343317,69536,79992,24905,38316,2317,86,88,13401,528398
2_T,105930,537516,339547,69822,68209,24990,38316,2317,86,44,13635,511892
2_J,108900,540524,339547,69822,68209,25032,38316,2317,86,44,13866,505641
2_Q,199980,606394,317168,59108,76976,25074,20646,1364,86,44,49522,355942
2_A,0,435408,268520,65698,79992,12452,36936,1980,130,44,13606,797538
2_3,74250,493312,345410,68296,89550,24904,38316,2317,129,88,14343,561389
3_3,0,290224,334684,44840,87886,24862,39186,2354,129,88,14127,873924
3_4,65340,476016,340972,67724,89550,24820,38316,2317,129,88,13895,593137
3_5,62370,473008,340216,67724,89550,24778,38316,2317,129,88,13640,600168
3_6,68310,487296,342134,68296,89550,24779,38316,2317,129,88,12962,578127
3_7,74250,501584,344304,68868,89550,24779,38316,2317,129,88,13129,554990
3_8,80190,515872,346582,69440,89550,24821,38316,2317,129,88,13298,531701
3_9,86130,519840,342453,69536,79992,24863,38316,2317,86,88,13146,535537
3_T,102960,534508,338683,69822,68209,24948,38316,2317,86,44,13380,519031
3_J,105930,537516,338683,69822,68209,24990,38316,2317,86,44,13611,512780
3_Q,196020,603628,315044,59108,76976,25032,20646,1364,86,44,49105,365251
3_A,0,432400,268520,65698,79992,12410,36936,1980,130,44,13351,800843
2_4,71280,490304,344546,68296,89550,24862,38316,2317,129,88,14088,568528
3_4,65340,476016,340972,67724,89550,24820,38316,2317,129,88,13895,593137
4_4,0,288728,326476,44840,87886,24778,39138,2354,129,88,12417,885470
4_5,56430,458720,336750,67152,89550,24736,38316,2317,129,88,13447,624669
4_6,62370,473008,338668,67724,89550,24737,38316,2317,129,88,12769,602628
4_7,68310,487296,340838,68296,89550,24737,38316,2317,129,88,12936,579491
4_8,74250,501584,343116,68868,89550,24779,38316,2317,129,88,13105,556202
4_9,86130,519840,341697,69536,79992,24821,38316,2317,86,88,13133,536348
4_T,99990,531500,337927,69822,68209,24906,38316,2317,86,44,13125,526062
4_J,102960,534508,337927,69822,68209,24948,38316,2317,86,44,13356,519811
4_Q,192060,600862,313028,59108,76976,24990,20646,1364,86,44,48688,374452
4_A,0,429392,268520,65698,79992,12368,36936,1980,130,44,13096,804148
2_5,68310,487296,343790,68296,89550,24820,38316,2317,129,88,13833,575559
3_5,62370,473008,340216,67724,89550,24778,38316,2317,129,88,13640,600168
4_5,56430,458720,336750,67152,89550,24736,38316,2317,129,88,13447,624669
5_5,0,287232,319276,44840,87886,24694,39090,2354,129,88,10851,895864
5_6,56430,458720,335310,67152,89550,24695,38316,2317,129,88,12576,627021
5_7,62370,473008,337480,67724,89550,24695,38316,2317,129,88,12743,603884
5_8,68310,487296,339758,68296,89550,24737,38316,2317,129,88,12912,580595
5_9,80190,505552,338339,68964,79992,24779,38316,2317,86,88,12940,560741
5_T,99990,531500,337279,69822,68209,24864,38316,2317,86,44,13112,526765
5_J,99990,531500,337279,69822,68209,24906,38316,2317,86,44,13101,526734
5_Q,188100,598096,311120,59108,76976,24948,20646,1364,86,44,48271,383545
5_A,0,426384,268520,65698,79992,12326,36936,1980,130,44,12841,807453
2_6,74250,501584,345708,68868,89550,24821,38316,2317,129,88,13155,553518
3_6,68310,487296,342134,68296,89550,24779,38316,2317,129,88,12962,578127
4_6,62370,473008,338668,67724,89550,24737,38316,2317,129,88,12769,602628
5_6,56430,458720,335310,67152,89550,24695,38316,2317,129,88,12576,627021
6_6,0,287232,313084,44840,87886,24696,39042,2354,129,88,8925,904028
6_7,60390,461728,334230,67152,89550,24696,38316,2317,129,88,11803,621905
6_8,66330,476016,336508,67724,89550,24738,38316,2317,129,88,11972,598616
6_9,78210,494272,335089,68392,79992,24780,38316,2317,86,88,12000,578762
6_T,98010,520220,334029,69250,68209,24865,38316,2317,86,44,12172,544786
6_J,103950,534508,336739,69822,68209,24907,38316,2317,86,44,12341,521065
6_Q,189090,598096,309320,59108,76976,24949,20646,1364,86,44,47107,385518
6_A,0,439544,270798,66270,79992,12327,36936,1980,130,44,12019,792264
2_7,80190,515872,347878,69440,89550,24863,38316,2317,129,88,13323,530338
3_7,74250,501584,344304,68868,89550,24821,38316,2317,129,88,13130,554947
4_7,68310,487296,340838,68296,89550,24779,38316,2317,129,88,12937,579448
5_7,62370,473008,337480,67724,89550,24737,38316,2317,129,88,12744,603841
6_7,60390,461728,334230,67152,89550,24738,38316,2317,129,88,11804,621862
7_7,0,288728,307900,44840,87886,24738,38994,2354,129,88,8616,908031
7_8,69300,479024,336076,67724,89550,24780,38316,2317,129,88,12202,592798
7_9,75240,487672,333370,68010,79992,24822,38316,2317,86,88,12230,590161
7_T,91080,511360,332310,68868,68209,24907,38316,2317,86,44,12402,562405
7_J,97020,525648,335020,69440,68209,24949,38316,2317,86,44,12571,538684
7_Q,193050,600862,307628,59108,76976,24991,20646,1364,86,44,47175,380374
7_A,0,439544,270798,66270,79992,12369,36936,1980,130,44,12007,792234
2_8,80190,515872,347446,69440,89550,24905,38316,2317,86,88,13312,530782
3_8,80190,515872,346582,69440,89550,24863,38316,2317,86,88,13299,531701
4_8,74250,501584,343116,68868,89550,24821,38316,2317,86,88,13106,556202
5_8,68310,487296,339758,68296,89550,24779,38316,2317,86,88,12913,580595
6_8,66330,476016,336508,67724,89550,24780,38316,2317,86,88,11973,598616
7_8,69300,479024,336076,67724,89550,24780,38316,2317,86,88,12202,592841
8_8,0,290224,303724,44840,87886,24822,38946,2354,86,88,8454,910880
8_9,78210,480400,328237,66918,79992,24864,38316,2317,43,88,12461,600458
8_T,94050,499788,326322,67586,68209,24949,38316,2317,43,44,12633,578047
8_J,99990,514076,329032,68158,68209,24991,38316,2317,43,44,12802,554326
8_Q,197010,603628,306044,59108,76976,25033,20646,1364,43,44,47244,375164
8_A,0,442552,270798,66270,79992,12411,36936,1980,87,44,12238,788996
