vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_2,0,412830,557928,205348,40780,24736,150136,15482,344,88,10970,293662
2_3,0,475332,570492,199702,40780,24694,147114,15456,344,88,10737,227565
2_4,0,469876,568980,199196,40780,24652,147102,15456,344,88,10494,235336
2_5,0,469876,568980,199196,40780,24652,147090,15456,344,88,10494,235348
2_6,0,489962,579339,199702,38923,24695,147078,15456,301,88,9801,206959
2_7,0,508310,589698,199702,37066,24779,147066,15456,258,88,9855,180026
2_8,0,510268,590355,196412,35209,24864,147054,15456,215,88,9730,182653
2_9,0,517682,592524,193628,33352,24949,147042,15456,172,88,9847,177564
2_J,0,386496,468504,193628,33352,12368,141360,15179,216,44,9154,452003
2_Q,0,380798,466992,196918,35209,12368,141360,15179,259,44,8872,454305
2_K,0,375100,465480,200208,37066,12368,141360,15179,302,44,8698,456499
2_A,0,355762,455121,200208,38923,12368,141360,15179,345,44,8451,484543
2_3,0,475332,570492,199702,40780,24694,147114,15456,344,88,10737,227565
3_3,0,407880,556416,204842,40780,24652,149816,15482,344,88,10484,301520
3_4,0,452496,559278,195906,40780,24610,147090,15456,344,88,10313,265943
3_5,0,452496,559278,195906,40780,24610,147078,15456,344,88,10313,265955
3_6,0,472582,569637,196412,38923,24653,147066,15456,301,88,9620,237566
3_7,0,490930,579996,196412,37066,24737,147054,15456,258,88,9674,210633
3_8,0,510268,590355,196412,35209,24822,147042,15456,215,88,9729,182708
3_9,0,512226,591012,193122,33352,24907,147030,15456,172,88,9604,185335
3_J,0,381788,466992,193122,33352,12326,141348,15179,216,44,8911,459026
3_Q,0,376090,465480,196412,35209,12326,141348,15179,259,44,8629,461328
3_K,0,370392,463968,199702,37066,12326,141348,15179,302,44,8455,463522
3_A,0,351054,453609,199702,38923,12326,141348,15179,345,44,8208,491566
2_4,0,469876,568980,199196,40780,24652,147102,15456,344,88,10494,235336
3_4,0,452496,559278,195906,40780,24610,147090,15456,344,88,10313,265943
4_4,0,402930,554904,204336,40780,24568,149496,15482,344,88,9998,309378
4_5,0,435116,549576,192616,40780,24568,147066,15456,344,88,10132,296562
4_6,0,455202,559935,193122,38923,24611,147054,15456,301,88,9439,268173
4_7,0,473550,570294,193122,37066,24695,147042,15456,258,88,9493,241240
4_8,0,492888,580653,193122,35209,24780,147030,15456,215,88,9548,213315
4_9,0,512226,591012,193122,33352,24865,147018,15456,172,88,9603,185390
4_J,0,377080,465480,192616,33352,12284,141336,15179,216,44,8668,466049
4_Q,0,371382,463968,195906,35209,12284,141336,15179,259,44,8386,468351
4_K,0,365684,462456,199196,37066,12284,141336,15179,302,44,8212,470545
4_A,0,346346,452097,199196,38923,12284,141336,15179,345,44,7965,498589
2_5,0,469876,568980,199196,40780,24652,147090,15456,344,88,10494,235348
3_5,0,452496,559278,195906,40780,24610,147078,15456,344,88,10313,265955
4_5,0,435116,549576,192616,40780,24568,147066,15456,344,88,10132,296562
5_5,0,402930,554904,204336,40780,24568,149176,15482,344,88,9998,309698
5_6,0,441562,551088,193122,38923,24611,147042,15456,301,88,9439,290672
