Opponent,Wins,Draws,Loses,Equity%
AcKc,1193432,17396,2213780,35.1
AcQc,1179174,17420,2228014,34.69
AcJc,1180276,17122,2227210,34.71
AcTc,1168838,17178,2238592,34.38
Ac9c,1183940,17290,2223378,34.82
Ac8c,1177330,17080,2230198,34.63
Ac6c,1285034,17594,2121980,37.78
Ac5c,923958,76062,2424588,28.09
Ac4c,1362030,19034,2043544,40.05
Ac3c,1382520,19292,2022796,40.65
Ac2c,1410260,19550,1994798,41.47
KcQc,1172926,24748,2226934,34.61
KcJc,1174028,24450,2226130,34.64
KcTc,1162590,24506,2237512,34.31
Kc9c,1177692,24888,2222028,34.75
Kc8c,1187128,25000,2212480,35.03
Kc6c,1283802,24864,2115942,37.85
Kc5c,932432,115492,2376684,28.91
Kc4c,1398896,26538,1999174,41.24
Kc3c,1419386,26796,1978426,41.84
Kc2c,1447126,27054,1950428,42.65
QcJc,1142622,32506,2249480,33.84
QcTc,1131268,32562,2260778,33.51
Qc9c,1155980,33336,2235292,34.24
Qc8c,1167216,33718,2223674,34.58
Qc6c,1269544,33582,2121482,37.56
Qc5c,918174,151352,2355082,29.02
Qc4c,1384638,35256,2004714,40.95
Qc3c,1405128,35514,1983966,41.55
Qc2c,1432868,35772,1955968,42.36
JcTc,1105658,40906,2278044,32.88
Jc9c,1130370,45674,2248564,33.67
Jc8c,1141606,46448,2236554,34.01
Jc6c,1279764,46850,2097994,38.05
Jc5c,918174,195822,2310612,29.67
Jc4c,1384638,48202,1991768,41.14
Jc3c,1405128,48460,1971020,41.74
Jc2c,1432868,48718,1943022,42.55
Tc9c,1086362,61888,2276358,32.63
Tc8c,1098700,65960,2259948,33.05
Tc6c,1237074,67450,2120084,37.11
Tc5c,918088,246272,2260248,30.4
Tc4c,1373200,68836,1982572,41.1
Tc3c,1393690,69094,1961824,41.71
Tc2c,1421430,69352,1933826,42.52
9c8c,1062864,98434,2263310,32.47
9c6c,1200914,104614,2119080,36.59
9c5c,869122,334100,2221386,30.26
9c4c,1381830,106198,1936580,41.9
9c3c,1393816,106222,1924570,42.25
9c2c,1421556,106480,1896572,43.06
8c6c,1163046,165654,2095908,36.38
8c5c,818356,456338,2149914,30.56
8c4c,1351210,167238,1906160,41.9
8c3c,1399306,167460,1857842,43.31
8c2c,1419882,167484,1837242,43.91
6c5c,1854864,619074,950670,63.2
6c4c,1862962,267664,1293982,58.31
6c3c,1906386,267886,1250336,59.58
6c2c,1950302,268108,1206198,60.86
5c4c,1819846,638144,966618,62.46
5c3c,1844228,642216,938164,63.23
5c2c,1907762,647014,869832,65.15
4c3c,1943204,265184,1216220,60.61
4c2c,1987444,265406,1171758,61.91
3c2c,1982984,265394,1176230,61.78
AcAh,1156604,25656,5666956,17.07
AcKh,2495668,30188,4323360,36.66
AcQh,2465260,30232,4353724,36.21
AcJh,2467480,29560,4352176,36.24
AcTh,2444256,29604,4375356,35.9
Ac9h,2472676,29836,4346704,36.32
Ac8h,2455156,29364,4364696,36.06
Ac7h,1824148,189252,4835816,28.01
Ac6h,2667608,30792,4150816,39.17
Ac5h,1902492,150412,4796312,28.87
Ac4h,2827132,34600,3987484,41.53
Ac3h,2873196,36016,3940004,42.21
Ac2h,2935140,37884,3876192,43.13
KcAh,2495700,30188,4323328,36.66
KcKh,1176640,26168,5646408,17.37
KcQh,2453628,45960,4349628,36.16
KcJh,2455848,45288,4348080,36.19
KcTh,2432624,45332,4371260,35.85
Kc9h,2461044,46140,4342032,36.27
Kc8h,2477504,46384,4325328,36.51
Kc7h,1848716,267892,4732608,28.95
Kc6h,2666232,46132,4136852,39.26
Kc5h,1919876,232780,4696560,29.73
Kc4h,2906160,50472,3892584,42.8
Kc3h,2952224,51888,3845104,43.48
Kc2h,3014168,53756,3781292,44.4
QcAh,2465120,30236,4353860,36.21
QcKh,2453456,45964,4349796,36.16
QcQh,1146060,26208,5676948,16.92
QcJh,2389068,62408,4397740,35.34
QcTh,2365844,62452,4420920,35.0
Qc9h,2414900,64092,4370224,35.73
Qc8h,2435260,64912,4349044,36.03
Qc7h,1848544,314820,4685852,29.29
Qc6h,2635652,64660,4148904,38.95
Qc5h,1889296,306660,4653260,29.82
Qc4h,2875580,69000,3904636,42.49
Qc3h,2921644,70416,3857156,43.17
Qc2h,2983588,72284,3793344,44.09
JcAh,2467340,29536,4352340,36.24
JcKh,2455676,45264,4348276,36.18
JcQh,2389068,62412,4397736,35.34
JcJh,1154452,27476,5667288,17.06
JcTh,2313016,80148,4456052,34.36
Jc9h,2362072,90376,4396768,35.15
Jc8h,2382432,92028,4374756,35.46
Jc7h,1828224,403032,4617960,29.63
Jc6h,2656688,92880,4099648,39.47
Jc5h,1889296,398568,4561352,30.49
Jc4h,2875580,96504,3877132,42.69
Jc3h,2921644,97920,3829652,43.37
